category,pct_tasks_affected,workers_affected,wages_affected
Direct vehicle traffic.,7.21,2681.17,171153088.83
Adjust equipment to ensure adequate performance.,7.12,81108.12,3791942014.06
Confer with healthcare or other professionals about patient care.,7.06,45541.01,3194374324.85
Set up equipment.,7.06,18301.14,1067439622.72
Prescribe medical treatments or devices.,6.91,64104.89,3975116911.95
Maintain facilities or equipment.,6.80,19573.35,973350105.76
Supervise personnel activities.,6.57,199243.21,19114904807.02
Advise others on educational or vocational matters.,6.39,86381.46,6381900999.81
Position materials or components for assembly.,6.31,60815.09,3488254244.22
Take physical measurements of patients or clients.,6.12,315.55,12893503.32
Install commercial or production equipment.,5.94,33470.05,2411673793.60
Provide support or encouragement to others.,5.93,38163.57,3208267965.35
Connect components or supply lines to equipment or tools.,5.63,14039.28,855413463.64
Intervene in crisis situations or emergencies.,5.09,18171.46,1531224353.35
Advise others on environmental sustainability or green practices.,4.98,2888.73,277894275.72
Disassemble equipment.,4.88,16590.04,740248787.84
Teach life skills.,4.80,52019.58,2290432168.28
Inspect facilities or equipment.,4.74,72185.91,4709313386.13
Investigate incidents or accidents.,4.66,3416.24,391285071.82
Prepare medical equipment or work areas for use.,4.59,11065.74,921520787.76
Maintain vehicles in working condition.,4.45,43901.35,2357756818.22
Examine people or animals to assess health conditions or physical characteristics.,4.45,50253.80,4393154066.56
Coach others.,3.96,1408.02,117541882.40
Protect people or property from threats such as fires or flooding.,3.95,1623.79,150086601.60
Develop systems or practices to mitigate or resolve environmental problems.,3.86,3799.24,404271291.03
Inspect characteristics or conditions of materials or products.,3.71,11745.99,516157757.79
Maintain tools or equipment.,3.61,26665.88,1418827004.82
"Set up classrooms, facilities, educational materials, or equipment.",3.59,13577.96,685331087.36
Inspect vehicles.,3.58,37317.90,1907385037.08
Administer basic health care or medical treatments.,3.45,79454.55,3605697232.73
Cut materials.,3.39,12966.26,662232044.53
Present information in legal proceedings.,3.32,709.57,64147558.87
Operate cutting or grinding equipment.,3.29,6008.34,271504326.17
Operate energy production or distribution equipment.,3.16,944.87,96564144.29
Fabricate devices or components.,3.13,4645.31,252430061.78
"Perform athletic activities for fitness, competition, or artistic purposes.",3.07,195.97,12740003.90
Administer therapeutic treatments.,2.85,11885.80,1074361903.93
Explain medical information to patients or family members.,2.79,9914.65,603115099.79
Process forensic or legal evidence.,2.57,317.97,29755880.50
Care for plants or animals.,2.54,2988.38,102107954.55
Maintain medical equipment or instruments.,2.54,3059.87,167156228.02
Position workpieces or materials on equipment.,2.50,8783.15,401702528.49
Assemble products or work aids.,2.23,1977.56,105255338.35
Assemble equipment or components.,2.14,7048.45,423048372.14
Repair tools or equipment.,1.99,12736.03,721295286.96
"Join parts using soldering, welding, or brazing techniques.",1.86,2009.79,170402120.87
Install energy or heating equipment.,1.63,2974.83,155948555.40
Prepare foods or beverages.,1.61,31995.29,1082571953.47
Install plumbing or piping equipment or systems.,1.61,1014.51,39839690.61
Administer emergency medical treatment.,1.58,3236.27,375089325.37
Cut trees or other vegetation.,1.42,3877.13,217778346.85
Operate construction or excavation equipment.,1.22,245.30,14009686.20
"Develop safety standards, policies, or procedures.",1.21,5398.76,518387894.03
Evaluate green technologies or processes.,1.21,618.07,47702385.33
Train others on health or medical topics.,1.11,14933.01,762092897.05
Teach safety procedures or standards to others.,0.99,21.52,1127312.92
Clean medical equipment or facilities.,0.98,1372.10,89067822.51
Transport patients or clients.,0.73,4801.66,219001928.85
Manage agricultural or forestry operations.,0.60,93.39,6406934.89
"Clean tools, equipment, facilities, or work areas.",0.56,34121.48,1398640897.96
Build structures.,0.55,1578.22,93166866.86
Apply protective solutions or coatings.,0.55,360.49,21831365.20
Assist healthcare practitioners during medical procedures.,0.46,572.11,50415224.91
Prepare industrial materials for processing or use.,0.44,290.32,16191301.89
Perform general construction or extraction activities.,0.31,1524.99,138560707.68
Repair workpieces or products.,0.27,161.76,6538219.78
Prepare specimens or materials for testing.,0.25,246.07,11232917.23
Repair vehicle components.,0.17,1602.75,97190691.09
Dispose of waste or debris.,0.14,7231.20,283176462.71
Groom or style hair.,0.00,0.00,0.00
Train animals.,0.00,0.00,0.00
Fit assistive devices to patients or clients.,0.00,0.00,0.00
Tend watercraft.,0.00,0.00,0.00
Supervise activities in correctional facilities.,0.00,0.00,0.00
Hunt animals.,0.00,0.00,0.00
Apply materials to fill gaps or imperfections.,0.00,0.00,0.00
"Clean workpieces, finished products, or other objects.",0.00,0.00,0.00
Climb equipment or structures.,0.00,0.00,0.00
Provide food or beverage services.,0.00,0.00,0.00
Process animal carcasses.,0.00,0.00,0.00
Apply hygienic or cosmetic agents to skin or hair.,0.00,0.00,0.00
"Discuss legal matters with clients, disputants, or legal professionals or staff.",0.00,0.00,0.00
Develop plans for managing or preserving natural resources.,0.00,0.00,0.00
Develop public or community health programs.,0.00,0.00,0.00
Embalm corpses.,0.00,0.00,0.00
Drill holes in earth or materials.,0.00,0.00,0.00
Fabricate medical devices.,0.00,0.00,0.00
Operate agricultural or forestry equipment.,0.00,0.00,0.00
Serve on organizational committees.,0.00,0.00,0.00
Set up protective structures or coverings near work areas.,0.00,0.00,0.00
Sew garments or materials.,0.00,0.00,0.00
Shape materials to create products.,0.00,0.00,0.00
Smooth surfaces of objects or equipment.,0.00,0.00,0.00
Adjust medical equipment to ensure adequate performance.,0.00,0.00,0.00
