category,pct_human_conv,pct_aei_api,pct_microsoft,pct_mcp,rank_human_conv,intop_human_conv,rank_aei_api,intop_aei_api,rank_microsoft,intop_microsoft,rank_mcp,intop_mcp,confidence_count,confidence_tier
Billing and Posting Clerks,36.77,40.60,36.77,63.66,178.00,0,65.00,0,84.00,0,24.00,0,0,None (0/4)
Bioengineers and Biomedical Engineers,40.11,19.99,40.11,35.97,146.00,0,149.00,0,55.00,0,117.00,0,0,None (0/4)
Biological Scientists,42.95,27.90,33.72,23.33,122.00,0,112.00,0,104.00,0,210.00,0,0,None (0/4)
Biological Technicians,44.99,21.33,27.12,39.53,113.00,0,141.00,0,180.00,0,95.00,0,0,None (0/4)
Boilermakers,10.26,11.29,10.26,3.68,402.00,0,212.00,0,391.00,0,411.00,0,0,None (0/4)
"Bookkeeping, Accounting, and Auditing Clerks",59.22,33.02,40.95,68.48,37.00,0,94.00,0,41.00,0,13.00,1,1,Single-source (1/4)
"Brickmasons, Blockmasons, and Stonemasons",13.94,4.43,13.94,4.95,368.00,0,290.00,0,339.00,0,396.00,0,0,None (0/4)
Bridge and Lock Tenders,0.00,0.00,0.00,22.87,436.00,0,346.00,0,436.00,0,218.00,0,0,None (0/4)
Broadcast Announcers and Radio Disc Jockeys,42.82,23.96,42.82,51.10,126.00,0,129.00,0,24.00,0,56.00,0,0,None (0/4)
"Broadcast, Sound, and Lighting Technicians",28.24,12.17,21.21,45.53,238.00,0,202.00,0,250.00,0,73.00,0,0,None (0/4)
Brokerage Clerks,64.96,35.42,46.55,57.14,14.00,1,83.00,0,10.00,1,35.00,0,2,Low (2/4)
Budget Analysts,53.93,7.97,41.32,43.48,59.00,0,243.00,0,39.00,0,79.00,0,0,None (0/4)
Building Cleaning Workers,5.45,0.00,5.45,5.62,423.00,0,346.00,0,418.00,0,388.00,0,0,None (0/4)
Bus and Truck Mechanics and Diesel Engine Specialists,28.48,1.95,27.65,7.78,237.00,0,330.00,0,177.00,0,373.00,0,0,None (0/4)
"Business Teachers, Postsecondary",71.74,53.79,41.75,30.99,5.00,1,26.00,0,34.00,0,150.00,0,1,Single-source (1/4)
"Butchers and Other Meat, Poultry, and Fish Processing Workers",39.41,0.00,39.41,4.02,151.00,0,346.00,0,61.00,0,405.00,0,0,None (0/4)
Buyers and Purchasing Agents,48.91,36.66,35.65,42.93,87.00,0,80.00,0,92.00,0,81.00,0,0,None (0/4)
Cabinetmakers and Bench Carpenters,23.19,0.00,22.01,4.76,281.00,0,346.00,0,236.00,0,399.00,0,0,None (0/4)
Cargo and Freight Agents,37.78,27.20,27.12,48.25,170.00,0,114.00,0,181.00,0,63.00,0,0,None (0/4)
Carpenters,10.71,4.02,10.71,9.98,398.00,0,295.00,0,385.00,0,347.00,0,0,None (0/4)
"Carpet, Floor, and Tile Installers and Finishers",13.01,0.00,13.01,4.89,375.00,0,346.00,0,349.00,0,398.00,0,0,None (0/4)
Cashiers,37.98,11.36,34.80,54.21,168.00,0,211.00,0,98.00,0,41.00,0,0,None (0/4)
"Cement Masons, Concrete Finishers, and Terrazzo Workers",16.02,5.96,12.11,0.58,350.00,0,270.00,0,364.00,0,430.00,0,0,None (0/4)
Chemical Engineers,45.78,0.00,39.30,34.08,106.00,0,346.00,0,62.00,0,129.00,0,0,None (0/4)
"Chemical Processing Machine Setters, Operators, and Tenders",17.34,9.16,17.26,10.00,340.00,0,227.00,0,299.00,0,346.00,0,0,None (0/4)
Chemical Technicians,43.39,26.22,26.80,26.53,121.00,0,118.00,0,186.00,0,188.00,0,0,None (0/4)
Chemists and Materials Scientists,47.71,30.26,30.00,21.93,92.00,0,106.00,0,155.00,0,232.00,0,0,None (0/4)
Chief Executives,37.01,24.36,18.76,24.27,175.00,0,128.00,0,278.00,0,201.00,0,0,None (0/4)
Childcare Workers,35.72,10.07,26.20,11.81,189.00,0,220.00,0,193.00,0,323.00,0,0,None (0/4)
Chiropractors,20.11,20.94,14.75,14.28,313.00,0,143.00,0,332.00,0,298.00,0,0,None (0/4)
Civil Engineers,42.16,7.48,28.96,30.32,132.00,0,247.00,0,166.00,0,155.00,0,0,None (0/4)
"Claims Adjusters, Appraisers, Examiners, and Investigators",36.51,36.68,33.84,23.29,183.00,0,79.00,0,103.00,0,211.00,0,0,None (0/4)
Clergy,62.64,9.73,42.32,15.70,27.00,0,224.00,0,28.00,0,283.00,0,0,None (0/4)
Clinical Laboratory Technologists and Technicians,28.64,18.11,22.47,15.57,236.00,0,162.00,0,231.00,0,284.00,0,0,None (0/4)
Compensation and Benefits Managers,49.93,27.02,21.64,28.89,80.00,0,116.00,0,241.00,0,167.00,0,0,None (0/4)
"Compensation, Benefits, and Job Analysis Specialists",31.86,11.65,15.63,33.34,211.00,0,206.00,0,322.00,0,133.00,0,0,None (0/4)
Compliance Officers,35.35,13.08,27.88,31.95,191.00,0,196.00,0,175.00,0,142.00,0,0,None (0/4)
Computer Hardware Engineers,44.27,38.81,29.05,27.91,118.00,0,68.00,0,163.00,0,175.00,0,0,None (0/4)
Computer Numerically Controlled Tool Operators and Programmers,38.39,15.21,38.39,38.56,160.00,0,178.00,0,68.00,0,101.00,0,0,None (0/4)
Computer Support Specialists,54.87,65.40,43.33,73.73,52.00,0,6.00,1,20.00,1,5.00,1,3,Moderate (3/4)
Computer and Information Analysts,55.63,57.65,43.48,64.72,49.00,0,16.00,1,19.00,1,21.00,0,2,Low (2/4)
Computer and Information Research Scientists,63.59,43.47,33.57,46.05,21.00,0,59.00,0,106.00,0,71.00,0,0,None (0/4)
Computer and Information Systems Managers,54.73,53.35,30.89,45.80,54.00,0,30.00,0,146.00,0,72.00,0,0,None (0/4)
"Computer, Automated Teller, and Office Machine Repairers",36.57,31.73,33.13,26.73,180.00,0,100.00,0,115.00,0,186.00,0,0,None (0/4)
Conservation Scientists and Foresters,30.37,0.00,30.13,20.66,221.00,0,346.00,0,153.00,0,240.00,0,0,None (0/4)
Construction Equipment Operators,4.38,0.00,4.38,3.47,430.00,0,346.00,0,426.00,0,413.00,0,0,None (0/4)
Construction Laborers,11.24,3.60,3.87,0.50,390.00,0,302.00,0,428.00,0,431.00,0,0,None (0/4)
Construction Managers,36.54,23.50,17.16,21.59,182.00,0,131.00,0,303.00,0,234.00,0,0,None (0/4)
Construction and Building Inspectors,26.07,11.41,17.25,26.06,256.00,0,210.00,0,300.00,0,190.00,0,0,None (0/4)
Control and Valve Installers and Repairers,17.02,0.57,17.02,12.57,344.00,0,344.00,0,304.00,0,315.00,0,0,None (0/4)
Conveyor Operators and Tenders,17.23,11.41,11.44,15.71,341.00,0,209.00,0,374.00,0,282.00,0,0,None (0/4)
Cooks,41.43,2.17,33.24,11.47,139.00,0,323.00,0,112.00,0,328.00,0,0,None (0/4)
Correspondence Clerks,49.42,20.69,33.63,51.45,84.00,0,145.00,0,105.00,0,52.00,0,0,None (0/4)
Cost Estimators,54.30,14.31,40.65,38.67,58.00,0,187.00,0,45.00,0,100.00,0,0,None (0/4)
Counselors,42.70,32.16,30.38,23.86,127.00,0,99.00,0,152.00,0,206.00,0,0,None (0/4)
Counter and Rental Clerks and Parts Salespersons,53.16,28.99,42.88,58.01,64.00,0,108.00,0,23.00,0,34.00,0,0,None (0/4)
Couriers and Messengers,22.38,23.59,15.51,29.50,286.00,0,130.00,0,323.00,0,162.00,0,0,None (0/4)
"Court, Municipal, and License Clerks",40.28,20.07,40.28,60.21,145.00,0,148.00,0,52.00,0,31.00,0,0,None (0/4)
Crane and Tower Operators,15.25,0.00,15.25,9.39,358.00,0,346.00,0,326.00,0,355.00,0,0,None (0/4)
Credit Analysts,44.65,37.19,33.24,64.00,114.00,0,75.00,0,113.00,0,22.00,0,0,None (0/4)
"Credit Authorizers, Checkers, and Clerks",35.11,54.10,35.11,50.90,192.00,0,24.00,0,96.00,0,58.00,0,0,None (0/4)
Credit Counselors and Loan Officers,42.57,42.16,33.09,39.22,128.00,0,62.00,0,116.00,0,98.00,0,0,None (0/4)
"Crushing, Grinding, Polishing, Mixing, and Blending Workers",17.10,5.24,12.61,11.46,343.00,0,279.00,0,355.00,0,330.00,0,0,None (0/4)
Customer Service Representatives,71.00,54.54,45.08,63.99,7.00,1,23.00,0,15.00,1,23.00,0,2,Low (2/4)
Cutting Workers,14.35,2.58,13.00,17.14,363.00,0,314.00,0,350.00,0,271.00,0,0,None (0/4)
Dancers and Choreographers,34.66,6.29,29.06,4.39,195.00,0,265.00,0,162.00,0,400.00,0,0,None (0/4)
Data Entry and Information Processing Workers,63.14,42.43,41.34,75.16,24.00,0,61.00,0,38.00,0,2.00,1,1,Single-source (1/4)
Data Scientists,55.83,52.87,41.87,65.22,47.00,0,31.00,0,32.00,0,18.00,1,1,Single-source (1/4)
Database and Network Administrators and Architects,56.63,53.48,41.21,66.00,45.00,0,28.00,0,40.00,0,17.00,1,1,Single-source (1/4)
Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,11.08,3.14,11.08,0.96,394.00,0,308.00,0,379.00,0,427.00,0,0,None (0/4)
Dentists,23.61,13.56,12.50,3.67,277.00,0,194.00,0,359.00,0,412.00,0,0,None (0/4)
"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas",11.95,0.55,11.95,6.63,381.00,0,345.00,0,367.00,0,382.00,0,0,None (0/4)
Designers,52.10,14.54,38.55,39.33,70.00,0,184.00,0,65.00,0,97.00,0,0,None (0/4)
Desktop Publishers,63.36,46.72,43.24,66.96,22.00,0,48.00,0,21.00,0,14.00,1,1,Single-source (1/4)
Detectives and Criminal Investigators,44.02,33.22,34.35,30.96,119.00,0,90.00,0,100.00,0,151.00,0,0,None (0/4)
Diagnostic Related Technologists and Technicians,26.60,7.19,20.01,21.13,253.00,0,251.00,0,264.00,0,237.00,0,0,None (0/4)
Dietitians and Nutritionists,42.31,31.08,40.32,32.90,131.00,0,103.00,0,51.00,0,138.00,0,0,None (0/4)
Dining Room and Cafeteria Attendants and Bartender Helpers,13.34,0.00,13.34,9.62,372.00,0,346.00,0,346.00,0,352.00,0,0,None (0/4)
"Directors, Religious Activities and Education",54.69,25.65,30.60,15.33,56.00,0,121.00,0,147.00,0,286.00,0,0,None (0/4)
Dishwashers,5.27,0.00,5.27,0.00,425.00,0,346.00,0,420.00,0,432.00,0,0,None (0/4)
Dispatchers,36.95,18.89,32.34,54.48,176.00,0,155.00,0,125.00,0,40.00,0,0,None (0/4)
Drafters,46.78,10.20,45.65,50.89,100.00,0,219.00,0,14.00,1,59.00,0,1,Single-source (1/4)
Dredge Operators,0.00,0.00,0.00,10.32,436.00,0,346.00,0,436.00,0,343.00,0,0,None (0/4)
Driver/Sales Workers and Truck Drivers,17.61,11.25,12.33,25.11,337.00,0,214.00,0,361.00,0,194.00,0,0,None (0/4)
"Drywall Installers, Ceiling Tile Installers, and Tapers",11.48,3.16,8.63,4.33,387.00,0,307.00,0,403.00,0,401.00,0,0,None (0/4)
Economists,52.35,46.16,43.95,26.91,68.00,0,53.00,0,18.00,1,181.00,0,1,Single-source (1/4)
Education and Childcare Administrators,28.85,23.22,21.05,24.36,233.00,0,132.00,0,253.00,0,200.00,0,0,None (0/4)
"Education and Library Science Teachers, Postsecondary",69.58,56.76,32.68,31.48,9.00,1,20.00,1,121.00,0,144.00,0,2,Low (2/4)
Electrical and Electronics Engineers,47.49,12.82,37.14,37.46,93.00,0,198.00,0,80.00,0,108.00,0,0,None (0/4)
"Electrical, Electronics, and Electromechanical Assemblers",18.22,6.55,16.53,15.31,328.00,0,260.00,0,313.00,0,287.00,0,0,None (0/4)
Electricians,38.10,14.17,32.95,11.74,167.00,0,188.00,0,119.00,0,325.00,0,0,None (0/4)
Elementary and Middle School Teachers,55.32,38.58,26.23,19.90,51.00,0,69.00,0,192.00,0,248.00,0,0,None (0/4)
Elevator and Escalator Installers and Repairers,8.02,0.00,8.02,12.64,416.00,0,346.00,0,406.00,0,314.00,0,0,None (0/4)
"Eligibility Interviewers, Government Programs",45.25,36.81,37.08,50.05,111.00,0,78.00,0,82.00,0,61.00,0,0,None (0/4)
Embalmers and Crematory Operators,12.07,0.00,10.63,6.72,380.00,0,346.00,0,386.00,0,381.00,0,0,None (0/4)
Emergency Management Directors,26.92,0.00,25.40,18.77,251.00,0,346.00,0,202.00,0,258.00,0,0,None (0/4)
Emergency Medical Technicians and Paramedics,10.79,0.00,10.79,5.40,396.00,0,346.00,0,383.00,0,392.00,0,0,None (0/4)
Engine and Other Machine Assemblers,18.72,7.43,15.25,2.19,322.00,0,248.00,0,325.00,0,420.00,0,0,None (0/4)
"Engineering Technologists and Technicians, Except Drafters",36.22,14.61,33.02,28.64,185.00,0,182.00,0,117.00,0,168.00,0,0,None (0/4)
"Engineering and Architecture Teachers, Postsecondary",69.78,56.81,31.57,28.26,8.00,1,19.00,1,139.00,0,169.00,0,2,Low (2/4)
Entertainment and Recreation Managers,27.96,5.22,27.96,27.98,242.00,0,280.00,0,174.00,0,173.00,0,0,None (0/4)
Environmental Engineers,37.18,4.30,24.74,16.47,173.00,0,293.00,0,208.00,0,278.00,0,0,None (0/4)
Environmental Science and Geoscience Technicians,23.55,13.69,20.94,25.11,279.00,0,192.00,0,255.00,0,193.00,0,0,None (0/4)
Environmental Scientists and Geoscientists,32.06,9.19,26.74,25.92,208.00,0,226.00,0,187.00,0,191.00,0,0,None (0/4)
"Explosives Workers, Ordnance Handling Experts, and Blasters",5.05,0.00,5.05,11.02,427.00,0,346.00,0,423.00,0,335.00,0,0,None (0/4)
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",18.58,0.00,18.58,14.48,324.00,0,346.00,0,280.00,0,296.00,0,0,None (0/4)
Farm and Home Management Educators,36.57,33.10,36.57,31.46,181.00,0,93.00,0,85.00,0,145.00,0,0,None (0/4)
"Farmers, Ranchers, and Other Agricultural Managers",12.11,4.31,12.11,14.74,379.00,0,292.00,0,365.00,0,291.00,0,0,None (0/4)
Fast Food and Counter Workers,35.68,14.49,32.30,17.35,190.00,0,185.00,0,128.00,0,268.00,0,0,None (0/4)
Fence Erectors,8.90,0.00,8.90,3.06,409.00,0,346.00,0,399.00,0,417.00,0,0,None (0/4)
Fiberglass Laminators and Fabricators,10.34,0.00,10.34,0.00,400.00,0,346.00,0,389.00,0,432.00,0,0,None (0/4)
File Clerks,48.59,32.24,38.45,53.04,89.00,0,98.00,0,67.00,0,45.00,0,0,None (0/4)
Financial Analysts and Advisors,44.64,37.52,39.30,48.06,115.00,0,74.00,0,63.00,0,64.00,0,0,None (0/4)
Financial Examiners,18.28,2.30,13.44,21.36,327.00,0,321.00,0,345.00,0,235.00,0,0,None (0/4)
Financial Managers,47.22,60.48,21.01,51.08,97.00,0,12.00,1,254.00,0,57.00,0,1,Single-source (1/4)
Fire Inspectors,17.97,0.00,15.73,22.24,331.00,0,346.00,0,320.00,0,227.00,0,0,None (0/4)
Firefighters,13.47,0.00,13.47,5.76,370.00,0,346.00,0,344.00,0,385.00,0,0,None (0/4)
First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,29.09,18.53,19.18,18.34,229.00,0,158.00,0,273.00,0,260.00,0,0,None (0/4)
First-Line Supervisors of Construction Trades and Extraction Workers,33.04,36.61,19.63,14.00,204.00,0,81.00,0,269.00,0,302.00,0,0,None (0/4)
First-Line Supervisors of Entertainment and Recreation Workers,35.72,20.77,35.72,22.79,188.00,0,144.00,0,90.00,0,219.00,0,0,None (0/4)
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",7.87,3.23,7.87,13.34,417.00,0,306.00,0,408.00,0,308.00,0,0,None (0/4)
First-Line Supervisors of Firefighting and Prevention Workers,3.73,2.77,3.73,15.84,431.00,0,311.00,0,429.00,0,280.00,0,0,None (0/4)
First-Line Supervisors of Law Enforcement Workers,20.80,8.75,19.02,14.10,301.00,0,233.00,0,274.00,0,300.00,0,0,None (0/4)
"First-Line Supervisors of Mechanics, Installers, and Repairers",47.44,22.17,23.24,18.13,95.00,0,139.00,0,223.00,0,262.00,0,0,None (0/4)
First-Line Supervisors of Office and Administrative Support Workers,54.62,38.90,23.83,36.39,57.00,0,67.00,0,219.00,0,115.00,0,0,None (0/4)
First-Line Supervisors of Personal Service Workers,25.33,4.34,22.92,24.84,261.00,0,291.00,0,227.00,0,196.00,0,0,None (0/4)
First-Line Supervisors of Production and Operating Workers,32.25,2.09,31.11,25.05,206.00,0,324.00,0,145.00,0,195.00,0,0,None (0/4)
First-Line Supervisors of Sales Workers,53.56,48.61,23.19,36.72,62.00,0,43.00,0,224.00,0,113.00,0,0,None (0/4)
First-Line Supervisors of Transportation and Material Moving Workers,23.34,9.16,21.63,22.89,280.00,0,228.00,0,243.00,0,217.00,0,0,None (0/4)
Fish and Game Wardens,37.81,0.00,17.84,3.07,169.00,0,346.00,0,293.00,0,416.00,0,0,None (0/4)
Fishing and Hunting Workers,5.81,0.00,5.81,4.30,421.00,0,346.00,0,415.00,0,402.00,0,0,None (0/4)
Flight Attendants,36.73,4.64,33.30,11.59,179.00,0,288.00,0,111.00,0,327.00,0,0,None (0/4)
Food Preparation Workers,35.77,0.00,29.88,9.19,187.00,0,346.00,0,156.00,0,359.00,0,0,None (0/4)
"Food Servers, Nonrestaurant",19.93,6.53,19.01,14.41,315.00,0,262.00,0,275.00,0,297.00,0,0,None (0/4)
Food Service Managers,27.32,14.83,21.43,31.19,249.00,0,180.00,0,247.00,0,147.00,0,0,None (0/4)
Forest and Conservation Technicians,21.02,5.30,16.84,14.63,299.00,0,277.00,0,308.00,0,294.00,0,0,None (0/4)
Forest and Conservation Workers,11.78,0.00,11.78,4.19,383.00,0,346.00,0,371.00,0,403.00,0,0,None (0/4)
"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",20.40,0.00,20.40,11.88,309.00,0,346.00,0,261.00,0,320.00,0,0,None (0/4)
Fundraisers,39.65,14.57,14.44,32.85,149.00,0,183.00,0,335.00,0,139.00,0,0,None (0/4)
Funeral Attendants,38.87,15.40,34.07,16.61,154.00,0,177.00,0,101.00,0,276.00,0,0,None (0/4)
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",23.19,4.44,19.72,22.77,282.00,0,289.00,0,267.00,0,221.00,0,0,None (0/4)
Furniture Finishers,16.17,0.00,16.17,0.62,348.00,0,346.00,0,315.00,0,429.00,0,0,None (0/4)
Gambling Cage Workers,31.39,10.25,31.39,40.31,215.00,0,218.00,0,141.00,0,93.00,0,0,None (0/4)
Gambling Services Workers,44.48,6.52,44.48,44.70,116.00,0,263.00,0,16.00,1,75.00,0,1,Single-source (1/4)
General and Operations Managers,25.56,8.65,17.96,37.07,259.00,0,236.00,0,292.00,0,110.00,0,0,None (0/4)
Glaziers,15.47,0.00,13.62,5.41,357.00,0,346.00,0,343.00,0,391.00,0,0,None (0/4)
"Graders and Sorters, Agricultural Products",10.06,0.00,10.06,11.72,403.00,0,346.00,0,393.00,0,326.00,0,0,None (0/4)
Grounds Maintenance Workers,9.45,0.00,9.45,3.42,407.00,0,346.00,0,397.00,0,414.00,0,0,None (0/4)
Hazardous Materials Removal Workers,9.12,6.63,2.49,9.04,408.00,0,256.00,0,433.00,0,360.00,0,0,None (0/4)
Health Information Technologists and Medical Registrars,38.11,61.91,38.11,51.21,165.00,0,9.00,1,73.00,0,55.00,0,1,Single-source (1/4)
Health Practitioner Support Technologists and Technicians,22.06,6.59,16.57,19.96,292.00,0,257.00,0,312.00,0,246.00,0,0,None (0/4)
"Health Teachers, Postsecondary",58.19,48.19,26.08,22.18,40.00,0,45.00,0,195.00,0,229.00,0,0,None (0/4)
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",27.05,5.70,27.05,20.62,250.00,0,274.00,0,183.00,0,241.00,0,0,None (0/4)
Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,15.83,0.99,15.22,10.92,351.00,0,342.00,0,327.00,0,339.00,0,0,None (0/4)
"Helpers, Construction Trades",11.75,0.00,10.97,1.48,384.00,0,346.00,0,381.00,0,422.00,0,0,None (0/4)
Helpers--Extraction Workers,3.66,0.00,3.66,0.00,432.00,0,346.00,0,430.00,0,432.00,0,0,None (0/4)
Highway Maintenance Workers,3.21,0.00,3.21,0.00,433.00,0,346.00,0,431.00,0,432.00,0,0,None (0/4)
Hoist and Winch Operators,8.77,0.00,8.77,18.80,410.00,0,346.00,0,400.00,0,257.00,0,0,None (0/4)
Home Appliance Repairers,27.39,0.00,23.90,17.77,247.00,0,346.00,0,218.00,0,264.00,0,0,None (0/4)
Home Health and Personal Care Aides,37.73,6.03,17.16,11.91,171.00,0,269.00,0,302.00,0,319.00,0,0,None (0/4)
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",45.62,21.87,42.31,30.32,110.00,0,140.00,0,29.00,0,156.00,0,0,None (0/4)
"Hotel, Motel, and Resort Desk Clerks",42.83,34.94,35.01,47.35,125.00,0,84.00,0,97.00,0,66.00,0,0,None (0/4)
"Human Resources Assistants, Except Payroll and Timekeeping",56.21,67.30,21.97,61.41,46.00,0,5.00,1,238.00,0,30.00,0,1,Single-source (1/4)
Human Resources Managers,46.62,18.65,21.59,31.01,102.00,0,157.00,0,244.00,0,149.00,0,0,None (0/4)
Human Resources Workers,42.93,42.10,19.56,40.72,123.00,0,63.00,0,270.00,0,91.00,0,0,None (0/4)
"Industrial Engineers, Including Health and Safety",42.11,8.75,38.32,25.51,134.00,0,234.00,0,69.00,0,192.00,0,0,None (0/4)
"Industrial Machinery Installation, Repair, and Maintenance Workers",18.84,1.04,18.18,9.58,321.00,0,341.00,0,287.00,0,353.00,0,0,None (0/4)
Industrial Production Managers,13.06,0.65,11.93,24.56,374.00,0,343.00,0,368.00,0,198.00,0,0,None (0/4)
Industrial Truck and Tractor Operators,5.43,0.00,5.43,29.31,424.00,0,346.00,0,419.00,0,164.00,0,0,None (0/4)
"Inspectors, Testers, Sorters, Samplers, and Weighers",20.41,10.96,14.92,14.21,308.00,0,215.00,0,330.00,0,299.00,0,0,None (0/4)
Instructional Coordinators,47.73,61.87,42.62,26.87,91.00,0,10.00,1,26.00,0,183.00,0,1,Single-source (1/4)
Insulation Workers,22.13,2.04,21.32,10.37,290.00,0,327.00,0,249.00,0,342.00,0,0,None (0/4)
Insurance Claims and Policy Processing Clerks,36.27,47.89,36.27,66.20,184.00,0,46.00,0,88.00,0,16.00,1,1,Single-source (1/4)
Insurance Sales Agents,49.96,46.68,31.37,36.68,79.00,0,49.00,0,142.00,0,114.00,0,0,None (0/4)
"Interviewers, Except Eligibility and Loan",59.68,43.61,36.34,52.12,35.00,0,57.00,0,87.00,0,51.00,0,0,None (0/4)
