category,pct_human_conv,pct_microsoft,pct_mcp
Design computer or information systems or applications.,65.96,53.38,72.38
Design databases.,43.25,0.00,84.74
Design electrical or electronic systems or equipment.,33.80,0.00,21.13
Design industrial systems or equipment.,15.96,0.00,34.39
Design materials or devices.,51.12,49.44,29.46
Design structures or facilities.,32.30,0.00,21.59
Determine operational methods or procedures.,60.05,56.84,13.89
Determine resource needs of projects or operations.,51.84,49.44,29.77
Determine values or prices of goods or services.,63.60,52.99,60.12
Develop business or marketing plans.,46.96,0.00,43.16
Develop contingency or emergency response plans.,9.15,0.00,24.86
"Develop educational programs, plans, or procedures.",32.34,0.00,14.08
Develop financial or business plans.,36.25,0.00,40.01
Develop health assessment methods or programs.,2.63,0.00,7.59
Develop marketing or promotional materials.,75.16,53.38,57.94
"Develop models of systems, processes, or products.",57.46,51.30,61.17
"Develop news, entertainment, or artistic content.",62.15,53.38,39.46
Develop operational or technical procedures or standards.,59.56,53.54,37.78
Develop organizational or program goals or objectives.,37.50,0.00,16.41
"Develop organizational policies, systems, or processes.",32.28,0.00,28.75
Develop patient or client care or treatment plans.,43.00,0.00,19.02
Develop plans for managing or preserving natural resources.,4.14,0.00,0.00
Develop professional relationships or networks.,55.98,45.18,38.89
Develop public or community health programs.,30.17,0.00,0.00
Develop recipes or menus.,62.86,56.84,30.74
Develop research plans or methodologies.,35.15,0.00,19.96
"Develop safety standards, policies, or procedures.",6.32,0.00,1.21
Develop scientific or mathematical theories or models.,57.98,49.44,46.74
Develop sustainable organizational or business policies or practices.,20.98,0.00,8.87
Develop systems or practices to mitigate or resolve environmental problems.,7.73,0.00,3.86
Develop technical specifications for products or operations.,62.26,54.92,42.24
Diagnose health conditions or disorders.,11.97,0.00,23.46
Diagnose system or equipment problems.,58.79,54.92,23.27
Direct construction or extraction activities.,13.88,0.00,13.89
Direct legal activities.,7.56,0.00,19.79
"Direct organizational operations, activities, or procedures.",16.98,0.00,16.99
Direct scientific or technical activities.,15.01,0.00,39.44
Direct security or safety activities or operations.,7.43,0.00,10.02
Direct vehicle traffic.,4.25,0.00,7.21
Disassemble equipment.,0.88,0.00,4.88
"Discuss legal matters with clients, disputants, or legal professionals or staff.",18.51,0.00,0.00
Dispose of waste or debris.,0.14,0.00,0.14
"Distribute materials, supplies, or resources.",55.03,49.44,28.55
"Document technical designs, procedures, or activities.",61.10,51.30,65.20
Draft legislation or regulations.,21.43,0.00,38.64
Drill holes in earth or materials.,3.73,0.00,0.00
Edit written materials or documents.,66.85,58.70,64.05
Embalm corpses.,0.00,0.00,0.00
Engrave objects.,0.00,0.00,8.92
Escort others.,20.73,0.00,20.21
Estimate project development or operational costs.,22.02,0.00,17.89
"Evaluate condition of financial assets, property, or other resources.",23.75,0.00,31.37
"Evaluate designs, specifications, or other technical data.",56.16,53.39,38.59
Evaluate green technologies or processes.,4.84,0.00,1.21
Evaluate patient or client condition or treatment options.,18.81,0.00,17.55
Evaluate personnel capabilities or performance.,21.16,0.00,37.00
Evaluate production inputs or outputs.,4.87,0.00,10.71
"Evaluate programs, practices, or processes.",65.01,53.38,31.48
Evaluate project feasibility.,25.98,0.00,43.12
Evaluate scholarly work.,63.34,0.00,55.33
"Evaluate the characteristics, usefulness, or performance of products or technologies.",58.38,54.92,48.72
Evaluate the quality or accuracy of data.,51.40,47.16,43.10
"Examine financial activities, operations, or systems.",15.85,0.00,19.39
Examine materials or documentation for accuracy or compliance.,56.63,49.44,48.75
Examine people or animals to assess health conditions or physical characteristics.,15.16,0.00,4.45
Execute financial transactions.,58.93,53.38,70.32
Explain financial information.,61.92,56.84,38.03
Explain medical information to patients or family members.,53.89,53.57,2.79
"Explain regulations, policies, or procedures.",62.22,58.70,50.98
Explain technical details of products or services.,70.23,61.12,60.70
Fabricate devices or components.,6.47,0.00,3.13
Fabricate medical devices.,5.26,0.00,0.00
Fit assistive devices to patients or clients.,14.15,0.00,0.00
Follow standard healthcare safety procedures to protect patient and staff members.,13.12,0.00,8.61
Gather data about operational or development activities.,57.99,54.92,21.97
Gather information for news stories.,53.38,53.38,67.66
Gather information from physical or electronic sources.,66.74,58.70,62.71
Groom or style hair.,12.52,0.00,0.00
Hunt animals.,0.00,0.00,0.00
Identify business or organizational opportunities.,60.30,49.44,53.79
Implement procedures or processes.,67.86,61.26,24.63
Implement security measures for computer or information systems.,55.09,0.00,81.74
Inspect characteristics or conditions of materials or products.,52.38,51.30,3.71
"Inspect commercial, industrial, or production systems or equipment.",8.95,0.00,7.52
Inspect completed work or finished products.,11.09,0.00,16.58
Inspect facilities or equipment.,7.65,0.00,4.74
Inspect vehicles.,5.75,0.00,3.58
Install commercial or production equipment.,13.03,0.00,5.94
Install energy or heating equipment.,7.61,0.00,1.63
Install plumbing or piping equipment or systems.,7.06,0.00,1.61
"Interpret language, cultural, or religious information for others.",79.52,53.38,44.77
Intervene in crisis situations or emergencies.,10.23,0.00,5.09
Interview people to obtain information.,45.39,40.42,31.57
Investigate criminal or legal matters.,53.10,49.44,22.72
Investigate incidents or accidents.,51.35,51.30,4.66
"Investigate individuals' background, behavior, or activities.",55.23,53.38,51.33
Investigate organizational or operational problems.,53.54,53.38,13.99
Investigate the environmental impact of industrial or development activities.,15.27,0.00,22.07
Issue documentation.,55.41,54.92,49.01
"Join parts using soldering, welding, or brazing techniques.",5.59,0.00,1.86
"Load products, materials, or equipment for transportation or further processing.",5.52,0.00,7.78
Maintain current knowledge in area of expertise.,58.75,55.18,23.47
"Maintain electronic, computer, or other technical equipment.",57.39,54.92,27.93
Maintain facilities or equipment.,55.23,55.17,6.80
Maintain health or medical records.,22.59,0.00,32.88
Maintain medical equipment or instruments.,3.34,0.00,2.54
Maintain operational records.,14.13,0.00,68.58
Maintain safety or security.,45.27,42.58,14.31
Maintain sales or financial records.,21.77,0.00,69.90
Maintain tools or equipment.,6.35,0.00,3.61
Maintain vehicles in working condition.,6.01,0.00,4.45
Make legal decisions.,17.46,0.00,8.89
Manage agricultural or forestry operations.,2.65,0.00,0.60
Manage budgets or finances.,27.98,0.00,46.94
Manage control systems or activities.,0.00,0.00,28.31
Manage human resources activities.,24.90,0.00,33.76
Mark materials or objects for identification.,6.46,0.00,35.37
"Measure physical characteristics of materials, products, or equipment.",53.17,49.44,18.10
Mediate disputes.,17.53,0.00,12.78
Monitor environmental conditions.,9.78,0.00,21.16
Monitor equipment operation.,6.35,0.00,29.59
"Monitor external affairs, trends, or events.",57.10,51.30,53.27
Monitor financial data or activities.,26.71,0.00,36.92
Monitor health conditions of humans or animals.,15.46,0.00,7.88
Monitor individual behavior or performance.,54.64,47.16,14.35
Monitor operation of computer or information technologies.,57.50,49.44,73.30
Monitor operations to ensure adequate performance.,7.08,0.00,28.74
Monitor operations to ensure compliance with regulations or standards.,15.88,0.00,13.35
Monitor resources or inventories.,15.49,0.00,39.99
"Monitor safety or security of work areas, facilities, or properties.",11.49,0.00,17.90
Monitor traffic conditions.,3.80,0.00,20.48
"Move materials, equipment, or supplies.",5.40,0.00,12.05
Negotiate contracts or agreements.,23.12,0.00,27.82
Notify others of emergencies or problems.,8.80,0.00,31.66
Obtain formal documentation or authorization.,54.98,54.92,35.13
Obtain information about goods or services.,70.36,64.44,60.54
Operate agricultural or forestry equipment.,1.73,0.00,0.00
Operate audiovisual or related equipment.,20.79,0.00,56.16
Operate communications equipment or systems.,52.68,51.30,63.58
Operate computer systems or computerized equipment.,64.33,49.44,69.45
Operate construction or excavation equipment.,0.91,0.00,1.22
Operate cutting or grinding equipment.,3.05,0.00,3.29
Operate energy production or distribution equipment.,6.70,0.00,3.16
Operate industrial processing or production equipment.,8.00,0.00,7.54
Operate laboratory or field equipment.,11.34,0.00,15.77
Operate lifting or moving equipment.,0.87,0.00,25.07
Operate medical equipment.,15.59,0.00,19.99
Operate office equipment.,55.62,51.30,64.21
Operate pumping systems or equipment.,6.63,0.00,19.93
Operate transportation equipment or vehicles.,1.41,0.00,7.83
Order medical tests or procedures.,37.90,0.00,16.28
Package objects.,4.92,0.00,15.52
Perform administrative or clerical activities.,65.05,51.15,57.61
Perform agricultural activities.,2.70,0.00,13.69
"Perform athletic activities for fitness, competition, or artistic purposes.",49.81,47.16,3.07
Perform court-related or other legal administrative activities.,11.97,0.00,12.89
Perform general construction or extraction activities.,3.98,0.00,0.31
Perform human resources activities.,23.29,0.00,33.28
Perform recruiting or hiring activities.,31.54,0.00,32.13
Plan events or programs.,66.39,53.38,13.87
Plan work activities.,53.75,51.30,38.13
Position materials or components for assembly.,9.14,0.00,6.31
Position tools or equipment.,6.81,0.00,9.16
Position workpieces or materials on equipment.,7.66,0.00,2.50
"Prepare documentation for contracts, applications, or permits.",64.73,54.92,69.28
"Prepare financial documents, reports, or budgets.",19.30,0.00,35.00
Prepare foods or beverages.,59.49,54.92,1.61
Prepare health or medical documents.,42.95,0.00,43.39
Prepare industrial materials for processing or use.,4.68,0.00,0.44
Prepare informational or instructional materials.,67.31,54.92,42.20
Prepare legal or regulatory documents.,38.10,0.00,35.51
Prepare medical equipment or work areas for use.,11.45,0.00,4.59
Prepare mixtures or solutions.,55.17,54.92,8.73
Prepare proposals or grant applications.,49.50,0.00,43.80
Prepare reports of operational or procedural activities.,20.47,0.00,40.73
Prepare schedules for services or facilities.,16.23,0.00,81.33
Prepare specimens or materials for testing.,18.30,0.00,0.25
Prescribe medical treatments or devices.,8.69,0.00,6.91
Present arts or entertainment performances.,23.05,0.00,13.58
Present information in legal proceedings.,14.16,0.00,3.32
Present research or technical information.,63.21,54.85,56.34
Process animal carcasses.,24.51,0.00,0.00
Process digital or online data.,60.82,49.89,82.95
Process forensic or legal evidence.,10.02,0.00,2.57
Process shipments or mail.,17.26,0.00,44.15
Program computer systems or production equipment.,66.13,58.70,75.82
"Promote products, services, or programs.",62.25,51.30,51.58
Protect people or property from threats such as fires or flooding.,0.00,0.00,3.95
Provide food or beverage services.,18.79,0.00,0.00
"Provide general assistance to others, such as customers, patrons, or motorists.",58.52,51.30,31.65
Provide information or assistance to the public.,62.76,58.74,39.65
"Provide information to guests, clients, or customers.",65.67,58.54,65.31
Provide support or encouragement to others.,48.12,40.42,5.93
Purchase goods or services.,57.00,53.77,30.32
Read documents or materials to inform work processes.,56.78,53.38,14.49
Reconcile financial data.,11.90,0.00,27.71
Record images with photographic or audiovisual equipment.,19.96,0.00,56.88
Record information about environmental conditions.,14.43,0.00,72.26
Record information about legal matters.,23.02,0.00,35.91
Remove workpieces from production equipment.,1.66,0.00,46.52
Repair electrical or electronic equipment.,19.94,0.00,8.81
Repair tools or equipment.,12.73,0.00,1.99
Repair vehicle components.,3.55,0.00,0.17
Repair workpieces or products.,1.74,0.00,0.27
"Replenish inventories of materials, equipment, or products.",15.64,0.00,44.44
Research agricultural processes or practices.,18.47,0.00,9.60
Research biological or ecological phenomena.,57.74,53.38,25.06
Research healthcare issues.,56.83,54.92,19.60
Research historical or social issues.,69.76,53.38,10.42
Research issues related to earth sciences.,55.43,53.38,41.39
"Research laws, precedents, or other legal data.",83.12,53.38,37.86
"Research organizational behavior, processes, or performance.",58.64,51.30,20.58
Research technology designs or applications.,62.01,56.84,29.89
Resolve computer problems.,61.50,56.84,69.97
Resolve personnel or operational problems.,13.82,0.00,10.73
Respond to customer problems or inquiries.,68.08,61.12,51.77
Schedule appointments.,36.17,0.00,94.24
Schedule operational activities.,16.02,0.00,60.40
Select materials or equipment for operations or projects.,55.20,53.22,9.91
Sell products or services.,15.18,0.00,42.84
Serve on organizational committees.,39.24,0.00,0.00
"Set up classrooms, facilities, educational materials, or equipment.",43.63,0.00,3.59
"Set up computer systems, networks, or other information systems.",62.82,55.87,73.40
Set up equipment.,58.38,58.71,7.06
Set up protective structures or coverings near work areas.,0.00,0.00,0.00
Sew garments or materials.,1.75,0.00,0.00
Shape materials to create products.,0.00,0.00,0.00
Signal others to coordinate work activities.,1.79,0.00,8.95
Smooth surfaces of objects or equipment.,0.00,0.00,0.00
Sort materials or products.,20.25,0.00,27.71
Stock supplies or products.,9.66,0.00,18.40
Study details of artistic productions.,67.29,53.38,13.29
Supervise activities in correctional facilities.,0.00,0.00,0.00
Supervise personnel activities.,15.88,0.00,6.57
Take physical measurements of patients or clients.,14.50,0.00,6.12
Teach academic or vocational subjects.,51.52,47.16,16.88
Teach life skills.,52.79,44.98,4.80
Teach safety procedures or standards to others.,41.50,40.42,0.99
Tend watercraft.,0.00,0.00,0.00
Test characteristics of materials or products.,18.13,0.00,10.52
Test performance of computer or information systems.,59.39,49.44,70.97
Test performance of equipment or systems.,52.35,51.30,14.69
Test sites or materials for environmental hazards.,0.07,0.00,32.97
Train animals.,9.27,0.00,0.00
Train others on health or medical topics.,43.34,42.58,1.11
Train others on operational or work procedures.,50.23,44.98,10.03
Train others to use equipment or products.,46.95,42.58,17.76
Transport patients or clients.,0.00,0.00,0.73
"Treat injuries, illnesses, or diseases.",7.05,0.00,8.14
Verify personal information.,49.20,49.44,32.15
Write material for artistic or commercial purposes.,61.37,58.70,61.18
