title_current,pct,skill_similarity,major,job_zone,outlook,emp_nat
Neuropsychologists,28.51,0.88,"Life, Physical, and Social Science Occupations",5.00,4.00,35580.00
Procurement Clerks,77.32,0.88,Office and Administrative Support Occupations,2.00,3.00,59900.00
Human Factors Engineers and Ergonomists,50.87,0.88,Architecture and Engineering Occupations,5.00,4.00,87557.50
"Career/Technical Education Teachers, Postsecondary",42.84,0.88,Educational Instruction and Library Occupations,3.00,4.00,111150.00
Music Directors and Composers,50.89,0.88,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,0.00,12330.00
"Special Education Teachers, Middle School",50.61,0.88,Educational Instruction and Library Occupations,4.00,4.00,95330.00
Human Resources Managers,64.92,0.88,Management Occupations,4.00,5.00,215520.00
Business Intelligence Analysts,95.60,0.88,Computer and Mathematical Occupations,4.00,5.00,122459.00
Forensic Science Technicians,58.06,0.88,"Life, Physical, and Social Science Occupations",3.00,2.00,19450.00
Airfield Operations Specialists,42.91,0.88,Transportation and Material Moving Occupations,3.00,3.00,16640.00
"Education Teachers, Postsecondary",88.37,0.88,Educational Instruction and Library Occupations,5.00,4.00,59090.00
Security Management Specialists,59.51,0.88,Business and Financial Operations Occupations,4.00,4.00,483001.00
First-Line Supervisors of Personal Service Workers,48.69,0.88,Personal Care and Service Occupations,3.00,2.00,107697.71
Lawyers,47.39,0.88,Legal Occupations,5.00,5.00,747750.00
"Compensation, Benefits, and Job Analysis Specialists",53.21,0.88,Business and Financial Operations Occupations,4.00,3.00,102370.00
Intelligence Analysts,77.46,0.88,Protective Service Occupations,4.00,4.00,74090.00
Computer Network Architects,79.00,0.88,Computer and Mathematical Occupations,4.00,5.00,96522.00
Quality Control Systems Managers,33.95,0.88,Management Occupations,4.00,5.00,44992.00
"Directors, Religious Activities and Education",62.70,0.88,Community and Social Service Occupations,4.00,1.00,21460.00
Natural Sciences Managers,57.06,0.88,Management Occupations,5.00,5.00,33044.00
Compliance Officers,46.50,0.88,Business and Financial Operations Occupations,4.00,4.00,18302.00
Dietitians and Nutritionists,53.92,0.88,Healthcare Practitioners and Technical Occupations,5.00,4.00,76570.00
Occupational Health and Safety Specialists,51.29,0.88,"Life, Physical, and Social Science Occupations",4.00,4.00,128430.00
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",45.59,0.88,Architecture and Engineering Occupations,4.00,4.00,10106.00
Postmasters and Mail Superintendents,62.17,0.88,Management Occupations,2.00,3.00,13810.00
Speech-Language Pathologists,46.68,0.88,Healthcare Practitioners and Technical Occupations,5.00,5.00,178790.00
Chief Executives,61.10,0.87,Management Occupations,5.00,5.00,172469.00
Market Research Analysts and Marketing Specialists,92.71,0.87,Business and Financial Operations Occupations,4.00,4.00,430570.00
Urban and Regional Planners,48.09,0.87,"Life, Physical, and Social Science Occupations",5.00,4.00,43040.00
Sales Managers,57.71,0.87,Management Occupations,4.00,5.00,603710.00
Financial Managers,52.40,0.87,Management Occupations,4.00,5.00,18868.00
Architectural and Engineering Managers,67.44,0.87,Management Occupations,5.00,5.00,172102.00
Preventive Medicine Physicians,28.14,0.87,Healthcare Practitioners and Technical Occupations,5.00,2.00,47978.00
Customs Brokers,59.30,0.87,Business and Financial Operations Occupations,3.00,4.00,85752.00
"Transportation, Storage, and Distribution Managers",39.56,0.87,Management Occupations,4.00,5.00,64649.00
Clergy,73.75,0.87,Community and Social Service Occupations,5.00,1.00,58080.00
Chief Sustainability Officers,34.20,0.87,Management Occupations,5.00,5.00,39381.00
General and Operations Managers,52.31,0.87,Management Occupations,4.00,5.00,3584420.00
"Child, Family, and School Social Workers",47.14,0.87,Community and Social Service Occupations,4.00,3.00,382960.00
Optometrists,30.19,0.87,Healthcare Practitioners and Technical Occupations,5.00,4.00,41890.00
"Criminal Justice and Law Enforcement Teachers, Postsecondary",80.29,0.87,Educational Instruction and Library Occupations,5.00,3.00,13560.00
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",38.03,0.87,Educational Instruction and Library Occupations,4.00,3.00,36260.00
Medical Assistants,58.99,0.87,Healthcare Support Occupations,3.00,2.00,793460.00
Nurse Practitioners,49.95,0.87,Healthcare Practitioners and Technical Occupations,5.00,5.00,307390.00
Equal Opportunity Representatives and Officers,36.57,0.87,Business and Financial Operations Occupations,4.00,4.00,63415.00
Librarians and Media Collections Specialists,55.13,0.87,Educational Instruction and Library Occupations,5.00,3.00,131830.00
First-Line Supervisors of Non-Retail Sales Workers,81.86,0.87,Sales and Related Occupations,4.00,4.00,219010.00
Private Detectives and Investigators,66.41,0.87,Protective Service Occupations,3.00,2.00,38700.00
"English Language and Literature Teachers, Postsecondary",81.79,0.87,Educational Instruction and Library Occupations,5.00,4.00,59590.00
Spa Managers,81.10,0.87,Management Occupations,3.00,4.00,4869.00
Food Service Managers,46.49,0.87,Management Occupations,2.00,3.00,244230.00
"Wholesale and Retail Buyers, Except Farm Products",72.85,0.87,Business and Financial Operations Occupations,3.00,4.00,162300.00
School Psychologists,54.91,0.87,"Life, Physical, and Social Science Occupations",5.00,4.00,63830.00
Food Scientists and Technologists,48.90,0.87,"Life, Physical, and Social Science Occupations",4.00,4.00,14370.00
Pharmacists,69.00,0.87,Healthcare Practitioners and Technical Occupations,5.00,5.00,328870.00
Sustainability Specialists,75.53,0.87,Business and Financial Operations Occupations,4.00,4.00,111504.00
Animal Scientists,40.02,0.87,"Life, Physical, and Social Science Occupations",5.00,4.00,2470.00
Regulatory Affairs Specialists,58.47,0.87,Business and Financial Operations Occupations,4.00,4.00,101060.00
Logisticians,65.04,0.87,Business and Financial Operations Occupations,4.00,5.00,69452.00
Telecommunications Engineering Specialists,77.37,0.87,Computer and Mathematical Occupations,3.00,5.00,80488.00
Geographers,71.84,0.87,"Life, Physical, and Social Science Occupations",4.00,2.00,1380.00
Personal Financial Advisors,81.92,0.87,Business and Financial Operations Occupations,4.00,5.00,270480.00
Environmental Compliance Inspectors,44.68,0.87,Business and Financial Operations Occupations,4.00,4.00,33212.00
Conservation Scientists,23.08,0.87,"Life, Physical, and Social Science Occupations",4.00,3.00,5444.00
Occupational Health and Safety Technicians,32.54,0.87,"Life, Physical, and Social Science Occupations",3.00,3.00,31450.00
Compensation and Benefits Managers,66.71,0.87,Management Occupations,4.00,4.00,20070.00
Advertising and Promotions Managers,68.99,0.87,Management Occupations,4.00,3.00,21100.00
Training and Development Managers,88.25,0.87,Management Occupations,4.00,4.00,44960.00
Medical Dosimetrists,49.52,0.87,Healthcare Practitioners and Technical Occupations,4.00,5.00,3970.00
Fitness and Wellness Coordinators,58.23,0.87,Management Occupations,4.00,4.00,5621.00
Database Administrators,84.09,0.87,Computer and Mathematical Occupations,4.00,5.00,49461.98
Podiatrists,23.08,0.87,Healthcare Practitioners and Technical Occupations,5.00,4.00,9520.00
Brownfield Redevelopment Specialists and Site Managers,35.42,0.86,Management Occupations,4.00,4.00,22567.00
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",74.27,0.86,Educational Instruction and Library Occupations,5.00,3.00,11480.00
Security Managers,56.74,0.86,Management Occupations,4.00,5.00,70545.00
"Securities, Commodities, and Financial Services Sales Agents",67.48,0.86,Sales and Related Occupations,4.00,5.00,472300.00
First-Line Supervisors of Food Preparation and Serving Workers,53.71,0.86,Food Preparation and Serving Related Occupations,2.00,2.00,1187460.00
Ophthalmic Medical Technologists,14.15,0.86,Healthcare Practitioners and Technical Occupations,3.00,4.00,3967.00
Neurologists,37.17,0.86,Healthcare Practitioners and Technical Occupations,5.00,0.00,7700.00
Social and Human Service Assistants,42.55,0.86,Community and Social Service Occupations,4.00,2.00,424220.00
Licensed Practical and Licensed Vocational Nurses,36.97,0.86,Healthcare Practitioners and Technical Occupations,3.00,4.00,632430.00
Clinical Research Coordinators,60.10,0.86,Management Occupations,4.00,5.00,51654.00
Investment Fund Managers,92.45,0.86,Management Occupations,5.00,5.00,513192.00
Computer Systems Analysts,80.71,0.86,Computer and Mathematical Occupations,3.00,5.00,403416.00
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",45.80,0.86,Healthcare Practitioners and Technical Occupations,5.00,4.00,96385.00
Editors,69.05,0.86,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,95480.00
Transportation Planners,62.43,0.86,"Life, Physical, and Social Science Occupations",4.00,2.00,36970.00
"Morticians, Undertakers, and Funeral Arrangers",29.57,0.86,Personal Care and Service Occupations,3.00,2.00,25700.00
Occupational Therapy Aides,34.41,0.86,Healthcare Support Occupations,3.00,3.00,5000.00
Patient Representatives,80.85,0.86,Healthcare Practitioners and Technical Occupations,3.00,4.00,117145.00
Orthodontists,31.79,0.86,Healthcare Practitioners and Technical Occupations,5.00,5.00,5150.00
Industrial-Organizational Psychologists,69.78,0.86,"Life, Physical, and Social Science Occupations",5.00,4.00,1050.00
Dietetic Technicians,61.71,0.86,Healthcare Practitioners and Technical Occupations,3.00,1.00,29950.00
"Geography Teachers, Postsecondary",80.73,0.86,Educational Instruction and Library Occupations,5.00,3.00,3290.00
Brokerage Clerks,83.73,0.86,Office and Administrative Support Occupations,3.00,3.00,40090.00
Computer Systems Engineers/Architects,78.42,0.86,Computer and Mathematical Occupations,3.00,5.00,195620.00
Producers and Directors,38.85,0.86,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,4.00,24762.00
Acute Care Nurses,34.37,0.86,Healthcare Practitioners and Technical Occupations,4.00,5.00,495221.00
Diagnostic Medical Sonographers,46.38,0.86,Healthcare Practitioners and Technical Occupations,3.00,5.00,86460.00
Recycling Coordinators,41.10,0.86,Transportation and Material Moving Occupations,2.00,2.00,61568.00
Economists,82.74,0.86,"Life, Physical, and Social Science Occupations",5.00,3.00,10255.00
General Internal Medicine Physicians,22.61,0.86,Healthcare Practitioners and Technical Occupations,5.00,4.00,66640.00
Registered Nurses,40.16,0.86,Healthcare Practitioners and Technical Occupations,4.00,5.00,304558.00
"Administrative Law Judges, Adjudicators, and Hearing Officers",48.50,0.86,Legal Occupations,5.00,4.00,16230.00
Gambling Surveillance Officers and Gambling Investigators,61.84,0.86,Protective Service Occupations,2.00,2.00,10000.00
"Mathematical Science Teachers, Postsecondary",79.60,0.86,Educational Instruction and Library Occupations,5.00,4.00,48820.00
Real Estate Brokers,90.33,0.86,Sales and Related Occupations,4.00,4.00,49590.00
Training and Development Specialists,61.26,0.86,Business and Financial Operations Occupations,4.00,4.00,436610.00
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",43.17,0.86,Educational Instruction and Library Occupations,3.00,2.00,382577.50
Epidemiologists,43.64,0.86,"Life, Physical, and Social Science Occupations",5.00,4.00,11460.00
"Environmental Science and Protection Technicians, Including Health",37.23,0.86,"Life, Physical, and Social Science Occupations",4.00,3.00,39390.00
Environmental Restoration Planners,32.52,0.86,"Life, Physical, and Social Science Occupations",5.00,4.00,7041.00
Physical Therapists,51.85,0.86,Healthcare Practitioners and Technical Occupations,5.00,5.00,248630.00
Chiropractors,38.87,0.86,Healthcare Practitioners and Technical Occupations,5.00,4.00,37630.00
Adapted Physical Education Specialists,38.19,0.85,Educational Instruction and Library Occupations,5.00,4.00,39350.00
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",81.95,0.85,Educational Instruction and Library Occupations,5.00,4.00,11430.00
Obstetricians and Gynecologists,47.07,0.85,Healthcare Practitioners and Technical Occupations,5.00,0.00,19900.00
"History Teachers, Postsecondary",86.42,0.85,Educational Instruction and Library Occupations,5.00,4.00,19860.00
Zoologists and Wildlife Biologists,41.37,0.85,"Life, Physical, and Social Science Occupations",4.00,4.00,16920.00
Search Marketing Strategists,92.03,0.85,Business and Financial Operations Occupations,4.00,4.00,430570.00
Hospitalists,30.16,0.85,Healthcare Practitioners and Technical Occupations,5.00,2.00,34801.00
Orthoptists,23.33,0.85,Healthcare Practitioners and Technical Occupations,5.00,5.00,9887.00
Fundraising Managers,42.87,0.85,Management Occupations,4.00,4.00,58664.44
Pharmacy Technicians,65.11,0.85,Healthcare Practitioners and Technical Occupations,3.00,3.00,487920.00
Surveyors,58.70,0.85,Architecture and Engineering Occupations,4.00,4.00,38663.00
Information Security Analysts,85.91,0.85,Computer and Mathematical Occupations,4.00,5.00,179430.00
"Teaching Assistants, Postsecondary",52.52,0.85,Educational Instruction and Library Occupations,5.00,2.00,155010.00
"Physicians, Pathologists",33.25,0.85,Healthcare Practitioners and Technical Occupations,5.00,2.00,11800.00
Home Health Aides,31.23,0.85,Healthcare Support Occupations,2.00,2.00,1994070.00
Customs and Border Protection Officers,49.67,0.85,Protective Service Occupations,3.00,5.00,528885.00
Retail Loss Prevention Specialists,55.08,0.85,Protective Service Occupations,2.00,2.00,83110.00
Psychiatric Technicians,18.76,0.85,Healthcare Practitioners and Technical Occupations,3.00,2.00,136300.00
Logistics Engineers,65.76,0.85,Business and Financial Operations Occupations,4.00,5.00,88870.00
Chefs and Head Cooks,48.66,0.85,Food Preparation and Serving Related Occupations,3.00,3.00,182320.00
"Preschool Teachers, Except Special Education",52.65,0.85,Educational Instruction and Library Occupations,3.00,2.00,445080.00
Nannies,47.53,0.85,Personal Care and Service Occupations,2.00,2.00,166129.00
Advanced Practice Psychiatric Nurses,51.38,0.85,Healthcare Practitioners and Technical Occupations,5.00,5.00,1031526.00
Residential Advisors,52.60,0.85,Personal Care and Service Occupations,3.00,2.00,82810.00
"Opticians, Dispensing",22.98,0.85,Healthcare Practitioners and Technical Occupations,3.00,2.00,79690.00
"Social Work Teachers, Postsecondary",80.86,0.85,Educational Instruction and Library Occupations,5.00,4.00,13350.00
First-Line Supervisors of Correctional Officers,37.29,0.85,Protective Service Occupations,3.00,4.00,53390.00
Clinical Neuropsychologists,20.03,0.85,"Life, Physical, and Social Science Occupations",5.00,4.00,35580.00
Occupational Therapy Assistants,19.47,0.85,Healthcare Support Occupations,3.00,3.00,47910.00
Statistical Assistants,86.25,0.85,Office and Administrative Support Occupations,4.00,3.00,5900.00
Climate Change Policy Analysts,46.66,0.85,"Life, Physical, and Social Science Occupations",5.00,4.00,21539.00
Detectives and Criminal Investigators,44.48,0.85,Protective Service Occupations,3.00,4.00,18772.00
Computer User Support Specialists,85.45,0.85,Computer and Mathematical Occupations,3.00,5.00,697210.00
Regulatory Affairs Managers,61.99,0.85,Management Occupations,4.00,4.00,194569.00
Orthotists and Prosthetists,16.66,0.85,Healthcare Practitioners and Technical Occupations,5.00,5.00,9930.00
Recreational Therapists,52.32,0.85,Healthcare Practitioners and Technical Occupations,4.00,3.00,15060.00
Respiratory Therapists,21.73,0.85,Healthcare Practitioners and Technical Occupations,3.00,5.00,136420.00
First-Line Supervisors of Security Workers,44.92,0.85,Protective Service Occupations,2.00,3.00,70310.00
Air Traffic Controllers,48.88,0.85,Transportation and Material Moving Occupations,3.00,3.00,22400.00
Environmental Economists,50.36,0.85,"Life, Physical, and Social Science Occupations",5.00,3.00,5625.00
Physical Therapist Assistants,20.60,0.85,Healthcare Support Occupations,3.00,3.00,108010.00
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,34.82,0.85,Transportation and Material Moving Occupations,3.00,2.00,123136.00
Supply Chain Managers,62.92,0.84,Management Occupations,4.00,5.00,148351.00
Athletic Trainers,35.78,0.84,Healthcare Practitioners and Technical Occupations,5.00,3.00,28950.00
"Judges, Magistrate Judges, and Magistrates",24.47,0.84,Legal Occupations,5.00,4.00,25580.00
Clinical Nurse Specialists,49.90,0.84,Healthcare Practitioners and Technical Occupations,5.00,5.00,784864.00
First-Line Supervisors of Production and Operating Workers,45.40,0.84,Production Occupations,3.00,4.00,685140.00
Cardiovascular Technologists and Technicians,33.00,0.84,Healthcare Practitioners and Technical Occupations,3.00,5.00,61180.00
Accountants and Auditors,43.59,0.84,Business and Financial Operations Occupations,4.00,5.00,1448290.00
Endoscopy Technicians,2.95,0.84,Healthcare Support Occupations,2.00,2.00,27713.00
Art Directors,62.92,0.84,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,4.00,50370.00
Construction Managers,55.65,0.84,Management Occupations,4.00,5.00,348330.00
Physical Medicine and Rehabilitation Physicians,16.66,0.84,Healthcare Practitioners and Technical Occupations,5.00,2.00,41196.00
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",81.38,0.84,Sales and Related Occupations,4.00,5.00,236233.00
Petroleum Engineers,32.02,0.84,Architecture and Engineering Occupations,4.00,4.00,18970.00
Psychiatrists,45.10,0.84,Healthcare Practitioners and Technical Occupations,5.00,0.00,24800.00
Urologists,31.25,0.84,Healthcare Practitioners and Technical Occupations,5.00,2.00,19891.00
Sales Engineers,78.04,0.84,Sales and Related Occupations,4.00,4.00,56690.00
Radiologists,48.92,0.84,Healthcare Practitioners and Technical Occupations,5.00,2.00,26290.00
"Environmental Science Teachers, Postsecondary",81.07,0.84,Educational Instruction and Library Occupations,5.00,4.00,7130.00
Funeral Home Managers,38.78,0.84,Management Occupations,3.00,4.00,13120.00
Critical Care Nurses,26.24,0.84,Healthcare Practitioners and Technical Occupations,4.00,5.00,665841.00
Geographic Information Systems Technologists and Technicians,71.61,0.84,Computer and Mathematical Occupations,3.00,5.00,86239.00
"Pediatricians, General",52.93,0.84,Healthcare Practitioners and Technical Occupations,5.00,4.00,42960.00
"Sociology Teachers, Postsecondary",80.41,0.84,Educational Instruction and Library Occupations,5.00,3.00,12380.00
Validation Engineers,47.59,0.84,Architecture and Engineering Occupations,4.00,4.00,87557.50
Childcare Workers,40.53,0.84,Personal Care and Service Occupations,2.00,2.00,354051.00
"Property, Real Estate, and Community Association Managers",68.54,0.84,Management Occupations,4.00,5.00,296640.00
Dermatologists,36.84,0.84,Healthcare Practitioners and Technical Occupations,5.00,2.00,10080.00
Web Administrators,82.27,0.84,Computer and Mathematical Occupations,4.00,5.00,189336.00
Real Estate Sales Agents,82.72,0.84,Sales and Related Occupations,3.00,4.00,190600.00
"Interviewers, Except Eligibility and Loan",76.14,0.84,Office and Administrative Support Occupations,3.00,2.00,157310.00
Park Naturalists,56.39,0.84,"Life, Physical, and Social Science Occupations",4.00,3.00,17599.00
Financial Examiners,34.02,0.84,Business and Financial Operations Occupations,4.00,4.00,62830.00
Industrial Engineers,59.59,0.84,Architecture and Engineering Occupations,4.00,5.00,87557.50
Radio Frequency Identification Device Specialists,62.28,0.84,Architecture and Engineering Occupations,4.00,5.00,27927.00
Insurance Underwriters,61.44,0.84,Business and Financial Operations Occupations,4.00,4.00,107820.00
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",43.41,0.84,Transportation and Material Moving Occupations,2.00,2.00,61568.00
Mental Health Counselors,63.13,0.84,Community and Social Service Occupations,5.00,4.00,161811.67
Family Medicine Physicians,23.99,0.84,Healthcare Practitioners and Technical Occupations,5.00,5.00,107950.00
First-Line Supervisors of Police and Detectives,42.62,0.84,Protective Service Occupations,2.00,5.00,153130.00
Wind Energy Development Managers,29.04,0.84,Management Occupations,4.00,4.00,76053.00
Travel Agents,85.62,0.84,Sales and Related Occupations,3.00,2.00,59150.00
Probation Officers and Correctional Treatment Specialists,45.07,0.84,Community and Social Service Occupations,4.00,4.00,86820.00
Talent Directors,52.22,0.84,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,2.00,57339.00
Soil and Plant Scientists,46.80,0.84,"Life, Physical, and Social Science Occupations",5.00,3.00,16600.00
Precision Agriculture Technicians,64.15,0.83,"Life, Physical, and Social Science Occupations",3.00,2.00,7170.00
Hydroelectric Production Managers,21.25,0.83,Management Occupations,3.00,5.00,31675.00
"Philosophy and Religion Teachers, Postsecondary",83.55,0.83,Educational Instruction and Library Occupations,5.00,3.00,20840.00
Speech-Language Pathology Assistants,35.01,0.83,Healthcare Support Occupations,3.00,2.00,75937.00
Healthcare Social Workers,44.39,0.83,Community and Social Service Occupations,5.00,4.00,185940.00
Industrial Production Managers,45.17,0.83,Management Occupations,4.00,5.00,51505.00
Media Technical Directors/Managers,40.64,0.83,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,2.00,24398.00
Geodetic Surveyors,55.84,0.83,Architecture and Engineering Occupations,4.00,4.00,14417.00
