geo,total_task_emp,Analyzing Data or Information,Assisting and Caring for Others,Coaching and Developing Others,Communicating with People Outside the Organization,"Communicating with Supervisors, Peers, or Subordinates",Controlling Machines and Processes,Developing Objectives and Strategies,Documenting/Recording Information,Establishing and Maintaining Interpersonal Relationships,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Evaluating Information to Determine Compliance with Standards,Getting Information,"Guiding, Directing, and Motivating Subordinates",Handling and Moving Objects,"Identifying Objects, Actions, and Events","Inspecting Equipment, Structures, or Materials",Interpreting the Meaning of Information for Others,"Judging the Qualities of Objects, Services, or People",Making Decisions and Solving Problems,"Monitoring Processes, Materials, or Surroundings",Monitoring and Controlling Resources,"Operating Vehicles, Mechanized Devices, or Equipment","Organizing, Planning, and Prioritizing Work",Performing Administrative Activities,Performing General Physical Activities,Performing for or Working Directly with the Public,Processing Information,Providing Consultation and Advice to Others,Repairing and Maintaining Mechanical Equipment,Resolving Conflicts and Negotiating with Others,Scheduling Work and Activities,Selling or Influencing Others,Staffing Organizational Units,Thinking Creatively,Training and Teaching Others,Updating and Using Relevant Knowledge,Working with Computers
md,3922228.23,4.55,3.56,0.32,2.35,3.76,2.51,1.89,7.23,0.23,1.04,1.10,4.75,7.44,6.15,0.70,3.56,1.95,2.21,3.64,5.53,2.26,0.79,0.40,2.21,7.99,0.97,2.46,3.20,0.81,0.40,0.75,0.78,0.37,6.19,2.94,1.18,1.82
me,835667.24,3.53,4.23,0.42,2.47,3.57,2.64,1.20,7.28,0.15,1.50,0.98,4.32,6.34,8.68,0.64,3.71,1.99,2.26,3.62,5.90,2.29,0.86,0.30,2.61,9.23,0.91,2.58,2.53,0.98,0.35,0.78,0.78,0.31,4.83,3.20,0.90,1.12
mi,5879814.65,3.86,3.78,0.37,2.28,3.68,3.04,1.24,7.29,0.13,1.45,1.05,4.63,6.13,7.96,0.79,3.96,1.98,2.35,3.87,5.51,2.28,0.82,0.37,2.32,9.15,1.01,2.69,2.90,1.01,0.39,0.76,0.81,0.32,4.92,2.86,0.96,1.09
mn,3741452.78,3.93,3.84,0.36,2.37,3.63,3.18,1.40,7.38,0.14,1.35,1.08,4.58,6.18,7.73,0.74,3.65,2.02,2.23,3.84,5.42,2.19,0.83,0.35,2.30,9.44,1.10,2.98,2.77,0.91,0.46,0.70,0.88,0.35,4.81,2.94,0.89,1.07
mo,3837748.56,3.72,3.99,0.40,2.45,3.48,3.01,1.48,7.36,0.13,1.34,1.10,4.40,6.64,8.09,0.73,3.70,2.17,2.23,3.70,5.53,2.32,0.88,0.39,2.27,8.94,1.01,2.83,2.51,0.96,0.37,0.74,0.86,0.35,4.76,2.94,0.97,1.24
ms,1460987.38,3.06,4.24,0.43,2.38,3.46,3.03,1.01,7.24,0.13,1.60,0.95,4.09,5.46,9.61,0.75,4.10,2.16,2.17,3.57,5.77,2.45,1.10,0.34,2.56,10.26,1.11,2.66,2.12,1.07,0.30,0.78,0.80,0.26,3.98,3.16,0.85,0.96
mt,659690.16,3.27,3.94,0.38,2.62,3.59,2.67,1.16,7.02,0.14,1.59,1.03,4.44,6.27,8.59,0.63,3.74,1.95,1.94,3.49,5.51,2.38,0.87,0.37,2.75,10.30,0.98,2.74,2.48,1.05,0.38,0.73,0.87,0.30,4.81,3.12,0.93,0.97
nc,6494317.19,3.99,3.95,0.36,2.20,3.66,2.62,1.45,7.37,0.16,1.36,1.09,4.48,6.24,7.96,0.79,3.80,2.14,2.28,3.73,5.70,2.38,0.83,0.34,2.36,8.52,1.11,2.53,2.86,0.96,0.46,0.74,0.95,0.35,4.98,2.99,1.01,1.31
nd,578642.19,3.17,4.04,0.39,2.38,3.44,3.84,1.16,7.20,0.13,1.52,1.06,4.16,6.15,8.53,0.72,4.11,1.90,1.96,3.53,5.60,2.12,0.99,0.36,2.31,10.75,0.98,3.02,2.22,1.16,0.32,0.65,0.78,0.30,4.15,3.03,0.90,0.97
ne,1360878.98,3.40,3.98,0.35,2.34,3.40,3.05,1.31,7.09,0.14,1.33,1.15,4.13,6.43,8.83,0.77,3.73,2.07,2.24,3.62,5.71,2.27,0.92,0.31,2.38,9.89,0.98,2.75,2.47,0.97,0.40,0.72,0.85,0.38,4.26,3.18,0.92,1.27
nh,891141.95,3.74,4.01,0.39,2.51,3.67,2.64,1.41,7.38,0.14,1.41,1.13,4.21,6.68,7.93,0.69,3.69,2.20,2.34,3.97,5.67,2.24,0.74,0.33,2.46,8.47,1.10,2.70,2.65,0.97,0.43,0.79,0.94,0.32,4.80,3.05,0.95,1.28
nj,5801445.86,4.11,3.69,0.39,2.22,3.56,3.23,1.54,7.66,0.30,1.24,1.18,4.44,6.09,6.86,0.90,3.46,2.10,2.19,3.46,5.82,2.22,0.85,0.31,2.34,9.57,1.02,3.20,2.74,0.81,0.45,0.82,0.81,0.34,4.87,3.09,0.95,1.19
nm,1111943.20,3.40,3.76,0.35,2.73,3.45,3.03,1.21,7.46,0.12,1.41,1.09,4.70,6.18,8.05,0.63,3.80,2.06,1.91,3.45,5.32,2.37,0.82,0.40,2.74,9.81,1.10,2.56,2.55,0.99,0.34,0.87,0.83,0.33,4.97,3.01,0.94,1.23
nv,2114181.80,2.95,3.50,0.28,2.63,3.12,3.89,1.21,7.21,0.24,1.33,0.96,4.02,6.02,8.31,0.82,3.93,1.92,1.65,3.28,5.07,2.22,0.88,0.30,2.62,13.29,1.64,3.44,2.07,0.87,0.39,0.73,0.88,0.30,3.78,2.58,0.84,0.84
ny,11643916.05,3.90,4.12,0.42,2.72,3.80,2.47,1.44,7.45,0.17,1.18,1.13,4.43,6.66,7.05,0.65,3.26,2.16,2.37,3.86,5.75,2.27,0.84,0.31,2.36,8.85,1.13,2.62,2.79,0.82,0.55,0.88,0.86,0.46,4.94,3.26,1.02,1.09
oh,7338100.56,3.63,3.86,0.40,2.35,3.50,3.21,1.22,7.34,0.12,1.34,1.03,4.29,6.14,8.04,0.83,3.83,2.07,2.27,3.85,5.62,2.40,0.89,0.33,2.40,9.91,1.03,2.81,2.56,0.95,0.43,0.72,0.81,0.34,4.60,2.97,0.90,1.05
ok,2240036.34,3.01,3.81,0.35,2.60,3.38,3.67,1.12,7.31,0.10,1.49,1.00,4.37,5.89,8.51,0.80,4.09,2.00,1.92,3.41,5.28,2.27,0.86,0.34,2.53,10.98,1.09,3.30,2.27,1.04,0.36,0.76,0.85,0.34,4.06,3.00,0.78,1.05
or,2535776.37,3.79,3.72,0.37,2.37,3.56,2.86,1.37,7.36,0.16,1.42,1.01,4.45,6.19,8.33,0.76,3.75,1.98,2.13,3.64,5.36,2.37,0.81,0.39,2.47,9.70,0.98,2.69,2.72,0.95,0.38,0.79,0.80,0.37,5.01,2.93,0.96,1.10
pa,8080305.80,3.76,3.89,0.38,2.36,3.62,3.38,1.46,7.41,0.16,1.24,1.11,4.35,6.55,7.33,0.81,3.70,2.04,2.30,3.64,5.66,2.22,0.97,0.32,2.18,9.60,0.98,3.03,2.61,0.85,0.41,0.72,0.79,0.37,4.70,2.92,1.01,1.19
pr,1260457.01,3.39,3.78,0.36,2.64,3.48,2.79,1.23,7.70,0.15,1.46,1.44,4.90,5.91,7.85,0.68,3.63,2.32,1.86,3.51,6.18,2.34,0.93,0.27,2.86,9.90,1.15,2.98,2.46,0.83,0.35,0.79,0.90,0.31,3.99,2.82,0.95,0.92
ri,649331.83,3.71,4.28,0.42,2.49,3.68,2.67,1.33,7.32,0.15,1.33,1.09,4.30,5.89,8.19,0.68,3.59,2.08,2.37,3.62,5.36,2.18,0.69,0.37,2.52,9.74,1.05,2.71,2.69,0.91,0.42,0.83,0.86,0.41,4.90,3.15,0.93,1.11
sc,3062100.09,3.41,3.85,0.34,2.45,3.47,3.56,1.14,7.44,0.10,1.42,0.97,4.23,5.74,8.10,0.85,3.92,2.12,2.07,3.65,5.45,2.24,0.81,0.35,2.48,10.56,1.18,3.11,2.49,0.95,0.44,0.75,0.95,0.29,4.23,2.87,0.90,1.13
sd,597165.55,3.39,4.41,0.42,2.43,3.43,2.65,1.09,7.05,0.07,1.59,1.08,4.06,4.92,9.69,0.68,3.62,2.24,2.23,3.64,5.78,2.49,0.91,0.30,2.87,10.56,1.00,2.67,2.28,1.09,0.39,0.79,0.92,0.23,4.02,2.99,0.82,1.17
tn,4267939.20,3.33,3.64,0.33,2.43,3.65,3.12,1.38,7.43,0.17,1.45,1.21,4.23,6.49,8.04,0.76,3.81,2.10,2.05,3.68,5.55,2.28,0.95,0.34,2.42,9.75,1.12,2.92,2.49,0.98,0.38,0.77,0.82,0.41,4.39,2.88,0.96,1.29
tx,18101677.04,3.68,3.51,0.33,2.55,3.74,2.42,1.50,7.26,0.15,1.36,1.10,4.32,7.24,7.76,0.72,3.65,2.09,2.16,3.82,5.84,2.16,0.89,0.38,2.43,8.91,1.21,2.36,2.73,0.97,0.44,0.73,0.93,0.36,4.96,2.98,0.97,1.40
ut,2261275.80,3.71,3.26,0.32,2.46,3.70,3.06,1.50,7.30,0.16,1.45,1.15,4.40,6.68,8.07,0.77,3.74,2.04,2.09,3.72,5.13,2.11,0.75,0.39,2.16,9.69,1.32,2.93,2.70,0.93,0.43,0.74,0.91,0.38,4.86,2.91,0.92,1.15
va,5506496.29,4.30,3.57,0.34,2.35,3.88,2.47,1.76,7.33,0.18,1.24,1.19,4.77,6.53,7.04,0.74,3.64,2.03,2.15,3.53,5.70,2.14,0.84,0.38,2.29,8.68,1.03,2.52,3.05,0.90,0.40,0.67,0.85,0.39,5.50,3.05,1.08,1.49
vi,46377.45,3.27,3.46,0.40,3.01,3.29,2.50,1.39,6.86,0.18,1.43,1.19,4.29,7.15,8.58,0.63,3.61,1.95,1.75,3.42,5.91,2.32,0.80,0.33,2.79,10.51,0.97,2.66,2.49,0.99,0.36,0.85,0.80,0.33,4.69,2.93,0.95,0.97
vt,404962.99,3.65,4.00,0.49,2.40,3.57,2.49,1.42,7.39,0.19,1.34,1.24,4.83,6.73,7.63,0.63,3.57,2.04,2.41,3.61,6.04,2.22,0.77,0.30,2.37,8.26,0.87,2.41,2.97,0.94,0.35,0.69,0.77,0.41,5.37,3.19,1.12,1.31
wa,4734337.75,4.33,3.44,0.31,2.17,3.82,2.62,1.56,7.18,0.14,1.31,1.03,4.73,6.20,7.71,0.81,3.75,1.86,2.20,3.50,5.54,2.13,0.82,0.38,2.39,8.93,1.06,2.75,2.99,0.88,0.41,0.69,0.85,0.41,5.79,2.84,0.96,1.50
wi,3897296.64,3.40,3.58,0.34,2.06,3.51,3.77,1.15,7.55,0.15,1.53,1.04,4.30,5.85,8.31,0.88,3.89,1.95,2.17,3.69,5.72,2.12,0.90,0.37,2.33,10.37,1.03,3.19,2.50,0.98,0.45,0.73,0.82,0.34,4.26,2.78,0.88,1.14
wv,954851.77,3.64,4.34,0.41,2.15,3.53,3.23,1.40,7.28,0.13,1.38,1.07,4.34,6.46,7.98,0.62,4.00,2.13,2.26,3.54,6.17,2.59,0.88,0.34,2.28,8.74,0.84,2.60,2.50,1.01,0.31,0.75,0.75,0.28,4.70,2.97,1.08,1.33
wy,362132.74,2.98,3.79,0.35,2.36,3.50,3.39,1.08,6.87,0.11,1.64,1.03,4.40,6.28,9.07,0.62,4.29,1.84,1.91,3.45,5.74,2.38,1.05,0.42,2.34,10.34,0.84,2.66,2.25,1.35,0.31,0.73,0.79,0.23,4.49,3.26,0.96,0.89
