category,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,pct_tasks_affected_gap,workers_affected_gap,wages_affected_gap
Physicians,28.16,185568.13,45190102689.34,33.48,223783.80,54608029815.95,5.31,38215.66,9417927126.61
"Shipping, Receiving, and Inventory Clerks",25.81,221355.21,9560331730.44,51.03,437688.09,18903748746.06,25.22,216332.88,9343417015.62
Supervisors of Food Preparation and Serving Workers,39.31,514414.86,23159184446.92,51.97,726447.19,32201720316.43,12.66,212032.32,9042535869.50
Miscellaneous Business Operations Specialists,78.77,711956.00,57860664312.96,89.85,808254.21,65686819524.80,11.08,96298.21,7826155211.84
Entertainment and Recreation Managers,27.96,223959.49,20134171677.46,42.47,308545.54,27737335156.46,14.50,84586.05,7603163479.00
Education and Childcare Administrators,29.27,165670.97,16305880371.26,42.68,240551.89,23568637625.26,13.41,74880.92,7262757254.00
Human Resources Workers,55.45,720138.32,53003602399.55,63.91,817848.85,60148920307.02,8.45,97710.52,7145317907.46
First-Line Supervisors of Office and Administrative Support Workers,68.43,1023367.28,67685511818.04,75.47,1128732.29,74654353675.11,7.05,105365.01,6968841857.06
Database and Network Administrators and Architects,73.02,458465.07,51518765397.32,82.14,521369.00,58386124806.56,9.12,62903.93,6867359409.24
Elementary and Middle School Teachers,61.95,1283592.42,80278337879.88,67.29,1388743.21,86865971911.31,5.34,105150.79,6587634031.42
Lawyers and Judicial Law Clerks,51.55,320917.22,47754314638.08,57.87,363635.30,54125267443.19,6.33,42718.08,6370952805.11
First-Line Supervisors of Production and Operating Workers,32.67,223843.33,15935406585.35,45.40,311051.96,22143788800.06,12.73,87208.63,6208382214.71
Building Cleaning Workers,5.45,273444.22,9794501221.23,11.38,445916.68,15924684593.15,5.93,172472.46,6130183371.92
Fast Food and Counter Workers,37.56,1471484.25,44850839962.60,42.79,1664246.95,50726247158.00,5.23,192762.70,5875407195.40
Billing and Posting Clerks,36.77,153517.97,7241442843.95,66.60,278042.82,13115279680.47,29.83,124524.84,5873836836.52
Computer and Information Analysts,68.66,485517.55,53569191806.58,76.47,538349.04,59130695654.85,7.81,52831.49,5561503848.27
Postal Service Workers,24.08,114360.38,6647298306.45,45.00,209479.50,12164846691.60,20.92,95119.12,5517548385.15
Industrial Production Managers,13.66,36179.93,4393690989.71,31.99,79331.90,9634065782.14,18.32,43151.97,5240374792.43
Cooks,41.44,1093048.45,38321288708.32,46.56,1239391.99,43420697032.27,5.13,146343.54,5099408323.94
Aircraft Pilots and Flight Engineers,19.63,28532.88,5036887618.82,36.07,53954.32,10102297323.85,16.44,25421.43,5065409705.03
Miscellaneous Healthcare Support Occupations,33.00,671118.62,29603211118.39,40.12,784224.01,34519006874.88,7.12,113105.39,4915795756.49
Construction Managers,42.49,148017.55,15834917969.56,55.65,193840.16,20737020338.19,13.15,45822.61,4902102368.63
"Transportation, Storage, and Distribution Managers",29.95,72925.37,7439117037.75,45.69,118920.82,12131112615.06,15.75,45995.45,4691995577.31
"Sales Representatives, Wholesale and Manufacturing",78.18,1260766.67,91662413344.62,82.29,1323081.05,96256130199.67,4.12,62314.38,4593716855.05
Waiters and Waitresses,39.41,907500.77,30637225915.91,45.07,1037900.67,35039526727.19,5.66,130399.91,4402300811.27
First-Line Supervisors of Law Enforcement Workers,24.75,42285.73,4063351618.75,38.39,85170.96,8435669610.82,13.64,42885.23,4372317992.07
Marketing and Sales Managers,66.44,618039.81,92117572666.14,69.03,648728.47,96462085981.36,2.58,30688.66,4344513315.22
"Production, Planning, and Expediting Clerks",46.06,177340.70,10244972523.58,65.36,251620.73,14536129764.05,19.29,74280.03,4291157240.47
Home Health and Personal Care Aides,38.41,1469696.40,51292404247.88,41.70,1592083.73,55563722142.69,3.29,122387.33,4271317894.81
Health Practitioner Support Technologists and Technicians,24.36,324579.60,14235203010.83,31.97,419087.74,18453694269.27,7.61,94508.14,4218491258.44
Public Relations and Fundraising Managers,17.71,22497.09,2965915816.73,45.12,53611.57,7067910512.23,27.42,31114.48,4101994695.49
Management Analysts,69.24,618935.48,62630080896.98,73.77,659462.28,66730988079.74,4.53,40526.80,4100907182.77
Diagnostic Related Technologists and Technicians,28.02,111412.94,9155017868.69,38.93,159274.55,13058579476.68,10.91,47861.61,3903561607.99
Chief Executives,44.87,100059.46,20654273019.43,52.68,118854.84,24534015362.59,7.80,18795.38,3879742343.17
Receptionists and Information Clerks,73.83,712141.63,26513032975.50,84.57,815674.39,30367557375.49,10.73,103532.75,3854524399.99
Secondary School Teachers,56.04,696610.00,44949751821.52,60.40,756133.51,48791150643.97,4.36,59523.52,3841398822.45
Human Resources Managers,52.33,112779.67,15792536636.02,64.92,139914.87,19592279345.16,12.59,27135.20,3799742709.13
Nurse Practitioners,40.41,124217.47,16050138956.60,49.95,153535.03,19838261154.37,9.54,29317.56,3788122197.77
Insurance Claims and Policy Processing Clerks,36.27,83089.99,4025709898.51,69.60,159441.79,7724954724.64,33.33,76351.80,3699244826.13
Grounds Maintenance Workers,9.45,62681.24,2462935791.22,12.41,159556.80,6155134276.93,2.97,96875.55,3692198485.71
Teaching Assistants,30.39,293634.48,11064069936.42,41.28,392170.93,14705264782.03,10.89,98536.45,3641194845.61
Passenger Vehicle Drivers,18.87,127445.54,5735643644.89,28.44,209296.02,9359156475.51,9.58,81850.48,3623512830.62
Automotive Technicians and Repairers,11.89,149308.70,7450516729.45,15.61,222119.59,11067033379.35,3.72,72810.88,3616516649.91
Counter and Rental Clerks and Parts Salespersons,58.32,403582.82,15420408628.09,72.88,497504.78,18991743330.50,14.56,93921.96,3571334702.40
Credit Counselors and Loan Officers,53.03,142972.28,10224512441.85,64.24,190426.04,13682534568.65,11.21,47453.76,3458022126.80
Buyers and Purchasing Agents,57.87,293220.51,22182131844.49,67.33,338666.28,25620103747.31,9.47,45445.76,3437971902.82
Tellers,45.63,154852.43,6091894738.84,71.25,241789.76,9512009108.47,25.62,86937.33,3420114369.62
Packaging and Filling Machine Operators and Tenders,5.10,19588.81,801182325.72,26.56,101944.72,4169539116.19,21.45,82355.91,3368356790.47
Architectural and Engineering Managers,36.79,107491.29,18030588833.12,44.77,127313.21,21355518492.46,7.99,19821.92,3324929659.34
Compliance Officers,37.00,158338.72,12416922349.35,48.26,200655.49,15735403860.97,11.25,42316.78,3318481511.62
"Maintenance and Repair Workers, General",20.80,318519.04,15486395939.01,25.12,384740.02,18706059615.33,4.32,66220.97,3219663676.32
Licensed Practical and Licensed Vocational Nurses,28.83,182337.51,11366920083.06,36.97,233791.65,14574571684.49,8.14,51454.15,3207651601.43
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",27.05,107349.42,6420568548.00,40.24,159714.53,9552525796.67,13.19,52365.11,3131957248.67
Paralegals and Legal Assistants,41.59,152714.69,9317123092.37,55.24,202847.37,12375718252.29,13.65,50132.69,3058595159.92
Therapists,36.20,303069.16,28865435490.90,41.82,336806.05,31912452563.09,5.62,33736.90,3047017072.19
"Industrial Engineers, Including Health and Safety",44.41,172701.10,17541628227.35,51.28,202687.11,20577479345.35,6.87,29986.02,3035851118.01
Miscellaneous Assemblers and Fabricators,13.85,100921.50,4259896514.84,23.36,170292.73,7188056322.14,9.52,69371.23,2928159807.30
Security Guards and Gambling Surveillance Officers,45.39,682476.72,26207176206.00,61.18,756552.35,29063112456.66,15.79,74075.63,2855936250.66
"Substitute Teachers, Short-Term",38.11,183416.55,7056034515.43,52.79,254076.28,9774314447.84,14.68,70659.73,2718279932.41
Counselors,49.20,371820.04,22711571216.27,56.19,420030.03,25427686022.21,7.00,48209.99,2716114805.94
Recreation and Fitness Workers,33.53,203146.52,8313010536.29,42.83,275864.60,11024323921.23,9.30,72718.07,2711313384.94
First-Line Supervisors of Transportation and Material Moving Workers,25.60,87252.55,5154692795.29,37.89,131907.43,7840102977.87,12.28,44654.89,2685410182.58
Police Officers,30.50,270549.71,20644743950.73,35.12,305526.81,23314116936.79,4.62,34977.10,2669372986.05
"Industrial Machinery Installation, Repair, and Maintenance Workers",19.02,146573.48,9320143003.66,24.28,187795.15,11930394577.41,5.26,41221.67,2610251573.74
Occupational Health and Safety Specialists and Technicians,24.35,44578.31,3566322468.53,38.93,76105.03,6125313395.15,14.57,31526.73,2558990926.62
Miscellaneous Production Workers,14.06,48768.00,2111476926.77,23.77,108702.64,4648713966.86,9.71,59934.64,2537237040.08
Electrical and Electronics Engineers,52.13,141793.48,16707192171.26,60.68,163241.91,19210784532.49,8.55,21448.43,2503592361.23
First-Line Supervisors of Construction Trades and Extraction Workers,50.24,396337.54,31187801079.46,54.20,427989.34,33678480934.09,3.96,31651.80,2490679854.63
"Inspectors, Testers, Sorters, Samplers, and Weighers",24.87,146999.73,6976607226.52,33.70,199229.58,9455435955.86,8.83,52229.85,2478828729.33
Computer Support Specialists,81.54,689166.83,43133233356.82,87.77,727067.01,45577952650.36,6.23,37900.17,2444719293.54
Insurance Sales Agents,64.14,301128.79,18179145066.63,72.66,341112.89,20592984919.14,8.52,39984.10,2413839852.51
Data Scientists,70.45,177270.07,19958836925.62,83.97,198701.78,22371833188.54,13.52,21431.71,2412996262.92
"First-Line Supervisors of Mechanics, Installers, and Repairers",48.72,292631.64,22913057143.80,53.83,323324.26,25316289401.60,5.11,30692.62,2403232257.80
Miscellaneous Community and Social Service Specialists,37.99,237419.03,11782268101.08,46.22,280328.14,14140995530.42,8.23,42909.11,2358727429.34
Special Education Teachers,34.17,181235.02,12117249183.70,41.07,217146.81,14472982313.45,6.90,35911.79,2355733129.75
Carpenters,10.71,74719.03,4431585538.72,16.40,114433.36,6787042855.46,5.69,39714.34,2355457316.74
Computer and Information Systems Managers,77.59,501187.58,85803314020.45,79.70,514841.82,88140919092.35,2.11,13654.24,2337605071.91
"Claims Adjusters, Appraisers, Examiners, and Investigators",36.51,106445.71,8173477545.75,43.94,136661.73,10493766077.53,7.43,30216.02,2320288531.78
"Nursing Assistants, Orderlies, and Psychiatric Aides",13.39,216605.68,8574102470.91,17.02,274862.22,10879950327.28,3.63,58256.54,2305847856.37
Miscellaneous Healthcare Diagnosing or Treating Practitioners,23.82,35577.94,3555093906.75,28.64,59797.69,5851754537.72,4.82,24219.74,2296660630.97
Dispatchers,48.18,185782.17,9145604515.94,67.49,231578.36,11430723814.78,19.31,45796.19,2285119298.84
"Engineering Technologists and Technicians, Except Drafters",36.49,137871.70,9846940050.79,43.70,171033.74,12113183329.81,7.20,33162.04,2266243279.02
Food Service Managers,32.93,80413.25,5251789546.25,46.49,113535.72,7415017596.47,13.56,33122.46,2163228050.22
Psychologists,31.69,59380.57,5844449713.72,40.56,82264.38,7957363338.51,8.88,22883.81,2112913624.79
Natural Sciences Managers,42.82,43079.99,6943632374.84,55.41,56147.40,9049838646.16,12.59,13067.42,2106206271.33
"Bailiffs, Correctional Officers, and Jailers",26.56,73245.66,4239279305.87,34.56,109332.88,6330524811.25,8.00,36087.23,2091245505.38
Designers,54.43,330772.36,18785626640.05,61.22,373637.22,20871342302.29,6.79,42864.87,2085715662.24
Customer Service Representatives,84.08,2292070.98,98169400246.92,85.86,2340529.84,100244893194.80,1.78,48458.86,2075492947.88
"Court, Municipal, and License Clerks",40.28,68475.75,3266293406.08,64.37,109428.11,5219721049.52,24.09,40952.36,1953427643.44
Civil Engineers,44.94,157101.87,15645775696.16,50.26,176608.28,17588418898.00,5.32,19506.41,1942643201.84
Drafters,47.15,79133.54,5259278069.49,62.37,108100.17,7175056753.46,15.22,28966.64,1915778683.97
Miscellaneous Entertainment Attendants and Related Workers,34.50,158722.58,4906166857.92,43.46,220791.46,6814909954.70,8.96,62068.88,1908743096.79
Medical Records Specialists,38.67,44484.87,2603321835.45,66.64,76669.01,4486786867.38,27.98,32184.15,1883465031.93
Self-Enrichment Teachers,27.88,86003.10,3920881132.05,41.24,127225.00,5800187906.08,13.36,41221.91,1879306774.03
Pharmacists,64.86,213317.14,29326840635.28,69.00,226927.11,31197939036.71,4.14,13609.97,1871098401.43
Social Workers,44.13,297253.59,18254895147.70,47.35,328416.69,20118461577.68,3.22,31163.10,1863566429.97
Market Research Analysts and Marketing Specialists,89.60,771369.57,59356888087.82,92.24,795459.07,61210575304.10,2.63,24089.50,1853687216.28
First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,36.03,108120.42,5384137794.35,47.52,142140.03,7214024637.37,11.48,34019.61,1829886843.03
Mechanical Engineers,44.01,132202.46,13526956141.94,51.16,149733.81,15320763518.39,7.15,17531.35,1793807376.45
"Health Teachers, Postsecondary",66.01,220811.54,22185772837.14,70.81,237977.40,23922928987.73,4.80,17165.87,1737156150.59
"Broadcast, Sound, and Lighting Technicians",29.95,31040.94,1758264505.63,57.56,61118.81,3476945195.81,27.61,30077.87,1718680690.18
Payroll and Timekeeping Clerks,54.70,85856.48,4747004893.70,73.89,115968.91,6411920880.23,19.19,30112.43,1664915986.53
"Arts, Communications, History, and Humanities Teachers, Postsecondary",74.40,183111.32,14486142464.93,83.01,204079.89,16140661846.84,8.61,20968.57,1654519381.92
Construction and Building Inspectors,26.45,35799.57,2581864672.31,42.99,58495.49,4218695032.29,16.54,22695.93,1636830359.98
Health Information Technologists and Medical Registrars,38.11,43846.82,2565982336.47,61.96,71274.35,4171083126.04,23.84,27427.53,1605100789.57
"Compensation, Benefits, and Job Analysis Specialists",33.65,34446.36,2653058401.21,53.21,54471.95,4195429413.87,19.56,20025.59,1542371012.66
Medical Scientists,37.53,70908.71,7072668295.12,47.98,86258.54,8593671522.56,10.45,15349.82,1521003227.44
Construction Equipment Operators,4.38,43652.81,2559969741.66,7.69,68911.88,4045210924.16,3.31,25259.07,1485241182.50
Public Relations Specialists,83.21,233478.07,16292099523.99,90.67,254407.75,17752573013.38,7.46,20929.69,1460473489.39
Loan Interviewers and Clerks,59.14,102372.56,5011136920.53,76.27,132031.78,6462955746.31,17.13,29659.22,1451818825.78
Purchasing Managers,46.97,38158.94,5323553871.12,59.66,48467.08,6761642960.81,12.69,10308.14,1438089089.69
Bartenders,28.74,214255.67,7183992687.94,34.33,255942.96,8581767358.08,5.59,41687.29,1397774670.14
"Property, Real Estate, and Community Association Managers",61.50,182443.82,12169002476.95,68.54,203326.00,13561844215.74,7.04,20882.18,1392841738.79
First-Line Supervisors of Firefighting and Prevention Workers,3.73,3496.47,323179124.39,19.81,18560.23,1715522272.98,16.08,15063.76,1392343148.58
Miscellaneous Protective Service Workers,37.71,136157.60,5615315429.03,45.18,171376.44,6991013197.64,7.47,35218.84,1375697768.61
"Miscellaneous Life, Physical, and Social Science Technicians",32.25,29833.56,1864996693.99,53.50,52425.44,3234890504.12,21.26,22591.88,1369893810.12
Computer Numerically Controlled Tool Operators and Programmers,38.39,73659.34,3916015839.35,50.56,99724.24,5258399570.43,12.17,26064.90,1342383731.08
Credit Analysts,54.05,36413.65,2948413493.56,78.00,52545.78,4254631649.07,23.95,16132.12,1306218155.51
Printing Workers,22.65,43659.34,1974149238.08,38.14,72777.48,3275571101.03,15.49,29118.13,1301421862.96
"Surveyors, Cartographers, and Photogrammetrists",34.13,20806.81,1542124590.50,59.12,38489.39,2843404279.29,24.99,17682.58,1301279688.80
Preschool and Kindergarten Teachers,52.94,273127.01,11721340897.55,57.97,304554.12,13012377173.42,5.04,31427.11,1291036275.87
Social and Community Service Managers,37.07,72461.71,5669404303.66,45.39,88736.05,6942708600.60,8.32,16274.34,1273304296.94
Librarians and Media Collections Specialists,40.40,53255.85,3425416464.81,55.13,72679.71,4674758880.95,14.73,19423.86,1249342416.14
Water and Wastewater Treatment Plant and System Operators,0.00,0.00,0.00,16.84,21350.61,1243886562.85,16.84,21350.61,1243886562.85
First-Line Supervisors of Entertainment and Recreation Workers,35.72,37003.85,2020043747.65,45.28,59896.32,3232297900.39,9.56,22892.46,1212254152.74
Miscellaneous Engineers,46.97,72104.62,8490319166.25,52.97,82314.38,9692518375.28,6.00,10209.76,1202199209.03
"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",30.20,86886.71,5957233394.29,37.70,103030.90,7134332711.00,7.50,16144.20,1177099316.70
First-Line Supervisors of Personal Service Workers,27.95,30100.48,1569362658.12,48.69,52437.14,2733939214.66,20.74,22336.66,1164576556.53
"Miscellaneous Installation, Maintenance, and Repair Workers",21.04,91931.56,4437884269.40,28.89,114999.20,5577245103.76,7.85,23067.64,1139360834.37
"Hotel, Motel, and Resort Desk Clerks",55.30,144563.49,4954190710.38,67.80,177261.98,6074767972.51,12.51,32698.49,1120577262.13
Bus and Truck Mechanics and Diesel Engine Specialists,28.48,81808.44,4960863952.04,34.68,99613.33,6040552094.08,6.20,17804.88,1079688142.04
Clinical Laboratory Technologists and Technicians,35.52,102076.90,6317539162.78,40.48,119383.08,7388618874.79,4.97,17306.18,1071079712.01
Environmental Scientists and Geoscientists,34.13,41890.56,3518522026.72,46.17,53670.50,4582416798.86,12.03,11779.94,1063894772.14
"Athletes, Coaches, Umpires, and Related Workers",41.18,146912.98,6842201651.30,49.89,170296.89,7897367086.03,8.70,23383.92,1055165434.73
"Actors, Producers, and Directors",36.54,81247.33,6613770691.54,46.47,93817.83,7662598843.35,9.92,12570.50,1048828151.81
"Tax Examiners, Collectors and Preparers, and Revenue Agents",43.59,62813.92,3327701497.44,60.04,81458.66,4370292672.82,16.45,18644.74,1042591175.37
Data Entry and Information Processing Workers,70.94,116189.39,4846582199.54,85.67,140317.78,5852985572.93,14.72,24128.38,1006403373.39
"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",20.50,56956.58,2615216790.81,27.62,78790.50,3614080993.06,7.12,21833.91,998864202.25
"Eligibility Interviewers, Government Programs",55.87,87306.18,4496268439.09,68.18,106540.00,5486809865.37,12.31,19233.81,990541426.28
Animal Caretakers,39.56,109704.22,3671800334.56,50.19,139184.18,4658494398.16,10.63,29479.95,986694063.60
"Miscellaneous First-Line Supervisors, Protective Service Workers",21.55,15150.16,887950655.91,44.92,31584.00,1851138220.87,23.37,16433.84,963187564.96
Reservation and Transportation Ticket Agents and Travel Clerks,50.48,64332.29,2667216715.31,68.47,87254.95,3617590037.22,17.99,22922.66,950373321.91
"Pipelayers, Plumbers, Pipefitters, and Steamfitters",14.89,69682.60,4334806726.00,17.38,84720.09,5275195050.18,2.49,15037.49,940388324.18
"Food Servers, Nonrestaurant",22.31,60632.72,2089403413.16,32.27,87692.93,3021898421.01,9.96,27060.21,932495007.86
Miscellaneous Food Processing Workers,19.12,50477.13,2061713305.34,32.61,72540.58,2967746473.65,13.49,22063.46,906033168.31
"Architects, Except Naval",57.10,79601.15,7549910093.43,63.16,88828.85,8433283587.78,6.07,9227.69,883373494.34
Refuse and Recyclable Material Collectors,8.35,11620.86,561868352.88,21.01,29247.35,1414109300.54,12.66,17626.49,852240947.66
Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,16.31,47412.69,2955872568.08,23.38,61215.40,3807138152.92,7.07,13802.71,851265584.85
Fundraisers,56.91,60288.98,4008614264.65,69.00,73087.38,4859580133.47,12.08,12798.40,850965868.82
Biological Technicians,50.27,38302.56,1991733301.75,71.71,54636.49,2841097223.84,21.44,16333.92,849363922.09
Financial Examiners,19.16,12040.91,1088498449.37,34.02,21377.80,1932552704.42,14.86,9336.88,844054255.05
Miscellaneous Postsecondary Teachers,44.81,45646.95,2946966868.57,56.43,58697.55,3770764027.17,11.62,13050.59,823797158.60
Computer Hardware Engineers,54.59,41333.21,6407474726.49,61.46,46532.55,7213476204.73,6.87,5199.34,806001478.24
Firefighters,13.47,44738.66,2663292419.50,17.36,57665.83,3432846690.40,3.89,12927.17,769554270.90
Cargo and Freight Agents,51.93,50784.30,2534136421.92,67.84,66192.62,3303011639.95,15.91,15408.32,768875218.03
"Meeting, Convention, and Event Planners",60.62,81642.44,4852826612.50,70.12,94424.74,5612606471.33,9.49,12782.30,759779858.83
Miscellaneous Plant and System Operators,17.99,16252.07,1384544048.62,29.47,25489.90,2143901472.21,11.48,9237.83,759357423.59
Food Preparation Workers,35.77,317926.91,10879458743.85,38.18,339344.42,11612365948.67,2.41,21417.51,732907204.83
Pumping Station Operators,11.19,5075.24,329405743.95,47.18,15903.82,1061982277.19,35.99,10828.58,732576533.25
Aerospace Engineers,27.46,18790.65,2533543715.63,35.39,24218.57,3265389996.78,7.93,5427.92,731846281.15
Machinists,31.89,95294.30,5350774710.71,36.25,108308.48,6081521331.29,4.36,13014.19,730746620.58
Childcare Workers,38.28,199719.27,6401002709.32,43.61,222446.01,7129394771.91,5.32,22726.74,728392062.60
Miscellaneous Physical Scientists,39.16,8842.54,1043065923.37,66.30,14970.68,1765941475.45,27.14,6128.14,722875552.08
Air Traffic Controllers and Airfield Operations Specialists,30.46,11819.75,1283533423.91,46.86,18090.13,1988304332.90,16.41,6270.38,704770908.98
"Welding, Soldering, and Brazing Workers",15.71,74151.46,3759913661.39,21.69,88024.04,4453999872.16,5.97,13872.57,694086210.77
Detectives and Criminal Investigators,50.31,66236.55,6198416090.65,59.09,73200.97,6850147208.45,8.78,6964.43,651731117.80
"Power Plant Operators, Distributors, and Dispatchers",17.04,8095.21,843763742.57,31.10,14099.35,1486043968.70,14.06,6004.14,642280226.14
"Electrical, Electronics, and Electromechanical Assemblers",19.96,40230.74,1784612236.30,28.49,54625.94,2425444512.76,8.54,14395.20,640832276.46
Physical Therapist Assistants and Aides,11.70,18660.43,1085152313.90,18.82,29664.63,1713397030.10,7.12,11004.20,628244716.20
Physician Assistants,33.75,61764.45,8230730057.16,38.30,66474.13,8858342105.51,4.56,4709.68,627612048.34
Bill and Account Collectors,71.85,118573.93,5459143524.99,80.11,132199.86,6086481699.54,8.26,13625.94,627338174.55
File Clerks,56.14,44340.80,1829944741.29,74.95,59192.34,2442867822.95,18.80,14851.54,612923081.66
"Musicians, Singers, and Related Workers",25.48,10054.68,773560787.90,39.55,17372.49,1379392069.25,14.07,7317.81,605831281.34
Property Appraisers and Assessors,32.16,20173.23,1319732778.69,47.18,29008.38,1897728273.19,15.02,8835.15,577995494.50
Postmasters and Mail Superintendents,17.28,2386.38,221288647.70,62.17,8584.99,796086577.94,44.89,6198.62,574797930.25
Bakers,25.05,58092.67,2129096246.98,31.70,73507.79,2694060664.54,6.65,15415.13,564964417.56
Instructional Coordinators,49.99,105405.62,7875908194.94,53.52,112856.95,8432671113.95,3.53,7451.32,556762919.01
Laundry and Dry-Cleaning Workers,13.23,25837.60,873311036.19,21.62,42235.55,1427561673.27,8.39,16397.95,554250637.08
Miscellaneous Agricultural Workers,13.37,29403.95,1088407888.90,16.04,44884.41,1641223668.52,2.67,15480.46,552815779.63
"Ushers, Lobby Attendants, and Ticket Takers",37.60,44821.73,1396197036.92,52.29,62332.75,1941665100.76,14.69,17511.01,545468063.83
"Chemical Processing Machine Setters, Operators, and Tenders",26.74,46354.17,2514993755.46,32.29,56313.64,3059711406.03,5.54,9959.48,544717650.57
"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",8.11,23313.86,961230422.48,13.36,36348.91,1499647256.87,5.25,13035.05,538416834.39
Biological Scientists,54.42,72585.04,6763825378.27,59.20,78406.35,7298957146.75,4.78,5821.31,535131768.48
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",54.22,231608.06,7036252853.44,58.31,249060.60,7566460922.92,4.09,17452.54,530208069.47
New Accounts Clerks,46.31,17611.72,820882199.36,75.46,28698.71,1337646758.08,29.15,11086.99,516764558.72
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",24.87,32297.87,1487640079.95,33.39,43354.05,1996887447.83,8.51,11056.17,509247367.88
"Math and Computer Science Teachers, Postsecondary",74.50,61930.08,5411587845.72,80.36,68182.05,5918717338.85,5.86,6251.97,507129493.13
"Interviewers, Except Eligibility and Loan",68.81,108241.73,4744235010.96,76.14,119769.99,5249518588.53,7.33,11528.26,505283577.56
Real Estate Brokers and Sales Agents,82.00,193598.30,11617048611.46,85.18,202460.94,12117484814.87,3.17,8862.64,500436203.40
Surveying and Mapping Technicians,29.73,16862.21,875823086.57,46.50,26374.40,1369886155.36,16.77,9512.19,494063068.79
"Crushing, Grinding, Polishing, Mixing, and Blending Workers",18.57,29729.18,1403124675.18,28.24,40257.92,1893820007.80,9.67,10528.74,490695332.62
"Library Assistants, Clerical",41.44,33179.85,1194806312.83,58.46,46805.55,1685467805.12,17.02,13625.70,490661492.28
"Television, Video, and Film Camera Operators and Editors",57.11,27537.74,1939961669.20,68.87,34569.98,2428762727.19,11.75,7032.23,488801057.98
Writers and Editors,68.83,148719.42,11852281697.39,74.09,155206.11,12339069378.96,5.26,6486.69,486787681.57
Chemists and Materials Scientists,57.20,54229.90,4653920398.28,61.53,59878.99,5132012913.65,4.32,5649.09,478092515.37
