category,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,pct_tasks_affected_gap,workers_affected_gap,wages_affected_gap
"Sales Representatives, Wholesale and Manufacturing",78.18,1260766.67,91662413344.62,82.29,1323081.05,96256130199.67,4.12,62314.38,4593716855.05
Metal Workers and Plastic Workers,19.25,330129.36,16692204438.83,26.72,421153.81,21089359388.57,7.47,91024.45,4397154949.73
Other Protective Service Workers,41.32,847628.77,33304596376.42,50.70,959911.03,37687953935.16,9.37,112282.26,4383357558.74
Other Educational Instruction and Library Occupations,33.06,402791.95,19158035268.19,43.17,510198.47,23438450607.27,10.11,107406.52,4280415339.08
Other Personal Care and Service Workers,37.50,438376.34,16105316421.00,44.77,541864.54,19860161622.09,7.27,103488.20,3754845201.09
Grounds Maintenance Workers,9.45,62681.24,2462935791.22,12.41,159556.80,6155134276.93,2.97,96875.55,3692198485.71
Assemblers and Fabricators,13.95,159312.37,7013445439.37,17.46,244085.07,10637689674.43,3.51,84772.70,3624244235.05
Mathematical Science Occupations,70.68,292097.59,31095562904.41,80.06,323395.31,34499238201.23,9.39,31297.72,3403675296.82
Legal Support Workers,59.81,184594.76,11069889466.27,68.63,238159.20,14317162589.91,8.81,53564.44,3247273123.64
"Life, Physical, and Social Science Technicians",34.58,148382.36,8376508992.31,48.93,204858.80,11552934883.32,14.35,56476.44,3176425891.00
Plant and System Operators,17.23,30533.52,2693450708.56,30.52,71888.80,5697082731.49,13.29,41355.28,3003632022.93
"Entertainers and Performers, Sports and Related Workers",34.29,244031.63,14517768870.05,43.84,288699.45,17287363070.67,9.55,44667.82,2769594200.61
Supervisors of Transportation and Material Moving Workers,25.60,87252.55,5154692795.29,37.89,131907.43,7840102977.87,12.28,44654.89,2685410182.58
Social Scientists and Related Workers,46.81,126690.46,12306949694.03,53.19,155773.33,14957039386.73,6.38,29082.87,2650089692.70
Media and Communication Workers,57.72,462251.54,32798972205.15,68.14,501137.92,35425891570.69,10.42,38886.38,2626919365.53
Entertainment Attendants and Related Workers,38.99,246028.64,7708354107.22,48.79,330577.39,10328900052.40,9.80,84548.75,2620545945.18
Physical Scientists,47.38,124939.20,12143471726.07,59.42,150638.38,14705739480.76,12.04,25699.18,2562267754.70
Occupational Health and Safety Specialists and Technicians,24.35,44578.31,3566322468.53,38.93,76105.03,6125313395.15,14.57,31526.73,2558990926.62
Supervisors of Construction and Extraction Workers,50.24,396337.54,31187801079.46,54.20,427989.34,33678480934.09,3.96,31651.80,2490679854.63
Art and Design Workers,56.19,380836.43,23694050066.93,62.67,427911.29,26179260879.10,6.48,47074.86,2485210812.17
Media and Communication Equipment Workers,47.01,89602.36,5017353109.26,64.60,131485.79,7427796693.89,17.58,41883.43,2410443584.63
"Supervisors of Installation, Maintenance, and Repair Workers",48.72,292631.64,22913057143.80,53.83,323324.26,25316289401.60,5.11,30692.62,2403232257.80
Supervisors of Personal Care and Service Workers,34.80,67104.34,3589406405.77,45.68,112333.46,5966237115.05,10.88,45229.12,2376830709.28
Other Construction and Related Workers,13.41,59939.03,3863087084.16,20.66,93857.31,6224089882.08,7.26,33918.28,2361002797.93
Life Scientists,46.43,169976.60,15795625776.76,51.46,193389.26,18008001593.72,5.03,23412.66,2212375816.96
"Architects, Surveyors, and Cartographers",41.71,100407.96,9092034683.93,60.46,127318.24,11276687867.07,18.74,26910.27,2184653183.14
"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",34.81,186407.05,11634472126.41,41.96,216093.52,13538382856.88,7.15,29686.48,1903910730.47
Other Healthcare Practitioners and Technical Occupations,25.23,67913.28,4124194211.37,31.03,99500.42,5996806442.01,5.80,31587.14,1872612230.65
Supervisors of Building and Grounds Cleaning and Maintenance Workers,36.03,108120.42,5384137794.35,47.52,142140.03,7214024637.37,11.48,34019.61,1829886843.03
Food Processing Workers,24.73,250959.45,9676590691.69,34.41,294347.52,11377821954.21,9.68,43388.07,1701231262.52
Other Sales and Related Workers,71.20,331802.09,20228088447.95,81.02,362384.81,21805176683.19,9.82,30582.72,1577088235.23
"Librarians, Curators, and Archivists",59.23,120701.16,6535311197.69,67.84,147872.63,8102212280.80,8.62,27171.47,1566901083.11
"Textile, Apparel, and Furnishings Workers",13.44,58009.61,2134088087.11,19.97,95268.99,3481315748.14,6.54,37259.38,1347227661.03
Printing Workers,22.65,43659.34,1974149238.08,38.14,72777.48,3275571101.03,15.49,29118.13,1301421862.96
Other Food Preparation and Serving Related Workers,28.11,326061.75,10146895175.03,30.97,358020.81,11151031382.03,2.86,31959.06,1004136206.99
Animal Care and Service Workers,28.62,112671.89,3786797342.91,35.37,142522.66,4787860628.61,6.75,29850.77,1001063285.70
Other Transportation Workers,16.82,64137.21,2574163501.44,27.67,86062.18,3464952835.91,10.85,21924.97,890789334.47
Firefighting and Prevention Workers,15.88,48100.36,2916998282.24,25.39,62686.22,3796495688.69,9.51,14585.86,879497406.45
Occupational Therapy and Physical Therapist Assistants and Aides,15.55,28043.90,1685521194.95,21.73,40714.12,2415236711.39,6.18,12670.21,729715516.44
Agricultural Workers,19.98,36309.56,1399308877.88,24.43,55416.04,2088109427.87,4.45,19106.47,688800549.99
Personal Appearance Workers,26.76,196217.71,7154756448.45,30.90,213912.60,7782353644.45,4.13,17694.88,627597196.00
Rail Transportation Workers,14.26,16910.22,1273859427.93,20.74,23584.49,1778801887.84,6.48,6674.27,504942459.91
Extraction Workers,8.08,14342.47,829558988.35,13.41,22559.75,1322137398.60,5.33,8217.28,492578410.25
Water Transportation Workers,13.23,10648.66,817651744.35,20.98,16605.68,1261240541.18,7.75,5957.01,443588796.83
Woodworkers,24.29,47596.21,2028402689.42,29.84,56979.04,2409384307.67,5.55,9382.84,380981618.25
"Baggage Porters, Bellhops, and Concierges",42.98,38066.57,1408981117.18,51.61,44727.64,1654233938.73,8.62,6661.07,245252821.55
"Supervisors of Farming, Fishing, and Forestry Workers",7.87,2324.66,137921987.11,21.46,6338.33,376053329.01,13.59,4013.68,238131341.89
Communications Equipment Operators,64.32,28004.39,1076103917.50,77.70,32088.96,1233406114.76,13.38,4084.57,157302197.26
Tour and Travel Guides,41.66,21318.12,781522247.53,48.85,24888.01,912394475.97,7.20,3569.89,130872228.44
Funeral Service Workers,21.85,18828.44,750027824.10,26.22,21019.14,860158949.49,4.37,2190.71,110131125.39
Religious Workers,70.41,54827.26,3257364343.88,72.13,56288.35,3342992211.92,1.72,1461.09,85627868.04
"Forest, Conservation, and Logging Workers",11.74,2579.95,125188250.90,17.77,4300.85,208158211.22,6.03,1720.90,82969960.32
"Helpers, Construction Trades",11.75,24299.32,979593380.23,12.18,24609.76,992843963.78,0.43,310.44,13250583.56
Fishing and Hunting Workers,5.81,0.00,0.00,9.29,0.00,0.00,3.48,0.00,0.00
