category,pct_tasks_affected,workers_affected,wages_affected,tier,ceiling_pct,gap_pp,rank
Obtain formal documentation or authorization.,54.98,22277.83,1318537254.48,moderate,54.98,0.00,114
Conduct amusement or gaming activities.,54.92,27493.29,969936490.23,moderate,59.43,4.51,115
Create artistic designs or performances.,54.86,35041.22,2009763325.39,moderate,60.92,6.06,116
Evaluate the quality or accuracy of data.,54.83,813099.49,47417033501.65,moderate,62.26,7.43,117
Care for plants or animals.,54.50,66628.56,2594237588.52,moderate,54.50,0.00,118
Investigate organizational or operational problems.,54.41,23455.29,1890565918.65,moderate,54.74,0.34,119
Determine resource needs of projects or operations.,54.36,374691.05,31260283520.51,moderate,58.82,4.46,120
Inspect characteristics or conditions of materials or products.,54.36,367910.68,19091553223.78,moderate,54.48,0.12,121
Plan work activities.,54.18,350485.16,23609942866.18,moderate,56.71,2.53,122
Collect data about consumer needs or opinions.,54.01,490406.09,23577522445.19,moderate,71.12,17.11,123
Communicate environmental or sustainability information.,53.79,13898.15,1481802587.44,moderate,54.05,0.25,124
"Measure physical characteristics of materials, products, or equipment.",53.59,790917.05,35834406106.11,moderate,55.71,2.11,125
Gather information for news stories.,53.38,5158.31,287772564.65,moderate,68.06,14.68,126
Train others on operational or work procedures.,53.36,1005459.30,68243211075.39,moderate,54.65,1.28,127
Prepare proposals or grant applications.,52.55,78998.31,6208796770.87,moderate,69.41,16.86,128
Monitor financial data or activities.,52.22,332479.66,24384447849.06,moderate,69.25,17.03,129
Design materials or devices.,51.90,16620.39,1499510821.35,moderate,55.99,4.09,130
Apply decorative finishes.,51.61,31263.30,1739988635.93,moderate,52.87,1.27,131
Provide support or encouragement to others.,51.11,258993.19,17780694593.39,moderate,51.11,0.00,132
Alter audio or video recordings.,50.94,11396.85,787639944.54,moderate,84.98,34.04,133
Interview people to obtain information.,50.46,405566.93,29409517377.38,moderate,54.64,4.17,134
Counsel others about personal matters.,50.39,294776.58,15826939981.49,moderate,50.39,0.00,135
Advise others on healthcare or wellness issues.,49.89,136761.19,13443590923.01,moderate,50.34,0.44,136
"Perform athletic activities for fitness, competition, or artistic purposes.",49.81,18945.14,1223333892.34,moderate,49.81,0.00,137
"Set up classrooms, facilities, educational materials, or equipment.",49.74,297538.58,17893751896.64,moderate,52.22,2.48,138
Verify personal information.,49.64,165700.13,11558227338.93,moderate,55.49,5.85,139
Train others to use equipment or products.,48.63,303285.22,19778631254.00,moderate,48.80,0.17,140
Advise others on environmental sustainability or green practices.,48.23,23744.65,2488639355.89,moderate,48.32,0.09,141
Develop patient or client care or treatment plans.,48.22,248847.77,26068557944.39,moderate,54.83,6.62,142
Prepare health or medical documents.,47.63,289224.99,13196890922.65,moderate,64.55,16.91,143
Advise others on workplace health or safety issues.,47.31,15491.90,1243032811.40,moderate,47.78,0.47,144
Maintain safety or security.,46.96,460896.61,21494937171.21,moderate,49.63,2.66,145
"Assess living, work, or social needs or status of individuals or communities.",46.53,94636.88,6688517456.05,moderate,46.53,0.00,146
Develop financial or business plans.,46.27,22172.95,1401806892.68,moderate,62.40,16.13,147
Train others on health or medical topics.,45.25,639129.01,34879677820.36,moderate,45.25,0.00,148
Advocate for individual or community needs.,45.02,20636.49,1412859697.39,moderate,45.24,0.22,149
Develop organizational or program goals or objectives.,44.15,186695.26,24976299891.71,moderate,50.78,6.63,150
Develop research plans or methodologies.,43.62,18192.63,1754538952.54,moderate,53.19,9.57,151
Analyze business or financial risks.,43.05,104268.86,9288016635.42,moderate,69.99,26.94,152
Manage budgets or finances.,42.79,323290.56,46734964905.80,moderate,65.39,22.60,153
Authorize business activities or transactions.,42.20,160808.92,23012583550.66,moderate,60.84,18.64,154
Prepare legal or regulatory documents.,41.77,167530.10,12724170251.42,moderate,58.88,17.10,155
Teach safety procedures or standards to others.,41.50,7481.78,355718850.85,moderate,41.50,0.00,156
Perform recruiting or hiring activities.,40.90,355980.19,28666275165.66,moderate,54.72,13.82,157
Analyze data to improve operations.,40.74,636558.72,69264715689.54,moderate,74.56,33.81,158
Serve on organizational committees.,39.24,14215.33,1310796107.26,moderate,39.24,0.00,159
Collaborate in the development of educational programs.,38.22,80134.89,4710695621.69,moderate,47.05,8.84,160
Order medical tests or procedures.,37.90,37363.17,6003044200.29,moderate,39.78,1.89,161
Design electrical or electronic systems or equipment.,36.96,66101.59,7110379520.42,moderate,47.16,10.21,162
"Develop educational programs, plans, or procedures.",36.69,628428.64,38730675044.42,moderate,41.53,4.84,163
"Develop organizational policies, systems, or processes.",36.62,728812.37,76545134610.64,moderate,54.25,17.63,164
Design structures or facilities.,35.46,61617.20,5955330371.44,moderate,42.32,6.86,165
"Coordinate group, community, or public activities.",35.26,83860.49,6012842002.11,moderate,51.90,16.64,166
"Coordinate activities with clients, agencies, or organizations.",33.80,120092.19,14194662583.11,moderate,46.36,12.56,167
Maintain health or medical records.,33.32,671018.26,54680431936.10,moderate,51.60,18.28,168
Prepare schedules for services or facilities.,31.22,83543.87,3924694026.94,robust,82.12,50.91,169
Develop public or community health programs.,31.16,21807.60,2159316903.70,robust,31.16,0.00,170
Manage human resources activities.,30.74,266980.09,22001500040.56,robust,52.82,22.08,171
Evaluate project feasibility.,30.66,30942.43,5184833603.62,robust,52.71,22.05,172
"Prepare financial documents, reports, or budgets.",30.22,202839.70,17918869618.48,robust,53.10,22.89,173
Negotiate contracts or agreements.,30.13,181633.88,13857322914.95,robust,48.53,18.41,174
Collect information about patients or clients.,29.11,138322.11,11234877726.86,robust,36.79,7.69,175
Direct construction or extraction activities.,28.91,342192.29,31700919090.86,robust,36.06,7.16,176
Maintain sales or financial records.,28.09,689913.97,29696354893.39,robust,75.17,47.08,177
Present arts or entertainment performances.,28.02,31460.45,2484682519.36,robust,35.67,7.65,178
Assign work to others.,27.81,392233.59,22729678310.41,robust,75.29,47.48,179
"Evaluate condition of financial assets, property, or other resources.",26.80,82212.23,6962023874.28,robust,44.44,17.65,180
Operate audiovisual or related equipment.,26.61,219107.53,8726312859.45,robust,65.61,39.00,181
Record information about legal matters.,26.54,50033.08,4359046197.37,robust,57.81,31.27,182
Schedule operational activities.,26.07,165176.92,9837519898.51,robust,66.93,40.86,183
Evaluate personnel capabilities or performance.,25.97,136789.26,15794394921.58,robust,49.18,23.20,184
Perform human resources activities.,25.79,50772.56,3835373092.97,robust,43.93,18.15,185
Evaluate patient or client condition or treatment options.,25.34,190537.68,13675667217.76,robust,35.31,9.96,186
Estimate project development or operational costs.,25.20,73345.21,5567395272.52,robust,33.21,8.01,187
"Discuss legal matters with clients, disputants, or legal professionals or staff.",25.09,8589.19,1026569770.30,robust,25.09,0.00,188
Process animal carcasses.,24.51,21493.01,839949824.79,robust,24.51,0.00,189
Coordinate artistic or entertainment activities.,24.36,37202.63,2142737427.76,robust,35.71,11.35,190
Test characteristics of materials or products.,24.22,63556.15,4007565624.93,robust,30.41,6.18,191
Sort materials or products.,23.87,156435.62,7681286633.21,robust,36.66,12.80,192
Monitor operations to ensure compliance with regulations or standards.,22.81,239267.91,17390094454.76,robust,31.65,8.85,193
Prepare specimens or materials for testing.,22.51,37366.94,2340309472.17,robust,22.76,0.25,194
Repair electrical or electronic equipment.,22.50,123591.75,8098179994.77,robust,27.75,5.25,195
Prepare reports of operational or procedural activities.,22.49,286046.08,22508056341.85,robust,52.63,30.14,196
Make legal decisions.,22.26,1457.11,150823384.39,robust,30.27,8.01,197
Direct scientific or technical activities.,21.89,84571.49,9001606990.66,robust,48.07,26.18,198
Draft legislation or regulations.,21.43,580.25,26001039.71,robust,43.42,21.99,199
Escort others.,21.35,100478.95,3552550984.16,robust,31.85,10.51,200
Maintain operational records.,21.23,1231274.90,78229490621.61,robust,72.96,51.73,201
Record images with photographic or audiovisual equipment.,21.05,2417.93,135189273.80,robust,64.26,43.21,202
Develop sustainable organizational or business policies or practices.,20.98,39262.07,4085825847.17,robust,27.20,6.22,203
Monitor resources or inventories.,20.80,164862.78,10404060772.76,robust,47.52,26.72,204
"Direct organizational operations, activities, or procedures.",20.66,1151934.75,105089164974.34,robust,31.98,11.31,205
Sell products or services.,20.26,210647.78,10783355697.14,robust,52.02,31.76,206
Research agricultural processes or practices.,19.96,1248.55,100353460.59,robust,28.84,8.88,207
Assess compliance with environmental standards or regulations.,19.85,4001.41,287734268.19,robust,22.92,3.07,208
Monitor health conditions of humans or animals.,19.06,302609.46,25067100831.78,robust,22.96,3.90,209
Provide food or beverage services.,18.79,521340.58,16691696293.13,robust,18.79,0.00,210
Mediate disputes.,18.73,27100.78,1561529330.97,robust,25.62,6.89,211
Supervise personnel activities.,18.70,496204.52,34276831087.08,robust,22.42,3.72,212
Operate laboratory or field equipment.,18.63,9581.72,703892138.37,robust,27.07,8.44,213
Investigate the environmental impact of industrial or development activities.,18.25,19196.56,1670692771.05,robust,33.97,15.72,214
Process shipments or mail.,18.18,149604.88,7884941793.98,robust,48.90,30.72,215
Prepare medical equipment or work areas for use.,17.12,62791.68,3566585827.14,robust,18.69,1.58,216
"Examine financial activities, operations, or systems.",16.99,183139.06,10337516436.04,robust,29.70,12.70,217
Confer with healthcare or other professionals about patient care.,16.95,157451.00,12254467556.36,robust,20.61,3.66,218
Operate medical equipment.,16.85,57993.71,6535306118.32,robust,30.95,14.10,219
Analyze environmental or geospatial data.,16.58,7733.85,700351561.89,robust,56.57,39.99,220
Resolve personnel or operational problems.,16.16,41544.72,3593526317.30,robust,21.51,5.36,221
Design industrial systems or equipment.,16.00,22519.15,2358628241.91,robust,40.21,24.21,222
"Replenish inventories of materials, equipment, or products.",15.89,123904.89,8032535466.55,robust,47.15,31.26,223
Examine people or animals to assess health conditions or physical characteristics.,15.16,46555.75,6329755047.41,robust,17.81,2.65,224
Diagnose health conditions or disorders.,15.08,88410.00,9450274500.30,robust,31.92,16.84,225
Collect environmental or biological samples.,14.86,24171.35,1406210545.49,robust,20.37,5.51,226
Install commercial or production equipment.,14.82,108291.13,7466956912.09,robust,17.97,3.15,227
Take physical measurements of patients or clients.,14.50,160.86,5535276.50,robust,20.62,6.12,228
Record information about environmental conditions.,14.43,164.20,8600565.15,robust,72.26,57.84,229
Present information in legal proceedings.,14.16,27519.94,4134830349.86,robust,14.16,0.00,230
Fit assistive devices to patients or clients.,14.15,3220.79,149960142.31,robust,14.15,0.00,231
Coordinate regulatory compliance activities.,14.07,15770.92,1690952211.56,robust,39.25,25.18,232
Collect fares or payments.,14.06,406152.32,17535381248.95,robust,54.03,39.96,233
Collect samples of products or materials.,13.67,6479.37,318685811.01,robust,19.66,6.00,234
Transport patients or clients.,13.40,63809.88,2820396648.97,robust,14.17,0.76,235
"Monitor safety or security of work areas, facilities, or properties.",13.27,174137.05,9351964371.03,robust,28.06,14.79,236
Prescribe medical treatments or devices.,13.25,111008.39,8758040558.02,robust,17.54,4.29,237
Follow standard healthcare safety procedures to protect patient and staff members.,13.12,3784.62,283424451.94,robust,18.97,5.84,238
Repair tools or equipment.,12.73,74565.26,4220116116.74,robust,13.78,1.04,239
Stock supplies or products.,12.73,221149.49,10881654078.78,robust,23.17,10.44,240
Groom or style hair.,12.52,17113.03,603234296.32,robust,12.52,0.00,241
Monitor operations to ensure adequate performance.,12.22,110147.40,8892218758.44,robust,35.54,23.32,242
Reconcile financial data.,12.16,221544.69,9484373758.99,robust,34.08,21.92,243
Perform court-related or other legal administrative activities.,11.97,14877.13,907849879.36,robust,13.61,1.64,244
Inspect completed work or finished products.,11.26,119025.48,6763214625.11,robust,22.72,11.46,245
Assist healthcare practitioners during medical procedures.,11.02,135026.81,6954650181.58,robust,11.48,0.46,246
"Inspect commercial, industrial, or production systems or equipment.",10.98,243537.31,13491668107.78,robust,16.33,5.34,247
Apply hygienic or cosmetic agents to skin or hair.,10.88,23276.62,894858002.46,robust,10.88,0.00,248
Apply materials to fill gaps or imperfections.,10.72,25032.51,1230368757.53,robust,10.72,0.00,249
Mark materials or objects for identification.,10.63,122401.21,4899493778.01,robust,41.03,30.41,250
Adjust medical equipment to ensure adequate performance.,10.59,2792.93,459594822.16,robust,10.59,0.00,251
"Treat injuries, illnesses, or diseases.",10.27,36445.01,5314819376.84,robust,17.42,7.15,252
Intervene in crisis situations or emergencies.,10.23,40595.73,1737462309.60,robust,15.31,5.09,253
Process forensic or legal evidence.,10.02,809.20,75725032.50,robust,13.61,3.59,254
Monitor environmental conditions.,9.94,12136.99,415551935.37,robust,27.29,17.35,255
Evaluate green technologies or processes.,9.86,1677.13,162152628.82,robust,11.07,1.21,256
Position materials or components for assembly.,9.40,130492.07,6903676724.66,robust,11.57,2.17,257
Inspect facilities or equipment.,9.28,54117.36,3952969229.74,robust,13.40,4.12,258
Train animals.,9.27,1055.84,40913788.37,robust,9.27,0.00,259
Develop contingency or emergency response plans.,9.15,2040.48,174430119.84,robust,30.86,21.71,260
Notify others of emergencies or problems.,8.80,144003.64,9273258530.43,robust,39.72,30.93,261
Administer basic health care or medical treatments.,8.52,56906.64,5114355890.35,robust,10.65,2.13,262
Direct legal activities.,8.40,6968.98,435853855.74,robust,25.14,16.75,263
Develop systems or practices to mitigate or resolve environmental problems.,8.21,11763.01,1228889717.76,robust,9.92,1.71,264
Assemble equipment or components.,8.07,20191.18,1230020087.96,robust,9.21,1.14,265
Operate industrial processing or production equipment.,8.01,48836.55,2552286915.45,robust,14.92,6.91,266
Administer diagnostic tests to assess patient health.,7.85,20750.17,1498884628.27,robust,14.72,6.87,267
"Develop safety standards, policies, or procedures.",7.76,5702.87,727599112.29,robust,8.60,0.84,268
Position workpieces or materials on equipment.,7.66,29695.14,1390362483.66,robust,9.69,2.03,269
Install energy or heating equipment.,7.61,18417.30,1041193000.16,robust,7.61,0.00,270
Assist individuals with special needs.,7.54,548859.86,19818197882.82,robust,18.07,10.53,271
Cut materials.,7.48,29240.26,1486847626.16,robust,8.00,0.52,272
Direct security or safety activities or operations.,7.43,1280.88,93591802.39,robust,15.41,7.97,273
Monitor equipment operation.,7.18,173422.06,8026552467.77,robust,35.55,28.37,274
Install plumbing or piping equipment or systems.,7.06,3678.85,156476556.06,robust,7.06,0.00,275
Position tools or equipment.,6.81,3184.97,187063133.21,robust,16.73,9.92,276
Operate energy production or distribution equipment.,6.70,2482.30,230407628.75,robust,9.44,2.75,277
Administer therapeutic treatments.,6.66,25010.65,1813256433.31,robust,8.58,1.92,278
Operate pumping systems or equipment.,6.63,4718.62,215171650.25,robust,24.18,17.56,279
Clean medical equipment or facilities.,6.53,44503.67,2115987478.04,robust,7.23,0.70,280
Fabricate devices or components.,6.47,15046.45,731519801.19,robust,8.29,1.82,281
Maintain tools or equipment.,6.36,83034.46,4481593179.57,robust,8.58,2.22,282
"Move materials, equipment, or supplies.",6.22,86194.90,3064596177.38,robust,18.66,12.44,283
Inspect vehicles.,6.05,26095.61,1507512327.14,robust,9.49,3.44,284
Maintain vehicles in working condition.,6.01,16650.42,770952916.24,robust,10.46,4.45,285
"Join parts using soldering, welding, or brazing techniques.",5.59,18443.13,1152044460.93,robust,5.99,0.40,286
Assess characteristics of land or property.,5.53,40587.24,1984687684.85,robust,29.14,23.61,287
"Load products, materials, or equipment for transportation or further processing.",5.52,20769.10,890347580.35,robust,13.11,7.59,288
Fabricate medical devices.,5.26,3543.65,540957716.99,robust,5.26,0.00,289
Cut trees or other vegetation.,5.25,510.47,23785093.77,robust,6.67,1.42,290
Package objects.,4.92,74320.64,2344979123.04,robust,18.12,13.19,291
Evaluate production inputs or outputs.,4.87,9234.25,567637303.89,robust,13.00,8.13,292
Prepare industrial materials for processing or use.,4.68,11279.26,591308884.41,robust,5.12,0.44,293
Direct vehicle traffic.,4.25,8438.11,318334889.29,robust,11.46,7.21,294
Perform general construction or extraction activities.,4.20,47411.01,2284940309.21,robust,4.51,0.31,295
Develop plans for managing or preserving natural resources.,4.14,2652.29,335592424.57,robust,4.14,0.00,296
Maintain medical equipment or instruments.,4.03,11039.93,863999529.15,robust,6.58,2.54,297
Apply protective solutions or coatings.,3.85,13871.65,580253870.01,robust,3.85,0.00,298
Monitor traffic conditions.,3.80,2858.02,99973702.25,robust,24.28,20.48,299
Drill holes in earth or materials.,3.73,2649.09,105362240.79,robust,3.73,0.00,300
Repair vehicle components.,3.55,21987.43,1169915163.67,robust,3.55,0.00,301
"Clean tools, equipment, facilities, or work areas.",3.35,183991.80,7762690283.80,robust,3.51,0.17,302
"Clean workpieces, finished products, or other objects.",3.28,6680.78,322252513.69,robust,3.28,0.00,303
Operate cutting or grinding equipment.,3.05,2701.74,114086794.15,robust,6.34,3.29,304
Perform agricultural activities.,2.70,964.15,34825202.46,robust,16.38,13.69,305
Manage agricultural or forestry operations.,2.65,457.67,25366631.43,robust,2.65,0.00,306
Develop health assessment methods or programs.,2.63,2821.13,177731086.73,robust,8.77,6.14,307
Signal others to coordinate work activities.,1.79,2126.13,92812756.18,robust,10.34,8.55,308
Sew garments or materials.,1.75,536.52,21922080.38,robust,1.75,0.00,309
Repair workpieces or products.,1.74,665.38,33061284.43,robust,1.74,0.00,310
Operate agricultural or forestry equipment.,1.73,12072.18,481628361.77,robust,1.73,0.00,311
Remove workpieces from production equipment.,1.66,1323.79,60873056.34,robust,47.10,45.44,312
Build structures.,1.47,3877.39,208531873.12,robust,1.75,0.28,313
Operate transportation equipment or vehicles.,1.41,20272.44,1486951738.74,robust,9.36,7.95,314
Administer emergency medical treatment.,1.18,112.63,7321831.28,robust,2.76,1.58,315
Operate construction or excavation equipment.,0.91,1388.23,68217586.56,robust,2.13,1.22,316
Disassemble equipment.,0.88,1102.42,72941935.38,robust,5.75,4.88,317
Assemble products or work aids.,0.87,2066.28,86858636.45,robust,2.58,1.72,318
Operate lifting or moving equipment.,0.87,476.14,25929393.48,robust,26.08,25.21,319
