element_name,avg_score,ai_score,type,job_zone,group
Monitoring,10.54,10.53,skills,3,high_risk
Negotiation,9.50,9.25,skills,3,high_risk
Operations Analysis,10.56,9.32,skills,3,high_risk
Persuasion,11.23,9.91,skills,3,high_risk
Reading Comprehension,13.84,14.64,skills,3,high_risk
Service Orientation,10.38,8.71,skills,3,high_risk
Social Perceptiveness,11.45,10.16,skills,3,high_risk
Speaking,13.00,13.74,skills,3,high_risk
Systems Analysis,9.00,9.98,skills,3,high_risk
Time Management,10.31,8.62,skills,3,high_risk
Writing,11.36,13.86,skills,3,high_risk
Administration and Management,12.01,12.47,knowledge,3,high_risk
Administrative,20.62,13.46,knowledge,3,high_risk
Communications and Media,14.22,14.98,knowledge,3,high_risk
Computers and Electronics,15.06,16.82,knowledge,3,high_risk
Customer and Personal Service,17.99,14.88,knowledge,3,high_risk
Design,21.34,15.00,knowledge,3,high_risk
Economics and Accounting,13.84,14.47,knowledge,3,high_risk
Education and Training,12.28,18.79,knowledge,3,high_risk
English Language,14.82,16.99,knowledge,3,high_risk
Fine Arts,14.84,20.76,knowledge,3,high_risk
Mathematics,14.11,14.52,knowledge,3,high_risk
Medicine and Dentistry,16.41,13.41,knowledge,3,high_risk
Personnel and Human Resources,19.45,12.95,knowledge,3,high_risk
Production and Processing,13.00,9.51,knowledge,3,high_risk
Public Safety and Security,7.91,9.10,knowledge,3,high_risk
Sales and Marketing,9.54,19.48,knowledge,3,high_risk
Therapy and Counseling,9.42,15.97,knowledge,3,high_risk
Active Learning,12.27,12.35,skills,4,high_risk
Active Listening,14.46,13.05,skills,4,high_risk
Complex Problem Solving,10.89,11.05,skills,4,high_risk
Coordination,9.84,8.69,skills,4,high_risk
Critical Thinking,14.11,12.37,skills,4,high_risk
Instructing,12.08,13.59,skills,4,high_risk
Judgment and Decision Making,10.50,10.85,skills,4,high_risk
Learning Strategies,11.11,13.46,skills,4,high_risk
Management of Personnel Resources,10.14,9.14,skills,4,high_risk
Mathematics,12.84,11.83,skills,4,high_risk
Monitoring,11.64,10.53,skills,4,high_risk
Negotiation,9.96,9.25,skills,4,high_risk
Operations Monitoring,9.00,5.57,skills,4,high_risk
Persuasion,10.98,9.91,skills,4,high_risk
Programming,11.13,14.22,skills,4,high_risk
Reading Comprehension,16.23,14.64,skills,4,high_risk
Science,12.28,12.31,skills,4,high_risk
Service Orientation,10.39,8.71,skills,4,high_risk
Social Perceptiveness,11.88,10.16,skills,4,high_risk
Speaking,13.82,13.74,skills,4,high_risk
Systems Analysis,9.78,9.98,skills,4,high_risk
Systems Evaluation,9.86,10.22,skills,4,high_risk
Time Management,9.67,8.62,skills,4,high_risk
Writing,13.48,13.86,skills,4,high_risk
Administration and Management,12.39,12.47,knowledge,4,high_risk
Administrative,13.74,13.46,knowledge,4,high_risk
Biology,25.43,16.27,knowledge,4,high_risk
Chemistry,12.52,12.59,knowledge,4,high_risk
Communications and Media,19.76,14.98,knowledge,4,high_risk
Computers and Electronics,15.86,16.82,knowledge,4,high_risk
Customer and Personal Service,16.24,14.88,knowledge,4,high_risk
Design,11.05,15.00,knowledge,4,high_risk
Economics and Accounting,11.75,14.47,knowledge,4,high_risk
Education and Training,14.17,18.79,knowledge,4,high_risk
Engineering and Technology,10.30,14.86,knowledge,4,high_risk
English Language,19.73,16.99,knowledge,4,high_risk
Fine Arts,15.11,20.76,knowledge,4,high_risk
Foreign Language,20.07,21.48,knowledge,4,high_risk
Law and Government,8.35,12.41,knowledge,4,high_risk
Mathematics,14.97,14.52,knowledge,4,high_risk
Medicine and Dentistry,8.39,13.41,knowledge,4,high_risk
Personnel and Human Resources,21.20,12.95,knowledge,4,high_risk
Production and Processing,15.95,9.51,knowledge,4,high_risk
Psychology,13.02,14.54,knowledge,4,high_risk
Public Safety and Security,7.74,9.10,knowledge,4,high_risk
Sales and Marketing,11.23,19.48,knowledge,4,high_risk
Telecommunications,19.36,14.44,knowledge,4,high_risk
Active Learning,15.64,12.35,skills,5,high_risk
Active Listening,17.06,13.05,skills,5,high_risk
Complex Problem Solving,13.20,11.05,skills,5,high_risk
Coordination,9.47,8.69,skills,5,high_risk
Critical Thinking,17.03,12.37,skills,5,high_risk
Instructing,14.63,13.59,skills,5,high_risk
Judgment and Decision Making,13.13,10.85,skills,5,high_risk
Learning Strategies,14.80,13.46,skills,5,high_risk
Management of Financial Resources,10.14,9.72,skills,5,high_risk
Mathematics,16.61,11.83,skills,5,high_risk
Monitoring,12.23,10.53,skills,5,high_risk
Persuasion,9.94,9.91,skills,5,high_risk
Reading Comprehension,19.67,14.64,skills,5,high_risk
Science,14.74,12.31,skills,5,high_risk
Service Orientation,9.46,8.71,skills,5,high_risk
Social Perceptiveness,10.04,10.16,skills,5,high_risk
Speaking,17.76,13.74,skills,5,high_risk
Systems Analysis,11.03,9.98,skills,5,high_risk
Systems Evaluation,10.92,10.22,skills,5,high_risk
Time Management,10.33,8.62,skills,5,high_risk
Writing,17.89,13.86,skills,5,high_risk
Administration and Management,16.72,12.47,knowledge,5,high_risk
Administrative,14.01,13.46,knowledge,5,high_risk
Biology,16.61,16.27,knowledge,5,high_risk
Chemistry,15.56,12.59,knowledge,5,high_risk
Communications and Media,12.46,14.98,knowledge,5,high_risk
Computers and Electronics,16.46,16.82,knowledge,5,high_risk
Customer and Personal Service,15.16,14.88,knowledge,5,high_risk
Economics and Accounting,24.02,14.47,knowledge,5,high_risk
Education and Training,19.91,18.79,knowledge,5,high_risk
Engineering and Technology,19.48,14.86,knowledge,5,high_risk
English Language,21.28,16.99,knowledge,5,high_risk
Foreign Language,16.15,21.48,knowledge,5,high_risk
Geography,21.61,14.63,knowledge,5,high_risk
History and Archeology,22.57,21.94,knowledge,5,high_risk
Law and Government,17.65,12.41,knowledge,5,high_risk
Mathematics,23.94,14.52,knowledge,5,high_risk
Medicine and Dentistry,14.05,13.41,knowledge,5,high_risk
Philosophy and Theology,17.12,19.18,knowledge,5,high_risk
Physics,19.59,13.58,knowledge,5,high_risk
Sociology and Anthropology,20.92,15.37,knowledge,5,high_risk
