element_name,type,high_risk_avg_score,low_risk_avg_score,ai_score,pivot_cost,ai_can_help,job_zone
Writing,unknown,9.76,0.00,0.00,0.00,False,2
Mechanical,knowledge,0.00,24.04,9.76,24.04,True,3
Physics,knowledge,0.00,16.37,13.58,16.37,True,3
Building and Construction,knowledge,0.00,15.83,9.94,15.83,True,3
Engineering and Technology,knowledge,0.00,15.65,14.86,15.65,True,3
Chemistry,knowledge,0.00,14.90,12.59,14.90,True,3
Repairing,skills,0.00,14.77,5.85,14.77,True,3
Transportation,knowledge,0.00,14.47,10.75,14.47,True,3
Equipment Maintenance,skills,0.00,13.88,5.96,13.88,True,3
Troubleshooting,skills,0.00,13.80,6.50,13.80,True,3
Operations Monitoring,skills,0.00,13.49,5.57,13.49,True,3
Operation and Control,skills,0.00,12.38,4.50,12.38,True,3
Law and Government,knowledge,0.00,12.24,12.41,12.24,True,3
Installation,skills,0.00,11.83,4.77,11.83,True,3
Quality Control Analysis,skills,0.00,11.36,6.61,11.36,True,3
Management of Financial Resources,skills,0.00,11.16,9.72,11.16,True,3
Psychology,knowledge,0.00,10.96,14.54,10.96,True,3
Systems Evaluation,skills,0.00,10.76,10.22,10.76,True,3
Telecommunications,knowledge,0.00,10.62,14.44,10.62,True,3
Science,skills,0.00,10.56,12.31,10.56,True,3
Management of Material Resources,skills,0.00,10.14,8.94,10.14,True,3
Equipment Selection,skills,0.00,9.94,4.42,9.94,True,3
Public Safety and Security,knowledge,7.91,15.10,9.10,7.18,True,3
Education and Training,knowledge,12.28,17.24,18.79,4.95,True,3
Monitoring,skills,10.54,12.26,10.53,1.72,False,3
Systems Analysis,skills,9.00,10.48,9.98,1.48,True,3
Learning Strategies,skills,9.73,11.19,13.46,1.45,True,3
Negotiation,skills,9.51,10.95,9.25,1.45,False,3
Instructing,skills,9.93,11.16,13.59,1.23,True,3
Administration and Management,knowledge,12.01,13.19,12.47,1.17,True,3
Management of Personnel Resources,skills,11.38,12.37,9.14,0.99,False,3
Complex Problem Solving,skills,9.78,10.70,11.05,0.92,True,3
Judgment and Decision Making,skills,9.87,10.56,10.85,0.70,True,3
Production and Processing,knowledge,13.00,13.55,9.51,0.56,False,3
Critical Thinking,skills,12.12,12.66,12.37,0.54,True,3
Mathematics,skills,10.69,10.97,11.83,0.29,True,3
Active Learning,skills,10.18,10.19,12.36,0.01,True,3
Administrative,knowledge,20.62,13.75,13.46,0.00,False,3
Active Listening,skills,14.13,11.02,13.05,0.00,False,3
Economics and Accounting,knowledge,13.85,9.33,14.47,0.00,False,3
Communications and Media,unknown,14.22,0.00,0.00,0.00,False,3
Computers and Electronics,knowledge,15.06,13.12,16.82,0.00,False,3
Coordination,skills,10.62,10.47,8.69,0.00,False,3
Fine Arts,knowledge,14.84,12.25,20.76,0.00,False,3
Design,knowledge,21.34,12.33,15.00,0.00,False,3
Customer and Personal Service,knowledge,17.99,14.44,14.88,0.00,False,3
English Language,knowledge,14.82,12.07,16.99,0.00,False,3
Personnel and Human Resources,knowledge,19.45,15.42,12.95,0.00,False,3
Operations Analysis,unknown,10.56,0.00,0.00,0.00,False,3
Persuasion,skills,11.23,10.98,9.91,0.00,False,3
Medicine and Dentistry,unknown,16.41,0.00,0.00,0.00,False,3
Speaking,skills,13.00,10.82,13.74,0.00,False,3
Social Perceptiveness,skills,11.45,11.27,10.16,0.00,False,3
Service Orientation,skills,10.38,10.00,8.71,0.00,False,3
Sales and Marketing,unknown,9.54,0.00,0.00,0.00,False,3
Reading Comprehension,skills,13.84,12.26,14.64,0.00,False,3
Therapy and Counseling,unknown,9.42,0.00,0.00,0.00,False,3
Time Management,skills,10.31,10.07,8.62,0.00,False,3
Writing,skills,11.36,11.06,13.86,0.00,False,3
Physics,knowledge,0.00,16.73,13.58,16.73,True,4
Mechanical,knowledge,0.00,16.71,9.76,16.71,True,4
Transportation,knowledge,0.00,16.30,10.75,16.30,True,4
Building and Construction,knowledge,0.00,16.23,9.94,16.23,True,4
Operations Analysis,skills,0.00,13.25,9.32,13.25,True,4
Food Production,knowledge,0.00,12.74,8.94,12.74,True,4
Geography,knowledge,0.00,12.70,14.63,12.70,True,4
Technology Design,skills,0.00,12.19,8.21,12.19,True,4
Quality Control Analysis,skills,0.00,11.68,6.61,11.68,True,4
Management of Financial Resources,skills,0.00,11.05,9.72,11.05,True,4
Management of Material Resources,skills,0.00,10.95,8.94,10.95,True,4
Engineering and Technology,knowledge,10.30,20.37,14.86,10.07,True,4
Operation and Control,skills,0.00,9.63,4.50,9.63,True,4
Troubleshooting,skills,0.00,9.00,6.50,9.00,True,4
Design,knowledge,11.05,16.63,15.00,5.58,True,4
Public Safety and Security,knowledge,7.74,13.00,9.10,5.26,True,4
Administration and Management,knowledge,12.39,17.46,12.47,5.07,True,4
Law and Government,knowledge,8.35,13.27,12.41,4.92,True,4
Chemistry,knowledge,12.52,17.39,12.59,4.87,True,4
Production and Processing,knowledge,15.95,20.27,9.51,4.32,False,4
Judgment and Decision Making,skills,10.50,14.34,10.85,3.84,True,4
Science,skills,12.28,16.10,12.31,3.82,True,4
Complex Problem Solving,skills,10.89,14.55,11.05,3.66,True,4
Coordination,skills,9.84,13.39,8.69,3.54,False,4
Monitoring,skills,11.64,14.73,10.53,3.09,False,4
Time Management,skills,9.67,12.73,8.62,3.06,False,4
Management of Personnel Resources,skills,10.14,12.70,9.14,2.56,False,4
Critical Thinking,skills,14.11,16.52,12.37,2.41,False,4
Systems Analysis,skills,9.78,12.07,9.98,2.29,True,4
Systems Evaluation,skills,9.86,11.69,10.22,1.82,True,4
Operations Monitoring,skills,9.00,10.81,5.57,1.81,False,4
Speaking,skills,13.82,15.38,13.74,1.55,False,4
Sales and Marketing,knowledge,11.23,12.37,19.48,1.14,True,4
Negotiation,skills,9.96,10.92,9.25,0.96,False,4
Administrative,knowledge,13.74,14.63,13.46,0.89,False,4
Active Listening,skills,14.46,15.30,13.05,0.84,False,4
Learning Strategies,skills,11.11,11.95,13.46,0.83,True,4
Writing,skills,13.48,14.29,13.86,0.81,True,4
Active Learning,skills,12.27,13.04,12.36,0.76,True,4
Reading Comprehension,skills,16.23,16.88,14.64,0.65,False,4
Education and Training,knowledge,14.17,14.49,18.79,0.32,True,4
Mathematics,skills,12.84,13.07,11.83,0.23,False,4
Biology,knowledge,25.43,16.70,16.27,0.00,False,4
Foreign Language,unknown,20.07,0.00,0.00,0.00,False,4
Instructing,skills,12.08,10.88,13.59,0.00,False,4
English Language,knowledge,19.73,14.85,16.99,0.00,False,4
Fine Arts,unknown,15.11,0.00,0.00,0.00,False,4
Economics and Accounting,knowledge,11.75,11.47,14.47,0.00,False,4
Customer and Personal Service,knowledge,16.24,13.83,14.88,0.00,False,4
Communications and Media,unknown,19.76,0.00,0.00,0.00,False,4
Computers and Electronics,knowledge,15.86,14.10,16.82,0.00,False,4
Psychology,unknown,13.02,0.00,0.00,0.00,False,4
Programming,unknown,11.13,0.00,0.00,0.00,False,4
Personnel and Human Resources,knowledge,21.20,14.12,12.95,0.00,False,4
Persuasion,skills,10.98,10.64,9.91,0.00,False,4
Medicine and Dentistry,unknown,8.39,0.00,0.00,0.00,False,4
Service Orientation,skills,10.39,9.66,8.71,0.00,False,4
Social Perceptiveness,skills,11.88,11.33,10.16,0.00,False,4
Telecommunications,unknown,19.36,0.00,0.00,0.00,False,4
Psychology,knowledge,0.00,23.09,14.54,23.09,True,5
Therapy and Counseling,knowledge,0.00,18.86,15.97,18.86,True,5
Mechanical,knowledge,0.00,18.67,9.76,18.67,True,5
Design,knowledge,0.00,17.89,15.00,17.89,True,5
Production and Processing,knowledge,0.00,16.61,9.51,16.61,True,5
Medicine and Dentistry,knowledge,14.05,27.75,13.41,13.71,False,5
Personnel and Human Resources,knowledge,0.00,11.97,12.95,11.97,True,5
Operations Monitoring,skills,0.00,10.77,5.57,10.77,True,5
Building and Construction,knowledge,0.00,10.68,9.94,10.68,True,5
Operations Analysis,skills,0.00,10.55,9.32,10.55,True,5
Management of Personnel Resources,skills,0.00,10.50,9.14,10.50,True,5
Public Safety and Security,knowledge,0.00,10.32,9.10,10.32,True,5
Negotiation,skills,0.00,10.14,9.25,10.14,True,5
Quality Control Analysis,skills,0.00,9.18,6.61,9.18,True,5
Customer and Personal Service,knowledge,15.15,20.90,14.88,5.75,False,5
Social Perceptiveness,skills,10.04,15.71,10.16,5.67,True,5
Service Orientation,skills,9.46,13.93,8.71,4.47,False,5
Biology,knowledge,16.61,20.46,16.27,3.85,False,5
Coordination,skills,9.47,13.02,8.69,3.54,False,5
Complex Problem Solving,skills,13.20,16.45,11.05,3.25,False,5
Judgment and Decision Making,skills,13.13,16.33,10.85,3.20,False,5
Monitoring,skills,12.23,15.41,10.53,3.18,False,5
Critical Thinking,skills,17.03,18.22,12.37,1.19,False,5
Persuasion,skills,9.94,11.03,9.91,1.10,False,5
Time Management,skills,10.33,11.27,8.62,0.94,False,5
Administrative,knowledge,14.01,14.66,13.46,0.66,False,5
Chemistry,knowledge,15.56,16.11,12.59,0.55,False,5
Active Learning,skills,15.64,16.04,12.36,0.40,False,5
Active Listening,skills,17.06,17.35,13.05,0.29,False,5
Communications and Media,unknown,12.46,0.00,0.00,0.00,False,5
Administration and Management,knowledge,16.72,13.68,12.47,0.00,False,5
Foreign Language,unknown,16.15,0.00,0.00,0.00,False,5
English Language,knowledge,21.27,20.37,16.99,0.00,False,5
Engineering and Technology,knowledge,19.48,13.99,14.86,0.00,False,5
Education and Training,knowledge,19.91,19.19,18.79,0.00,False,5
Economics and Accounting,unknown,24.02,0.00,0.00,0.00,False,5
Computers and Electronics,knowledge,16.46,13.34,16.82,0.00,False,5
History and Archeology,unknown,22.57,0.00,0.00,0.00,False,5
Geography,knowledge,21.61,19.19,14.63,0.00,False,5
Philosophy and Theology,unknown,17.12,0.00,0.00,0.00,False,5
Law and Government,knowledge,17.65,11.75,12.41,0.00,False,5
Learning Strategies,skills,14.79,11.79,13.46,0.00,False,5
Mathematics,skills,16.61,10.36,11.83,0.00,False,5
Management of Financial Resources,unknown,10.14,0.00,0.00,0.00,False,5
Instructing,skills,14.63,12.41,13.59,0.00,False,5
Science,skills,14.74,13.35,12.31,0.00,False,5
Reading Comprehension,skills,19.67,19.05,14.64,0.00,False,5
Physics,knowledge,19.59,14.92,13.58,0.00,False,5
Sociology and Anthropology,knowledge,20.92,15.53,15.37,0.00,False,5
Systems Analysis,skills,11.03,10.74,9.98,0.00,False,5
Speaking,skills,17.76,16.29,13.74,0.00,False,5
Systems Evaluation,skills,10.92,10.88,10.22,0.00,False,5
Writing,skills,17.89,15.55,13.86,0.00,False,5
