element_name,avg_score,ai_score,type,job_zone,group
Production and Processing,13.92,9.51,knowledge,2,low_risk
Public Safety and Security,10.81,9.10,knowledge,2,low_risk
Transportation,12.24,10.75,knowledge,2,low_risk
Active Learning,10.19,12.35,skills,3,low_risk
Active Listening,11.02,13.05,skills,3,low_risk
Complex Problem Solving,10.70,11.05,skills,3,low_risk
Coordination,10.47,8.69,skills,3,low_risk
Critical Thinking,12.67,12.37,skills,3,low_risk
Equipment Maintenance,13.88,5.97,skills,3,low_risk
Equipment Selection,9.94,4.42,skills,3,low_risk
Installation,11.83,4.77,skills,3,low_risk
Instructing,11.16,13.59,skills,3,low_risk
Judgment and Decision Making,10.56,10.85,skills,3,low_risk
Learning Strategies,11.19,13.46,skills,3,low_risk
Management of Financial Resources,11.16,9.72,skills,3,low_risk
Management of Material Resources,10.14,8.94,skills,3,low_risk
Management of Personnel Resources,12.37,9.14,skills,3,low_risk
Mathematics,10.97,11.83,skills,3,low_risk
Monitoring,12.26,10.53,skills,3,low_risk
Negotiation,10.95,9.25,skills,3,low_risk
Operation and Control,12.38,4.50,skills,3,low_risk
Operations Monitoring,13.49,5.57,skills,3,low_risk
Persuasion,10.98,9.91,skills,3,low_risk
Quality Control Analysis,11.36,6.61,skills,3,low_risk
Reading Comprehension,12.26,14.64,skills,3,low_risk
Repairing,14.77,5.85,skills,3,low_risk
Science,10.56,12.31,skills,3,low_risk
Service Orientation,10.00,8.71,skills,3,low_risk
Social Perceptiveness,11.27,10.16,skills,3,low_risk
Speaking,10.82,13.74,skills,3,low_risk
Systems Analysis,10.48,9.98,skills,3,low_risk
Systems Evaluation,10.76,10.22,skills,3,low_risk
Time Management,10.07,8.62,skills,3,low_risk
Troubleshooting,13.80,6.50,skills,3,low_risk
Writing,11.06,13.86,skills,3,low_risk
Administration and Management,13.19,12.47,knowledge,3,low_risk
Administrative,13.75,13.46,knowledge,3,low_risk
Building and Construction,15.83,9.94,knowledge,3,low_risk
Chemistry,14.90,12.59,knowledge,3,low_risk
Computers and Electronics,13.12,16.82,knowledge,3,low_risk
Customer and Personal Service,14.44,14.88,knowledge,3,low_risk
Design,12.33,15.00,knowledge,3,low_risk
Economics and Accounting,9.33,14.47,knowledge,3,low_risk
Education and Training,17.24,18.79,knowledge,3,low_risk
Engineering and Technology,15.65,14.86,knowledge,3,low_risk
English Language,12.07,16.99,knowledge,3,low_risk
Fine Arts,12.25,20.76,knowledge,3,low_risk
Law and Government,12.24,12.41,knowledge,3,low_risk
Mathematics,13.90,14.52,knowledge,3,low_risk
Mechanical,24.04,9.76,knowledge,3,low_risk
Personnel and Human Resources,15.42,12.95,knowledge,3,low_risk
Physics,16.37,13.58,knowledge,3,low_risk
Production and Processing,13.55,9.51,knowledge,3,low_risk
Psychology,10.96,14.54,knowledge,3,low_risk
Public Safety and Security,15.09,9.10,knowledge,3,low_risk
Telecommunications,10.62,14.44,knowledge,3,low_risk
Transportation,14.47,10.75,knowledge,3,low_risk
Active Learning,13.04,12.35,skills,4,low_risk
Active Listening,15.30,13.05,skills,4,low_risk
Complex Problem Solving,14.55,11.05,skills,4,low_risk
Coordination,13.39,8.69,skills,4,low_risk
Critical Thinking,16.52,12.37,skills,4,low_risk
Instructing,10.88,13.59,skills,4,low_risk
Judgment and Decision Making,14.34,10.85,skills,4,low_risk
Learning Strategies,11.94,13.46,skills,4,low_risk
Management of Financial Resources,11.05,9.72,skills,4,low_risk
Management of Material Resources,10.95,8.94,skills,4,low_risk
Management of Personnel Resources,12.70,9.14,skills,4,low_risk
Mathematics,13.07,11.83,skills,4,low_risk
Monitoring,14.73,10.53,skills,4,low_risk
Negotiation,10.92,9.25,skills,4,low_risk
Operation and Control,9.64,4.50,skills,4,low_risk
Operations Analysis,13.25,9.32,skills,4,low_risk
Operations Monitoring,10.81,5.57,skills,4,low_risk
Persuasion,10.64,9.91,skills,4,low_risk
Quality Control Analysis,11.68,6.61,skills,4,low_risk
Reading Comprehension,16.88,14.64,skills,4,low_risk
Science,16.10,12.31,skills,4,low_risk
Service Orientation,9.66,8.71,skills,4,low_risk
Social Perceptiveness,11.33,10.16,skills,4,low_risk
Speaking,15.38,13.74,skills,4,low_risk
Systems Analysis,12.07,9.98,skills,4,low_risk
Systems Evaluation,11.69,10.22,skills,4,low_risk
Technology Design,12.19,8.21,skills,4,low_risk
Time Management,12.73,8.62,skills,4,low_risk
Troubleshooting,9.00,6.50,skills,4,low_risk
Writing,14.29,13.86,skills,4,low_risk
Administration and Management,17.46,12.47,knowledge,4,low_risk
Administrative,14.63,13.46,knowledge,4,low_risk
Biology,16.70,16.27,knowledge,4,low_risk
Building and Construction,16.23,9.94,knowledge,4,low_risk
Chemistry,17.39,12.59,knowledge,4,low_risk
Computers and Electronics,14.10,16.82,knowledge,4,low_risk
Customer and Personal Service,13.83,14.88,knowledge,4,low_risk
Design,16.63,15.00,knowledge,4,low_risk
Economics and Accounting,11.47,14.47,knowledge,4,low_risk
Education and Training,14.49,18.79,knowledge,4,low_risk
Engineering and Technology,20.37,14.86,knowledge,4,low_risk
English Language,14.85,16.99,knowledge,4,low_risk
Food Production,12.74,8.94,knowledge,4,low_risk
Geography,12.70,14.63,knowledge,4,low_risk
Law and Government,13.27,12.41,knowledge,4,low_risk
Mathematics,16.58,14.52,knowledge,4,low_risk
Mechanical,16.71,9.76,knowledge,4,low_risk
Personnel and Human Resources,14.12,12.95,knowledge,4,low_risk
Physics,16.73,13.58,knowledge,4,low_risk
Production and Processing,20.27,9.51,knowledge,4,low_risk
Public Safety and Security,13.00,9.10,knowledge,4,low_risk
Sales and Marketing,12.37,19.48,knowledge,4,low_risk
Transportation,16.29,10.75,knowledge,4,low_risk
Active Learning,16.04,12.35,skills,5,low_risk
Active Listening,17.35,13.05,skills,5,low_risk
Complex Problem Solving,16.45,11.05,skills,5,low_risk
Coordination,13.02,8.69,skills,5,low_risk
Critical Thinking,18.22,12.37,skills,5,low_risk
Instructing,12.41,13.59,skills,5,low_risk
Judgment and Decision Making,16.33,10.85,skills,5,low_risk
Learning Strategies,11.79,13.46,skills,5,low_risk
Management of Personnel Resources,10.50,9.14,skills,5,low_risk
Mathematics,10.36,11.83,skills,5,low_risk
Monitoring,15.41,10.53,skills,5,low_risk
Negotiation,10.14,9.25,skills,5,low_risk
Operations Analysis,10.55,9.32,skills,5,low_risk
Operations Monitoring,10.77,5.57,skills,5,low_risk
Persuasion,11.03,9.91,skills,5,low_risk
Quality Control Analysis,9.18,6.61,skills,5,low_risk
Reading Comprehension,19.05,14.64,skills,5,low_risk
Science,13.35,12.31,skills,5,low_risk
Service Orientation,13.93,8.71,skills,5,low_risk
Social Perceptiveness,15.71,10.16,skills,5,low_risk
Speaking,16.29,13.74,skills,5,low_risk
Systems Analysis,10.74,9.98,skills,5,low_risk
Systems Evaluation,10.88,10.22,skills,5,low_risk
Time Management,11.27,8.62,skills,5,low_risk
Writing,15.55,13.86,skills,5,low_risk
Administration and Management,13.68,12.47,knowledge,5,low_risk
Administrative,14.67,13.46,knowledge,5,low_risk
Biology,20.47,16.27,knowledge,5,low_risk
Building and Construction,10.67,9.94,knowledge,5,low_risk
Chemistry,16.11,12.59,knowledge,5,low_risk
Computers and Electronics,13.34,16.82,knowledge,5,low_risk
Customer and Personal Service,20.90,14.88,knowledge,5,low_risk
Design,17.89,15.00,knowledge,5,low_risk
Education and Training,19.19,18.79,knowledge,5,low_risk
Engineering and Technology,14.00,14.86,knowledge,5,low_risk
English Language,20.37,16.99,knowledge,5,low_risk
Geography,19.19,14.63,knowledge,5,low_risk
Law and Government,11.75,12.41,knowledge,5,low_risk
Mathematics,14.12,14.52,knowledge,5,low_risk
Mechanical,18.67,9.76,knowledge,5,low_risk
Medicine and Dentistry,27.75,13.41,knowledge,5,low_risk
Personnel and Human Resources,11.97,12.95,knowledge,5,low_risk
Physics,14.92,13.58,knowledge,5,low_risk
Production and Processing,16.61,9.51,knowledge,5,low_risk
Psychology,23.09,14.54,knowledge,5,low_risk
Public Safety and Security,10.32,9.10,knowledge,5,low_risk
Sociology and Anthropology,15.53,15.37,knowledge,5,low_risk
Therapy and Counseling,18.86,15.97,knowledge,5,low_risk
