category,pct_mcp_ceiling,pct_mcp_only,pct_conv_baseline
"Set up classrooms, facilities, educational materials, or equipment.",38.79,3.59,49.74
Draft legislation or regulations.,38.76,38.64,21.43
Develop organizational or program goals or objectives.,38.65,16.41,44.15
"Provide general assistance to others, such as customers, patrons, or motorists.",38.39,31.65,63.49
"Coordinate group, community, or public activities.",38.37,26.98,35.26
Coordinate regulatory compliance activities.,38.08,30.28,14.07
Mark materials or objects for identification.,37.32,35.37,10.63
Notify others of emergencies or problems.,37.18,31.66,8.80
Purchase goods or services.,36.21,30.32,57.82
Obtain formal documentation or authorization.,35.91,35.13,54.98
"Distribute materials, supplies, or resources.",35.69,28.55,57.85
Advise others on business or operational matters.,35.67,25.92,61.01
Design industrial systems or equipment.,34.61,34.39,16.00
Communicate with others about specifications or project details.,34.33,17.84,62.87
"Coordinate activities with clients, agencies, or organizations.",33.61,27.99,33.80
Verify personal information.,33.45,32.15,49.64
Monitor operations to ensure adequate performance.,33.24,28.74,12.22
Confer with clients to determine needs or order specifications.,32.36,18.42,57.20
Sort materials or products.,32.20,27.71,23.87
"Maintain electronic, computer, or other technical equipment.",32.14,27.93,61.98
Design materials or devices.,31.91,29.46,51.90
Design structures or facilities.,31.88,21.59,35.46
Develop recipes or menus.,31.76,30.74,62.86
Reconcile financial data.,31.74,27.71,12.16
Collect information about patients or clients.,31.61,14.57,29.11
Investigate criminal or legal matters.,31.56,22.72,56.27
"Develop educational programs, plans, or procedures.",31.54,14.08,36.69
Develop patient or client care or treatment plans.,31.51,19.02,48.22
Communicate with others about operational plans or activities.,31.28,24.14,57.75
Design electrical or electronic systems or equipment.,31.08,21.13,36.96
Monitor equipment operation.,31.07,29.59,7.18
Make legal decisions.,30.27,8.89,22.26
Arrange displays or decorations.,30.17,10.47,61.34
Coordinate artistic or entertainment activities.,30.05,21.85,24.36
Counsel others about personal matters.,29.70,20.97,50.39
Read documents or materials to inform work processes.,29.62,14.49,61.94
Direct construction or extraction activities.,29.50,13.89,28.91
Assist individuals with paperwork.,28.79,26.28,67.98
Manage control systems or activities.,28.65,28.31,0.00
Coach others.,28.57,3.96,67.15
"Direct organizational operations, activities, or procedures.",28.01,16.99,20.66
Diagnose system or equipment problems.,27.77,23.27,60.03
Monitor individual behavior or performance.,27.77,14.35,57.29
Create decorative objects or parts of objects.,27.74,10.28,59.74
Gather data about operational or development activities.,27.69,21.97,58.82
Evaluate patient or client condition or treatment options.,27.39,17.55,25.34
Research healthcare issues.,27.00,19.60,59.13
Investigate the environmental impact of industrial or development activities.,26.79,22.07,18.25
Operate medical equipment.,26.58,19.99,16.85
Explain medical information to patients or family members.,26.47,2.79,63.35
Diagnose health conditions or disorders.,26.25,23.46,15.08
Assess characteristics of land or property.,26.07,22.48,5.53
Advise others on legal or regulatory matters.,25.84,14.30,55.14
Operate lifting or moving equipment.,25.55,25.07,0.87
Monitor operations to ensure compliance with regulations or standards.,25.47,13.35,22.81
Present arts or entertainment performances.,25.41,13.58,28.02
Coordinate with others to resolve problems.,25.22,21.17,56.73
Develop contingency or emergency response plans.,24.86,24.86,9.15
Test performance of equipment or systems.,24.72,14.69,57.37
Estimate project development or operational costs.,24.42,17.89,25.20
Operate laboratory or field equipment.,24.20,15.77,18.63
Determine operational methods or procedures.,23.45,13.89,62.85
"Measure physical characteristics of materials, products, or equipment.",23.35,18.10,53.59
Assist others to access additional services or resources.,23.04,10.07,55.90
Escort others.,22.66,20.21,21.35
Direct legal activities.,22.19,19.79,8.40
"Monitor safety or security of work areas, facilities, or properties.",22.13,17.90,13.27
Test characteristics of materials or products.,21.51,10.52,24.22
Train others to use equipment or products.,21.44,17.76,48.63
Advise others on healthcare or wellness issues.,21.34,16.14,49.89
Monitor environmental conditions.,21.33,21.16,9.94
Order medical tests or procedures.,20.64,16.28,37.90
Resolve personnel or operational problems.,20.57,10.73,16.16
Collaborate in the development of educational programs.,20.53,19.46,38.22
Monitor traffic conditions.,20.48,20.48,3.80
"Examine financial activities, operations, or systems.",20.44,19.39,16.99
Train others on operational or work procedures.,20.23,10.03,53.36
Maintain safety or security.,20.18,14.31,46.96
Operate pumping systems or equipment.,19.93,19.93,6.63
Stock supplies or products.,19.77,18.40,12.73
"Discuss legal matters with clients, disputants, or legal professionals or staff.",19.71,0.00,25.09
Teach life skills.,19.00,4.80,57.71
Collect samples of products or materials.,18.88,9.99,13.67
Inspect completed work or finished products.,18.37,16.58,11.26
Plan events or programs.,16.87,13.87,67.44
Monitor health conditions of humans or animals.,16.45,7.88,19.06
Mediate disputes.,16.31,12.78,18.73
Investigate organizational or operational problems.,15.79,13.99,54.41
Collect environmental or biological samples.,15.60,11.17,14.86
Package objects.,15.52,15.52,4.92
"Move materials, equipment, or supplies.",14.90,12.05,6.22
Assist individuals with special needs.,14.87,12.38,7.54
Advocate for individual or community needs.,14.36,12.55,45.02
Transport patients or clients.,14.17,0.73,13.40
Research agricultural processes or practices.,13.99,9.60,19.96
Perform agricultural activities.,13.69,13.69,2.70
"Treat injuries, illnesses, or diseases.",13.58,8.14,10.27
Confer with healthcare or other professionals about patient care.,13.47,7.06,16.95
"Assess living, work, or social needs or status of individuals or communities.",13.40,12.66,46.53
Select materials or equipment for operations or projects.,13.31,9.91,56.05
Investigate incidents or accidents.,13.30,4.66,55.57
Repair electrical or electronic equipment.,13.07,8.81,22.50
Perform court-related or other legal administrative activities.,12.89,12.89,11.97
Provide support or encouragement to others.,12.69,5.93,51.11
Apply decorative finishes.,12.46,7.87,51.61
Prescribe medical treatments or devices.,12.26,6.91,13.25
Communicate environmental or sustainability information.,12.11,17.91,53.79
Administer diagnostic tests to assess patient health.,11.59,7.61,7.85
Prepare mixtures or solutions.,11.57,8.73,56.19
"Inspect commercial, industrial, or production systems or equipment.",11.51,7.52,10.98
Assess compliance with environmental standards or regulations.,11.47,9.59,19.85
Evaluate production inputs or outputs.,10.85,10.71,4.87
Direct security or safety activities or operations.,10.69,10.02,7.43
Prepare medical equipment or work areas for use.,10.35,4.59,17.12
Supervise personnel activities.,10.19,6.57,18.70
Position tools or equipment.,10.17,9.16,6.81
Adjust equipment to ensure adequate performance.,9.43,7.12,56.27
Install commercial or production equipment.,9.32,5.94,14.82
Advise others on environmental sustainability or green practices.,9.25,4.98,48.23
Advise others on workplace health or safety issues.,9.02,8.72,47.31
Signal others to coordinate work activities.,9.00,8.95,1.79
Evaluate green technologies or processes.,8.93,1.21,9.86
Engrave objects.,8.92,8.92,0.00
Set up equipment.,8.92,7.06,59.54
Develop sustainable organizational or business policies or practices.,8.87,8.87,20.98
Inspect characteristics or conditions of materials or products.,8.81,3.71,54.36
Follow standard healthcare safety procedures to protect patient and staff members.,8.61,8.61,13.12
Operate transportation equipment or vehicles.,8.43,7.83,1.41
"Load products, materials, or equipment for transportation or further processing.",8.41,7.78,5.52
Operate industrial processing or production equipment.,7.80,7.54,8.01
Develop health assessment methods or programs.,7.74,7.59,2.63
Inspect facilities or equipment.,7.71,4.74,9.28
"Develop safety standards, policies, or procedures.",7.63,1.21,7.76
"Perform athletic activities for fitness, competition, or artistic purposes.",7.29,3.07,49.81
Direct vehicle traffic.,7.21,7.21,4.25
Position materials or components for assembly.,7.09,6.31,9.40
Examine people or animals to assess health conditions or physical characteristics.,6.95,4.45,15.16
Adjust medical equipment to ensure adequate performance.,6.81,0.00,10.59
Maintain facilities or equipment.,6.80,6.80,55.23
Clean medical equipment or facilities.,6.74,0.98,6.53
Develop public or community health programs.,6.34,0.00,31.16
Administer basic health care or medical treatments.,6.15,3.45,8.52
Take physical measurements of patients or clients.,6.12,6.12,14.50
Connect components or supply lines to equipment or tools.,5.63,5.63,55.16
Apply hygienic or cosmetic agents to skin or hair.,5.35,0.00,10.88
Administer therapeutic treatments.,5.29,2.85,6.66
Intervene in crisis situations or emergencies.,5.09,5.09,10.23
Disassemble equipment.,4.88,4.88,0.88
Assist healthcare practitioners during medical procedures.,4.85,0.46,11.02
Prepare specimens or materials for testing.,4.78,0.25,22.51
Train others on health or medical topics.,4.76,1.11,45.25
Inspect vehicles.,4.74,3.58,6.05
Develop systems or practices to mitigate or resolve environmental problems.,4.72,3.86,8.21
Maintain vehicles in working condition.,4.45,4.45,6.01
Maintain medical equipment or instruments.,4.43,2.54,4.03
Prepare foods or beverages.,4.25,1.61,59.49
Maintain tools or equipment.,3.98,3.61,6.36
Protect people or property from threats such as fires or flooding.,3.95,3.95,0.00
Provide food or beverage services.,3.70,0.00,18.79
Process forensic or legal evidence.,3.59,2.57,10.02
Cut materials.,3.39,3.39,7.48
Present information in legal proceedings.,3.32,3.32,14.16
Operate cutting or grinding equipment.,3.29,3.29,3.05
Operate energy production or distribution equipment.,3.16,3.16,6.70
Fabricate devices or components.,3.13,3.13,6.47
Administer emergency medical treatment.,2.76,1.58,1.18
Care for plants or animals.,2.61,2.54,54.50
Position workpieces or materials on equipment.,2.50,2.50,7.66
Assemble equipment or components.,2.31,2.14,8.07
Assemble products or work aids.,2.23,2.23,0.87
Repair tools or equipment.,2.17,1.99,12.73
"Join parts using soldering, welding, or brazing techniques.",1.86,1.86,5.59
Install energy or heating equipment.,1.63,1.63,7.61
Install plumbing or piping equipment or systems.,1.61,1.61,7.06
Apply protective solutions or coatings.,1.55,0.55,3.85
Prepare industrial materials for processing or use.,1.47,0.44,4.68
Cut trees or other vegetation.,1.42,1.42,5.25
Operate construction or excavation equipment.,1.22,1.22,0.91
Perform general construction or extraction activities.,1.18,0.31,4.20
Teach safety procedures or standards to others.,0.99,0.99,41.50
Build structures.,0.79,0.55,1.47
Manage agricultural or forestry operations.,0.73,0.60,2.65
Repair workpieces or products.,0.65,0.27,1.74
"Clean tools, equipment, facilities, or work areas.",0.56,0.56,3.35
Repair vehicle components.,0.17,0.17,3.55
Dispose of waste or debris.,0.14,0.14,0.14
Operate agricultural or forestry equipment.,0.00,0.00,1.73
Train animals.,0.00,0.00,9.27
Tend watercraft.,0.00,0.00,0.00
Supervise activities in correctional facilities.,0.00,0.00,0.00
Drill holes in earth or materials.,0.00,0.00,3.73
Embalm corpses.,0.00,0.00,0.00
Hunt animals.,0.00,0.00,0.00
Process animal carcasses.,0.00,0.00,24.51
Fit assistive devices to patients or clients.,0.00,0.00,14.15
Fabricate medical devices.,0.00,0.00,5.26
Groom or style hair.,0.00,0.00,12.52
Develop plans for managing or preserving natural resources.,0.00,0.00,4.14
Apply materials to fill gaps or imperfections.,0.00,0.00,10.72
Climb equipment or structures.,0.00,0.00,0.00
"Clean workpieces, finished products, or other objects.",0.00,0.00,3.28
Serve on organizational committees.,0.00,0.00,39.24
Sew garments or materials.,0.00,0.00,1.75
Set up protective structures or coverings near work areas.,0.00,0.00,0.00
Smooth surfaces of objects or equipment.,0.00,0.00,0.00
Shape materials to create products.,0.00,0.00,0.00
