category,pct_aei_api
Cut trees or other vegetation.,0.00
Teach safety procedures or standards to others.,0.00
Supervise activities in correctional facilities.,0.00
Advocate for individual or community needs.,0.00
Advise others on workplace health or safety issues.,0.00
Take physical measurements of patients or clients.,0.00
Test sites or materials for environmental hazards.,0.00
Tend watercraft.,0.00
Intervene in crisis situations or emergencies.,0.00
"Load products, materials, or equipment for transportation or further processing.",0.00
Maintain vehicles in working condition.,0.00
"Join parts using soldering, welding, or brazing techniques.",0.00
Install energy or heating equipment.,0.00
Install plumbing or piping equipment or systems.,0.00
Develop recipes or menus.,0.00
Escort others.,0.00
Embalm corpses.,0.00
Engrave objects.,0.00
Drill holes in earth or materials.,0.00
Draft legislation or regulations.,0.00
Disassemble equipment.,0.00
Dispose of waste or debris.,0.00
Position tools or equipment.,0.00
Position workpieces or materials on equipment.,0.00
Direct vehicle traffic.,0.00
Operate pumping systems or equipment.,0.00
Package objects.,0.00
Order medical tests or procedures.,0.00
Perform agricultural activities.,0.00
Perform court-related or other legal administrative activities.,0.00
Operate agricultural or forestry equipment.,0.00
Operate cutting or grinding equipment.,0.00
Operate energy production or distribution equipment.,0.00
Operate lifting or moving equipment.,0.00
Operate construction or excavation equipment.,0.00
Train animals.,0.00
Monitor traffic conditions.,0.00
Monitor environmental conditions.,0.00
Fit assistive devices to patients or clients.,0.00
Fabricate medical devices.,0.00
Fabricate devices or components.,0.00
"Move materials, equipment, or supplies.",0.00
Hunt animals.,0.00
Groom or style hair.,0.00
Follow standard healthcare safety procedures to protect patient and staff members.,0.00
Obtain formal documentation or authorization.,0.00
Manage control systems or activities.,0.00
Remove workpieces from production equipment.,0.00
Repair vehicle components.,0.00
Conduct amusement or gaming activities.,0.00
"Clean tools, equipment, facilities, or work areas.",0.00
"Clean workpieces, finished products, or other objects.",0.00
Repair workpieces or products.,0.00
Assemble products or work aids.,0.00
Sew garments or materials.,0.00
Set up protective structures or coverings near work areas.,0.00
Serve on organizational committees.,0.00
Assemble equipment or components.,0.00
Smooth surfaces of objects or equipment.,0.00
Signal others to coordinate work activities.,0.00
Shape materials to create products.,0.00
Transport patients or clients.,0.00
