category,workers_affected,wages_affected,pct_tasks_affected
Supervise personnel activities.,496204.52,34276831087.08,18.70
Collect data about consumer needs or opinions.,490406.09,23577522445.19,54.01
Advise others on educational or vocational matters.,481621.14,34107373430.49,69.04
Operate computer systems or computerized equipment.,479218.12,24386389669.48,76.50
Present research or technical information.,461830.68,36484049736.41,70.06
Maintain safety or security.,460896.61,21494937171.21,46.96
Test performance of equipment or systems.,458321.73,29169622929.91,57.37
"Distribute materials, supplies, or resources.",452009.18,21088369302.59,57.85
Analyze market or industry conditions.,448502.86,40543285358.61,76.51
Calculate financial data.,444545.79,26273592097.84,64.87
Gather information from physical or electronic sources.,420049.42,23629927023.23,70.70
Explain medical information to patients or family members.,413953.41,36559253349.97,63.35
Collect fares or payments.,406152.32,17535381248.95,14.06
Interview people to obtain information.,405566.93,29409517377.38,50.46
Advise others on the design or use of technologies.,403253.21,37781179971.27,67.61
Assign work to others.,392233.59,22729678310.41,27.81
Develop business or marketing plans.,386288.31,42876557156.29,58.58
Determine resource needs of projects or operations.,374691.05,31260283520.51,54.36
Inspect characteristics or conditions of materials or products.,367910.68,19091553223.78,54.36
Select materials or equipment for operations or projects.,360627.09,21317499139.71,56.05
Perform recruiting or hiring activities.,355980.19,28666275165.66,40.90
Plan work activities.,350485.16,23609942866.18,54.18
Direct construction or extraction activities.,342192.29,31700919090.86,28.91
Monitor financial data or activities.,332479.66,24384447849.06,52.22
Manage budgets or finances.,323290.56,46734964905.80,42.79
Coordinate with others to resolve problems.,313760.31,24492568605.78,56.73
"Evaluate programs, practices, or processes.",310608.04,29380059985.42,73.85
Communicate with others about specifications or project details.,305498.25,28126910814.25,62.87
Train others to use equipment or products.,303285.22,19778631254.00,48.63
Monitor health conditions of humans or animals.,302609.46,25067100831.78,19.06
Teach life skills.,299792.32,12699877249.37,57.71
"Set up classrooms, facilities, educational materials, or equipment.",297538.58,17893751896.64,49.74
Counsel others about personal matters.,294776.58,15826939981.49,50.39
Communicate with others about business strategies.,292638.45,24801208045.84,62.48
Identify business or organizational opportunities.,290513.57,23776764866.11,66.33
Prepare health or medical documents.,289224.99,13196890922.65,47.63
Gather data about operational or development activities.,286283.54,27028508544.96,58.82
Prepare reports of operational or procedural activities.,286046.08,22508056341.85,22.49
Monitor operation of computer or information technologies.,284223.29,28508837590.29,67.21
Resolve computer problems.,275190.91,24411767863.83,71.61
Manage human resources activities.,266980.09,22001500040.56,30.74
Investigate criminal or legal matters.,262266.59,19733701685.89,56.27
Provide support or encouragement to others.,258993.19,17780694593.39,51.11
Determine operational methods or procedures.,253199.87,18392869040.87,62.85
Develop patient or client care or treatment plans.,248847.77,26068557944.39,48.22
"Inspect commercial, industrial, or production systems or equipment.",243537.31,13491668107.78,10.98
Monitor operations to ensure compliance with regulations or standards.,239267.91,17390094454.76,22.81
"Monitor external affairs, trends, or events.",233176.82,18736966674.14,64.13
"Set up computer systems, networks, or other information systems.",232115.89,18158542874.64,71.55
"Maintain electronic, computer, or other technical equipment.",223893.58,18869684346.92,61.98
Test performance of computer or information systems.,222003.11,21147660539.83,67.40
Reconcile financial data.,221544.69,9484373758.99,12.16
Stock supplies or products.,221149.49,10881654078.78,12.73
Operate audiovisual or related equipment.,219107.53,8726312859.45,26.61
Program computer systems or production equipment.,215700.05,18188078178.48,70.69
Explain financial information.,211037.14,14945132312.10,74.51
Sell products or services.,210647.78,10783355697.14,20.26
Connect components or supply lines to equipment or tools.,206861.16,11683641330.86,55.16
"Prepare financial documents, reports, or budgets.",202839.70,17918869618.48,30.22
Evaluate patient or client condition or treatment options.,190537.68,13675667217.76,25.34
Develop organizational or program goals or objectives.,186695.26,24976299891.71,44.15
"Evaluate the characteristics, usefulness, or performance of products or technologies.",186333.71,19969035537.56,61.35
Advise patients or clients on medical issues.,186152.92,20437513756.42,62.86
Provide information or assistance to the public.,185329.17,13089833805.24,66.50
"Clean tools, equipment, facilities, or work areas.",183991.80,7762690283.80,3.35
"Evaluate designs, specifications, or other technical data.",183685.40,19627403595.68,59.23
"Examine financial activities, operations, or systems.",183139.06,10337516436.04,16.99
Negotiate contracts or agreements.,181633.88,13857322914.95,30.13
"Monitor safety or security of work areas, facilities, or properties.",174137.05,9351964371.03,13.27
Consult legal materials or public records.,173727.99,18066507730.60,73.34
Set up equipment.,173536.05,8155397196.55,59.54
Monitor equipment operation.,173422.06,8026552467.77,7.18
Maintain facilities or equipment.,173392.17,8657259764.51,55.23
Advise others on legal or regulatory matters.,168199.31,21809328765.46,55.14
Prepare legal or regulatory documents.,167530.10,12724170251.42,41.77
Verify personal information.,165700.13,11558227338.93,49.64
Schedule operational activities.,165176.92,9837519898.51,26.07
Monitor resources or inventories.,164862.78,10404060772.76,20.80
Write material for artistic or commercial purposes.,164113.76,12203845748.49,81.32
Authorize business activities or transactions.,160808.92,23012583550.66,42.20
"Research laws, precedents, or other legal data.",159654.86,22745494185.42,92.52
Operate communications equipment or systems.,158211.72,8429807730.37,56.16
Confer with healthcare or other professionals about patient care.,157451.00,12254467556.36,16.95
Sort materials or products.,156435.62,7681286633.21,23.87
Develop marketing or promotional materials.,151198.62,11944875674.56,85.16
Process shipments or mail.,149604.88,7884941793.98,18.18
Notify others of emergencies or problems.,144003.64,9273258530.43,8.80
Analyze scientific or applied data using mathematical principles.,141688.71,17501472860.51,79.42
"Document technical designs, procedures, or activities.",140820.17,14168948079.18,65.68
Implement security measures for computer or information systems.,140614.67,15137061798.05,72.78
Develop professional relationships or networks.,139140.71,12150553554.34,59.56
Collect information about patients or clients.,138322.11,11234877726.86,29.11
Evaluate personnel capabilities or performance.,136789.26,15794394921.58,25.97
Advise others on healthcare or wellness issues.,136761.19,13443590923.01,49.89
Analyze biological or chemical substances or related data.,135082.84,11850559186.29,65.14
Assist healthcare practitioners during medical procedures.,135026.81,6954650181.58,11.02
Advise others on financial matters.,132704.28,10789253377.03,73.44
Develop recipes or menus.,131125.85,5365917443.15,62.86
Position materials or components for assembly.,130492.07,6903676724.66,9.40
"Replenish inventories of materials, equipment, or products.",123904.89,8032535466.55,15.89
Repair electrical or electronic equipment.,123591.75,8098179994.77,22.50
Develop technical specifications for products or operations.,123087.33,12129191219.51,64.53
Mark materials or objects for identification.,122401.21,4899493778.01,10.63
"Coordinate activities with clients, agencies, or organizations.",120092.19,14194662583.11,33.80
Inspect completed work or finished products.,119025.48,6763214625.11,11.26
Edit written materials or documents.,116306.22,10003785115.59,77.87
Prescribe medical treatments or devices.,111008.39,8758040558.02,13.25
Monitor operations to ensure adequate performance.,110147.40,8892218758.44,12.22
Research technology designs or applications.,108524.57,11417389458.95,70.03
Install commercial or production equipment.,108291.13,7466956912.09,14.82
Analyze business or financial risks.,104268.86,9288016635.42,43.05
Escort others.,100478.95,3552550984.16,21.35
Diagnose system or equipment problems.,98646.52,6123351446.88,60.03
Confer with clients to determine needs or order specifications.,97293.07,6298138724.98,57.20
"Assess living, work, or social needs or status of individuals or communities.",94636.88,6688517456.05,46.53
"Research organizational behavior, processes, or performance.",91730.70,7562341691.89,66.69
Analyze performance of systems or equipment.,91203.73,7411013142.75,63.78
Diagnose health conditions or disorders.,88410.00,9450274500.30,15.08
"Move materials, equipment, or supplies.",86194.90,3064596177.38,6.22
Direct scientific or technical activities.,84571.49,9001606990.66,21.89
"Coordinate group, community, or public activities.",83860.49,6012842002.11,35.26
Prepare schedules for services or facilities.,83543.87,3924694026.94,31.22
Maintain tools or equipment.,83034.46,4481593179.57,6.36
"Evaluate condition of financial assets, property, or other resources.",82212.23,6962023874.28,26.80
Plan events or programs.,80650.68,6788240510.82,67.44
Collaborate in the development of educational programs.,80134.89,4710695621.69,38.22
Prepare proposals or grant applications.,78998.31,6208796770.87,52.55
Repair tools or equipment.,74565.26,4220116116.74,12.73
Package objects.,74320.64,2344979123.04,4.92
Estimate project development or operational costs.,73345.21,5567395272.52,25.20
Care for plants or animals.,66628.56,2594237588.52,54.50
Issue documentation.,66106.36,3117981052.60,56.93
Design electrical or electronic systems or equipment.,66101.59,7110379520.42,36.96
Transport patients or clients.,63809.88,2820396648.97,13.40
Test characteristics of materials or products.,63556.15,4007565624.93,24.22
Prepare medical equipment or work areas for use.,62791.68,3566585827.14,17.12
Research biological or ecological phenomena.,61763.31,5468899015.60,71.94
Design structures or facilities.,61617.20,5955330371.44,35.46
Assess characteristics or impacts of regulations or policies.,61310.65,5332506616.80,65.61
Operate medical equipment.,57993.71,6535306118.32,16.85
Administer basic health care or medical treatments.,56906.64,5114355890.35,8.52
"Develop models of systems, processes, or products.",56016.54,6454503064.55,61.32
Coach others.,54157.97,3218848893.03,67.15
Inspect facilities or equipment.,54117.36,3952969229.74,9.28
Design databases.,51440.68,5441216908.17,55.00
Perform human resources activities.,50772.56,3835373092.97,25.79
Record information about legal matters.,50033.08,4359046197.37,26.54
Operate industrial processing or production equipment.,48836.55,2552286915.45,8.01
Perform general construction or extraction activities.,47411.01,2284940309.21,4.20
Examine people or animals to assess health conditions or physical characteristics.,46555.75,6329755047.41,15.16
"Assist scientists, scholars, or technical specialists with projects or research.",45540.67,2739638653.65,62.96
Clean medical equipment or facilities.,44503.67,2115987478.04,6.53
Resolve personnel or operational problems.,41544.72,3593526317.30,16.16
Intervene in crisis situations or emergencies.,40595.73,1737462309.60,10.23
Assess characteristics of land or property.,40587.24,1984687684.85,5.53
Study details of artistic productions.,40533.44,2823340723.44,73.37
"Interpret language, cultural, or religious information for others.",40257.01,2304009447.08,82.80
Develop sustainable organizational or business policies or practices.,39262.07,4085825847.17,20.98
Research healthcare issues.,38560.98,4113185981.32,59.13
Prepare specimens or materials for testing.,37366.94,2340309472.17,22.51
Order medical tests or procedures.,37363.17,6003044200.29,37.90
Coordinate artistic or entertainment activities.,37202.63,2142737427.76,24.36
"Investigate individuals' background, behavior, or activities.",36567.26,2054126890.55,59.90
"Treat injuries, illnesses, or diseases.",36445.01,5314819376.84,10.27
Create artistic designs or performances.,35041.22,2009763325.39,54.86
"Develop news, entertainment, or artistic content.",31751.78,2303488700.35,67.64
Present arts or entertainment performances.,31460.45,2484682519.36,28.02
Apply decorative finishes.,31263.30,1739988635.93,51.61
Evaluate project feasibility.,30942.43,5184833603.62,30.66
Position workpieces or materials on equipment.,29695.14,1390362483.66,7.66
Cut materials.,29240.26,1486847626.16,7.48
Obtain information about goods or services.,28496.65,2132587760.52,77.84
Present information in legal proceedings.,27519.94,4134830349.86,14.16
Conduct amusement or gaming activities.,27493.29,969936490.23,54.92
Mediate disputes.,27100.78,1561529330.97,18.73
Develop scientific or mathematical theories or models.,26223.70,2782256199.60,66.02
Inspect vehicles.,26095.61,1507512327.14,6.05
Apply materials to fill gaps or imperfections.,25032.51,1230368757.53,10.72
Administer therapeutic treatments.,25010.65,1813256433.31,6.66
Collect environmental or biological samples.,24171.35,1406210545.49,14.86
Assist individuals with paperwork.,23766.72,1122285699.79,67.98
Advise others on environmental sustainability or green practices.,23744.65,2488639355.89,48.23
Investigate organizational or operational problems.,23455.29,1890565918.65,54.41
Apply hygienic or cosmetic agents to skin or hair.,23276.62,894858002.46,10.88
Design industrial systems or equipment.,22519.15,2358628241.91,16.00
Obtain formal documentation or authorization.,22277.83,1318537254.48,54.98
Develop financial or business plans.,22172.95,1401806892.68,46.27
Repair vehicle components.,21987.43,1169915163.67,3.55
Develop public or community health programs.,21807.60,2159316903.70,31.16
Process animal carcasses.,21493.01,839949824.79,24.51
"Load products, materials, or equipment for transportation or further processing.",20769.10,890347580.35,5.52
Administer diagnostic tests to assess patient health.,20750.17,1498884628.27,7.85
Advocate for individual or community needs.,20636.49,1412859697.39,45.02
Investigate incidents or accidents.,20555.78,1831509602.05,55.57
Research historical or social issues.,20542.06,2105484116.38,89.14
Operate transportation equipment or vehicles.,20272.44,1486951738.74,1.41
Assemble equipment or components.,20191.18,1230020087.96,8.07
Investigate the environmental impact of industrial or development activities.,19196.56,1670692771.05,18.25
"Perform athletic activities for fitness, competition, or artistic purposes.",18945.14,1223333892.34,49.81
"Join parts using soldering, welding, or brazing techniques.",18443.13,1152044460.93,5.59
Install energy or heating equipment.,18417.30,1041193000.16,7.61
Develop research plans or methodologies.,18192.63,1754538952.54,43.62
Groom or style hair.,17113.03,603234296.32,12.52
Maintain vehicles in working condition.,16650.42,770952916.24,6.01
Design materials or devices.,16620.39,1499510821.35,51.90
Create decorative objects or parts of objects.,15918.96,719232802.25,59.74
Coordinate regulatory compliance activities.,15770.92,1690952211.56,14.07
Advise others on workplace health or safety issues.,15491.90,1243032811.40,47.31
Fabricate devices or components.,15046.45,731519801.19,6.47
Perform court-related or other legal administrative activities.,14877.13,907849879.36,11.97
Serve on organizational committees.,14215.33,1310796107.26,39.24
Communicate environmental or sustainability information.,13898.15,1481802587.44,53.79
Apply protective solutions or coatings.,13871.65,580253870.01,3.85
Monitor environmental conditions.,12136.99,415551935.37,9.94
Operate agricultural or forestry equipment.,12072.18,481628361.77,1.73
Develop systems or practices to mitigate or resolve environmental problems.,11763.01,1228889717.76,8.21
Alter audio or video recordings.,11396.85,787639944.54,50.94
Prepare industrial materials for processing or use.,11279.26,591308884.41,4.68
Maintain medical equipment or instruments.,11039.93,863999529.15,4.03
Operate laboratory or field equipment.,9581.72,703892138.37,18.63
Evaluate production inputs or outputs.,9234.25,567637303.89,4.87
"Discuss legal matters with clients, disputants, or legal professionals or staff.",8589.19,1026569770.30,25.09
Direct vehicle traffic.,8438.11,318334889.29,4.25
Analyze environmental or geospatial data.,7733.85,700351561.89,16.58
Teach safety procedures or standards to others.,7481.78,355718850.85,41.50
Direct legal activities.,6968.98,435853855.74,8.40
"Clean workpieces, finished products, or other objects.",6680.78,322252513.69,3.28
Research issues related to earth sciences.,6674.89,569409485.85,63.38
Collect samples of products or materials.,6479.37,318685811.01,13.67
"Develop safety standards, policies, or procedures.",5702.87,727599112.29,7.76
Gather information for news stories.,5158.31,287772564.65,53.38
Operate pumping systems or equipment.,4718.62,215171650.25,6.63
Assess compliance with environmental standards or regulations.,4001.41,287734268.19,19.85
Build structures.,3877.39,208531873.12,1.47
Follow standard healthcare safety procedures to protect patient and staff members.,3784.62,283424451.94,13.12
Install plumbing or piping equipment or systems.,3678.85,156476556.06,7.06
Fabricate medical devices.,3543.65,540957716.99,5.26
Fit assistive devices to patients or clients.,3220.79,149960142.31,14.15
Position tools or equipment.,3184.97,187063133.21,6.81
Monitor traffic conditions.,2858.02,99973702.25,3.80
Develop health assessment methods or programs.,2821.13,177731086.73,2.63
Adjust medical equipment to ensure adequate performance.,2792.93,459594822.16,10.59
Operate cutting or grinding equipment.,2701.74,114086794.15,3.05
Develop plans for managing or preserving natural resources.,2652.29,335592424.57,4.14
Drill holes in earth or materials.,2649.09,105362240.79,3.73
Operate energy production or distribution equipment.,2482.30,230407628.75,6.70
Record images with photographic or audiovisual equipment.,2417.93,135189273.80,21.05
Signal others to coordinate work activities.,2126.13,92812756.18,1.79
Assemble products or work aids.,2066.28,86858636.45,0.87
Develop contingency or emergency response plans.,2040.48,174430119.84,9.15
Evaluate scholarly work.,1838.99,143703164.65,87.96
Evaluate green technologies or processes.,1677.13,162152628.82,9.86
Make legal decisions.,1457.11,150823384.39,22.26
Operate construction or excavation equipment.,1388.23,68217586.56,0.91
Remove workpieces from production equipment.,1323.79,60873056.34,1.66
Direct security or safety activities or operations.,1280.88,93591802.39,7.43
Research agricultural processes or practices.,1248.55,100353460.59,19.96
Disassemble equipment.,1102.42,72941935.38,0.88
Train animals.,1055.84,40913788.37,9.27
Perform agricultural activities.,964.15,34825202.46,2.70
Process forensic or legal evidence.,809.20,75725032.50,10.02
Repair workpieces or products.,665.38,33061284.43,1.74
Draft legislation or regulations.,580.25,26001039.71,21.43
Sew garments or materials.,536.52,21922080.38,1.75
Cut trees or other vegetation.,510.47,23785093.77,5.25
Operate lifting or moving equipment.,476.14,25929393.48,0.87
Manage agricultural or forestry operations.,457.67,25366631.43,2.65
Record information about environmental conditions.,164.20,8600565.15,14.43
Take physical measurements of patients or clients.,160.86,5535276.50,14.50
Dispose of waste or debris.,157.14,7721665.23,0.14
Administer emergency medical treatment.,112.63,7321831.28,1.18
Test sites or materials for environmental hazards.,41.21,2972219.27,0.07
Tend watercraft.,0.00,0.00,0.00
Manage control systems or activities.,0.00,0.00,0.00
Hunt animals.,0.00,0.00,0.00
Engrave objects.,0.00,0.00,0.00
Embalm corpses.,0.00,0.00,0.00
Protect people or property from threats such as fires or flooding.,0.00,0.00,0.00
Climb equipment or structures.,0.00,0.00,0.00
Shape materials to create products.,0.00,0.00,0.00
Set up protective structures or coverings near work areas.,0.00,0.00,0.00
Supervise activities in correctional facilities.,0.00,0.00,0.00
Smooth surfaces of objects or equipment.,0.00,0.00,0.00
