title_current,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,adoption_gap,ska_overall_gap,emp_nat,median_wage,major,job_zone,risk_score,risk_tier,quadrant,opportunity_score,relevance_score
First-Line Supervisors of Production and Operating Workers,32.67,223843.33,15935406585.35,45.40,311051.96,22143788800.06,12.73,-0.50,685140.00,71190.00,Production Occupations,3.00,4,moderate,Q1: Automation opportunity,2849208.86,48775116600.00
Treasurers and Controllers,47.63,136491.96,22070750235.64,64.19,183938.05,29742782695.97,16.56,-4.68,286560.00,161700.00,Management Occupations,4.00,7,moderate,Q3: Tool gap,2259914.04,46336752000.00
Light Truck Drivers,15.34,152538.27,6733039395.09,27.47,273137.16,12056274114.48,12.13,1.34,994410.00,44140.00,Transportation and Material Moving Occupations,2.00,4,moderate,Q1: Automation opportunity,1849935.69,43893257400.00
Computer Systems Analysts,70.69,285190.50,29599922217.58,80.71,325592.31,33793226211.67,10.01,-1.78,403416.00,103790.00,Computer and Mathematical Occupations,3.00,6,moderate,Q3: Tool gap,2856161.59,41870546640.00
Nurse Practitioners,40.41,124217.47,16050138956.60,49.95,153535.03,19838261154.37,9.54,-3.05,307390.00,129210.00,Healthcare Practitioners and Technical Occupations,5.00,7,moderate,Q3: Tool gap,1184733.83,39717861900.00
Licensed Practical and Licensed Vocational Nurses,28.83,182337.51,11366920083.06,36.97,233791.65,14574571684.49,8.14,-0.74,632430.00,62340.00,Healthcare Practitioners and Technical Occupations,3.00,8,moderate,Q1: Automation opportunity,1483487.66,39425686200.00
Security Management Specialists,49.70,240075.27,19510916823.64,59.51,287414.69,23358191516.39,9.80,-2.50,483001.00,81270.00,Business and Financial Operations Occupations,4.00,5,moderate,Q3: Tool gap,2353002.15,39253491270.00
"Middle School Teachers, Except Special and Career/Technical Education",63.59,394502.78,24841840132.56,71.70,444793.51,28008647018.62,8.11,-0.77,620370.00,62970.00,Educational Instruction and Library Occupations,4.00,9,high,Q1: Automation opportunity,3198064.13,39064698900.00
Industrial Truck and Tractor Operators,5.43,43777.08,2030818594.71,39.37,317212.20,14715473817.66,33.93,0.13,805770.00,46390.00,Transportation and Material Moving Occupations,2.00,4,moderate,Q1: Automation opportunity,1485559.19,37379670300.00
Construction Managers,42.49,148017.55,15834917969.56,55.65,193840.16,20737020338.19,13.15,-3.41,348330.00,106980.00,Management Occupations,4.00,5,moderate,Q3: Tool gap,1947162.19,37264343400.00
Medical Secretaries and Administrative Assistants,31.36,260566.70,11631697449.06,73.25,608508.61,27163824298.54,41.88,1.02,830760.00,44640.00,Office and Administrative Support Occupations,2.00,7,moderate,Q1: Automation opportunity,10913148.79,37085126400.00
"Shipping, Receiving, and Inventory Clerks",25.81,221355.21,9560331730.44,51.03,437688.09,18903748746.06,25.22,2.91,857630.00,43190.00,Office and Administrative Support Occupations,2.00,7,moderate,Q1: Automation opportunity,5583574.59,37041039700.00
