task,task_normalized,dwa_title,iwa_title,gwa_title,title,title_normalized,soc_code_2010,title_current,soc_code_2019,soc_code_2019_full,broad_occ,minor_occ_category,major_occ_category,physical,auto_aug_mean,pct_normalized,date,freq_mean,importance,relevance,task_prop,dws_star_rating,job_zone,emp_change_pct__PROJ_2025_2034__,eloundu_human,eloundu_gpt4,a_med_nat_2025,a_med_al_2025,a_med_ak_2025,a_med_az_2025,a_med_ar_2025,a_med_ca_2025,a_med_co_2025,a_med_ct_2025,a_med_de_2025,a_med_dc_2025,a_med_fl_2025,a_med_ga_2025,a_med_hi_2025,a_med_id_2025,a_med_il_2025,a_med_in_2025,a_med_ia_2025,a_med_ks_2025,a_med_ky_2025,a_med_la_2025,a_med_me_2025,a_med_md_2025,a_med_ma_2025,a_med_mi_2025,a_med_mn_2025,a_med_ms_2025,a_med_mo_2025,a_med_mt_2025,a_med_ne_2025,a_med_nv_2025,a_med_nh_2025,a_med_nj_2025,a_med_nm_2025,a_med_ny_2025,a_med_nc_2025,a_med_nd_2025,a_med_oh_2025,a_med_ok_2025,a_med_or_2025,a_med_pa_2025,a_med_ri_2025,a_med_sc_2025,a_med_sd_2025,a_med_tn_2025,a_med_tx_2025,a_med_ut_2025,a_med_vt_2025,a_med_va_2025,a_med_wa_2025,a_med_wv_2025,a_med_wi_2025,a_med_wy_2025,a_med_gu_2025,a_med_pr_2025,a_med_vi_2025,emp_tot_nat_2025,emp_tot_al_2025,emp_tot_ak_2025,emp_tot_az_2025,emp_tot_ar_2025,emp_tot_ca_2025,emp_tot_co_2025,emp_tot_ct_2025,emp_tot_de_2025,emp_tot_dc_2025,emp_tot_fl_2025,emp_tot_ga_2025,emp_tot_hi_2025,emp_tot_id_2025,emp_tot_il_2025,emp_tot_in_2025,emp_tot_ia_2025,emp_tot_ks_2025,emp_tot_ky_2025,emp_tot_la_2025,emp_tot_me_2025,emp_tot_md_2025,emp_tot_ma_2025,emp_tot_mi_2025,emp_tot_mn_2025,emp_tot_ms_2025,emp_tot_mo_2025,emp_tot_mt_2025,emp_tot_ne_2025,emp_tot_nv_2025,emp_tot_nh_2025,emp_tot_nj_2025,emp_tot_nm_2025,emp_tot_ny_2025,emp_tot_nc_2025,emp_tot_nd_2025,emp_tot_oh_2025,emp_tot_ok_2025,emp_tot_or_2025,emp_tot_pa_2025,emp_tot_ri_2025,emp_tot_sc_2025,emp_tot_sd_2025,emp_tot_tn_2025,emp_tot_tx_2025,emp_tot_ut_2025,emp_tot_vt_2025,emp_tot_va_2025,emp_tot_wa_2025,emp_tot_wv_2025,emp_tot_wi_2025,emp_tot_wy_2025,emp_tot_gu_2025,emp_tot_pr_2025,emp_tot_vi_2025
"Prepare reports of activities, evaluations, recommendations, or decisions.",prepare reports of activities evaluations recommendations or decisions,Prepare research reports.,Present research or technical information.,Documenting/Recording Information,Compliance Officers,compliance officers,13-1041.00,Compliance Officers,13-1041,13-1041.00,Compliance Officers,Business Operations Specialists,Business and Financial Operations Occupations,False,5.0,0.0232322679556135,2026-02-12,2.0472734615384613,4.3,72.36,0.75,4,4,3.0,E1,E1,80730.0,72990.0,76430.0,74920.0,64680.0,96980.0,82450.0,91810.0,91050.0,111030.0,74920.0,70200.0,82590.0,75450.0,80550.0,78770.0,75620.0,69740.0,69240.0,70290.0,83740.0,84720.0,102060.0,77390.0,85920.0,67450.0,67270.0,66660.0,73920.0,78290.0,82800.0,100000.0,67990.0,90080.0,78500.0,79440.0,75030.0,63000.0,82990.0,85580.0,87620.0,75460.0,72630.0,63960.0,75370.0,67370.0,90420.0,80380.0,88790.0,64270.0,78800.0,79890.0,71930.0,48950.0,67990.0,59581.42857142857,1214.0,296.0,4003.0,1005.0,16065.0,7740.0,1163.0,692.0,1411.0,29680.0,4635.0,409.0,535.0,3430.0,1649.0,1179.0,3560.0,1404.0,3970.0,1790.0,3253.0,4248.0,3131.0,1978.0,1720.0,2255.0,1480.0,1118.0,1417.0,1730.0,4287.0,773.0,7569.0,3646.0,990.0,3620.0,1362.0,1726.0,6380.0,970.0,1533.0,364.0,7990.0,13817.0,1211.0,1960.0,15190.0,3585.0,1720.0,1839.0,187.0,84.0,1762.0,74.0
"Respond to questions and inquiries, such as those concerning service charges and capacity fees, or refer them to supervisors.",respond to questions and inquiries such as those concerning service charges and capacity fees or refer them to supervisors,Correspond with customers to answer questions or resolve complaints.,Respond to customer problems or inquiries.,Performing for or Working Directly with the Public,Environmental Compliance Inspectors,environmental compliance inspectors,13-1041.01,Environmental Compliance Inspectors,13-1041,13-1041.01,Compliance Officers,Business Operations Specialists,Business and Financial Operations Occupations,False,4.872062211981566,0.0028079887437057,2026-02-12,0.3434615384615385,3.67,50.0,1.0,4,4,3.0,E1,E1,80730.0,72990.0,76430.0,74920.0,64680.0,96980.0,82450.0,91810.0,91050.0,111030.0,74920.0,70200.0,82590.0,75450.0,80550.0,78770.0,75620.0,69740.0,69240.0,70290.0,83740.0,84720.0,102060.0,77390.0,85920.0,67450.0,67270.0,66660.0,73920.0,78290.0,82800.0,100000.0,67990.0,90080.0,78500.0,79440.0,75030.0,63000.0,82990.0,85580.0,87620.0,75460.0,72630.0,63960.0,75370.0,67370.0,90420.0,80380.0,88790.0,64270.0,78800.0,79890.0,71930.0,48950.0,67990.0,59581.42857142857,2203.0,538.0,7265.0,1824.0,29153.0,7740.0,2110.0,1257.0,2560.0,29680.0,8410.0,742.0,970.0,6225.0,2992.0,2139.0,3560.0000000000005,2548.0,3970.0,1789.9999999999998,5903.0,7709.0,5681.0,3589.0,1720.0000000000002,4091.0,1480.0,2028.0,2572.0,1729.9999999999998,7779.0,1403.0,13735.0,6616.0,990.0,6569.0,2472.0,3133.0,11578.0,970.0,2782.0,660.0,7990.0,25074.0,2198.0,1960.0,15190.000000000002,6505.0,1720.0000000000002,3337.0,339.0,152.0,3197.0,134.0
"Provide information, technical assistance, or training to supervisors, managers, or employees on topics such as employee supervision, hiring, grievance procedures, or staff development.",provide information technical assistance or training to supervisors managers or employees on topics such as employee supervision hiring grievance procedures or staff development,Train personnel on managerial topics.,Train others on operational or work procedures.,Training and Teaching Others,Equal Opportunity Representatives and Officers,equal opportunity representatives and officers,13-1041.03,Equal Opportunity Representatives and Officers,13-1041,13-1041.03,Compliance Officers,Business Operations Specialists,Business and Financial Operations Occupations,False,5.0,0.008063706008144,2026-02-12,0.4047484615384615,4.01,75.53,1.0555555555555556,4,4,3.0,E1,E2,80730.0,72990.0,76430.0,74920.0,64680.0,96980.0,82450.0,91810.0,91050.0,111030.0,74920.0,70200.0,82590.0,75450.0,80550.0,78770.0,75620.0,69740.0,69240.0,70290.0,83740.0,84720.0,102060.0,77390.0,85920.0,67450.0,67270.0,66660.0,73920.0,78290.0,82800.0,100000.0,67990.0,90080.0,78500.0,79440.0,75030.0,63000.0,82990.0,85580.0,87620.0,75460.0,72630.0,63960.0,75370.0,67370.0,90420.0,80380.0,88790.0,64270.0,78800.0,79890.0,71930.0,48950.0,67990.0,59581.42857142857,4207.0,1027.0,13872.0,3482.0,55665.0,7740.0,4029.0,2399.0,4888.0,29680.0,16059.0,1417.0,1853.0,11885.0,5714.0,4084.0,3560.0,4866.0,3970.0,1790.0,11271.0,14720.0,10847.0,6852.0,1720.0,7812.0,1480.0,3872.0,4910.0,1730.0,14854.0,2678.0,26226.0,12633.0,990.0,12544.0,4721.0,5982.0,22108.0,970.0,5312.0,1261.0,7990.0,47875.0,4196.0,1960.0,15190.0,12421.0,1720.0,6372.0,647.0,290.0,6104.0,257.0
"Prepare correspondence, reports of inspections or investigations, or recommendations for action.",prepare correspondence reports of inspections or investigations or recommendations for action,Inform individuals or organizations of status or findings.,"Provide information to guests, clients, or customers.",Communicating with People Outside the Organization,Government Property Inspectors and Investigators,government property inspectors and investigators,13-1041.04,Government Property Inspectors and Investigators,13-1041,13-1041.04,Compliance Officers,Business Operations Specialists,Business and Financial Operations Occupations,False,4.850972410673903,0.0006989987056465,2026-02-12,1.3011657692307692,4.22,79.17,0.9230769230769232,4,3,3.0,E1,E1,80730.0,72990.0,76430.0,74920.0,64680.0,96980.0,82450.0,91810.0,91050.0,111030.0,74920.0,70200.0,82590.0,75450.0,80550.0,78770.0,75620.0,69740.0,69240.0,70290.0,83740.0,84720.0,102060.0,77390.0,85920.0,67450.0,67270.0,66660.0,73920.0,78290.0,82800.0,100000.0,67990.0,90080.0,78500.0,79440.0,75030.0,63000.0,82990.0,85580.0,87620.0,75460.0,72630.0,63960.0,75370.0,67370.0,90420.0,80380.0,88790.0,64270.0,78800.0,79890.0,71930.0,48950.0,67990.0,59581.42857142857,4564.0,1114.0,15047.0,3777.0,60382.0,7740.0,4370.0,2603.0,5302.0,29680.0,17420.0,1537.0,2010.0,12892.0,6198.0,4431.0,3560.0000000000005,5278.0,3970.0,1789.9999999999998,12227.0,15967.0,11767.0,7433.0,1720.0000000000002,8474.0,1480.0,4201.0,5326.0,1729.9999999999998,16112.0,2905.0,28448.0,13703.0,990.0,13607.0,5121.0,6489.0,23981.0,970.0,5762.0,1368.0,7990.0,51933.0,4552.0,1960.0,15190.000000000002,13473.0,1720.0000000000002,6912.0,702.0,315.0,6622.0,278.0
"Examine records, reports, or other documents to establish facts or detect discrepancies.",examine records reports or other documents to establish facts or detect discrepancies,Verify accuracy of financial information.,Evaluate the quality or accuracy of data.,Processing Information,Government Property Inspectors and Investigators,government property inspectors and investigators,13-1041.04,Government Property Inspectors and Investigators,13-1041,13-1041.04,Compliance Officers,Business Operations Specialists,Business and Financial Operations Occupations,False,4.374100719424461,0.0412725737552312,2026-02-12,0.9292476923076924,4.07,91.37,0.9230769230769232,4,3,3.0,E2,E2,80730.0,72990.0,76430.0,74920.0,64680.0,96980.0,82450.0,91810.0,91050.0,111030.0,74920.0,70200.0,82590.0,75450.0,80550.0,78770.0,75620.0,69740.0,69240.0,70290.0,83740.0,84720.0,102060.0,77390.0,85920.0,67450.0,67270.0,66660.0,73920.0,78290.0,82800.0,100000.0,67990.0,90080.0,78500.0,79440.0,75030.0,63000.0,82990.0,85580.0,87620.0,75460.0,72630.0,63960.0,75370.0,67370.0,90420.0,80380.0,88790.0,64270.0,78800.0,79890.0,71930.0,48950.0,67990.0,59581.42857142857,4564.0,1114.0,15047.0,3777.0,60382.0,7740.0,4370.0,2603.0,5302.0,29680.0,17420.0,1537.0,2010.0,12892.0,6198.0,4431.0,3560.0000000000005,5278.0,3970.0,1789.9999999999998,12227.0,15967.0,11767.0,7433.0,1720.0000000000002,8474.0,1480.0,4201.0,5326.0,1729.9999999999998,16112.0,2905.0,28448.0,13703.0,990.0,13607.0,5121.0,6489.0,23981.0,970.0,5762.0,1368.0,7990.0,51933.0,4552.0,1960.0,15190.000000000002,13473.0,1720.0000000000002,6912.0,702.0,315.0,6622.0,278.0
Interpret regulatory rules or rule changes and ensure that they are communicated through corporate policies and procedures.,interpret regulatory rules or rule changes and ensure that they are communicated through corporate policies and procedures,"Explain regulations, policies, or procedures.","Explain regulations, policies, or procedures.",Interpreting the Meaning of Information for Others,Regulatory Affairs Specialists,regulatory affairs specialists,13-1041.07,Regulatory Affairs Specialists,13-1041,13-1041.07,Compliance Officers,Business Operations Specialists,Business and Financial Operations Occupations,False,4.703296703296704,0.0253521629235846,2026-02-12,0.5787953846153846,4.44,90.0,1.0666666666666669,4,4,3.0,E1,E2,80730.0,72990.0,76430.0,74920.0,64680.0,96980.0,82450.0,91810.0,91050.0,111030.0,74920.0,70200.0,82590.0,75450.0,80550.0,78770.0,75620.0,69740.0,69240.0,70290.0,83740.0,84720.0,102060.0,77390.0,85920.0,67450.0,67270.0,66660.0,73920.0,78290.0,82800.0,100000.0,67990.0,90080.0,78500.0,79440.0,75030.0,63000.0,82990.0,85580.0,87620.0,75460.0,72630.0,63960.0,75370.0,67370.0,90420.0,80380.0,88790.0,64270.0,78800.0,79890.0,71930.0,48950.0,67990.0,59581.42857142857,6705.0,1636.0,22106.0,5549.0,88710.0,7740.0,6420.0,3824.0,7790.0,29680.0,25592.0,2259.0,2952.0,18941.0,9106.0,6509.0,3560.0,7754.0,3970.000000000001,1790.0,17963.0,23458.0,17287.0,10920.0,1720.0,12449.0,1480.0,6171.0,7825.0,1730.0,23671.0,4268.0,41794.0,20132.0,990.0,19990.0,7523.0,9533.0,35231.0,970.0,8465.0,2010.0,7989.999999999999,76296.0,6687.0,1960.0,15190.0,19794.0,1720.0,10155.0,1032.0,462.0,9728.0,409.0
Review clinical protocols to ensure collection of data needed for regulatory submissions.,review clinical protocols to ensure collection of data needed for regulatory submissions,Evaluate applicable laws and regulations to determine impact on organizational activities.,Assess characteristics or impacts of regulations or policies.,Analyzing Data or Information,Regulatory Affairs Specialists,regulatory affairs specialists,13-1041.07,Regulatory Affairs Specialists,13-1041,13-1041.07,Compliance Officers,Business Operations Specialists,Business and Financial Operations Occupations,False,5.0,0.003548432182995,2026-02-12,0.5655769230769231,4.0,100.0,1.0666666666666669,4,4,3.0,E1,E2,80730.0,72990.0,76430.0,74920.0,64680.0,96980.0,82450.0,91810.0,91050.0,111030.0,74920.0,70200.0,82590.0,75450.0,80550.0,78770.0,75620.0,69740.0,69240.0,70290.0,83740.0,84720.0,102060.0,77390.0,85920.0,67450.0,67270.0,66660.0,73920.0,78290.0,82800.0,100000.0,67990.0,90080.0,78500.0,79440.0,75030.0,63000.0,82990.0,85580.0,87620.0,75460.0,72630.0,63960.0,75370.0,67370.0,90420.0,80380.0,88790.0,64270.0,78800.0,79890.0,71930.0,48950.0,67990.0,59581.42857142857,6705.0,1636.0,22106.0,5549.0,88710.0,7740.0,6420.0,3824.0,7790.0,29680.0,25592.0,2259.0,2952.0,18941.0,9106.0,6509.0,3560.0,7754.0,3970.000000000001,1790.0,17963.0,23458.0,17287.0,10920.0,1720.0,12449.0,1480.0,6171.0,7825.0,1730.0,23671.0,4268.0,41794.0,20132.0,990.0,19990.0,7523.0,9533.0,35231.0,970.0,8465.0,2010.0,7989.999999999999,76296.0,6687.0,1960.0,15190.0,19794.0,1720.0,10155.0,1032.0,462.0,9728.0,409.0
Compile and maintain regulatory documentation databases or systems.,compile and maintain regulatory documentation databases or systems,Maintain data in information systems or databases.,Maintain operational records.,Documenting/Recording Information,Regulatory Affairs Specialists,regulatory affairs specialists,13-1041.07,Regulatory Affairs Specialists,13-1041,13-1041.07,Compliance Officers,Business Operations Specialists,Business and Financial Operations Occupations,False,5.0,0.0033900415291399,2026-02-12,0.889866923076923,3.79,95.0,1.0666666666666669,4,4,3.0,E1,E2,80730.0,72990.0,76430.0,74920.0,64680.0,96980.0,82450.0,91810.0,91050.0,111030.0,74920.0,70200.0,82590.0,75450.0,80550.0,78770.0,75620.0,69740.0,69240.0,70290.0,83740.0,84720.0,102060.0,77390.0,85920.0,67450.0,67270.0,66660.0,73920.0,78290.0,82800.0,100000.0,67990.0,90080.0,78500.0,79440.0,75030.0,63000.0,82990.0,85580.0,87620.0,75460.0,72630.0,63960.0,75370.0,67370.0,90420.0,80380.0,88790.0,64270.0,78800.0,79890.0,71930.0,48950.0,67990.0,59581.42857142857,6705.0,1636.0,22106.0,5549.0,88710.0,7740.0,6420.0,3824.0,7790.0,29680.0,25592.0,2259.0,2952.0,18941.0,9106.0,6509.0,3560.0,7754.0,3970.000000000001,1790.0,17963.0,23458.0,17287.0,10920.0,1720.0,12449.0,1480.0,6171.0,7825.0,1730.0,23671.0,4268.0,41794.0,20132.0,990.0,19990.0,7523.0,9533.0,35231.0,970.0,8465.0,2010.0,7989.999999999999,76296.0,6687.0,1960.0,15190.0,19794.0,1720.0,10155.0,1032.0,462.0,9728.0,409.0
"Obtain and distribute updated information regarding domestic or international laws, guidelines, or standards.",obtain and distribute updated information regarding domestic or international laws guidelines or standards,Update knowledge of legal or regulatory environments.,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge,Regulatory Affairs Specialists,regulatory affairs specialists,13-1041.07,Regulatory Affairs Specialists,13-1041,13-1041.07,Compliance Officers,Business Operations Specialists,Business and Financial Operations Occupations,False,5.0,0.0038306416056915,2026-02-12,0.3361538461538461,3.45,100.0,1.0666666666666669,4,4,3.0,E2,E2,80730.0,72990.0,76430.0,74920.0,64680.0,96980.0,82450.0,91810.0,91050.0,111030.0,74920.0,70200.0,82590.0,75450.0,80550.0,78770.0,75620.0,69740.0,69240.0,70290.0,83740.0,84720.0,102060.0,77390.0,85920.0,67450.0,67270.0,66660.0,73920.0,78290.0,82800.0,100000.0,67990.0,90080.0,78500.0,79440.0,75030.0,63000.0,82990.0,85580.0,87620.0,75460.0,72630.0,63960.0,75370.0,67370.0,90420.0,80380.0,88790.0,64270.0,78800.0,79890.0,71930.0,48950.0,67990.0,59581.42857142857,6705.0,1636.0,22106.0,5549.0,88710.0,7740.0,6420.0,3824.0,7790.0,29680.0,25592.0,2259.0,2952.0,18941.0,9106.0,6509.0,3560.0,7754.0,3970.000000000001,1790.0,17963.0,23458.0,17287.0,10920.0,1720.0,12449.0,1480.0,6171.0,7825.0,1730.0,23671.0,4268.0,41794.0,20132.0,990.0,19990.0,7523.0,9533.0,35231.0,970.0,8465.0,2010.0,7989.999999999999,76296.0,6687.0,1960.0,15190.0,19794.0,1720.0,10155.0,1032.0,462.0,9728.0,409.0
"Prepare responses to customer requests for information, such as product data, written regulatory affairs statements, surveys, or questionnaires.",prepare responses to customer requests for information such as product data written regulatory affairs statements surveys or questionnaires,Correspond with customers to answer questions or resolve complaints.,Respond to customer problems or inquiries.,Performing for or Working Directly with the Public,Regulatory Affairs Specialists,regulatory affairs specialists,13-1041.07,Regulatory Affairs Specialists,13-1041,13-1041.07,Compliance Officers,Business Operations Specialists,Business and Financial Operations Occupations,False,5.0,0.0036276275099226,2026-02-12,0.1624292307692307,2.94,85.0,1.0666666666666669,4,4,3.0,E1,E1,80730.0,72990.0,76430.0,74920.0,64680.0,96980.0,82450.0,91810.0,91050.0,111030.0,74920.0,70200.0,82590.0,75450.0,80550.0,78770.0,75620.0,69740.0,69240.0,70290.0,83740.0,84720.0,102060.0,77390.0,85920.0,67450.0,67270.0,66660.0,73920.0,78290.0,82800.0,100000.0,67990.0,90080.0,78500.0,79440.0,75030.0,63000.0,82990.0,85580.0,87620.0,75460.0,72630.0,63960.0,75370.0,67370.0,90420.0,80380.0,88790.0,64270.0,78800.0,79890.0,71930.0,48950.0,67990.0,59581.42857142857,6705.0,1636.0,22106.0,5549.0,88710.0,7740.0,6420.0,3824.0,7790.0,29680.0,25592.0,2259.0,2952.0,18941.0,9106.0,6509.0,3560.0,7754.0,3970.000000000001,1790.0,17963.0,23458.0,17287.0,10920.0,1720.0,12449.0,1480.0,6171.0,7825.0,1730.0,23671.0,4268.0,41794.0,20132.0,990.0,19990.0,7523.0,9533.0,35231.0,970.0,8465.0,2010.0,7989.999999999999,76296.0,6687.0,1960.0,15190.0,19794.0,1720.0,10155.0,1032.0,462.0,9728.0,409.0
"Prepare and process import and export documentation according to customs regulations, laws, or procedures.",prepare and process import and export documentation according to customs regulations laws or procedures,Oversee business processes.,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates",Customs Brokers,customs brokers,13-1199.03,Customs Brokers,13-1041,13-1041.08,Compliance Officers,Business Operations Specialists,Business and Financial Operations Occupations,False,5.0,0.0082034257518486,2026-02-12,5.77,4.85,100.0,1.0,4,3,3.0,E2,E1,80730.0,72990.0,76430.0,74920.0,64680.0,96980.0,82450.0,91810.0,91050.0,111030.0,74920.0,70200.0,82590.0,75450.0,80550.0,78770.0,75620.0,69740.0,69240.0,70290.0,83740.0,84720.0,102060.0,77390.0,85920.0,67450.0,67270.0,66660.0,73920.0,78290.0,82800.0,100000.0,67990.0,90080.0,78500.0,79440.0,75030.0,63000.0,82990.0,85580.0,87620.0,75460.0,72630.0,63960.0,75370.0,67370.0,90420.0,80380.0,88790.0,64270.0,78800.0,79890.0,71930.0,48950.0,67990.0,59581.42857142857,5689.0,1388.0,18758.0,4708.0,75272.0,7740.000000000001,5448.0,3244.0,6610.0,29680.000000000004,21716.0,1917.0,2505.0,16072.0,7726.0,5523.0,3560.0000000000005,6580.0,3970.0,1790.0,15242.0,19905.0,14668.0,9266.0,1720.0,10563.0,1479.9999999999998,5236.0,6640.0,1730.0,20086.0,3622.0,35463.0,17083.0,990.0,16962.0,6383.0,8089.0,29895.0,970.0,7183.0,1705.0,7989.999999999999,64739.0,5674.0,1960.0,15190.0,16796.0,1720.0,8617.0,875.0,392.0,8255.0,347.0
"Stay abreast of changes in import or export laws or regulations by reading current literature, attending meetings or conferences, or conferring with colleagues.",stay abreast of changes in import or export laws or regulations by reading current literature attending meetings or conferences or conferring with colleagues,Update knowledge of legal or regulatory environments.,Maintain current knowledge in area of expertise.,Updating and Using Relevant Knowledge,Customs Brokers,customs brokers,13-1199.03,Customs Brokers,13-1041,13-1041.08,Compliance Officers,Business Operations Specialists,Business and Financial Operations Occupations,False,5.0,0.0067309488274789,2026-02-12,1.3346153846153848,4.45,100.0,1.0,4,3,3.0,E2,E2,80730.0,72990.0,76430.0,74920.0,64680.0,96980.0,82450.0,91810.0,91050.0,111030.0,74920.0,70200.0,82590.0,75450.0,80550.0,78770.0,75620.0,69740.0,69240.0,70290.0,83740.0,84720.0,102060.0,77390.0,85920.0,67450.0,67270.0,66660.0,73920.0,78290.0,82800.0,100000.0,67990.0,90080.0,78500.0,79440.0,75030.0,63000.0,82990.0,85580.0,87620.0,75460.0,72630.0,63960.0,75370.0,67370.0,90420.0,80380.0,88790.0,64270.0,78800.0,79890.0,71930.0,48950.0,67990.0,59581.42857142857,5689.0,1388.0,18758.0,4708.0,75272.0,7740.000000000001,5448.0,3244.0,6610.0,29680.000000000004,21716.0,1917.0,2505.0,16072.0,7726.0,5523.0,3560.0000000000005,6580.0,3970.0,1790.0,15242.0,19905.0,14668.0,9266.0,1720.0,10563.0,1479.9999999999998,5236.0,6640.0,1730.0,20086.0,3622.0,35463.0,17083.0,990.0,16962.0,6383.0,8089.0,29895.0,970.0,7183.0,1705.0,7989.999999999999,64739.0,5674.0,1960.0,15190.0,16796.0,1720.0,8617.0,875.0,392.0,8255.0,347.0
Monitor or trace the location of goods.,monitor or trace the location of goods,Monitor inventories of products or materials.,Monitor resources or inventories.,Monitoring and Controlling Resources,Customs Brokers,customs brokers,13-1199.03,Customs Brokers,13-1041,13-1041.08,Compliance Officers,Business Operations Specialists,Business and Financial Operations Occupations,False,5.0,0.009235456463266,2026-02-12,2.3953846153846152,4.05,100.0,1.0,4,3,3.0,E2,E2,80730.0,72990.0,76430.0,74920.0,64680.0,96980.0,82450.0,91810.0,91050.0,111030.0,74920.0,70200.0,82590.0,75450.0,80550.0,78770.0,75620.0,69740.0,69240.0,70290.0,83740.0,84720.0,102060.0,77390.0,85920.0,67450.0,67270.0,66660.0,73920.0,78290.0,82800.0,100000.0,67990.0,90080.0,78500.0,79440.0,75030.0,63000.0,82990.0,85580.0,87620.0,75460.0,72630.0,63960.0,75370.0,67370.0,90420.0,80380.0,88790.0,64270.0,78800.0,79890.0,71930.0,48950.0,67990.0,59581.42857142857,5689.0,1388.0,18758.0,4708.0,75272.0,7740.000000000001,5448.0,3244.0,6610.0,29680.000000000004,21716.0,1917.0,2505.0,16072.0,7726.0,5523.0,3560.0000000000005,6580.0,3970.0,1790.0,15242.0,19905.0,14668.0,9266.0,1720.0,10563.0,1479.9999999999998,5236.0,6640.0,1730.0,20086.0,3622.0,35463.0,17083.0,990.0,16962.0,6383.0,8089.0,29895.0,970.0,7183.0,1705.0,7989.999999999999,64739.0,5674.0,1960.0,15190.0,16796.0,1720.0,8617.0,875.0,392.0,8255.0,347.0
"Provide advice on transportation options, types of carriers, or shipping routes.",provide advice on transportation options types of carriers or shipping routes,Advise others on logistics topics.,Advise others on business or operational matters.,Providing Consultation and Advice to Others,Customs Brokers,customs brokers,13-1199.03,Customs Brokers,13-1041,13-1041.08,Compliance Officers,Business Operations Specialists,Business and Financial Operations Occupations,False,5.0,0.0139999775209083,2026-02-12,1.2116461538461538,3.47,85.0,1.0,4,3,3.0,E1,E2,80730.0,72990.0,76430.0,74920.0,64680.0,96980.0,82450.0,91810.0,91050.0,111030.0,74920.0,70200.0,82590.0,75450.0,80550.0,78770.0,75620.0,69740.0,69240.0,70290.0,83740.0,84720.0,102060.0,77390.0,85920.0,67450.0,67270.0,66660.0,73920.0,78290.0,82800.0,100000.0,67990.0,90080.0,78500.0,79440.0,75030.0,63000.0,82990.0,85580.0,87620.0,75460.0,72630.0,63960.0,75370.0,67370.0,90420.0,80380.0,88790.0,64270.0,78800.0,79890.0,71930.0,48950.0,67990.0,59581.42857142857,5689.0,1388.0,18758.0,4708.0,75272.0,7740.000000000001,5448.0,3244.0,6610.0,29680.000000000004,21716.0,1917.0,2505.0,16072.0,7726.0,5523.0,3560.0000000000005,6580.0,3970.0,1790.0,15242.0,19905.0,14668.0,9266.0,1720.0,10563.0,1479.9999999999998,5236.0,6640.0,1730.0,20086.0,3622.0,35463.0,17083.0,990.0,16962.0,6383.0,8089.0,29895.0,970.0,7183.0,1705.0,7989.999999999999,64739.0,5674.0,1960.0,15190.0,16796.0,1720.0,8617.0,875.0,392.0,8255.0,347.0
"Assess cost effectiveness of products, projects or services, tracking actual costs relative to bids as the project develops.",assess cost effectiveness of products projects or services tracking actual costs relative to bids as the project develops,Monitor financial indicators.,Monitor financial data or activities.,"Monitoring Processes, Materials, or Surroundings",Cost Estimators,cost estimators,13-1051.00,Cost Estimators,13-1051,13-1051.00,Cost Estimators,Business Operations Specialists,Business and Financial Operations Occupations,False,4.9184314096868444,0.0014789213293204,2026-02-12,0.2336584615384615,4.1,95.45,0.9285714285714286,4,4,-4.2,E2,E2,78740.0,74990.0,97020.0,77010.0,61470.0,85460.0,86940.0,81030.0,79290.0,82730.0,74990.0,76800.0,80360.0,79700.0,82750.0,73430.0,76040.0,76250.0,74880.0,77030.0,74080.0,81190.0,100840.0,77990.0,80810.0,71230.0,76020.0,77320.0,73100.0,82200.0,79560.0,80570.0,67590.0,80430.0,74730.0,73280.0,77730.0,67800.0,80460.0,78480.0,81990.0,70260.0,74950.0,75650.0,76980.0,79610.0,81390.0,80530.0,86070.0,77480.0,76270.0,90790.0,63350.0,47130.0,78740.0,224220.0,3000.0,220.0,5760.0,1400.0,26020.0,6100.0,2350.0,730.0,270.0,13720.0,6010.0,1040.0,1600.0,5990.0,4810.0,1870.0,2250.0,1960.0,2680.0,760.0,4580.0,4520.0,6960.0,4310.0,1280.0,6580.0,1230.0,1330.0,2240.0,980.0,5240.0,900.0000000000001,11980.0,8030.0,730.0,8100.0,1860.0,2940.0,9420.0,590.0,2880.0,1030.0,4340.0,20760.0,2800.0,320.0,5840.0,7470.0,830.0,5150.0,440.0,70.0,560.0,46.0
