category,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,dataset_confirmed,level_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,dataset_ceiling,level_ceiling,pct_tasks_affected_gap,workers_affected_gap,wages_affected_gap
Maintain records of customer accounts.,63.43,30888.23,2133527347.52,AEI Both + Micro 2026-02-12,dwa,100.00,238126.29,15641818522.85,All 2026-02-18,dwa,36.57,207238.06,13508291175.33
"Operate cranes, hoists, or other moving or lifting equipment.",1.29,476.14,25929393.48,AEI Both + Micro 2026-02-12,dwa,28.57,205956.42,9457375981.46,All 2026-02-18,dwa,27.28,205480.28,9431446587.98
"Send information, materials or documentation.",30.48,111290.10,5957870013.36,AEI Both + Micro 2026-02-12,dwa,72.05,313473.53,14988569627.03,All 2026-02-18,dwa,41.58,202183.43,9030699613.67
Assign duties or work schedules to employees.,13.32,18804.16,1163543559.56,AEI Both + Micro 2026-02-12,dwa,68.32,216466.69,14835546571.15,All 2026-02-18,dwa,55.00,197662.52,13672003011.59
Maintain financial or account records.,32.76,471212.45,20489096434.08,AEI Both + Micro 2026-02-12,dwa,73.47,666886.81,29347115162.28,All 2026-02-18,dwa,40.71,195674.36,8858018728.20
Negotiate prices or other sales terms.,22.75,75599.20,5390384907.05,AEI Both + Micro 2026-02-12,dwa,72.21,263648.27,18582830955.96,All 2026-02-18,dwa,49.46,188049.06,13192446048.92
Monitor inventories of products or materials.,36.47,135542.99,7614019627.94,AEI Both + Micro 2026-02-12,dwa,76.74,312449.83,16676117429.27,All 2026-02-18,dwa,40.28,176906.84,9062097801.33
Maintain operational records.,17.03,107416.41,10538166329.64,AEI Both + Micro 2026-02-12,dwa,63.36,280108.00,21748177565.05,All 2026-02-18,dwa,46.33,172691.59,11210011235.41
Record sales or transactions data.,16.13,9462.28,329760375.58,AEI Both + Micro 2026-02-12,dwa,77.39,177054.66,6302496590.55,All 2026-02-18,dwa,61.26,167592.38,5972736214.97
Operate vehicles or material-moving equipment.,0.55,9866.65,887214309.24,AEI Both + Micro 2026-02-12,dwa,24.15,174369.96,9044581208.59,All 2026-02-18,dwa,23.60,164503.31,8157366899.34
Maintain inventory records.,9.70,2735.61,98509392.62,AEI Both + Micro 2026-02-12,dwa,49.13,165911.07,8652382378.54,All 2026-02-18,dwa,39.43,163175.46,8553872985.92
Maintain medical records.,48.84,149231.71,7752105649.59,AEI Both + Micro 2026-02-12,dwa,66.07,291081.47,13738229326.05,All 2026-02-18,dwa,17.22,141849.76,5986123676.46
Record personnel information.,42.89,98072.59,4990093739.41,AEI Both + Micro 2026-02-12,dwa,83.98,237684.38,12638729112.31,All 2026-02-18,dwa,41.09,139611.79,7648635372.90
Evaluate employee performance.,26.83,96929.21,13877996647.79,AEI Both + Micro 2026-02-12,dwa,61.09,233857.99,27448556423.33,All 2026-02-18,dwa,34.25,136928.77,13570559775.55
Monitor building premises to ensure occupant or visitor safety.,0.00,0.00,0.00,AEI Both + Micro 2026-02-12,dwa,41.28,128519.31,4606767272.36,All 2026-02-18,dwa,41.28,128519.31,4606767272.36
"Prepare documentation for contracts, transactions, or regulatory compliance.",71.12,744498.78,33586855157.38,AEI Both + Micro 2026-02-12,dwa,83.21,870312.12,39069753180.83,All 2026-02-18,dwa,12.09,125813.34,5482898023.46
Mark materials or objects for identification.,27.05,98822.97,3990245151.02,AEI Both + Micro 2026-02-12,dwa,53.52,219728.90,8706579997.05,All 2026-02-18,dwa,26.46,120905.93,4716334846.03
Package objects for shipping.,0.00,0.00,0.00,AEI Both + Micro 2026-02-12,dwa,24.14,116182.37,4386605319.26,All 2026-02-18,dwa,24.14,116182.37,4386605319.26
Analyze shipping information to make routing decisions.,31.83,17182.42,718001932.56,AEI Both + Micro 2026-02-12,dwa,75.69,128099.73,5541976403.56,All 2026-02-18,dwa,43.86,110917.31,4823974471.00
Answer telephones to direct calls or provide information.,74.76,1250039.96,55055653566.71,AEI Both + Micro 2026-02-12,dwa,85.94,1359997.99,59596093945.25,All 2026-02-18,dwa,11.18,109958.03,4540440378.54
Record shipping information.,46.34,8992.31,368300334.05,AEI Both + Micro 2026-02-12,dwa,70.29,118734.02,4794792798.94,All 2026-02-18,dwa,23.95,109741.70,4426492464.89
"Prepare financial documents, reports, or budgets.",24.45,136119.08,12608601110.53,AEI Both + Micro 2026-02-12,dwa,55.59,244999.18,21298798897.00,All 2026-02-18,dwa,31.14,108880.11,8690197786.47
Record patient medical histories.,28.70,312897.86,32255382637.36,AEI Both + Micro 2026-02-12,dwa,43.23,421412.16,41605862833.55,All 2026-02-18,dwa,14.53,108514.29,9350480196.19
Manage information technology projects or system activities.,39.12,42589.79,4642487043.44,AEI Both + Micro 2026-02-12,dwa,71.38,148591.92,14554359144.16,All 2026-02-18,dwa,32.26,106002.13,9911872100.73
Record service or repair activities.,5.94,667.05,32805440.77,AEI Both + Micro 2026-02-12,dwa,69.45,100600.56,5788031472.08,All 2026-02-18,dwa,63.52,99933.51,5755226031.31
Operate office equipment.,63.06,594103.63,26790153375.45,AEI Both + Micro 2026-02-12,dwa,72.53,693991.76,31473536638.32,All 2026-02-18,dwa,9.47,99888.13,4683383262.87
Record vital statistics or other health information.,30.66,31562.24,1300661224.75,AEI Both + Micro 2026-02-12,dwa,53.26,129389.31,5397890088.94,All 2026-02-18,dwa,22.60,97827.07,4097228864.18
Collect payments for goods or services.,9.75,7063.38,526810682.42,AEI Both + Micro 2026-02-12,dwa,64.12,104286.92,8694804625.65,All 2026-02-18,dwa,54.37,97223.54,8167993943.23
Analyze business or financial data.,74.88,266294.60,23152396264.75,AEI Both + Micro 2026-02-12,dwa,86.11,362774.65,31767269269.74,All 2026-02-18,dwa,11.23,96480.05,8614873004.99
Schedule operational activities.,39.93,109424.43,5575809026.33,AEI Both + Micro 2026-02-12,dwa,81.72,204283.00,12042375847.22,All 2026-02-18,dwa,41.79,94858.57,6466566820.89
Prepare operational budgets.,17.08,32325.71,3025403478.15,AEI Both + Micro 2026-02-12,dwa,69.49,126024.80,12038870948.25,All 2026-02-18,dwa,52.41,93699.09,9013467470.10
Supervise employees.,12.94,86253.82,6084690161.03,AEI Both + Micro 2026-02-12,dwa,20.80,177396.85,16446846060.35,All 2026-02-18,dwa,7.86,91143.04,10362155899.33
Arrange delivery of goods or services.,19.90,11115.56,477385543.81,AEI Both + Micro 2026-02-12,dwa,46.64,100615.50,4381775705.37,All 2026-02-18,dwa,26.74,89499.94,3904390161.56
Maintain repair or maintenance records.,5.77,14090.32,685353158.42,AEI Both + Micro 2026-02-12,dwa,72.40,103521.67,6522666680.46,All 2026-02-18,dwa,66.63,89431.35,5837313522.04
Prepare sales or other contracts.,67.22,359223.50,18751168673.71,AEI Both + Micro 2026-02-12,dwa,81.44,446744.41,22600496434.38,All 2026-02-18,dwa,14.22,87520.91,3849327760.66
"Issue money, credit, or vouchers.",53.38,209945.53,6603698535.43,AEI Both + Micro 2026-02-12,dwa,72.03,297234.86,9350176994.47,All 2026-02-18,dwa,18.65,87289.33,2746478459.04
Position material handling equipment.,0.00,0.00,0.00,AEI Both + Micro 2026-02-12,dwa,28.49,86660.84,4024227735.93,All 2026-02-18,dwa,28.49,86660.84,4024227735.93
