category,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,dataset_confirmed,agg_level_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,dataset_ceiling,agg_level_ceiling,pct_tasks_affected_gap,workers_affected_gap,wages_affected_gap
"Law, Criminal Justice, and Social Work Teachers, Postsecondary",74.16,36930.21,3634236399.69,AEI Both + Micro 2026-02-12,broad,80.94,40313.52,3960429239.28,All 2026-02-18,broad,6.78,3383.31,326192839.59
Advertising and Promotions Managers,53.17,11218.05,1424243219.10,AEI Both + Micro 2026-02-12,broad,68.99,14557.84,1848263989.43,All 2026-02-18,broad,15.83,3339.80,424020770.33
"Switchboard Operators, Including Answering Service",72.58,25931.14,994977971.37,AEI Both + Micro 2026-02-12,broad,81.88,29256.27,1122563253.60,All 2026-02-18,broad,9.31,3325.13,127585282.23
"Education and Library Science Teachers, Postsecondary",79.77,52316.36,3792311546.83,AEI Both + Micro 2026-02-12,broad,85.35,55639.94,4033463943.92,All 2026-02-18,broad,5.58,3323.57,241152397.10
"News Analysts, Reporters and Journalists",50.37,20929.75,1261645030.05,AEI Both + Micro 2026-02-12,broad,58.29,24221.55,1460074802.99,All 2026-02-18,broad,7.92,3291.80,198429772.94
Railroad Conductors and Yardmasters,18.88,8062.06,597237591.99,AEI Both + Micro 2026-02-12,broad,26.48,11310.07,837849802.85,All 2026-02-18,broad,7.60,3248.01,240612210.86
"Graders and Sorters, Agricultural Products",10.06,2701.89,95728014.83,AEI Both + Micro 2026-02-12,broad,21.78,5851.72,207326604.93,All 2026-02-18,broad,11.72,3149.83,111598590.10
Ship and Boat Captains and Operators,15.62,7277.40,617455880.52,AEI Both + Micro 2026-02-12,broad,23.44,10417.63,880822204.83,All 2026-02-18,broad,7.82,3140.23,263366324.31
Crane and Tower Operators,15.25,6403.02,424968572.59,AEI Both + Micro 2026-02-12,broad,22.62,9498.85,630438533.93,All 2026-02-18,broad,7.37,3095.83,205469961.34
Broadcast Announcers and Radio Disc Jockeys,42.82,10224.78,467067914.81,AEI Both + Micro 2026-02-12,broad,55.70,13300.35,607560069.09,All 2026-02-18,broad,12.88,3075.57,140492154.28
Couriers and Messengers,33.87,24357.33,933860091.60,AEI Both + Micro 2026-02-12,broad,38.11,27406.20,1050753816.07,All 2026-02-18,broad,4.24,3048.87,116893724.47
Elevator and Escalator Installers and Repairers,8.02,1870.96,199406933.97,AEI Both + Micro 2026-02-12,broad,21.05,4914.11,523745605.97,All 2026-02-18,broad,13.04,3043.15,324338672.00
Tool and Die Makers,22.89,12620.15,797340909.35,AEI Both + Micro 2026-02-12,broad,28.19,15543.64,982047015.51,All 2026-02-18,broad,5.30,2923.49,184706106.16
Flight Attendants,36.73,47790.70,3208189751.53,AEI Both + Micro 2026-02-12,broad,38.93,50657.03,3400606732.69,All 2026-02-18,broad,2.20,2866.33,192416981.16
"Metal Furnace Operators, Tenders, Pourers, and Casters",17.61,4647.44,252393308.58,AEI Both + Micro 2026-02-12,broad,27.24,7509.40,409977205.36,All 2026-02-18,broad,9.64,2861.96,157583896.78
"Miscellaneous Textile, Apparel, and Furnishings Workers",20.07,7445.39,354969926.68,AEI Both + Micro 2026-02-12,broad,28.12,10254.30,489209655.63,All 2026-02-18,broad,8.05,2808.91,134239728.95
Urban and Regional Planners,41.57,17893.08,1498008887.48,AEI Both + Micro 2026-02-12,broad,48.09,20696.99,1732751935.13,All 2026-02-18,broad,6.51,2803.91,234743047.65
Miscellaneous Social Scientists and Related Workers,66.31,31613.91,3180702024.15,AEI Both + Micro 2026-02-12,broad,70.16,34350.15,3427136471.62,All 2026-02-18,broad,3.85,2736.24,246434447.47
Miscellaneous Health Technologists and Technicians,18.78,108930.04,5371824611.99,AEI Both + Micro 2026-02-12,broad,23.09,111657.42,5515678095.22,All 2026-02-18,broad,4.30,2727.38,143853483.23
Bioengineers and Biomedical Engineers,40.11,8767.64,937699357.97,AEI Both + Micro 2026-02-12,broad,51.82,11328.68,1211602123.77,All 2026-02-18,broad,11.72,2561.04,273902765.79
Chemical Engineers,45.78,9307.81,1134249720.69,AEI Both + Micro 2026-02-12,broad,57.92,11776.05,1435029599.15,All 2026-02-18,broad,12.14,2468.24,300779878.47
Chemical Technicians,52.62,29280.34,1692110881.90,AEI Both + Micro 2026-02-12,broad,56.76,31583.28,1825197687.17,All 2026-02-18,broad,4.14,2302.94,133086805.26
Private Detectives and Investigators,60.57,23438.69,1227483937.34,AEI Both + Micro 2026-02-12,broad,66.41,25700.62,1345941548.17,All 2026-02-18,broad,5.84,2261.94,118457610.82
Compensation and Benefits Managers,55.61,11160.77,1566525265.20,AEI Both + Micro 2026-02-12,broad,66.71,13388.81,1879253068.89,All 2026-02-18,broad,11.10,2228.04,312727803.69
"Opticians, Dispensing",20.21,16102.27,749721726.01,AEI Both + Micro 2026-02-12,broad,22.98,18311.99,852606187.57,All 2026-02-18,broad,2.77,2209.72,102884461.56
"Credit Authorizers, Checkers, and Clerks",35.11,4198.94,206293903.94,AEI Both + Micro 2026-02-12,broad,53.51,6400.25,314444363.79,All 2026-02-18,broad,18.41,2201.31,108150459.85
Petroleum Engineers,20.42,3873.29,547218150.61,AEI Both + Micro 2026-02-12,broad,32.02,6073.62,858081555.53,All 2026-02-18,broad,11.60,2200.34,310863404.92
Septic Tank Servicers and Sewer Pipe Cleaners,21.23,6168.62,303126116.99,AEI Both + Micro 2026-02-12,broad,28.53,8289.32,407336998.47,All 2026-02-18,broad,7.30,2120.69,104210881.48
Gambling Cage Workers,31.39,4234.91,156649465.60,AEI Both + Micro 2026-02-12,broad,46.57,6282.70,232397061.48,All 2026-02-18,broad,15.18,2047.79,75747595.89
Sailors and Marine Oilers,8.72,2734.11,135639201.36,AEI Both + Micro 2026-02-12,broad,15.20,4768.03,236541722.24,All 2026-02-18,broad,6.49,2033.91,100902520.88
"Tank Car, Truck, and Ship Loaders",14.53,1587.14,92165439.29,AEI Both + Micro 2026-02-12,broad,33.08,3612.18,209759246.69,All 2026-02-18,broad,18.54,2025.04,117593807.40
Line Installers and Repairers,29.40,64115.97,5087731194.09,AEI Both + Micro 2026-02-12,broad,30.29,66135.71,5261171646.73,All 2026-02-18,broad,0.89,2019.74,173440452.65
Photographic Process Workers and Processing Machine Operators,20.87,1158.54,46457486.24,AEI Both + Micro 2026-02-12,broad,57.22,3175.61,127342061.19,All 2026-02-18,broad,36.34,2017.07,80884574.95
Structural Iron and Steel Workers,9.69,6272.90,393310609.30,AEI Both + Micro 2026-02-12,broad,12.69,8211.41,514855105.85,All 2026-02-18,broad,3.00,1938.51,121544496.56
"Morticians, Undertakers, and Funeral Arrangers",22.38,5752.43,286470831.03,AEI Both + Micro 2026-02-12,broad,29.57,7598.46,378403415.16,All 2026-02-18,broad,7.18,1846.04,91932584.13
"Engineering and Architecture Teachers, Postsecondary",80.55,40142.43,4227098864.18,AEI Both + Micro 2026-02-12,broad,85.20,41971.18,4418319195.12,All 2026-02-18,broad,4.65,1828.76,191220330.95
Materials Engineers,25.35,5771.79,625142630.57,AEI Both + Micro 2026-02-12,broad,33.29,7579.31,820914712.15,All 2026-02-18,broad,7.94,1807.52,195772081.58
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",15.67,17258.19,723925205.36,AEI Both + Micro 2026-02-12,broad,17.23,19028.77,791613416.93,All 2026-02-18,broad,1.56,1770.57,67688211.57
Traffic Technicians,26.05,1974.31,115457414.48,AEI Both + Micro 2026-02-12,broad,48.49,3675.58,214947702.09,All 2026-02-18,broad,22.44,1701.27,99490287.61
Occupational Therapy Assistants and Aides,20.83,9383.47,600368881.05,AEI Both + Micro 2026-02-12,broad,25.71,11049.49,701839681.29,All 2026-02-18,broad,4.88,1666.01,101470800.24
Fire Inspectors,17.97,3361.70,253705862.74,AEI Both + Micro 2026-02-12,broad,32.34,5020.39,363648998.29,All 2026-02-18,broad,14.36,1658.69,109943135.55
Massage Therapists,20.80,19975.47,1157578282.70,AEI Both + Micro 2026-02-12,broad,22.52,21628.08,1253347319.14,All 2026-02-18,broad,1.72,1652.61,95769036.44
"Office Machine Operators, Except Computer",46.41,11481.15,447994386.29,AEI Both + Micro 2026-02-12,broad,53.09,13133.70,512476796.91,All 2026-02-18,broad,6.68,1652.55,64482410.62
Passenger Attendants,47.01,11913.27,447462237.47,AEI Both + Micro 2026-02-12,broad,53.50,13557.71,509227626.39,All 2026-02-18,broad,6.49,1644.45,61765388.92
Locomotive Engineers and Operators,18.43,6611.16,500163840.50,AEI Both + Micro 2026-02-12,broad,23.05,8159.17,616842213.04,All 2026-02-18,broad,4.62,1548.02,116678372.54
Logging Workers,11.74,1916.46,96207306.52,AEI Both + Micro 2026-02-12,broad,17.94,3459.01,171386806.83,All 2026-02-18,broad,6.20,1542.55,75179500.30
Surgeons,12.19,3201.68,814072021.00,AEI Both + Micro 2026-02-12,broad,18.15,4724.78,1198795221.17,All 2026-02-18,broad,5.96,1523.10,384723200.17
Miscellaneous Construction and Related Workers,14.19,4595.21,221121362.14,AEI Both + Micro 2026-02-12,broad,18.99,6116.78,294339672.32,All 2026-02-18,broad,4.80,1521.58,73218310.18
Nuclear Engineers,16.68,2458.24,313475286.04,AEI Both + Micro 2026-02-12,broad,26.83,3954.97,504338034.37,All 2026-02-18,broad,10.15,1496.73,190862748.34
"Agents and Business Managers of Artists, Performers, and Athletes",53.06,7545.45,726702745.36,AEI Both + Micro 2026-02-12,broad,63.29,8999.16,866709174.49,All 2026-02-18,broad,10.22,1453.71,140006429.13
"Drywall Installers, Ceiling Tile Installers, and Tapers",12.65,14100.19,827526773.68,AEI Both + Micro 2026-02-12,broad,13.56,15539.04,911181580.13,All 2026-02-18,broad,0.91,1438.85,83654806.45
Computer and Information Research Scientists,75.93,29217.43,4117028448.42,AEI Both + Micro 2026-02-12,broad,79.64,30645.83,4318303362.26,All 2026-02-18,broad,3.71,1428.39,201274913.83
Farm and Home Management Educators,36.57,3751.84,218057136.83,AEI Both + Micro 2026-02-12,broad,50.40,5170.59,300514711.29,All 2026-02-18,broad,13.83,1418.75,82457574.46
Forest and Conservation Technicians,22.14,6880.15,373661045.10,AEI Both + Micro 2026-02-12,broad,26.68,8291.85,450330618.43,All 2026-02-18,broad,4.54,1411.70,76669573.33
"Judges, Magistrates, and Other Judicial Workers",36.03,16199.88,1963492744.37,AEI Both + Micro 2026-02-12,broad,39.92,17610.01,2120488875.60,All 2026-02-18,broad,3.90,1410.13,156996131.24
"Miscellaneous Entertainers and Performers, Sports and Related Workers",25.07,2048.18,87717883.81,AEI Both + Micro 2026-02-12,broad,42.15,3443.77,147487216.54,All 2026-02-18,broad,17.08,1395.59,59769332.73
Emergency Management Directors,26.92,3383.22,291396661.21,AEI Both + Micro 2026-02-12,broad,37.78,4749.48,409072828.65,All 2026-02-18,broad,10.87,1366.26,117676167.43
"Pressers, Textile, Garment, and Related Materials",10.75,2885.35,97755580.03,AEI Both + Micro 2026-02-12,broad,15.78,4233.15,143419223.31,All 2026-02-18,broad,5.02,1347.81,45663643.28
Parking Enforcement Workers,18.67,1450.84,68407079.89,AEI Both + Micro 2026-02-12,broad,35.77,2779.45,131051239.92,All 2026-02-18,broad,17.10,1328.61,62644160.03
Veterinarians,34.16,27545.77,3457269497.66,AEI Both + Micro 2026-02-12,broad,35.79,28860.35,3622263094.10,All 2026-02-18,broad,1.63,1314.59,164993596.44
Correspondence Clerks,50.43,3157.19,147567116.07,AEI Both + Micro 2026-02-12,broad,71.06,4448.15,207906556.55,All 2026-02-18,broad,20.62,1290.96,60339440.48
Astronomers and Physicists,66.69,14815.01,2425005829.10,AEI Both + Micro 2026-02-12,broad,70.93,16104.47,2639329197.67,All 2026-02-18,broad,4.23,1289.46,214323368.57
Transportation Inspectors,20.83,4715.24,404331895.58,AEI Both + Micro 2026-02-12,broad,24.58,5997.55,514290150.82,All 2026-02-18,broad,3.76,1282.31,109958255.24
Subway and Streetcar Operators,16.84,1549.30,131427401.49,AEI Both + Micro 2026-02-12,broad,30.70,2823.95,239555662.08,All 2026-02-18,broad,13.85,1274.65,108128260.60
Conservation Scientists and Foresters,30.37,11683.96,797293396.58,AEI Both + Micro 2026-02-12,broad,34.53,12940.10,882926675.59,All 2026-02-18,broad,4.16,1256.14,85633279.01
Underground Mining Machine Operators,8.05,1670.41,111267922.72,AEI Both + Micro 2026-02-12,broad,13.52,2900.98,192757048.22,All 2026-02-18,broad,5.47,1230.57,81489125.50
Training and Development Managers,85.71,38536.10,4897553549.81,AEI Both + Micro 2026-02-12,broad,88.25,39679.15,5042823344.03,All 2026-02-18,broad,2.54,1143.05,145269794.22
Actuaries,45.67,12943.55,1627910758.20,AEI Both + Micro 2026-02-12,broad,49.65,14071.91,1769823667.82,All 2026-02-18,broad,3.98,1128.35,141912909.63
Environmental Engineers,37.92,14389.42,1498945413.87,AEI Both + Micro 2026-02-12,broad,40.73,15457.13,1610169047.72,All 2026-02-18,broad,2.81,1067.71,111223633.85
Dietitians and Nutritionists,52.54,40226.41,2970720220.44,AEI Both + Micro 2026-02-12,broad,53.92,41284.39,3048852185.50,All 2026-02-18,broad,1.38,1057.98,78131965.06
"Meter Readers, Utilities",42.77,8390.83,412660815.90,AEI Both + Micro 2026-02-12,broad,48.12,9441.03,464309712.82,All 2026-02-18,broad,5.35,1050.20,51648896.92
"Explosives Workers, Ordnance Handling Experts, and Blasters",5.05,594.00,35262244.26,AEI Both + Micro 2026-02-12,broad,13.67,1607.41,95422073.70,All 2026-02-18,broad,8.62,1013.41,60159829.44
"Archivists, Curators, and Museum Technicians",74.82,24023.01,1374305321.51,AEI Both + Micro 2026-02-12,broad,77.90,25024.73,1422230594.48,All 2026-02-18,broad,3.08,1001.72,47925272.97
"Business Teachers, Postsecondary",80.38,65731.58,6393710512.18,AEI Both + Micro 2026-02-12,broad,81.60,66728.83,6490713338.80,All 2026-02-18,broad,1.22,997.25,97002826.62
Agricultural and Food Scientists,43.06,14798.88,1161838706.79,AEI Both + Micro 2026-02-12,broad,45.59,15784.27,1232446248.81,All 2026-02-18,broad,2.52,985.39,70607542.02
Surface Mining Machine Operators and Earth Drillers,7.75,4481.41,239895656.77,AEI Both + Micro 2026-02-12,broad,12.75,5452.01,297514478.65,All 2026-02-18,broad,5.00,970.61,57618821.88
Chiropractors,36.39,13694.86,1081893856.02,AEI Both + Micro 2026-02-12,broad,38.87,14626.50,1155493240.57,All 2026-02-18,broad,2.48,931.64,73599384.55
Nurse Anesthetists,16.64,8378.90,1870255380.74,AEI Both + Micro 2026-02-12,broad,18.47,9299.13,2075659800.16,All 2026-02-18,broad,1.83,920.23,205404419.42
Clergy,72.16,41912.64,2549126559.92,AEI Both + Micro 2026-02-12,broad,73.75,42832.66,2605082517.91,All 2026-02-18,broad,1.58,920.03,55955957.98
Atmospheric and Space Scientists,58.78,5161.19,502957548.59,AEI Both + Micro 2026-02-12,broad,68.49,6013.74,586039095.13,All 2026-02-18,broad,9.71,852.56,83081546.54
Ship Engineers,7.43,637.16,64556662.47,AEI Both + Micro 2026-02-12,broad,16.55,1420.02,143876614.12,All 2026-02-18,broad,9.12,782.87,79319951.65
Marine Engineers and Naval Architects,29.69,2505.53,264759060.95,AEI Both + Micro 2026-02-12,broad,38.85,3279.29,346522111.83,All 2026-02-18,broad,9.17,773.76,81763050.88
Telephone Operators,52.49,2073.24,81125946.13,AEI Both + Micro 2026-02-12,broad,71.71,2832.68,110842861.17,All 2026-02-18,broad,19.23,759.44,29716915.04
Miscellaneous Sales and Related Workers,40.73,1869.61,64557712.78,AEI Both + Micro 2026-02-12,broad,56.92,2612.61,90213260.06,All 2026-02-18,broad,16.19,742.99,25655547.29
"Mining and Geological Engineers, Including Mining Safety Engineers",25.19,1705.08,172247661.32,AEI Both + Micro 2026-02-12,broad,36.10,2444.10,246902907.74,All 2026-02-18,broad,10.92,739.01,74655246.42
Animal Control Workers,47.12,5555.77,254620804.05,AEI Both + Micro 2026-02-12,broad,53.28,6281.62,287886732.70,All 2026-02-18,broad,6.16,725.85,33265928.65
Glaziers,15.47,8817.47,488840598.19,AEI Both + Micro 2026-02-12,broad,16.68,9506.93,527064271.23,All 2026-02-18,broad,1.21,689.46,38223673.03
Audiologists,21.24,3129.33,288274061.65,AEI Both + Micro 2026-02-12,broad,25.48,3753.54,345776244.99,All 2026-02-18,broad,4.24,624.21,57502183.33
Bridge and Lock Tenders,0.00,0.00,0.00,AEI Both + Micro 2026-02-12,broad,22.87,622.12,36388031.40,All 2026-02-18,broad,22.87,622.12,36388031.40
Motion Picture Projectionists,9.83,191.64,7316970.48,AEI Both + Micro 2026-02-12,broad,41.51,809.41,30903205.67,All 2026-02-18,broad,31.68,617.76,23586235.19
Legislators,47.74,12655.12,567076001.28,AEI Both + Micro 2026-02-12,broad,50.04,13264.84,594397382.79,All 2026-02-18,broad,2.30,609.72,27321381.51
Cabinetmakers and Bench Carpenters,23.19,18449.25,849034553.79,AEI Both + Micro 2026-02-12,broad,23.96,19054.86,876904514.53,All 2026-02-18,broad,0.76,605.61,27869960.75
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",5.52,687.70,45030593.96,AEI Both + Micro 2026-02-12,broad,10.36,1291.30,84554209.86,All 2026-02-18,broad,4.84,603.60,39523615.90
Structural Metal Fabricators and Fitters,8.66,4623.95,230734904.31,AEI Both + Micro 2026-02-12,broad,9.74,5197.11,259335635.43,All 2026-02-18,broad,1.07,573.16,28600731.11
"Tailors, Dressmakers, and Sewers",15.98,2766.60,110190439.12,AEI Both + Micro 2026-02-12,broad,17.88,3308.36,132326624.33,All 2026-02-18,broad,1.90,541.76,22136185.21
"Directors, Religious Activities and Education",60.18,12914.62,708237783.95,AEI Both + Micro 2026-02-12,broad,62.70,13455.68,737909694.01,All 2026-02-18,broad,2.52,541.06,29671910.06
"Farmers, Ranchers, and Other Agricultural Managers",12.11,715.88,62983117.81,AEI Both + Micro 2026-02-12,broad,20.79,1228.55,108087776.62,All 2026-02-18,broad,8.67,512.67,45104658.81
Proofreaders and Copy Markers,54.18,2795.73,137577808.08,AEI Both + Micro 2026-02-12,broad,64.10,3307.41,162757715.61,All 2026-02-18,broad,9.92,511.68,25179907.53
"Roustabouts, Oil and Gas",2.46,1112.86,52872129.44,AEI Both + Micro 2026-02-12,broad,3.54,1605.44,76274407.17,All 2026-02-18,broad,1.09,492.58,23402277.74
Hoist and Winch Operators,8.77,217.53,11378906.70,AEI Both + Micro 2026-02-12,broad,28.06,696.00,36407825.38,All 2026-02-18,broad,19.29,478.47,25028918.68
Wind Turbine Service Technicians,29.01,3254.59,203672324.84,AEI Both + Micro 2026-02-12,broad,33.26,3731.56,233520984.09,All 2026-02-18,broad,4.25,476.97,29848659.25
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.54,65.37,2244046.91,AEI Both + Micro 2026-02-12,broad,4.38,529.71,18184843.77,All 2026-02-18,broad,3.84,464.34,15940796.86
"Model Makers and Patternmakers, Metal and Plastic",25.37,1096.41,64275045.07,AEI Both + Micro 2026-02-12,broad,34.57,1551.48,91768211.34,All 2026-02-18,broad,9.19,455.07,27493166.27
Jewelers and Precious Stone and Metal Workers,23.01,5180.58,254573921.72,AEI Both + Micro 2026-02-12,broad,24.72,5633.88,276848655.98,All 2026-02-18,broad,1.71,453.29,22274734.27
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",13.39,4404.73,271683528.33,AEI Both + Micro 2026-02-12,broad,14.70,4834.83,298212044.51,All 2026-02-18,broad,1.31,430.10,26528516.18
Desktop Publishers,69.89,2795.73,149907109.57,AEI Both + Micro 2026-02-12,broad,80.07,3202.77,171732347.97,All 2026-02-18,broad,10.18,407.04,21825238.40
Nuclear Technicians,27.56,2378.27,247910514.47,AEI Both + Micro 2026-02-12,broad,38.00,2782.60,290057993.13,All 2026-02-18,broad,10.44,404.33,42147478.67
Survey Researchers,60.41,4663.42,295567726.94,AEI Both + Micro 2026-02-12,broad,65.33,5043.47,319655262.91,All 2026-02-18,broad,4.92,380.05,24087535.97
Agricultural Inspectors,28.01,3386.59,172682372.56,AEI Both + Micro 2026-02-12,broad,31.08,3757.98,191619585.81,All 2026-02-18,broad,3.07,371.39,18937213.24
Animal Trainers,14.76,2967.66,114997008.35,AEI Both + Micro 2026-02-12,broad,16.60,3338.48,129366230.45,All 2026-02-18,broad,1.84,370.82,14369222.11
Embalmers and Crematory Operators,12.07,793.35,38454228.20,AEI Both + Micro 2026-02-12,broad,17.76,1138.03,56652769.46,All 2026-02-18,broad,5.70,344.67,18198541.26
"Helpers, Construction Trades",11.75,24299.32,979593380.23,AEI Both + Micro 2026-02-12,broad,12.18,24609.76,992843963.78,All 2026-02-18,broad,0.43,310.44,13250583.56
Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,12.55,8282.95,375550909.92,AEI Both + Micro 2026-02-12,broad,13.20,8543.74,385570509.18,All 2026-02-18,broad,0.66,260.79,10019599.25
Economists,70.28,11059.49,1276708092.50,AEI Both + Micro 2026-02-12,broad,71.83,11317.89,1306536894.46,All 2026-02-18,broad,1.56,258.39,29828801.96
Solar Photovoltaic Installers,37.91,10721.61,556022628.88,AEI Both + Micro 2026-02-12,broad,38.80,10971.37,568975469.01,All 2026-02-18,broad,0.88,249.77,12952840.14
Advertising Sales Agents,83.62,81500.27,5009006853.49,AEI Both + Micro 2026-02-12,broad,83.84,81718.38,5022411507.33,All 2026-02-18,broad,0.22,218.10,13404653.84
Forest and Conservation Workers,11.78,663.48,28980944.38,AEI Both + Micro 2026-02-12,broad,14.95,841.84,36771404.39,All 2026-02-18,broad,3.17,178.35,7790460.02
Statistical Assistants,84.01,4956.30,254952071.69,AEI Both + Micro 2026-02-12,broad,86.25,5088.50,261752421.86,All 2026-02-18,broad,2.24,132.20,6800350.17
Rail-Track Laying and Maintenance Equipment Operators,0.00,0.00,0.00,AEI Both + Micro 2026-02-12,broad,0.77,127.57,8594172.98,All 2026-02-18,broad,0.77,127.57,8594172.98
Pest Control Workers,33.67,32357.78,1447363380.26,AEI Both + Micro 2026-02-12,broad,33.79,32479.17,1452793146.34,All 2026-02-18,broad,0.13,121.39,5429766.08
Mathematicians,71.19,1580.52,192317891.92,AEI Both + Micro 2026-02-12,broad,76.41,1696.37,206414749.56,All 2026-02-18,broad,5.22,115.85,14096857.64
Dredge Operators,0.00,0.00,0.00,AEI Both + Micro 2026-02-12,broad,10.32,106.27,5146778.09,All 2026-02-18,broad,10.32,106.27,5146778.09
Animal Breeders,47.23,817.13,42490601.59,AEI Both + Micro 2026-02-12,broad,53.29,921.91,47939568.61,All 2026-02-18,broad,6.06,104.79,5448967.02
Shoe and Leather Workers,9.51,1090.06,39778210.67,AEI Both + Micro 2026-02-12,broad,10.96,1187.93,43512670.43,All 2026-02-18,broad,1.45,97.86,3734459.76
Boilermakers,15.52,1578.87,115794638.26,AEI Both + Micro 2026-02-12,broad,16.31,1658.47,121632031.90,All 2026-02-18,broad,0.78,79.59,5837393.64
Miscellaneous Mathematical Science Occupations,87.67,4085.44,292068019.96,AEI Both + Micro 2026-02-12,broad,89.38,4164.94,297751615.80,All 2026-02-18,broad,1.71,79.50,5683595.84
Fish and Game Wardens,37.81,2427.34,165495887.91,AEI Both + Micro 2026-02-12,broad,38.96,2501.26,170535672.33,All 2026-02-18,broad,1.15,73.92,5039784.43
Agricultural Engineers,38.39,644.87,54575674.80,AEI Both + Micro 2026-02-12,broad,42.13,707.72,59894684.16,All 2026-02-18,broad,3.74,62.85,5319009.35
"Model Makers and Patternmakers, Wood",28.59,144.60,7535848.60,AEI Both + Micro 2026-02-12,broad,34.87,182.55,9509930.03,All 2026-02-18,broad,6.28,37.96,1974081.43
"Brickmasons, Blockmasons, and Stonemasons",16.01,10898.20,654672835.97,AEI Both + Micro 2026-02-12,broad,16.09,10920.55,655834842.68,All 2026-02-18,broad,0.08,22.35,1162006.71
Sociologists,70.51,2079.98,211513249.25,AEI Both + Micro 2026-02-12,broad,71.20,2100.46,213595484.11,All 2026-02-18,broad,0.69,20.48,2082234.86
Timing Device Assemblers and Adjusters,9.74,22.39,913475.80,AEI Both + Micro 2026-02-12,broad,11.05,25.41,1036379.80,All 2026-02-18,broad,1.31,3.01,122904.00
Painters and Paperhangers,21.50,44594.12,2169813770.39,AEI Both + Micro 2026-02-12,broad,21.50,44594.12,2169813770.39,All 2026-02-18,broad,0.00,0.00,0.00
Nurse Midwives,45.91,3801.12,489545994.76,AEI Both + Micro 2026-02-12,broad,45.91,3801.12,489545994.76,All 2026-02-18,broad,0.00,0.00,0.00
Dancers and Choreographers,36.14,3768.46,200517855.50,AEI Both + Micro 2026-02-12,broad,36.14,3768.46,200517855.50,All 2026-02-18,broad,0.00,0.00,0.00
Dentists,27.69,40435.63,7002890529.10,AEI Both + Micro 2026-02-12,broad,27.69,40435.63,7002890529.10,All 2026-02-18,broad,0.00,0.00,0.00
Optometrists,30.19,12646.24,1705093144.50,AEI Both + Micro 2026-02-12,broad,30.19,12646.24,1705093144.50,All 2026-02-18,broad,0.00,0.00,0.00
Plasterers and Stucco Masons,29.14,6085.38,340902760.22,AEI Both + Micro 2026-02-12,broad,29.14,6085.38,340902760.22,All 2026-02-18,broad,0.00,0.00,0.00
Dishwashers,5.27,24840.27,836371961.69,AEI Both + Micro 2026-02-12,broad,5.27,24840.27,836371961.69,All 2026-02-18,broad,0.00,0.00,0.00
Electricians,43.47,322787.42,20125795934.22,AEI Both + Micro 2026-02-12,broad,43.47,322787.42,20125795934.22,All 2026-02-18,broad,0.00,0.00,0.00
Insulation Workers,22.69,12809.30,688254066.18,AEI Both + Micro 2026-02-12,broad,22.69,12809.30,688254066.18,All 2026-02-18,broad,0.00,0.00,0.00
Highway Maintenance Workers,3.21,4876.48,239288991.31,AEI Both + Micro 2026-02-12,broad,3.21,4876.48,239288991.31,All 2026-02-18,broad,0.00,0.00,0.00
"Carpet, Floor, and Tile Installers and Finishers",13.01,11059.76,577285877.92,AEI Both + Micro 2026-02-12,broad,13.01,11059.76,577285877.92,All 2026-02-18,broad,0.00,0.00,0.00
"Cement Masons, Concrete Finishers, and Terrazzo Workers",18.14,33389.76,1825855640.85,AEI Both + Micro 2026-02-12,broad,18.14,33389.76,1825855640.85,All 2026-02-18,broad,0.00,0.00,0.00
Podiatrists,23.08,2197.35,335755535.36,AEI Both + Micro 2026-02-12,broad,23.08,2197.35,335755535.36,All 2026-02-18,broad,0.00,0.00,0.00
Helpers--Extraction Workers,3.66,246.24,11917829.43,AEI Both + Micro 2026-02-12,broad,3.66,246.24,11917829.43,All 2026-02-18,broad,0.00,0.00,0.00
Engine and Other Machine Assemblers,18.72,7193.85,377965028.60,AEI Both + Micro 2026-02-12,broad,18.72,7193.85,377965028.60,All 2026-02-18,broad,0.00,0.00,0.00
Reinforcing Iron and Rebar Workers,11.47,1622.44,96178104.29,AEI Both + Micro 2026-02-12,broad,11.47,1622.44,96178104.29,All 2026-02-18,broad,0.00,0.00,0.00
Funeral Attendants,40.19,12282.66,425102764.87,AEI Both + Micro 2026-02-12,broad,40.19,12282.66,425102764.87,All 2026-02-18,broad,0.00,0.00,0.00
Fishing and Hunting Workers,5.81,0.00,0.00,AEI Both + Micro 2026-02-12,broad,9.29,0.00,0.00,All 2026-02-18,broad,3.48,0.00,0.00
Roofers,5.61,7669.47,390912879.58,AEI Both + Micro 2026-02-12,broad,5.61,7669.47,390912879.58,All 2026-02-18,broad,0.00,0.00,0.00
"Rock Splitters, Quarry",6.41,197.41,9369051.84,AEI Both + Micro 2026-02-12,broad,6.41,197.41,9369051.84,All 2026-02-18,broad,0.00,0.00,0.00
