iwa,pct_first,pct_last,total_gain_pp,early_gain_pp,late_gain_pp,current_zone
Operate computer systems or computerized equipment.,49.65,76.50,26.85,21.68,5.17,high (>=66%)
Consult legal materials or public records.,47.29,73.34,26.05,17.74,8.31,high (>=66%)
Record information about legal matters.,1.03,26.54,25.51,22.22,3.29,emerging (10-33%)
Analyze market or industry conditions.,51.34,76.51,25.17,22.82,2.35,high (>=66%)
"Prepare financial documents, reports, or budgets.",5.23,30.22,24.99,22.26,2.73,emerging (10-33%)
Assign work to others.,3.12,27.81,24.69,5.00,19.69,emerging (10-33%)
Coach others.,42.58,67.15,24.57,8.45,16.11,high (>=66%)
Write material for artistic or commercial purposes.,56.76,81.32,24.55,21.05,3.51,high (>=66%)
Collect information about patients or clients.,5.24,29.11,23.86,16.80,7.07,emerging (10-33%)
"Discuss legal matters with clients, disputants, or legal professionals or staff.",1.40,25.09,23.69,3.98,19.71,emerging (10-33%)
Negotiate contracts or agreements.,6.50,30.13,23.62,18.56,5.06,emerging (10-33%)
Develop public or community health programs.,7.54,31.16,23.62,22.66,0.96,emerging (10-33%)
Advise others on financial matters.,50.22,73.44,23.22,19.81,3.41,high (>=66%)
Direct construction or extraction activities.,6.34,28.91,22.56,15.06,7.51,emerging (10-33%)
Advise others on products or services.,53.91,75.82,21.91,18.64,3.27,high (>=66%)
Prepare informational or instructional materials.,54.80,76.56,21.76,19.79,1.98,high (>=66%)
Draft legislation or regulations.,0.00,21.43,21.43,20.63,0.80,emerging (10-33%)
Design structures or facilities.,14.19,35.46,21.26,13.30,7.97,moderate (33-66%)
Analyze business or financial risks.,21.84,43.05,21.21,21.11,0.10,moderate (33-66%)
Manage human resources activities.,9.55,30.74,21.19,15.43,5.75,emerging (10-33%)
Test characteristics of materials or products.,3.06,24.22,21.16,18.92,2.24,emerging (10-33%)
Explain technical details of products or services.,60.87,81.90,21.02,19.14,1.89,high (>=66%)
Design electrical or electronic systems or equipment.,16.18,36.96,20.78,16.25,4.53,moderate (33-66%)
"Evaluate programs, practices, or processes.",53.36,73.85,20.48,16.51,3.97,high (>=66%)
Design computer or information systems or applications.,53.40,73.78,20.38,18.94,1.45,high (>=66%)
"Promote products, services, or programs.",52.39,72.71,20.32,18.05,2.27,high (>=66%)
Edit written materials or documents.,57.66,77.87,20.20,16.49,3.72,high (>=66%)
Study details of artistic productions.,53.38,73.37,19.99,11.06,8.93,high (>=66%)
Research agricultural processes or practices.,0.00,19.96,19.96,12.99,6.97,emerging (10-33%)
Present arts or entertainment performances.,8.09,28.02,19.93,14.54,5.40,emerging (10-33%)
Coordinate artistic or entertainment activities.,4.76,24.36,19.60,12.95,6.65,emerging (10-33%)
"Develop organizational policies, systems, or processes.",17.09,36.62,19.52,17.11,2.41,moderate (33-66%)
Evaluate patient or client condition or treatment options.,5.86,25.34,19.48,15.62,3.87,emerging (10-33%)
"Coordinate activities with clients, agencies, or organizations.",14.44,33.80,19.36,14.16,5.20,moderate (33-66%)
"Compile records, documentation, or other data.",53.39,72.51,19.12,15.92,3.20,high (>=66%)
Make legal decisions.,3.20,22.26,19.06,17.99,1.07,emerging (10-33%)
Prepare specimens or materials for testing.,3.72,22.51,18.79,9.04,9.74,emerging (10-33%)
Research biological or ecological phenomena.,53.38,71.94,18.56,12.41,6.15,high (>=66%)
Prepare reports of operational or procedural activities.,4.02,22.49,18.47,15.66,2.81,emerging (10-33%)
Advise others on educational or vocational matters.,50.79,69.04,18.25,12.85,5.40,high (>=66%)
Schedule operational activities.,7.98,26.07,18.09,16.44,1.65,emerging (10-33%)
Perform administrative or clerical activities.,51.59,69.62,18.04,13.66,4.37,high (>=66%)
"Set up computer systems, networks, or other information systems.",53.55,71.55,18.00,16.26,1.74,high (>=66%)
Monitor operation of computer or information technologies.,49.44,67.21,17.77,15.81,1.96,high (>=66%)
Analyze business or financial data.,51.58,69.26,17.68,16.49,1.19,high (>=66%)
Explain financial information.,56.85,74.51,17.67,14.28,3.38,high (>=66%)
Test performance of computer or information systems.,49.74,67.40,17.65,16.56,1.09,high (>=66%)
Maintain sales or financial records.,10.55,28.09,17.54,14.40,3.14,emerging (10-33%)
Advise patients or clients on medical issues.,45.56,62.86,17.30,9.93,7.36,moderate (33-66%)
"Prepare documentation for contracts, applications, or permits.",54.39,71.62,17.23,12.93,4.29,high (>=66%)
Maintain current knowledge in area of expertise.,54.81,72.04,17.23,9.60,7.62,high (>=66%)
Maintain operational records.,4.04,21.23,17.18,12.41,4.78,emerging (10-33%)
Identify business or organizational opportunities.,49.44,66.33,16.89,13.95,2.94,high (>=66%)
"Direct organizational operations, activities, or procedures.",3.86,20.66,16.80,14.73,2.08,emerging (10-33%)
Operate audiovisual or related equipment.,9.92,26.61,16.68,10.73,5.95,emerging (10-33%)
Develop scientific or mathematical theories or models.,49.50,66.02,16.52,14.22,2.31,high (>=66%)
Prepare schedules for services or facilities.,14.89,31.22,16.33,4.60,11.72,emerging (10-33%)
Advise others on the design or use of technologies.,51.54,67.61,16.07,14.54,1.53,high (>=66%)
Resolve computer problems.,55.70,71.61,15.91,15.21,0.71,high (>=66%)
Present research or technical information.,54.17,70.06,15.89,15.00,0.89,high (>=66%)
Process digital or online data.,50.08,65.96,15.88,14.20,1.67,moderate (33-66%)
"Assist scientists, scholars, or technical specialists with projects or research.",47.26,62.96,15.70,8.12,7.58,moderate (33-66%)
Respond to customer problems or inquiries.,59.58,75.18,15.60,12.76,2.84,high (>=66%)
"Evaluate condition of financial assets, property, or other resources.",11.20,26.80,15.59,15.00,0.60,emerging (10-33%)
"Research organizational behavior, processes, or performance.",51.30,66.69,15.39,15.39,0.00,high (>=66%)
Analyze biological or chemical substances or related data.,49.78,65.14,15.36,11.27,4.09,moderate (33-66%)
Direct scientific or technical activities.,6.55,21.89,15.34,13.06,2.28,emerging (10-33%)
Record images with photographic or audiovisual equipment.,5.87,21.05,15.17,14.88,0.30,emerging (10-33%)
Create decorative objects or parts of objects.,44.99,59.74,14.74,10.78,3.96,moderate (33-66%)
Assist individuals with paperwork.,53.38,67.98,14.60,1.29,13.31,high (>=66%)
Monitor operations to ensure compliance with regulations or standards.,8.38,22.81,14.43,11.16,3.27,emerging (10-33%)
Record information about environmental conditions.,0.00,14.43,14.43,0.00,14.43,emerging (10-33%)
Assess characteristics or impacts of regulations or policies.,51.17,65.61,14.43,14.38,0.06,moderate (33-66%)
Monitor health conditions of humans or animals.,4.63,19.06,14.42,9.09,5.33,emerging (10-33%)
"Document technical designs, procedures, or activities.",51.31,65.68,14.37,11.37,3.00,moderate (33-66%)
"Develop news, entertainment, or artistic content.",53.41,67.64,14.23,8.93,5.30,high (>=66%)
Evaluate personnel capabilities or performance.,11.81,25.97,14.16,7.72,6.44,emerging (10-33%)
Examine people or animals to assess health conditions or physical characteristics.,1.02,15.16,14.14,9.16,4.99,emerging (10-33%)
Confer with clients to determine needs or order specifications.,43.07,57.20,14.14,11.55,2.59,moderate (33-66%)
Plan events or programs.,53.38,67.44,14.06,13.05,1.01,high (>=66%)
Create visual designs or displays.,47.37,61.16,13.79,10.95,2.84,moderate (33-66%)
Research technology designs or applications.,56.61,70.03,13.42,9.08,4.34,high (>=66%)
Obtain information about goods or services.,64.44,77.84,13.40,13.40,0.00,high (>=66%)
Transport patients or clients.,0.00,13.40,13.40,13.40,0.00,emerging (10-33%)
Resolve personnel or operational problems.,2.85,16.16,13.31,13.22,0.09,emerging (10-33%)
"Provide information to guests, clients, or customers.",58.53,71.73,13.20,9.44,3.77,high (>=66%)
Develop professional relationships or networks.,46.39,59.56,13.16,8.16,5.01,moderate (33-66%)
Program computer systems or production equipment.,57.61,70.69,13.08,11.90,1.18,high (>=66%)
"Monitor external affairs, trends, or events.",51.30,64.13,12.83,12.10,0.74,moderate (33-66%)
Develop operational or technical procedures or standards.,53.63,66.44,12.81,10.15,2.66,high (>=66%)
Teach life skills.,44.98,57.71,12.73,10.15,2.57,moderate (33-66%)
Prescribe medical treatments or devices.,0.53,13.25,12.72,9.75,2.96,emerging (10-33%)
Gather information from physical or electronic sources.,58.16,70.70,12.54,10.84,1.70,high (>=66%)
Groom or style hair.,0.00,12.52,12.52,0.00,12.52,emerging (10-33%)
Analyze environmental or geospatial data.,4.16,16.58,12.42,11.78,0.64,emerging (10-33%)
Examine materials or documentation for accuracy or compliance.,49.60,61.96,12.36,7.99,4.37,moderate (33-66%)
Determine values or prices of goods or services.,53.26,65.47,12.21,9.69,2.52,moderate (33-66%)
Communicate with others about business strategies.,50.28,62.48,12.20,9.44,2.76,moderate (33-66%)
Coordinate regulatory compliance activities.,2.19,14.07,11.88,11.60,0.28,emerging (10-33%)
Supervise personnel activities.,6.88,18.70,11.82,7.29,4.53,emerging (10-33%)
Operate office equipment.,51.30,63.06,11.76,5.08,6.68,moderate (33-66%)
Analyze health or medical data.,51.32,63.08,11.76,8.51,3.25,moderate (33-66%)
Arrange displays or decorations.,49.63,61.34,11.71,10.78,0.93,moderate (33-66%)
Sell products or services.,8.59,20.26,11.67,10.03,1.65,emerging (10-33%)
Calculate financial data.,53.38,64.87,11.49,9.92,1.57,moderate (33-66%)
Monitor resources or inventories.,9.35,20.80,11.46,10.62,0.84,emerging (10-33%)
"Provide general assistance to others, such as customers, patrons, or motorists.",52.05,63.49,11.44,8.78,2.66,moderate (33-66%)
Communicate with others about specifications or project details.,51.50,62.87,11.37,5.99,5.38,moderate (33-66%)
Implement procedures or processes.,60.43,71.76,11.33,10.17,1.15,high (>=66%)
Advise others on business or operational matters.,49.74,61.01,11.27,8.34,2.93,moderate (33-66%)
Collect environmental or biological samples.,3.64,14.86,11.22,3.84,7.37,emerging (10-33%)
Teach academic or vocational subjects.,47.51,58.57,11.06,8.75,2.31,moderate (33-66%)
Apply hygienic or cosmetic agents to skin or hair.,0.00,10.88,10.88,3.05,7.82,emerging (10-33%)
Perform human resources activities.,15.10,25.79,10.69,4.09,6.60,emerging (10-33%)
Operate medical equipment.,6.27,16.85,10.58,4.98,5.60,emerging (10-33%)
Analyze performance of systems or equipment.,53.31,63.78,10.47,5.40,5.07,moderate (33-66%)
"Develop models of systems, processes, or products.",51.05,61.32,10.27,10.26,0.01,moderate (33-66%)
Monitor individual behavior or performance.,47.17,57.29,10.12,9.56,0.56,moderate (33-66%)
Evaluate project feasibility.,20.56,30.66,10.11,8.55,1.56,emerging (10-33%)
Confer with healthcare or other professionals about patient care.,6.92,16.95,10.03,8.69,1.34,emerging (10-33%)
Explain medical information to patients or family members.,53.32,63.35,10.03,6.40,3.63,moderate (33-66%)
Research issues related to earth sciences.,53.38,63.38,10.00,1.54,8.46,moderate (33-66%)
Estimate project development or operational costs.,15.32,25.20,9.88,9.87,0.01,emerging (10-33%)
Evaluate green technologies or processes.,0.00,9.86,9.86,4.15,5.71,low (<10%)
Execute financial transactions.,53.14,62.95,9.81,6.25,3.55,moderate (33-66%)
Provide support or encouragement to others.,41.35,51.11,9.76,8.66,1.10,moderate (33-66%)
Collect samples of products or materials.,3.92,13.67,9.75,9.55,0.20,emerging (10-33%)
Develop technical specifications for products or operations.,54.92,64.53,9.61,8.88,0.73,moderate (33-66%)
Interview people to obtain information.,40.88,50.46,9.58,6.10,3.48,moderate (33-66%)
Diagnose health conditions or disorders.,5.65,15.08,9.43,8.34,1.09,emerging (10-33%)
"Explain regulations, policies, or procedures.",57.86,67.28,9.42,6.93,2.49,high (>=66%)
Train animals.,0.00,9.27,9.27,8.43,0.83,low (<10%)
Monitor operations to ensure adequate performance.,3.40,12.22,8.82,6.53,2.29,emerging (10-33%)
Read documents or materials to inform work processes.,53.38,61.94,8.56,5.33,3.23,moderate (33-66%)
Operate laboratory or field equipment.,10.20,18.63,8.43,8.13,0.30,emerging (10-33%)
"Treat injuries, illnesses, or diseases.",1.91,10.27,8.36,4.27,4.09,emerging (10-33%)
Provide information or assistance to the public.,58.18,66.50,8.31,6.21,2.10,high (>=66%)
Design industrial systems or equipment.,7.77,16.00,8.24,7.57,0.66,emerging (10-33%)
Develop systems or practices to mitigate or resolve environmental problems.,0.00,8.21,8.21,7.73,0.48,low (<10%)
Stock supplies or products.,4.61,12.73,8.12,4.85,3.28,emerging (10-33%)
Train others on operational or work procedures.,45.27,53.36,8.09,5.20,2.89,moderate (33-66%)
Communicate with others about operational plans or activities.,49.83,57.75,7.92,5.81,2.11,moderate (33-66%)
Order medical tests or procedures.,29.98,37.90,7.91,4.77,3.15,moderate (33-66%)
Investigate the environmental impact of industrial or development activities.,10.49,18.25,7.76,6.85,0.91,emerging (10-33%)
Create artistic designs or performances.,47.16,54.86,7.70,7.05,0.65,moderate (33-66%)
Assist others to access additional services or resources.,48.25,55.90,7.66,5.56,2.10,moderate (33-66%)
Adjust medical equipment to ensure adequate performance.,2.96,10.59,7.63,7.63,0.00,emerging (10-33%)
"Maintain electronic, computer, or other technical equipment.",54.35,61.98,7.62,6.67,0.95,moderate (33-66%)
Evaluate the quality or accuracy of data.,47.40,54.83,7.43,5.16,2.27,moderate (33-66%)
Repair electrical or electronic equipment.,15.09,22.50,7.41,1.31,6.10,emerging (10-33%)
"Distribute materials, supplies, or resources.",50.53,57.85,7.32,3.31,4.01,moderate (33-66%)
"Investigate individuals' background, behavior, or activities.",52.95,59.90,6.94,4.09,2.86,moderate (33-66%)
Process shipments or mail.,11.31,18.18,6.87,6.26,0.60,emerging (10-33%)
Coordinate with others to resolve problems.,49.89,56.73,6.84,5.14,1.70,moderate (33-66%)
Investigate criminal or legal matters.,49.44,56.27,6.83,4.65,2.19,moderate (33-66%)
Administer diagnostic tests to assess patient health.,1.07,7.85,6.77,4.84,1.94,low (<10%)
Prepare medical equipment or work areas for use.,10.40,17.12,6.72,6.72,0.00,emerging (10-33%)
Sort materials or products.,17.24,23.87,6.63,2.52,4.11,emerging (10-33%)
Direct legal activities.,1.78,8.40,6.62,5.63,0.99,low (<10%)
"Evaluate the characteristics, usefulness, or performance of products or technologies.",54.77,61.35,6.57,5.37,1.21,moderate (33-66%)
Mediate disputes.,12.24,18.73,6.49,6.41,0.08,emerging (10-33%)
Assist individuals with special needs.,1.07,7.54,6.47,3.10,3.38,low (<10%)
Develop sustainable organizational or business policies or practices.,14.52,20.98,6.46,5.53,0.93,emerging (10-33%)
Administer basic health care or medical treatments.,2.20,8.52,6.32,4.80,1.51,low (<10%)
"Examine financial activities, operations, or systems.",10.72,16.99,6.28,4.76,1.52,emerging (10-33%)
Determine operational methods or procedures.,56.67,62.85,6.18,2.95,3.23,moderate (33-66%)
"Develop safety standards, policies, or procedures.",1.66,7.76,6.10,4.39,1.72,low (<10%)
Test performance of equipment or systems.,51.31,57.37,6.05,4.53,1.53,moderate (33-66%)
Develop recipes or menus.,56.84,62.86,6.02,6.02,0.00,moderate (33-66%)
"Evaluate designs, specifications, or other technical data.",53.23,59.23,5.99,4.63,1.36,moderate (33-66%)
Clean medical equipment or facilities.,0.77,6.53,5.76,5.76,0.00,low (<10%)
Administer therapeutic treatments.,1.00,6.66,5.66,3.18,2.48,low (<10%)
Advise others on workplace health or safety issues.,41.73,47.31,5.59,5.59,0.00,moderate (33-66%)
Operate energy production or distribution equipment.,1.13,6.70,5.57,5.49,0.08,low (<10%)
Diagnose system or equipment problems.,54.51,60.03,5.51,5.01,0.50,moderate (33-66%)
Advise others on legal or regulatory matters.,49.92,55.14,5.21,4.17,1.04,moderate (33-66%)
Mark materials or objects for identification.,5.44,10.63,5.19,1.02,4.17,emerging (10-33%)
Assist healthcare practitioners during medical procedures.,5.94,11.02,5.08,5.08,0.00,emerging (10-33%)
Operate communications equipment or systems.,51.30,56.16,4.86,2.73,2.13,moderate (33-66%)
"Monitor safety or security of work areas, facilities, or properties.",8.55,13.27,4.72,2.09,2.63,emerging (10-33%)
Prepare foods or beverages.,54.83,59.49,4.66,4.32,0.35,moderate (33-66%)
Purchase goods or services.,53.18,57.82,4.64,2.59,2.06,moderate (33-66%)
Determine resource needs of projects or operations.,49.77,54.36,4.59,3.39,1.21,moderate (33-66%)
"Inspect commercial, industrial, or production systems or equipment.",6.47,10.98,4.51,1.99,2.52,emerging (10-33%)
Investigate incidents or accidents.,51.13,55.57,4.43,4.20,0.23,moderate (33-66%)
Maintain safety or security.,42.62,46.96,4.34,2.42,1.92,moderate (33-66%)
Apply decorative finishes.,47.27,51.61,4.34,4.34,0.00,moderate (33-66%)
Inspect facilities or equipment.,5.02,9.28,4.26,3.36,0.90,low (<10%)
Train others to use equipment or products.,44.39,48.63,4.24,3.73,0.51,moderate (33-66%)
Research healthcare issues.,54.92,59.13,4.21,2.54,1.67,moderate (33-66%)
"Measure physical characteristics of materials, products, or equipment.",49.49,53.59,4.10,2.96,1.14,moderate (33-66%)
Evaluate production inputs or outputs.,0.90,4.87,3.97,3.87,0.10,low (<10%)
Inspect completed work or finished products.,7.28,11.26,3.97,3.48,0.49,emerging (10-33%)
Gather data about operational or development activities.,54.92,58.82,3.90,3.88,0.02,moderate (33-66%)
Apply materials to fill gaps or imperfections.,7.34,10.72,3.39,2.45,0.94,emerging (10-33%)
"Replenish inventories of materials, equipment, or products.",12.53,15.89,3.36,2.46,0.90,emerging (10-33%)
Escort others.,18.01,21.35,3.34,3.34,0.00,emerging (10-33%)
Communicate environmental or sustainability information.,50.52,53.79,3.27,2.93,0.34,moderate (33-66%)
Maintain vehicles in working condition.,2.77,6.01,3.24,0.52,2.71,low (<10%)
Issue documentation.,53.74,56.93,3.19,1.54,1.65,moderate (33-66%)
Counsel others about personal matters.,47.30,50.39,3.09,2.70,0.40,moderate (33-66%)
Inspect characteristics or conditions of materials or products.,51.30,54.36,3.06,1.90,1.16,moderate (33-66%)
Advise others on environmental sustainability or green practices.,45.23,48.23,3.01,3.01,0.00,moderate (33-66%)
Assess characteristics of land or property.,2.56,5.53,2.97,0.12,2.85,low (<10%)
Maintain medical equipment or instruments.,1.17,4.03,2.87,2.87,0.00,low (<10%)
Reconcile financial data.,9.29,12.16,2.87,2.87,0.00,emerging (10-33%)
Plan work activities.,51.54,54.18,2.64,2.47,0.17,moderate (33-66%)
Operate industrial processing or production equipment.,5.39,8.01,2.62,1.48,1.14,low (<10%)
Collect fares or payments.,11.49,14.06,2.57,2.55,0.02,emerging (10-33%)
Train others on health or medical topics.,42.68,45.25,2.57,0.46,2.11,moderate (33-66%)
Select materials or equipment for operations or projects.,53.49,56.05,2.56,1.91,0.65,moderate (33-66%)
Design materials or devices.,49.44,51.90,2.46,2.31,0.15,moderate (33-66%)
"Perform athletic activities for fitness, competition, or artistic purposes.",47.47,49.81,2.33,2.33,0.00,moderate (33-66%)
Provide food or beverage services.,16.50,18.79,2.30,1.91,0.38,emerging (10-33%)
Prepare mixtures or solutions.,53.96,56.19,2.23,1.43,0.80,moderate (33-66%)
Monitor equipment operation.,5.05,7.18,2.13,1.27,0.85,low (<10%)
Install commercial or production equipment.,12.70,14.82,2.12,0.44,1.69,emerging (10-33%)
Advise others on healthcare or wellness issues.,47.82,49.89,2.08,1.67,0.41,moderate (33-66%)
Develop contingency or emergency response plans.,7.08,9.15,2.07,1.49,0.58,low (<10%)
"Move materials, equipment, or supplies.",4.29,6.22,1.93,0.90,1.03,low (<10%)
"Assess living, work, or social needs or status of individuals or communities.",44.67,46.53,1.86,0.00,1.86,moderate (33-66%)
Sew garments or materials.,0.00,1.75,1.75,1.75,0.00,low (<10%)
Assess compliance with environmental standards or regulations.,18.12,19.85,1.72,1.72,0.00,emerging (10-33%)
Position materials or components for assembly.,7.80,9.40,1.61,0.91,0.69,low (<10%)
Set up equipment.,57.95,59.54,1.59,1.53,0.06,moderate (33-66%)
Adjust equipment to ensure adequate performance.,54.70,56.27,1.57,1.06,0.51,moderate (33-66%)
Inspect vehicles.,4.52,6.05,1.53,1.11,0.42,low (<10%)
Perform general construction or extraction activities.,2.79,4.20,1.40,1.16,0.24,low (<10%)
Repair tools or equipment.,11.34,12.73,1.40,0.00,1.40,emerging (10-33%)
Administer emergency medical treatment.,0.00,1.18,1.18,1.18,0.00,low (<10%)
Apply protective solutions or coatings.,2.68,3.85,1.17,1.17,0.00,low (<10%)
Package objects.,3.77,4.92,1.15,1.15,0.00,low (<10%)
Investigate organizational or operational problems.,53.38,54.41,1.03,1.03,0.00,moderate (33-66%)
Prepare industrial materials for processing or use.,3.65,4.68,1.02,1.02,0.00,low (<10%)
Maintain tools or equipment.,5.38,6.36,0.99,0.89,0.09,low (<10%)
Notify others of emergencies or problems.,7.81,8.80,0.99,0.99,0.00,low (<10%)
Verify personal information.,48.75,49.64,0.89,0.56,0.33,moderate (33-66%)
Manage agricultural or forestry operations.,1.76,2.65,0.89,0.89,0.00,low (<10%)
Build structures.,0.70,1.47,0.77,0.55,0.22,low (<10%)
Develop plans for managing or preserving natural resources.,3.41,4.14,0.73,0.66,0.07,low (<10%)
Fabricate devices or components.,5.83,6.47,0.64,0.64,0.00,low (<10%)
"Clean tools, equipment, facilities, or work areas.",2.76,3.35,0.59,0.51,0.08,low (<10%)
Fabricate medical devices.,4.82,5.26,0.44,0.44,0.00,low (<10%)
Maintain facilities or equipment.,54.80,55.23,0.43,0.00,0.43,moderate (33-66%)
Connect components or supply lines to equipment or tools.,54.87,55.16,0.30,0.30,0.00,moderate (33-66%)
Assemble equipment or components.,7.82,8.07,0.24,0.04,0.20,low (<10%)
Teach safety procedures or standards to others.,41.33,41.50,0.18,0.11,0.06,moderate (33-66%)
Monitor environmental conditions.,9.76,9.94,0.18,0.02,0.16,low (<10%)
Operate transportation equipment or vehicles.,1.26,1.41,0.15,0.06,0.10,low (<10%)
Assemble products or work aids.,0.73,0.87,0.14,0.14,0.00,low (<10%)
Test sites or materials for environmental hazards.,0.00,0.07,0.07,0.07,0.00,low (<10%)
Obtain formal documentation or authorization.,54.92,54.98,0.06,0.00,0.06,moderate (33-66%)
Advocate for individual or community needs.,44.98,45.02,0.04,0.04,0.00,moderate (33-66%)
Monitor traffic conditions.,3.80,3.80,0.00,0.00,0.00,low (<10%)
Position workpieces or materials on equipment.,7.66,7.66,0.00,0.00,0.00,low (<10%)
Position tools or equipment.,6.81,6.81,0.00,0.00,0.00,low (<10%)
Operate cutting or grinding equipment.,3.05,3.05,0.00,0.00,0.00,low (<10%)
Operate pumping systems or equipment.,6.63,6.63,0.00,0.00,0.00,low (<10%)
Operate lifting or moving equipment.,0.87,0.87,0.00,0.00,0.00,low (<10%)
Perform agricultural activities.,2.70,2.70,0.00,0.00,0.00,low (<10%)
Perform court-related or other legal administrative activities.,11.97,11.97,0.00,0.00,0.00,emerging (10-33%)
Take physical measurements of patients or clients.,14.50,14.50,0.00,0.00,0.00,emerging (10-33%)
Tend watercraft.,0.00,0.00,0.00,0.00,0.00,low (<10%)
Operate agricultural or forestry equipment.,1.73,1.73,0.00,0.00,0.00,low (<10%)
Supervise activities in correctional facilities.,0.00,0.00,0.00,0.00,0.00,low (<10%)
Operate construction or excavation equipment.,0.91,0.91,0.00,0.00,0.00,low (<10%)
Process animal carcasses.,24.51,24.51,0.00,0.00,0.00,emerging (10-33%)
Present information in legal proceedings.,14.16,14.16,0.00,0.00,0.00,emerging (10-33%)
Manage control systems or activities.,0.00,0.00,0.00,0.00,0.00,low (<10%)
Engrave objects.,0.00,0.00,0.00,0.00,0.00,low (<10%)
Embalm corpses.,0.00,0.00,0.00,0.00,0.00,low (<10%)
Drill holes in earth or materials.,3.73,3.73,0.00,0.00,0.00,low (<10%)
Dispose of waste or debris.,0.14,0.14,0.00,0.00,0.00,low (<10%)
Remove workpieces from production equipment.,1.66,1.66,0.00,0.00,0.00,low (<10%)
Protect people or property from threats such as fires or flooding.,0.00,0.00,0.00,0.00,0.00,low (<10%)
Fit assistive devices to patients or clients.,14.15,14.15,0.00,0.00,0.00,emerging (10-33%)
Hunt animals.,0.00,0.00,0.00,0.00,0.00,low (<10%)
Follow standard healthcare safety procedures to protect patient and staff members.,13.12,13.12,0.00,0.00,0.00,emerging (10-33%)
Gather information for news stories.,53.38,53.38,0.00,0.00,0.00,moderate (33-66%)
Install energy or heating equipment.,7.61,7.61,0.00,0.00,0.00,low (<10%)
Process forensic or legal evidence.,10.02,10.02,0.00,0.00,0.00,emerging (10-33%)
Install plumbing or piping equipment or systems.,7.06,7.06,0.00,0.00,0.00,low (<10%)
Intervene in crisis situations or emergencies.,10.23,10.23,0.00,0.00,0.00,emerging (10-33%)
"Join parts using soldering, welding, or brazing techniques.",5.59,5.59,0.00,0.00,0.00,low (<10%)
"Load products, materials, or equipment for transportation or further processing.",5.52,5.52,0.00,0.00,0.00,low (<10%)
Care for plants or animals.,54.50,54.50,0.00,0.00,0.00,moderate (33-66%)
Repair workpieces or products.,1.74,1.74,0.00,0.00,0.00,low (<10%)
Conduct amusement or gaming activities.,54.92,54.92,0.00,0.00,0.00,moderate (33-66%)
Repair vehicle components.,3.55,3.55,0.00,0.00,0.00,low (<10%)
Disassemble equipment.,0.88,0.88,0.00,0.00,0.00,low (<10%)
Develop health assessment methods or programs.,2.63,2.63,0.00,0.00,0.00,low (<10%)
