iwa,pct_first,pct_last,total_gain_pp,early_gain_pp,late_gain_pp,current_zone
Operate laboratory or field equipment.,10.20,18.63,8.43,8.13,0.30,emerging (10-33%)
"Treat injuries, illnesses, or diseases.",1.91,10.27,8.36,4.27,4.09,emerging (10-33%)
Design industrial systems or equipment.,7.77,16.00,8.24,7.57,0.66,emerging (10-33%)
Stock supplies or products.,4.61,12.73,8.12,4.85,3.28,emerging (10-33%)
Investigate the environmental impact of industrial or development activities.,10.49,18.25,7.76,6.85,0.91,emerging (10-33%)
Adjust medical equipment to ensure adequate performance.,2.96,10.59,7.63,7.63,0.00,emerging (10-33%)
Repair electrical or electronic equipment.,15.09,22.50,7.41,1.31,6.10,emerging (10-33%)
Process shipments or mail.,11.31,18.18,6.87,6.26,0.60,emerging (10-33%)
Prepare medical equipment or work areas for use.,10.40,17.12,6.72,6.72,0.00,emerging (10-33%)
Sort materials or products.,17.24,23.87,6.63,2.52,4.11,emerging (10-33%)
Mediate disputes.,12.24,18.73,6.49,6.41,0.08,emerging (10-33%)
Develop sustainable organizational or business policies or practices.,14.52,20.98,6.46,5.53,0.93,emerging (10-33%)
"Examine financial activities, operations, or systems.",10.72,16.99,6.28,4.76,1.52,emerging (10-33%)
Mark materials or objects for identification.,5.44,10.63,5.19,1.02,4.17,emerging (10-33%)
Assist healthcare practitioners during medical procedures.,5.94,11.02,5.08,5.08,0.00,emerging (10-33%)
"Monitor safety or security of work areas, facilities, or properties.",8.55,13.27,4.72,2.09,2.63,emerging (10-33%)
"Inspect commercial, industrial, or production systems or equipment.",6.47,10.98,4.51,1.99,2.52,emerging (10-33%)
Inspect completed work or finished products.,7.28,11.26,3.97,3.48,0.49,emerging (10-33%)
Apply materials to fill gaps or imperfections.,7.34,10.72,3.39,2.45,0.94,emerging (10-33%)
"Replenish inventories of materials, equipment, or products.",12.53,15.89,3.36,2.46,0.90,emerging (10-33%)
Escort others.,18.01,21.35,3.34,3.34,0.00,emerging (10-33%)
