date,iwa,pct_tasks_affected,workers_affected,wages_affected
2024-09-30,Design computer or information systems or applications.,53.40,483291.48,53774129078.20
2024-09-30,Develop operational or technical procedures or standards.,53.63,477962.60,48537593274.15
2024-09-30,Prepare mixtures or solutions.,53.96,450914.10,19955103297.18
2024-09-30,Analyze business or financial data.,51.58,450363.25,40394439598.22
2024-09-30,Maintain safety or security.,42.62,446850.25,20862621670.74
2024-09-30,Process digital or online data.,50.08,446225.66,29377563690.74
2024-09-30,Provide food or beverage services.,16.50,436663.99,14110753834.68
2024-09-30,Operate office equipment.,51.30,434069.72,19819007358.21
2024-09-30,Arrange displays or decorations.,49.63,426467.34,16930452076.90
2024-09-30,Analyze health or medical data.,51.32,403010.72,43029966024.83
2024-09-30,"Distribute materials, supplies, or resources.",50.53,401025.15,18048716971.99
2024-09-30,Examine materials or documentation for accuracy or compliance.,49.60,400479.93,24001212888.67
2024-09-30,"Compile records, documentation, or other data.",53.39,399520.30,25305386435.15
2024-09-30,Test performance of equipment or systems.,51.31,398637.25,25275616874.12
2024-09-30,Advise others on educational or vocational matters.,50.79,380736.90,26995103081.97
2024-09-30,Create visual designs or displays.,47.37,378231.96,28414333663.63
2024-09-30,Assist others to access additional services or resources.,48.25,363974.68,21720597036.21
2024-09-30,Select materials or equipment for operations or projects.,53.49,342559.48,20064385307.75
2024-09-30,Interview people to obtain information.,40.88,338782.94,23540697283.56
2024-09-30,Determine resource needs of projects or operations.,49.77,331736.92,26588889221.47
2024-09-30,Present research or technical information.,54.17,328620.43,25591084980.99
2024-09-30,Inspect characteristics or conditions of materials or products.,51.30,323311.14,16772513170.75
2024-09-30,Collect fares or payments.,11.49,320329.28,13685787228.30
2024-09-30,Advise others on the design or use of technologies.,51.54,307173.99,29456532486.04
2024-09-30,Explain medical information to patients or family members.,53.32,304885.93,26775870883.51
2024-09-30,Maintain operational records.,4.04,303384.04,23720611203.36
2024-09-30,Gather information from physical or electronic sources.,58.16,297553.60,17008026837.47
2024-09-30,Plan work activities.,51.54,295874.77,20112506750.97
2024-09-30,Calculate financial data.,53.38,289882.06,17196892410.26
2024-09-30,Counsel others about personal matters.,47.30,288389.75,15420942606.78
2024-09-30,Train others to use equipment or products.,44.39,283623.39,18190866358.79
2024-09-30,Operate computer systems or computerized equipment.,49.65,273679.53,14103598432.91
2024-09-30,Analyze market or industry conditions.,51.34,264665.88,23965532993.47
2024-09-30,Teach life skills.,44.98,258566.40,10735692891.58
2024-09-30,"Direct organizational operations, activities, or procedures.",3.86,246228.37,19832866473.62
2024-09-30,Coordinate with others to resolve problems.,49.89,246093.32,19462268375.57
2024-09-30,Communicate with others about business strategies.,50.28,245107.67,21014020293.08
2024-09-30,Investigate criminal or legal matters.,49.44,240012.74,17946668248.70
2024-09-30,Communicate with others about specifications or project details.,51.50,236507.92,22058258079.70
2024-09-30,Monitor operation of computer or information technologies.,49.44,233344.45,22940208836.10
2024-09-30,Collect data about consumer needs or opinions.,17.71,222223.13,9925763713.90
2024-09-30,Provide support or encouragement to others.,41.35,218789.91,14696234255.93
2024-09-30,"Evaluate programs, practices, or processes.",53.36,211415.56,19163958024.68
2024-09-30,Analyze data to improve operations.,9.74,209918.43,22590247515.18
2024-09-30,Connect components or supply lines to equipment or tools.,54.87,204789.33,11585312409.95
2024-09-30,Resolve computer problems.,55.70,203964.45,19135757947.77
2024-09-30,Determine operational methods or procedures.,56.67,195687.04,14289278252.33
2024-09-30,Identify business or organizational opportunities.,49.44,194187.88,15579063649.86
2024-09-30,"Monitor external affairs, trends, or events.",51.30,183671.60,14341126139.44
2024-09-30,"Clean tools, equipment, facilities, or work areas.",2.76,181811.82,7659694161.59
2024-09-30,Gather data about operational or development activities.,54.92,175860.03,16193520625.51
2024-09-30,"Develop organizational policies, systems, or processes.",17.09,175853.20,22403760532.60
2024-09-30,Maintain facilities or equipment.,54.80,173108.47,8646194859.08
2024-09-30,Set up equipment.,57.95,165508.18,7657411760.10
2024-09-30,Test performance of computer or information systems.,49.74,160878.09,15550760013.47
2024-09-30,"Set up computer systems, networks, or other information systems.",53.55,160431.32,13312118511.50
2024-09-30,Supervise personnel activities.,6.88,159477.76,9712116391.30
2024-09-30,"Maintain electronic, computer, or other technical equipment.",54.35,159249.21,13410466655.24
2024-09-30,Program computer systems or production equipment.,57.61,155135.15,12454660144.96
2024-09-30,Operate communications equipment or systems.,51.30,154392.93,8127063343.84
2024-09-30,"Evaluate the characteristics, usefulness, or performance of products or technologies.",54.77,153813.85,16358971849.02
2024-09-30,Provide information or assistance to the public.,58.18,152781.69,10667686080.50
2024-09-30,Verify personal information.,48.75,152769.97,10704070594.41
2024-09-30,Maintain health or medical records.,6.13,151149.49,9340914512.51
2024-09-30,"Evaluate designs, specifications, or other technical data.",53.23,149633.79,15914247573.02
2024-09-30,Maintain sales or financial records.,10.55,144946.89,5821608863.58
2024-09-30,Monitor resources or inventories.,9.35,143849.33,8903162632.50
2024-09-30,Explain financial information.,56.85,143785.57,10314841902.95
2024-09-30,Advise others on legal or regulatory matters.,49.92,139587.85,17635991812.20
2024-09-30,Notify others of emergencies or problems.,7.81,137465.90,9001288660.62
2024-09-30,Reconcile financial data.,9.29,133656.29,5526548754.10
2024-09-30,"Monitor safety or security of work areas, facilities, or properties.",8.55,132263.70,7207938172.59
2024-09-30,Schedule appointments.,20.32,130674.43,6227168878.90
2024-09-30,Sort materials or products.,17.24,129543.23,5964945860.82
2024-09-30,Stock supplies or products.,4.61,127326.04,6061950648.95
2024-09-30,"Assess student capabilities, needs, or performance.",13.88,125905.70,7751034308.79
2024-09-30,Advise others on healthcare or wellness issues.,47.82,122952.81,12294892083.51
2024-09-30,Consult legal materials or public records.,47.29,117962.30,11835538707.99
2024-09-30,Write material for artistic or commercial purposes.,56.76,117885.97,8539995451.63
2024-09-30,Develop recipes or menus.,56.84,117783.16,4818917433.48
2024-09-30,Advise patients or clients on medical issues.,45.56,116906.25,13231635967.19
2024-09-30,Develop professional relationships or networks.,46.39,110172.14,10070124665.35
2024-09-30,"Document technical designs, procedures, or activities.",51.31,106102.17,10630775724.30
2024-09-30,Process shipments or mail.,11.31,103663.09,5969303820.92
2024-09-30,Develop marketing or promotional materials.,53.42,103454.88,8021464479.99
2024-09-30,Develop technical specifications for products or operations.,54.92,102195.32,10215814528.66
2024-09-30,Analyze scientific or applied data using mathematical principles.,51.27,100981.08,12153899993.20
2024-09-30,"Research laws, precedents, or other legal data.",49.02,97424.43,13461246850.39
2024-09-30,Analyze biological or chemical substances or related data.,49.78,97094.08,8167192396.02
2024-09-30,Develop business or marketing plans.,9.97,95453.36,11144118405.40
2024-09-30,Advise others on financial matters.,50.22,94555.59,7817732725.08
2024-09-30,Diagnose system or equipment problems.,54.51,94234.11,5773881210.65
2024-09-30,"Replenish inventories of materials, equipment, or products.",12.53,94056.76,6508213969.99
2024-09-30,Sell products or services.,8.59,91640.17,4391914811.54
2024-09-30,"Assess living, work, or social needs or status of individuals or communities.",44.67,90492.49,6420088092.19
2024-09-30,Develop organizational or program goals or objectives.,8.35,90287.25,9304000669.17
2024-09-30,"Prepare financial documents, reports, or budgets.",5.23,89199.99,7780350640.26
2024-09-30,Research technology designs or applications.,56.61,89127.68,9216418249.58
2024-09-30,Position materials or components for assembly.,7.80,88140.10,4899262096.03
2024-09-30,Manage human resources activities.,9.55,83298.22,7285215171.24
2024-09-30,Edit written materials or documents.,57.66,81301.03,7004819609.67
2024-09-30,Confer with clients to determine needs or order specifications.,43.07,77269.49,4947107263.86
2024-09-30,"Inspect commercial, industrial, or production systems or equipment.",6.47,77034.06,4504355576.24
2024-09-30,"Develop educational programs, plans, or procedures.",8.08,74692.84,5089691654.05
2024-09-30,Inspect completed work or finished products.,7.28,73713.20,4131967938.78
2024-09-30,Analyze performance of systems or equipment.,53.31,73362.02,5991344168.09
2024-09-30,Repair tools or equipment.,11.34,73118.62,4137127858.53
2024-09-30,Package objects.,3.77,72906.55,2292658111.58
2024-09-30,Plan events or programs.,53.38,72517.83,6118200844.23
2024-09-30,"Move materials, equipment, or supplies.",4.29,71295.43,2432601435.32
2024-09-30,Perform recruiting or hiring activities.,5.78,70696.58,8066174047.17
2024-09-30,Care for plants or animals.,54.50,66628.56,2594237588.52
2024-09-30,Direct construction or extraction activities.,6.34,66605.79,5662530504.98
2024-09-30,Monitor operations to ensure compliance with regulations or standards.,8.38,66004.38,5645771261.75
2024-09-30,"Research organizational behavior, processes, or performance.",51.30,65840.01,5242227975.01
2024-09-30,Install commercial or production equipment.,12.70,65584.76,4554134351.20
2024-09-30,Mark materials or objects for identification.,5.44,64965.34,2844036392.20
2024-09-30,Monitor financial data or activities.,3.58,64932.18,3403531828.73
2024-09-30,Confer with healthcare or other professionals about patient care.,6.92,64816.89,5049911984.33
2024-09-30,Repair electrical or electronic equipment.,15.09,62172.14,4136989026.74
2024-09-30,Maintain tools or equipment.,5.38,57532.54,3363220528.47
2024-09-30,Prepare schedules for services or facilities.,14.89,56773.11,2391835499.54
2024-09-30,Direct scientific or technical activities.,6.55,49849.45,5382515417.65
2024-09-30,Research biological or ecological phenomena.,53.38,49289.41,4433962010.15
2024-09-30,"Examine financial activities, operations, or systems.",10.72,48600.11,4402727885.46
2024-09-30,Collect information about patients or clients.,5.24,46116.12,2741093304.42
2024-09-30,Prepare legal or regulatory documents.,11.02,46024.66,3091163851.60
2024-09-30,Issue documentation.,53.74,44231.03,2105371740.68
2024-09-30,"Develop models of systems, processes, or products.",51.05,43880.81,5077474593.54
2024-09-30,Analyze business or financial risks.,21.84,43793.27,3908560593.15
2024-09-30,Assess characteristics or impacts of regulations or policies.,51.17,43608.18,3919934454.84
2024-09-30,"Coordinate activities with clients, agencies, or organizations.",14.44,43085.45,5343834991.03
2024-09-30,Monitor health conditions of humans or animals.,4.63,42941.08,2683462089.57
2024-09-30,Prepare reports of operational or procedural activities.,4.02,41950.63,3209961626.20
2024-09-30,Monitor equipment operation.,5.05,41433.24,2693045818.85
2024-09-30,Monitor operations to ensure adequate performance.,3.40,41405.14,4505674270.26
2024-09-30,Intervene in crisis situations or emergencies.,10.23,40595.73,1737462309.60
2024-09-30,Prepare proposals or grant applications.,17.13,40535.34,2965484386.11
2024-09-30,Schedule operational activities.,7.98,39238.16,2409068248.55
2024-09-30,Manage budgets or finances.,4.61,37892.33,3187113402.70
2024-09-30,"Assist scientists, scholars, or technical specialists with projects or research.",47.26,36309.06,2102267430.69
2024-09-30,Research healthcare issues.,54.92,35411.28,3861284081.14
2024-09-30,Order medical tests or procedures.,29.98,35026.77,5486464385.40
2024-09-30,Design electrical or electronic systems or equipment.,16.18,33392.33,3261874314.63
2024-09-30,Operate industrial processing or production equipment.,5.39,32496.00,1814578206.90
2024-09-30,Evaluate patient or client condition or treatment options.,5.86,32492.03,1680427055.64
2024-09-30,"Evaluate condition of financial assets, property, or other resources.",11.20,31875.16,2752001476.10
2024-09-30,Coach others.,42.58,30571.60,1731581017.62
2024-09-30,Apply decorative finishes.,47.27,30357.78,1692575424.22
2024-09-30,"Investigate individuals' background, behavior, or activities.",52.95,30296.87,1564212599.67
2024-09-30,Position workpieces or materials on equipment.,7.66,29695.14,1390362483.66
2024-09-30,Cut materials.,7.48,29240.26,1486847626.16
2024-09-30,Diagnose health conditions or disorders.,5.65,29022.99,2818593753.30
2024-09-30,Evaluate personnel capabilities or performance.,11.81,28491.75,1796136520.19
2024-09-30,Operate medical equipment.,6.27,28336.07,2787885800.01
2024-09-30,Create artistic designs or performances.,47.16,27950.53,1639640301.61
2024-09-30,Present information in legal proceedings.,14.16,27519.94,4134830349.86
2024-09-30,Conduct amusement or gaming activities.,54.92,27493.29,969936490.23
2024-09-30,Study details of artistic productions.,53.38,26452.38,1896279651.24
2024-09-30,Perform human resources activities.,15.10,25834.36,1036443834.17
2024-09-30,"Interpret language, cultural, or religious information for others.",53.38,25796.55,1528412778.49
2024-09-30,Mediate disputes.,12.24,25118.49,1456975664.32
2024-09-30,Obtain information about goods or services.,64.44,24952.89,1880679946.38
2024-09-30,Negotiate contracts or agreements.,6.50,24341.69,1716170859.95
2024-09-30,"Develop news, entertainment, or artistic content.",53.41,23760.62,1685278368.11
2024-09-30,Assist healthcare practitioners during medical procedures.,5.94,23681.98,1835660996.42
2024-09-30,Design structures or facilities.,14.19,23217.42,2309202951.04
2024-09-30,Inspect facilities or equipment.,5.02,22841.14,2145792874.92
2024-09-30,Advise others on environmental sustainability or green practices.,45.23,22513.39,2370847274.96
2024-09-30,Escort others.,18.01,22483.17,790164323.14
2024-09-30,Obtain formal documentation or authorization.,54.92,22250.88,1316509155.65
2024-09-30,Investigate organizational or operational problems.,53.38,22013.60,1729226867.40
2024-09-30,Repair vehicle components.,3.55,21987.43,1169915163.67
2024-09-30,Process animal carcasses.,24.51,21493.01,839949824.79
2024-09-30,"Load products, materials, or equipment for transportation or further processing.",5.52,20769.10,890347580.35
2024-09-30,Advocate for individual or community needs.,44.98,20627.64,1411715295.95
2024-09-30,Investigate incidents or accidents.,51.13,20437.88,1821638797.96
2024-09-30,Administer basic health care or medical treatments.,2.20,20161.70,1663753732.20
2024-09-30,Estimate project development or operational costs.,15.32,19993.01,1263545435.83
2024-09-30,Assemble equipment or components.,7.82,19744.21,1194520254.04
2024-09-30,Develop patient or client care or treatment plans.,6.37,19183.83,2066960177.66
2024-09-30,Develop scientific or mathematical theories or models.,49.50,18821.57,1962408999.14
2024-09-30,"Join parts using soldering, welding, or brazing techniques.",5.59,18443.13,1152044460.93
2024-09-30,Install energy or heating equipment.,7.61,18417.30,1041193000.16
2024-09-30,Operate transportation equipment or vehicles.,1.26,18149.62,1418915318.96
2024-09-30,"Perform athletic activities for fitness, competition, or artistic purposes.",47.47,17501.38,1110720366.92
2024-09-30,Design industrial systems or equipment.,7.77,17430.99,1885681395.03
2024-09-30,Develop sustainable organizational or business policies or practices.,14.52,17381.26,2216639522.56
2024-09-30,Evaluate project feasibility.,20.56,17248.80,2885342516.95
2024-09-30,Examine people or animals to assess health conditions or physical characteristics.,1.02,17169.29,1729390838.99
2024-09-30,Assist individuals with paperwork.,53.38,16625.72,794690308.88
2024-09-30,Inspect vehicles.,4.52,16615.43,948369607.78
2024-09-30,Implement security measures for computer or information systems.,23.06,16192.32,1660368492.15
2024-09-30,Resolve personnel or operational problems.,2.85,16162.11,2598376045.54
2024-09-30,Test characteristics of materials or products.,3.06,16001.21,818794689.62
2024-09-30,Design materials or devices.,49.44,15714.49,1378920860.61
2024-09-30,Design databases.,14.08,15328.07,1737406983.00
2024-09-30,Prepare medical equipment or work areas for use.,10.40,14965.85,1301092064.25
2024-09-30,Perform court-related or other legal administrative activities.,11.97,14877.13,907849879.36
2024-09-30,Perform general construction or extraction activities.,2.79,14658.62,699657562.50
2024-09-30,"Coordinate group, community, or public activities.",3.78,14468.51,551273142.70
2024-09-30,"Treat injuries, illnesses, or diseases.",1.91,14218.30,1641064556.02
2024-09-30,Develop public or community health programs.,7.54,14061.82,1080193883.22
2024-09-30,Assist individuals with special needs.,1.07,14035.55,812678020.10
2024-09-30,Operate audiovisual or related equipment.,9.92,13956.49,629853056.31
2024-09-30,Research historical or social issues.,53.40,13626.09,1297381180.80
2024-09-30,Advise others on workplace health or safety issues.,41.73,13243.45,1138954940.95
2024-09-30,Communicate environmental or sustainability information.,50.52,13228.90,1425897448.18
2024-09-30,Apply protective solutions or coatings.,2.68,13101.41,537498418.49
2024-09-30,Authorize business activities or transactions.,5.22,12974.66,1395856918.14
2024-09-30,Fabricate devices or components.,5.83,12974.62,633190880.29
2024-09-30,Create decorative objects or parts of objects.,44.99,12841.26,555797521.19
2024-09-30,Monitor environmental conditions.,9.76,12120.81,413414004.85
2024-09-30,Operate agricultural or forestry equipment.,1.73,12072.18,481628361.77
2024-09-30,Maintain vehicles in working condition.,2.77,12015.80,601624649.28
2024-09-30,Assign work to others.,3.12,11025.45,385086645.10
2024-09-30,Prepare health or medical documents.,5.47,10207.34,515590046.44
2024-09-30,Direct vehicle traffic.,4.25,8438.11,318334889.29
2024-09-30,Prepare industrial materials for processing or use.,3.65,7926.03,428710860.88
2024-09-30,Teach safety procedures or standards to others.,41.33,7461.87,353536528.97
2024-09-30,Operate laboratory or field equipment.,10.20,7272.03,458419090.42
2024-09-30,"Clean workpieces, finished products, or other objects.",3.28,6680.78,322252513.69
2024-09-30,Research issues related to earth sciences.,53.38,6324.09,535954252.32
2024-09-30,Develop research plans or methodologies.,11.26,6049.66,584056338.14
2024-09-30,Investigate the environmental impact of industrial or development activities.,10.49,5937.03,402423472.83
2024-09-30,"Discuss legal matters with clients, disputants, or legal professionals or staff.",1.40,5735.80,867023963.08
2024-09-30,Maintain medical equipment or instruments.,1.17,5565.29,503895293.49
2024-09-30,Gather information for news stories.,53.38,5158.31,287772564.65
2024-09-30,Present arts or entertainment performances.,8.09,5119.09,418807008.88
2024-09-30,Operate pumping systems or equipment.,6.63,4718.62,215171650.25
2024-09-30,Apply materials to fill gaps or imperfections.,7.34,3832.38,199026832.04
2024-09-30,Follow standard healthcare safety procedures to protect patient and staff members.,13.12,3784.62,283424451.94
2024-09-30,Install plumbing or piping equipment or systems.,7.06,3678.85,156476556.06
2024-09-30,Collaborate in the development of educational programs.,1.53,3596.77,214929491.99
2024-09-30,Coordinate artistic or entertainment activities.,4.76,3536.18,274284296.08
2024-09-30,Collect environmental or biological samples.,3.64,3436.39,228497510.48
2024-09-30,Fit assistive devices to patients or clients.,14.15,3220.79,149960142.31
2024-09-30,Prepare specimens or materials for testing.,3.72,3211.06,198732196.21
2024-09-30,Position tools or equipment.,6.81,3184.97,187063133.21
2024-09-30,Develop financial or business plans.,6.07,3178.42,160701109.25
2024-09-30,Assess compliance with environmental standards or regulations.,18.12,3100.98,215645678.13
2024-09-30,Fabricate medical devices.,4.82,2992.60,445741880.59
2024-09-30,Monitor traffic conditions.,3.80,2858.02,99973702.25
2024-09-30,Develop health assessment methods or programs.,2.63,2821.13,177731086.73
2024-09-30,Operate cutting or grinding equipment.,3.05,2701.74,114086794.15
2024-09-30,Administer therapeutic treatments.,1.00,2689.98,212165057.56
2024-09-30,Drill holes in earth or materials.,3.73,2649.09,105362240.79
2024-09-30,Develop plans for managing or preserving natural resources.,3.41,2540.16,323676413.75
2024-09-30,"Develop safety standards, policies, or procedures.",1.66,2205.82,215355770.53
2024-09-30,Adjust medical equipment to ensure adequate performance.,2.96,2162.44,350141026.82
2024-09-30,Signal others to coordinate work activities.,1.79,2126.13,92812756.18
2024-09-30,Alter audio or video recordings.,9.30,2010.86,142731056.93
2024-09-30,Analyze environmental or geospatial data.,4.16,1962.94,166208964.07
2024-09-30,Administer diagnostic tests to assess patient health.,1.07,1951.94,192012006.79
2024-09-30,Evaluate production inputs or outputs.,0.90,1769.94,140622060.73
2024-09-30,Build structures.,0.70,1720.35,96479215.31
2024-09-30,Collect samples of products or materials.,3.92,1670.40,90741806.70
2024-09-30,Coordinate regulatory compliance activities.,2.19,1664.03,185149116.40
2024-09-30,Develop contingency or emergency response plans.,7.08,1593.48,122440853.27
2024-09-30,Record images with photographic or audiovisual equipment.,5.87,1554.25,93130258.12
2024-09-30,Assemble products or work aids.,0.73,1421.67,62712845.29
2024-09-30,Operate construction or excavation equipment.,0.91,1388.23,68217586.56
2024-09-30,Remove workpieces from production equipment.,1.66,1323.79,60873056.34
2024-09-30,Assess characteristics of land or property.,2.56,1306.75,69056809.42
2024-09-30,Direct security or safety activities or operations.,7.43,1280.88,93591802.39
2024-09-30,Operate energy production or distribution equipment.,1.13,1116.81,83972847.33
2024-09-30,Disassemble equipment.,0.88,1102.42,72941935.38
2024-09-30,Perform agricultural activities.,2.70,964.15,34825202.46
2024-09-30,Prescribe medical treatments or devices.,0.53,897.79,231557837.98
2024-09-30,Process forensic or legal evidence.,10.02,809.20,75725032.50
2024-09-30,Repair workpieces or products.,1.74,665.38,33061284.43
2024-09-30,Record information about legal matters.,1.03,574.82,58752415.39
2024-09-30,Cut trees or other vegetation.,5.25,510.47,23785093.77
2024-09-30,Operate lifting or moving equipment.,0.87,476.14,25929393.48
2024-09-30,Manage agricultural or forestry operations.,1.76,305.73,18104657.10
2024-09-30,Evaluate scholarly work.,11.26,286.14,17674949.57
2024-09-30,Clean medical equipment or facilities.,0.77,200.47,20446355.79
2024-09-30,Make legal decisions.,3.20,191.85,12990140.87
2024-09-30,Take physical measurements of patients or clients.,14.50,160.86,5535276.50
2024-09-30,Dispose of waste or debris.,0.14,157.14,7721665.23
2024-09-30,Serve on organizational committees.,2.95,128.00,10064950.08
2024-09-30,Direct legal activities.,1.78,89.11,7335766.20
2024-09-30,Tend watercraft.,0.00,0.00,0.00
2024-09-30,Evaluate green technologies or processes.,0.00,0.00,0.00
2024-09-30,Groom or style hair.,0.00,0.00,0.00
2024-09-30,Hunt animals.,0.00,0.00,0.00
2024-09-30,Manage control systems or activities.,0.00,0.00,0.00
2024-09-30,Supervise activities in correctional facilities.,0.00,0.00,0.00
2024-09-30,Test sites or materials for environmental hazards.,0.00,0.00,0.00
2024-09-30,Train animals.,0.00,0.00,0.00
2024-09-30,Draft legislation or regulations.,0.00,0.00,0.00
2024-09-30,Record information about environmental conditions.,0.00,0.00,0.00
2024-09-30,Engrave objects.,0.00,0.00,0.00
2024-09-30,Develop systems or practices to mitigate or resolve environmental problems.,0.00,0.00,0.00
2024-09-30,Embalm corpses.,0.00,0.00,0.00
2024-09-30,Protect people or property from threats such as fires or flooding.,0.00,0.00,0.00
2024-09-30,Research agricultural processes or practices.,0.00,0.00,0.00
2024-09-30,Climb equipment or structures.,0.00,0.00,0.00
2024-09-30,Apply hygienic or cosmetic agents to skin or hair.,0.00,0.00,0.00
2024-09-30,Sew garments or materials.,0.00,0.00,0.00
2024-09-30,Set up protective structures or coverings near work areas.,0.00,0.00,0.00
2024-09-30,"Set up classrooms, facilities, educational materials, or equipment.",0.00,0.00,0.00
2024-09-30,Shape materials to create products.,0.00,0.00,0.00
2024-09-30,Smooth surfaces of objects or equipment.,0.00,0.00,0.00
2024-09-30,Administer emergency medical treatment.,0.00,0.00,0.00
2024-09-30,Transport patients or clients.,0.00,0.00,0.00
2024-12-23,"Provide information to guests, clients, or customers.",58.53,2564798.10,130116449328.55
2024-12-23,Execute financial transactions.,53.14,2192929.14,87258193941.85
2024-12-23,Prepare foods or beverages.,54.83,1905971.41,64828626272.25
2024-12-23,Respond to customer problems or inquiries.,59.58,1604079.66,82095733507.63
2024-12-23,Communicate with others about operational plans or activities.,49.83,1544497.93,92226938520.43
2024-12-23,Determine values or prices of goods or services.,53.26,1246553.77,58185480303.54
2024-12-23,"Provide general assistance to others, such as customers, patrons, or motorists.",52.05,1199208.45,47023540507.20
2024-12-23,Read documents or materials to inform work processes.,53.38,1099770.08,61060325204.51
2024-12-23,Explain technical details of products or services.,60.87,934806.21,44083898558.67
2024-12-23,Purchase goods or services.,53.18,928751.99,54052459998.63
2024-12-23,"Prepare documentation for contracts, applications, or permits.",54.39,882314.58,43377518166.62
2024-12-23,Maintain current knowledge in area of expertise.,54.81,802661.79,63668010469.96
2024-12-23,Train others on operational or work procedures.,45.27,767613.24,51979146270.07
2024-12-23,"Measure physical characteristics of materials, products, or equipment.",49.49,712346.79,32309672088.51
2024-12-23,Evaluate the quality or accuracy of data.,47.40,709924.32,40333244205.33
2024-12-23,Monitor individual behavior or performance.,47.17,677050.02,39571285911.72
2024-12-23,Perform administrative or clerical activities.,51.59,668527.84,37026602309.74
2024-12-23,Advise others on products or services.,53.91,639885.95,45119989791.25
2024-12-23,Train others on health or medical topics.,42.68,611892.63,32355622035.20
2024-12-23,Teach academic or vocational subjects.,47.51,559983.23,35536369242.23
2024-12-23,"Explain regulations, policies, or procedures.",57.86,553749.65,38271770407.46
2024-12-23,Prepare informational or instructional materials.,54.80,550037.15,36329841599.95
2024-12-23,Advise others on business or operational matters.,49.74,527549.98,47390475247.01
2024-12-23,"Promote products, services, or programs.",52.39,512919.07,28905329759.42
2024-12-23,Adjust equipment to ensure adequate performance.,54.70,511098.44,27931034387.71
2024-12-23,Implement procedures or processes.,60.43,493916.63,54066104994.75
2024-12-23,Design computer or information systems or applications.,53.40,483291.48,53774129078.20
2024-12-23,Develop operational or technical procedures or standards.,53.63,477962.60,48537593274.15
2024-12-23,Prepare mixtures or solutions.,53.96,450914.10,19955103297.18
2024-12-23,Analyze business or financial data.,51.58,450363.25,40394439598.22
2024-12-23,Maintain safety or security.,42.62,446850.25,20862621670.74
2024-12-23,Process digital or online data.,50.08,446225.66,29377563690.74
2024-12-23,Provide food or beverage services.,16.50,436663.99,14110753834.68
2024-12-23,Operate office equipment.,51.30,434069.72,19819007358.21
2024-12-23,Arrange displays or decorations.,49.63,426467.34,16930452076.90
2024-12-23,Analyze health or medical data.,51.32,403010.72,43029966024.83
2024-12-23,"Distribute materials, supplies, or resources.",50.53,401025.15,18048716971.99
2024-12-23,Examine materials or documentation for accuracy or compliance.,49.60,400479.93,24001212888.67
2024-12-23,"Compile records, documentation, or other data.",53.39,399520.30,25305386435.15
2024-12-23,Test performance of equipment or systems.,51.31,398637.25,25275616874.12
2024-12-23,Advise others on educational or vocational matters.,50.79,380736.90,26995103081.97
2024-12-23,Create visual designs or displays.,47.37,378231.96,28414333663.63
2024-12-23,Assist others to access additional services or resources.,48.25,363974.68,21720597036.21
2024-12-23,Select materials or equipment for operations or projects.,53.49,342559.48,20064385307.75
2024-12-23,Interview people to obtain information.,40.88,338782.94,23540697283.56
2024-12-23,Determine resource needs of projects or operations.,49.77,331736.92,26588889221.47
2024-12-23,Present research or technical information.,54.17,328620.43,25591084980.99
2024-12-23,Inspect characteristics or conditions of materials or products.,51.30,323311.14,16772513170.75
