iwa,threshold,crossed_date,pct_last,pct_first
Advise others on legal or regulatory matters.,33.00,2024-09-30,55.14,49.92
Advise others on legal or regulatory matters.,66.00,,55.14,49.92
Advise others on products or services.,10.00,2024-09-30,75.82,53.91
Advise others on products or services.,33.00,2024-09-30,75.82,53.91
Advise others on products or services.,66.00,2025-08-11,75.82,53.91
Advise others on the design or use of technologies.,10.00,2024-09-30,67.61,51.54
Advise others on the design or use of technologies.,33.00,2024-09-30,67.61,51.54
Advise others on the design or use of technologies.,66.00,2025-08-11,67.61,51.54
Advise others on workplace health or safety issues.,10.00,2024-09-30,47.31,41.73
Advise others on workplace health or safety issues.,33.00,2024-09-30,47.31,41.73
Advise others on workplace health or safety issues.,66.00,,47.31,41.73
Advise patients or clients on medical issues.,10.00,2024-09-30,62.86,45.56
Advise patients or clients on medical issues.,33.00,2024-09-30,62.86,45.56
Advise patients or clients on medical issues.,66.00,,62.86,45.56
Advocate for individual or community needs.,10.00,2024-09-30,45.02,44.98
Advocate for individual or community needs.,33.00,2024-09-30,45.02,44.98
Advocate for individual or community needs.,66.00,,45.02,44.98
Alter audio or video recordings.,10.00,2025-03-06,50.94,9.30
Alter audio or video recordings.,33.00,2025-08-11,50.94,9.30
Alter audio or video recordings.,66.00,,50.94,9.30
Analyze biological or chemical substances or related data.,10.00,2024-09-30,65.14,49.78
Analyze biological or chemical substances or related data.,33.00,2024-09-30,65.14,49.78
Analyze biological or chemical substances or related data.,66.00,,65.14,49.78
Analyze business or financial data.,10.00,2024-09-30,69.26,51.58
Analyze business or financial data.,33.00,2024-09-30,69.26,51.58
Analyze business or financial data.,66.00,2025-08-11,69.26,51.58
Analyze business or financial risks.,10.00,2024-09-30,43.05,21.84
Analyze business or financial risks.,33.00,2025-08-11,43.05,21.84
Analyze business or financial risks.,66.00,,43.05,21.84
Analyze data to improve operations.,10.00,2025-03-06,40.74,9.74
Analyze data to improve operations.,33.00,2025-08-11,40.74,9.74
Analyze data to improve operations.,66.00,,40.74,9.74
Analyze environmental or geospatial data.,10.00,2025-08-11,16.58,4.16
Analyze environmental or geospatial data.,33.00,,16.58,4.16
Analyze environmental or geospatial data.,66.00,,16.58,4.16
Analyze health or medical data.,10.00,2024-09-30,63.08,51.32
Analyze health or medical data.,33.00,2024-09-30,63.08,51.32
Analyze health or medical data.,66.00,,63.08,51.32
Analyze market or industry conditions.,10.00,2024-09-30,76.51,51.34
Analyze market or industry conditions.,33.00,2024-09-30,76.51,51.34
Analyze market or industry conditions.,66.00,2025-08-11,76.51,51.34
Analyze performance of systems or equipment.,10.00,2024-09-30,63.78,53.31
Analyze performance of systems or equipment.,33.00,2024-09-30,63.78,53.31
Analyze performance of systems or equipment.,66.00,,63.78,53.31
Analyze scientific or applied data using mathematical principles.,10.00,2024-09-30,79.42,51.27
Analyze scientific or applied data using mathematical principles.,33.00,2024-09-30,79.42,51.27
Analyze scientific or applied data using mathematical principles.,66.00,2025-08-11,79.42,51.27
Apply decorative finishes.,10.00,2024-09-30,51.61,47.27
Apply decorative finishes.,33.00,2024-09-30,51.61,47.27
Apply decorative finishes.,66.00,,51.61,47.27
Apply hygienic or cosmetic agents to skin or hair.,10.00,2026-02-12,10.88,0.00
Apply hygienic or cosmetic agents to skin or hair.,33.00,,10.88,0.00
Apply hygienic or cosmetic agents to skin or hair.,66.00,,10.88,0.00
Apply materials to fill gaps or imperfections.,10.00,2025-11-13,10.72,7.34
Apply materials to fill gaps or imperfections.,33.00,,10.72,7.34
Apply materials to fill gaps or imperfections.,66.00,,10.72,7.34
Apply protective solutions or coatings.,10.00,,3.85,2.68
Apply protective solutions or coatings.,33.00,,3.85,2.68
Apply protective solutions or coatings.,66.00,,3.85,2.68
Arrange displays or decorations.,10.00,2024-09-30,61.34,49.63
Arrange displays or decorations.,33.00,2024-09-30,61.34,49.63
Arrange displays or decorations.,66.00,,61.34,49.63
Assemble equipment or components.,10.00,,8.07,7.82
Assemble equipment or components.,33.00,,8.07,7.82
Assemble equipment or components.,66.00,,8.07,7.82
Assemble products or work aids.,10.00,,0.87,0.73
Assemble products or work aids.,33.00,,0.87,0.73
Assemble products or work aids.,66.00,,0.87,0.73
Assess characteristics of land or property.,10.00,,5.53,2.56
Assess characteristics of land or property.,33.00,,5.53,2.56
Assess characteristics of land or property.,66.00,,5.53,2.56
Assess characteristics or impacts of regulations or policies.,10.00,2024-09-30,65.61,51.17
Assess characteristics or impacts of regulations or policies.,33.00,2024-09-30,65.61,51.17
Assess characteristics or impacts of regulations or policies.,66.00,,65.61,51.17
Assess compliance with environmental standards or regulations.,10.00,2024-09-30,19.85,18.12
Assess compliance with environmental standards or regulations.,33.00,,19.85,18.12
Assess compliance with environmental standards or regulations.,66.00,,19.85,18.12
"Assess living, work, or social needs or status of individuals or communities.",10.00,2024-09-30,46.53,44.67
"Assess living, work, or social needs or status of individuals or communities.",33.00,2024-09-30,46.53,44.67
"Assess living, work, or social needs or status of individuals or communities.",66.00,,46.53,44.67
"Assess student capabilities, needs, or performance.",10.00,2024-09-30,67.46,13.88
"Assess student capabilities, needs, or performance.",33.00,2025-03-06,67.46,13.88
"Assess student capabilities, needs, or performance.",66.00,2025-11-13,67.46,13.88
Assign work to others.,10.00,2025-11-13,27.81,3.12
Assign work to others.,33.00,,27.81,3.12
Assign work to others.,66.00,,27.81,3.12
Assist healthcare practitioners during medical procedures.,10.00,2025-08-11,11.02,5.94
Assist healthcare practitioners during medical procedures.,33.00,,11.02,5.94
Assist healthcare practitioners during medical procedures.,66.00,,11.02,5.94
Assist individuals with paperwork.,10.00,2024-09-30,67.98,53.38
Assist individuals with paperwork.,33.00,2024-09-30,67.98,53.38
Assist individuals with paperwork.,66.00,2026-02-12,67.98,53.38
Assist individuals with special needs.,10.00,,7.54,1.07
Assist individuals with special needs.,33.00,,7.54,1.07
Assist individuals with special needs.,66.00,,7.54,1.07
Assist others to access additional services or resources.,10.00,2024-09-30,55.90,48.25
Assist others to access additional services or resources.,33.00,2024-09-30,55.90,48.25
Assist others to access additional services or resources.,66.00,,55.90,48.25
"Assist scientists, scholars, or technical specialists with projects or research.",10.00,2024-09-30,62.96,47.26
"Assist scientists, scholars, or technical specialists with projects or research.",33.00,2024-09-30,62.96,47.26
"Assist scientists, scholars, or technical specialists with projects or research.",66.00,,62.96,47.26
Authorize business activities or transactions.,10.00,2025-03-06,42.20,5.22
Authorize business activities or transactions.,33.00,2025-11-13,42.20,5.22
Authorize business activities or transactions.,66.00,,42.20,5.22
Build structures.,10.00,,1.47,0.70
Build structures.,33.00,,1.47,0.70
Build structures.,66.00,,1.47,0.70
Calculate financial data.,10.00,2024-09-30,64.87,53.38
Calculate financial data.,33.00,2024-09-30,64.87,53.38
Calculate financial data.,66.00,,64.87,53.38
Care for plants or animals.,10.00,2024-09-30,54.50,54.50
Care for plants or animals.,33.00,2024-09-30,54.50,54.50
Care for plants or animals.,66.00,,54.50,54.50
Clean medical equipment or facilities.,10.00,,6.53,0.77
Clean medical equipment or facilities.,33.00,,6.53,0.77
Clean medical equipment or facilities.,66.00,,6.53,0.77
"Clean tools, equipment, facilities, or work areas.",10.00,,3.35,2.76
"Clean tools, equipment, facilities, or work areas.",33.00,,3.35,2.76
"Clean tools, equipment, facilities, or work areas.",66.00,,3.35,2.76
"Clean workpieces, finished products, or other objects.",10.00,,3.28,3.28
"Clean workpieces, finished products, or other objects.",33.00,,3.28,3.28
"Clean workpieces, finished products, or other objects.",66.00,,3.28,3.28
Climb equipment or structures.,10.00,,0.00,0.00
Climb equipment or structures.,33.00,,0.00,0.00
Climb equipment or structures.,66.00,,0.00,0.00
Coach others.,10.00,2024-09-30,67.15,42.58
Coach others.,33.00,2024-09-30,67.15,42.58
Coach others.,66.00,2026-02-12,67.15,42.58
Collaborate in the development of educational programs.,10.00,2025-03-06,38.22,1.53
Collaborate in the development of educational programs.,33.00,2025-11-13,38.22,1.53
Collaborate in the development of educational programs.,66.00,,38.22,1.53
Collect data about consumer needs or opinions.,10.00,2024-09-30,54.01,17.71
Collect data about consumer needs or opinions.,33.00,2025-08-11,54.01,17.71
Collect data about consumer needs or opinions.,66.00,,54.01,17.71
Collect environmental or biological samples.,10.00,2025-11-13,14.86,3.64
Collect environmental or biological samples.,33.00,,14.86,3.64
Collect environmental or biological samples.,66.00,,14.86,3.64
Collect fares or payments.,10.00,2024-09-30,14.06,11.49
Collect fares or payments.,33.00,,14.06,11.49
Collect fares or payments.,66.00,,14.06,11.49
Collect information about patients or clients.,10.00,2025-08-11,29.11,5.24
Collect information about patients or clients.,33.00,,29.11,5.24
Collect information about patients or clients.,66.00,,29.11,5.24
Collect samples of products or materials.,10.00,2025-08-11,13.67,3.92
Collect samples of products or materials.,33.00,,13.67,3.92
Collect samples of products or materials.,66.00,,13.67,3.92
Communicate environmental or sustainability information.,10.00,2024-09-30,53.79,50.52
Communicate environmental or sustainability information.,33.00,2024-09-30,53.79,50.52
Communicate environmental or sustainability information.,66.00,,53.79,50.52
Communicate with others about business strategies.,10.00,2024-09-30,62.48,50.28
Communicate with others about business strategies.,33.00,2024-09-30,62.48,50.28
Communicate with others about business strategies.,66.00,,62.48,50.28
Communicate with others about operational plans or activities.,10.00,2024-09-30,57.75,49.83
Communicate with others about operational plans or activities.,33.00,2024-09-30,57.75,49.83
Communicate with others about operational plans or activities.,66.00,,57.75,49.83
Communicate with others about specifications or project details.,10.00,2024-09-30,62.87,51.50
Communicate with others about specifications or project details.,33.00,2024-09-30,62.87,51.50
Communicate with others about specifications or project details.,66.00,,62.87,51.50
"Compile records, documentation, or other data.",10.00,2024-09-30,72.51,53.39
"Compile records, documentation, or other data.",33.00,2024-09-30,72.51,53.39
"Compile records, documentation, or other data.",66.00,2025-08-11,72.51,53.39
Conduct amusement or gaming activities.,10.00,2024-09-30,54.92,54.92
Conduct amusement or gaming activities.,33.00,2024-09-30,54.92,54.92
Conduct amusement or gaming activities.,66.00,,54.92,54.92
Confer with clients to determine needs or order specifications.,10.00,2024-09-30,57.20,43.07
Confer with clients to determine needs or order specifications.,33.00,2024-09-30,57.20,43.07
Confer with clients to determine needs or order specifications.,66.00,,57.20,43.07
Confer with healthcare or other professionals about patient care.,10.00,2025-03-06,16.95,6.92
Confer with healthcare or other professionals about patient care.,33.00,,16.95,6.92
Confer with healthcare or other professionals about patient care.,66.00,,16.95,6.92
Connect components or supply lines to equipment or tools.,10.00,2024-09-30,55.16,54.87
Connect components or supply lines to equipment or tools.,33.00,2024-09-30,55.16,54.87
Connect components or supply lines to equipment or tools.,66.00,,55.16,54.87
Consult legal materials or public records.,10.00,2024-09-30,73.34,47.29
Consult legal materials or public records.,33.00,2024-09-30,73.34,47.29
Consult legal materials or public records.,66.00,2025-11-13,73.34,47.29
"Coordinate activities with clients, agencies, or organizations.",10.00,2024-09-30,33.80,14.44
"Coordinate activities with clients, agencies, or organizations.",33.00,2026-02-12,33.80,14.44
"Coordinate activities with clients, agencies, or organizations.",66.00,,33.80,14.44
Coordinate artistic or entertainment activities.,10.00,2025-03-06,24.36,4.76
Coordinate artistic or entertainment activities.,33.00,,24.36,4.76
Coordinate artistic or entertainment activities.,66.00,,24.36,4.76
"Coordinate group, community, or public activities.",10.00,2025-03-06,35.26,3.78
"Coordinate group, community, or public activities.",33.00,2026-02-12,35.26,3.78
"Coordinate group, community, or public activities.",66.00,,35.26,3.78
Coordinate regulatory compliance activities.,10.00,2025-03-06,14.07,2.19
Coordinate regulatory compliance activities.,33.00,,14.07,2.19
Coordinate regulatory compliance activities.,66.00,,14.07,2.19
Coordinate with others to resolve problems.,10.00,2024-09-30,56.73,49.89
Coordinate with others to resolve problems.,33.00,2024-09-30,56.73,49.89
Coordinate with others to resolve problems.,66.00,,56.73,49.89
Counsel others about personal matters.,10.00,2024-09-30,50.39,47.30
Counsel others about personal matters.,33.00,2024-09-30,50.39,47.30
Counsel others about personal matters.,66.00,,50.39,47.30
Create artistic designs or performances.,10.00,2024-09-30,54.86,47.16
Create artistic designs or performances.,33.00,2024-09-30,54.86,47.16
Create artistic designs or performances.,66.00,,54.86,47.16
Create decorative objects or parts of objects.,10.00,2024-09-30,59.74,44.99
Create decorative objects or parts of objects.,33.00,2024-09-30,59.74,44.99
Create decorative objects or parts of objects.,66.00,,59.74,44.99
Create visual designs or displays.,10.00,2024-09-30,61.16,47.37
Create visual designs or displays.,33.00,2024-09-30,61.16,47.37
Create visual designs or displays.,66.00,,61.16,47.37
Cut materials.,10.00,,7.48,7.48
Cut materials.,33.00,,7.48,7.48
Cut materials.,66.00,,7.48,7.48
Cut trees or other vegetation.,10.00,,5.25,5.25
Cut trees or other vegetation.,33.00,,5.25,5.25
Cut trees or other vegetation.,66.00,,5.25,5.25
Design computer or information systems or applications.,10.00,2024-09-30,73.78,53.40
Design computer or information systems or applications.,33.00,2024-09-30,73.78,53.40
Design computer or information systems or applications.,66.00,2025-08-11,73.78,53.40
Design databases.,10.00,2024-09-30,55.00,14.08
Design databases.,33.00,2025-03-06,55.00,14.08
Design databases.,66.00,,55.00,14.08
Design electrical or electronic systems or equipment.,10.00,2024-09-30,36.96,16.18
Design electrical or electronic systems or equipment.,33.00,2025-11-13,36.96,16.18
Design electrical or electronic systems or equipment.,66.00,,36.96,16.18
Design industrial systems or equipment.,10.00,2025-03-06,16.00,7.77
Design industrial systems or equipment.,33.00,,16.00,7.77
Design industrial systems or equipment.,66.00,,16.00,7.77
Design materials or devices.,10.00,2024-09-30,51.90,49.44
Design materials or devices.,33.00,2024-09-30,51.90,49.44
Design materials or devices.,66.00,,51.90,49.44
Design structures or facilities.,10.00,2024-09-30,35.46,14.19
Design structures or facilities.,33.00,2025-11-13,35.46,14.19
Design structures or facilities.,66.00,,35.46,14.19
Determine operational methods or procedures.,10.00,2024-09-30,62.85,56.67
Determine operational methods or procedures.,33.00,2024-09-30,62.85,56.67
Determine operational methods or procedures.,66.00,,62.85,56.67
Determine resource needs of projects or operations.,10.00,2024-09-30,54.36,49.77
Determine resource needs of projects or operations.,33.00,2024-09-30,54.36,49.77
Determine resource needs of projects or operations.,66.00,,54.36,49.77
Determine values or prices of goods or services.,10.00,2024-09-30,65.47,53.26
Determine values or prices of goods or services.,33.00,2024-09-30,65.47,53.26
Determine values or prices of goods or services.,66.00,,65.47,53.26
Develop business or marketing plans.,10.00,2025-03-06,58.58,9.97
Develop business or marketing plans.,33.00,2025-08-11,58.58,9.97
Develop business or marketing plans.,66.00,,58.58,9.97
Develop contingency or emergency response plans.,10.00,,9.15,7.08
Develop contingency or emergency response plans.,33.00,,9.15,7.08
Develop contingency or emergency response plans.,66.00,,9.15,7.08
"Develop educational programs, plans, or procedures.",10.00,2025-03-06,36.69,8.08
"Develop educational programs, plans, or procedures.",33.00,2025-08-11,36.69,8.08
"Develop educational programs, plans, or procedures.",66.00,,36.69,8.08
Develop financial or business plans.,10.00,2025-03-06,46.27,6.07
Develop financial or business plans.,33.00,2025-08-11,46.27,6.07
Develop financial or business plans.,66.00,,46.27,6.07
Develop health assessment methods or programs.,10.00,,2.63,2.63
Develop health assessment methods or programs.,33.00,,2.63,2.63
Develop health assessment methods or programs.,66.00,,2.63,2.63
Develop marketing or promotional materials.,10.00,2024-09-30,85.16,53.42
Develop marketing or promotional materials.,33.00,2024-09-30,85.16,53.42
Develop marketing or promotional materials.,66.00,2025-03-06,85.16,53.42
"Develop models of systems, processes, or products.",10.00,2024-09-30,61.32,51.05
"Develop models of systems, processes, or products.",33.00,2024-09-30,61.32,51.05
"Develop models of systems, processes, or products.",66.00,,61.32,51.05
"Develop news, entertainment, or artistic content.",10.00,2024-09-30,67.64,53.41
"Develop news, entertainment, or artistic content.",33.00,2024-09-30,67.64,53.41
"Develop news, entertainment, or artistic content.",66.00,2025-11-13,67.64,53.41
Develop operational or technical procedures or standards.,10.00,2024-09-30,66.44,53.63
Develop operational or technical procedures or standards.,33.00,2024-09-30,66.44,53.63
Develop operational or technical procedures or standards.,66.00,2026-02-12,66.44,53.63
Develop organizational or program goals or objectives.,10.00,2025-03-06,44.15,8.35
Develop organizational or program goals or objectives.,33.00,2025-08-11,44.15,8.35
Develop organizational or program goals or objectives.,66.00,,44.15,8.35
"Develop organizational policies, systems, or processes.",10.00,2024-09-30,36.62,17.09
"Develop organizational policies, systems, or processes.",33.00,2025-08-11,36.62,17.09
"Develop organizational policies, systems, or processes.",66.00,,36.62,17.09
Develop patient or client care or treatment plans.,10.00,2025-03-06,48.22,6.37
Develop patient or client care or treatment plans.,33.00,2025-03-06,48.22,6.37
Develop patient or client care or treatment plans.,66.00,,48.22,6.37
Develop plans for managing or preserving natural resources.,10.00,,4.14,3.41
Develop plans for managing or preserving natural resources.,33.00,,4.14,3.41
Develop plans for managing or preserving natural resources.,66.00,,4.14,3.41
Develop professional relationships or networks.,10.00,2024-09-30,59.56,46.39
Develop professional relationships or networks.,33.00,2024-09-30,59.56,46.39
Develop professional relationships or networks.,66.00,,59.56,46.39
Develop public or community health programs.,10.00,2025-03-06,31.16,7.54
Develop public or community health programs.,33.00,,31.16,7.54
Develop public or community health programs.,66.00,,31.16,7.54
Develop recipes or menus.,10.00,2024-09-30,62.86,56.84
Develop recipes or menus.,33.00,2024-09-30,62.86,56.84
Develop recipes or menus.,66.00,,62.86,56.84
Develop research plans or methodologies.,10.00,2024-09-30,43.62,11.26
Develop research plans or methodologies.,33.00,2025-08-11,43.62,11.26
Develop research plans or methodologies.,66.00,,43.62,11.26
"Develop safety standards, policies, or procedures.",10.00,,7.76,1.66
"Develop safety standards, policies, or procedures.",33.00,,7.76,1.66
"Develop safety standards, policies, or procedures.",66.00,,7.76,1.66
Develop scientific or mathematical theories or models.,10.00,2024-09-30,66.02,49.50
Develop scientific or mathematical theories or models.,33.00,2024-09-30,66.02,49.50
Develop scientific or mathematical theories or models.,66.00,2026-02-12,66.02,49.50
Develop sustainable organizational or business policies or practices.,10.00,2024-09-30,20.98,14.52
Develop sustainable organizational or business policies or practices.,33.00,,20.98,14.52
Develop sustainable organizational or business policies or practices.,66.00,,20.98,14.52
Develop systems or practices to mitigate or resolve environmental problems.,10.00,,8.21,0.00
Develop systems or practices to mitigate or resolve environmental problems.,33.00,,8.21,0.00
Develop systems or practices to mitigate or resolve environmental problems.,66.00,,8.21,0.00
Develop technical specifications for products or operations.,10.00,2024-09-30,64.53,54.92
Develop technical specifications for products or operations.,33.00,2024-09-30,64.53,54.92
Develop technical specifications for products or operations.,66.00,,64.53,54.92
Diagnose health conditions or disorders.,10.00,2025-08-11,15.08,5.65
Diagnose health conditions or disorders.,33.00,,15.08,5.65
Diagnose health conditions or disorders.,66.00,,15.08,5.65
Diagnose system or equipment problems.,10.00,2024-09-30,60.03,54.51
Diagnose system or equipment problems.,33.00,2024-09-30,60.03,54.51
Diagnose system or equipment problems.,66.00,,60.03,54.51
Direct construction or extraction activities.,10.00,2025-08-11,28.91,6.34
Direct construction or extraction activities.,33.00,,28.91,6.34
Direct construction or extraction activities.,66.00,,28.91,6.34
Direct legal activities.,10.00,,8.40,1.78
Direct legal activities.,33.00,,8.40,1.78
Direct legal activities.,66.00,,8.40,1.78
"Direct organizational operations, activities, or procedures.",10.00,2025-03-06,20.66,3.86
"Direct organizational operations, activities, or procedures.",33.00,,20.66,3.86
"Direct organizational operations, activities, or procedures.",66.00,,20.66,3.86
Direct scientific or technical activities.,10.00,2025-03-06,21.89,6.55
Direct scientific or technical activities.,33.00,,21.89,6.55
Direct scientific or technical activities.,66.00,,21.89,6.55
Direct security or safety activities or operations.,10.00,,7.43,7.43
Direct security or safety activities or operations.,33.00,,7.43,7.43
Direct security or safety activities or operations.,66.00,,7.43,7.43
Direct vehicle traffic.,10.00,,4.25,4.25
Direct vehicle traffic.,33.00,,4.25,4.25
Direct vehicle traffic.,66.00,,4.25,4.25
Disassemble equipment.,10.00,,0.88,0.88
Disassemble equipment.,33.00,,0.88,0.88
Disassemble equipment.,66.00,,0.88,0.88
"Discuss legal matters with clients, disputants, or legal professionals or staff.",10.00,2025-11-13,25.09,1.40
"Discuss legal matters with clients, disputants, or legal professionals or staff.",33.00,,25.09,1.40
"Discuss legal matters with clients, disputants, or legal professionals or staff.",66.00,,25.09,1.40
Dispose of waste or debris.,10.00,,0.14,0.14
Dispose of waste or debris.,33.00,,0.14,0.14
Dispose of waste or debris.,66.00,,0.14,0.14
"Distribute materials, supplies, or resources.",10.00,2024-09-30,57.85,50.53
"Distribute materials, supplies, or resources.",33.00,2024-09-30,57.85,50.53
"Distribute materials, supplies, or resources.",66.00,,57.85,50.53
"Document technical designs, procedures, or activities.",10.00,2024-09-30,65.68,51.31
"Document technical designs, procedures, or activities.",33.00,2024-09-30,65.68,51.31
"Document technical designs, procedures, or activities.",66.00,,65.68,51.31
Draft legislation or regulations.,10.00,2025-03-06,21.43,0.00
Draft legislation or regulations.,33.00,,21.43,0.00
Draft legislation or regulations.,66.00,,21.43,0.00
Drill holes in earth or materials.,10.00,,3.73,3.73
Drill holes in earth or materials.,33.00,,3.73,3.73
Drill holes in earth or materials.,66.00,,3.73,3.73
Edit written materials or documents.,10.00,2024-09-30,77.87,57.66
Edit written materials or documents.,33.00,2024-09-30,77.87,57.66
Edit written materials or documents.,66.00,2025-08-11,77.87,57.66
Embalm corpses.,10.00,,0.00,0.00
Embalm corpses.,33.00,,0.00,0.00
Embalm corpses.,66.00,,0.00,0.00
Engrave objects.,10.00,,0.00,0.00
Engrave objects.,33.00,,0.00,0.00
Engrave objects.,66.00,,0.00,0.00
Escort others.,10.00,2024-09-30,21.35,18.01
Escort others.,33.00,,21.35,18.01
Escort others.,66.00,,21.35,18.01
Estimate project development or operational costs.,10.00,2024-09-30,25.20,15.32
Estimate project development or operational costs.,33.00,,25.20,15.32
Estimate project development or operational costs.,66.00,,25.20,15.32
"Evaluate condition of financial assets, property, or other resources.",10.00,2024-09-30,26.80,11.20
"Evaluate condition of financial assets, property, or other resources.",33.00,,26.80,11.20
"Evaluate condition of financial assets, property, or other resources.",66.00,,26.80,11.20
"Evaluate designs, specifications, or other technical data.",10.00,2024-09-30,59.23,53.23
"Evaluate designs, specifications, or other technical data.",33.00,2024-09-30,59.23,53.23
"Evaluate designs, specifications, or other technical data.",66.00,,59.23,53.23
Evaluate green technologies or processes.,10.00,,9.86,0.00
Evaluate green technologies or processes.,33.00,,9.86,0.00
Evaluate green technologies or processes.,66.00,,9.86,0.00
Evaluate patient or client condition or treatment options.,10.00,2025-03-06,25.34,5.86
Evaluate patient or client condition or treatment options.,33.00,,25.34,5.86
Evaluate patient or client condition or treatment options.,66.00,,25.34,5.86
Evaluate personnel capabilities or performance.,10.00,2024-09-30,25.97,11.81
Evaluate personnel capabilities or performance.,33.00,,25.97,11.81
Evaluate personnel capabilities or performance.,66.00,,25.97,11.81
Evaluate production inputs or outputs.,10.00,,4.87,0.90
Evaluate production inputs or outputs.,33.00,,4.87,0.90
Evaluate production inputs or outputs.,66.00,,4.87,0.90
"Evaluate programs, practices, or processes.",10.00,2024-09-30,73.85,53.36
"Evaluate programs, practices, or processes.",33.00,2024-09-30,73.85,53.36
"Evaluate programs, practices, or processes.",66.00,2025-08-11,73.85,53.36
Evaluate project feasibility.,10.00,2024-09-30,30.66,20.56
Evaluate project feasibility.,33.00,,30.66,20.56
Evaluate project feasibility.,66.00,,30.66,20.56
Evaluate scholarly work.,10.00,2024-09-30,87.96,11.26
Evaluate scholarly work.,33.00,2025-03-06,87.96,11.26
Evaluate scholarly work.,66.00,2025-08-11,87.96,11.26
"Evaluate the characteristics, usefulness, or performance of products or technologies.",10.00,2024-09-30,61.35,54.77
"Evaluate the characteristics, usefulness, or performance of products or technologies.",33.00,2024-09-30,61.35,54.77
"Evaluate the characteristics, usefulness, or performance of products or technologies.",66.00,,61.35,54.77
Evaluate the quality or accuracy of data.,10.00,2024-09-30,54.83,47.40
Evaluate the quality or accuracy of data.,33.00,2024-09-30,54.83,47.40
Evaluate the quality or accuracy of data.,66.00,,54.83,47.40
"Examine financial activities, operations, or systems.",10.00,2024-09-30,16.99,10.72
"Examine financial activities, operations, or systems.",33.00,,16.99,10.72
"Examine financial activities, operations, or systems.",66.00,,16.99,10.72
Examine materials or documentation for accuracy or compliance.,10.00,2024-09-30,61.96,49.60
Examine materials or documentation for accuracy or compliance.,33.00,2024-09-30,61.96,49.60
Examine materials or documentation for accuracy or compliance.,66.00,,61.96,49.60
Examine people or animals to assess health conditions or physical characteristics.,10.00,2025-08-11,15.16,1.02
Examine people or animals to assess health conditions or physical characteristics.,33.00,,15.16,1.02
Examine people or animals to assess health conditions or physical characteristics.,66.00,,15.16,1.02
Execute financial transactions.,10.00,2024-09-30,62.95,53.14
Execute financial transactions.,33.00,2024-09-30,62.95,53.14
Execute financial transactions.,66.00,,62.95,53.14
Explain financial information.,10.00,2024-09-30,74.51,56.85
Explain financial information.,33.00,2024-09-30,74.51,56.85
Explain financial information.,66.00,2025-08-11,74.51,56.85
Explain medical information to patients or family members.,10.00,2024-09-30,63.35,53.32
Explain medical information to patients or family members.,33.00,2024-09-30,63.35,53.32
Explain medical information to patients or family members.,66.00,,63.35,53.32
"Explain regulations, policies, or procedures.",10.00,2024-09-30,67.28,57.86
"Explain regulations, policies, or procedures.",33.00,2024-09-30,67.28,57.86
"Explain regulations, policies, or procedures.",66.00,2025-11-13,67.28,57.86
Explain technical details of products or services.,10.00,2024-09-30,81.90,60.87
Explain technical details of products or services.,33.00,2024-09-30,81.90,60.87
Explain technical details of products or services.,66.00,2025-08-11,81.90,60.87
Fabricate devices or components.,10.00,,6.47,5.83
Fabricate devices or components.,33.00,,6.47,5.83
