category,pct_human_conv,workers_human_conv,tier_human_conv,pct_all_confirmed,workers_all_confirmed,tier_all_confirmed,pct_all_ceiling,workers_all_ceiling,tier_all_ceiling
Transportation Engineers,53.74,63663.67,Moderate,57.51,68132.40,Moderate,61.06,72334.75,High
Political Scientists,53.65,3191.98,Moderate,72.79,4330.74,High,73.36,4364.78,High
Database Architects,53.37,26397.88,Moderate,68.69,33976.21,High,78.71,38930.69,High
Biostatisticians,53.31,5933.94,Moderate,59.69,6644.84,Moderate,74.85,8331.76,High
"Architects, Except Landscape and Naval",53.15,59074.11,Moderate,63.87,70985.45,High,71.71,79693.34,High
Demonstrators and Product Promoters,53.10,34392.15,Moderate,57.43,37194.57,Moderate,69.12,44769.11,High
Computer Numerically Controlled Tool Programmers,53.08,14984.63,Moderate,53.08,14984.63,Moderate,62.09,17527.36,High
Proofreaders and Copy Markers,53.07,2738.56,Moderate,54.18,2795.73,Moderate,64.10,3307.41,High
Health Informatics Specialists,52.85,49885.53,Moderate,52.85,49885.53,Moderate,62.10,58616.18,High
Park Naturalists,52.82,9296.62,Moderate,52.82,9296.62,Moderate,56.39,9924.54,Moderate
Chemists,52.71,43877.84,Moderate,59.71,49708.47,Moderate,66.33,55221.54,High
Survey Researchers,52.70,4068.33,Moderate,60.41,4663.42,High,65.33,5043.47,High
"Title Examiners, Abstractors, and Searchers",52.69,25379.29,Moderate,66.18,31880.07,High,73.31,35311.83,High
"Kindergarten Teachers, Except Special Education",52.68,60265.49,Moderate,56.91,65111.74,Moderate,61.39,70231.52,High
"Secondary School Teachers, Except Special and Career/Technical Education",52.56,563691.79,Moderate,59.76,640905.93,Moderate,64.94,696504.30,High
"Career/Technical Education Teachers, Middle School",52.33,7430.43,Moderate,58.59,8320.02,Moderate,63.27,8984.42,High
Tax Preparers,52.28,38462.72,Moderate,62.90,46274.71,High,73.45,54035.69,High
Bill and Account Collectors,52.28,86272.86,Moderate,71.85,118573.93,High,80.11,132199.86,High
"Nursing Instructors and Teachers, Postsecondary",52.04,38636.87,Moderate,59.60,44250.06,Moderate,63.58,47205.78,High
Data Entry Keyers,52.01,70356.54,Moderate,65.89,89135.02,High,79.58,107652.50,High
Library Technicians,51.99,38350.42,Moderate,58.86,43422.30,Moderate,68.01,50168.20,High
Clinical Data Managers,51.77,53885.35,Moderate,58.62,61014.53,Moderate,73.34,76337.99,High
Robotics Engineers,51.66,12588.27,Moderate,57.70,14061.88,Moderate,64.19,15642.91,High
Real Estate Brokers,51.44,25509.69,Moderate,90.16,44711.30,High,90.33,44792.29,High
Training and Development Specialists,51.39,224380.38,Moderate,60.20,262836.61,High,61.26,267473.20,High
"Meeting, Convention, and Event Planners",51.29,69078.05,Moderate,60.62,81642.44,High,70.12,94424.74,High
Web and Digital Interface Designers,51.24,34375.57,Moderate,51.24,34375.57,Moderate,78.00,52323.42,High
"Electronics Engineers, Except Computer",50.77,33515.74,Moderate,59.87,39524.29,Moderate,64.69,42706.95,High
Penetration Testers,50.76,8898.32,Moderate,50.76,8898.32,Moderate,68.24,11963.30,High
Mechatronics Engineers,50.59,6910.69,Moderate,50.77,6935.21,Moderate,61.27,8368.50,High
Financial and Investment Analysts,50.47,95025.83,Moderate,50.47,95025.83,Moderate,64.67,121763.09,High
"News Analysts, Reporters, and Journalists",50.37,20929.75,Moderate,50.37,20929.75,Moderate,58.29,24221.55,Moderate
Curators,50.36,6184.27,Moderate,84.17,10335.65,High,84.30,10352.18,High
Astronomers,50.07,781.14,Moderate,72.49,1130.78,High,72.67,1133.71,High
Insurance Sales Agents,49.96,234570.68,Moderate,64.14,301128.79,High,72.66,341112.89,High
Compensation and Benefits Managers,49.93,10020.43,Moderate,55.61,11160.77,Moderate,66.71,13388.81,High
Talent Directors,49.67,28478.97,Moderate,50.97,29227.97,Moderate,52.22,29943.54,Moderate
"Cooks, Short Order",49.64,74667.16,Moderate,49.64,74667.16,Moderate,53.26,80106.65,Moderate
Telemarketers,49.63,32972.04,Moderate,83.26,55310.12,High,98.17,65211.45,High
Software Quality Assurance Analysts and Testers,49.63,360283.98,Moderate,49.63,360283.98,Moderate,75.24,546177.09,High
Telephone Operators,49.59,1958.61,Moderate,52.49,2073.24,Moderate,71.71,2832.68,High
Mental Health Counselors,49.43,79987.84,Moderate,57.59,93181.03,Moderate,63.13,102144.16,High
Correspondence Clerks,49.42,3093.88,Moderate,50.43,3157.19,Moderate,71.06,4448.15,High
Choreographers,49.37,1693.33,Moderate,52.52,1801.53,Moderate,52.52,1801.53,Moderate
Writers and Authors,49.27,1371.27,Moderate,49.27,1371.27,Moderate,62.06,1727.09,High
Retail Salespersons,49.23,1870721.84,Moderate,57.36,2179886.98,Moderate,69.00,2622196.64,High
Art Therapists,49.14,4486.73,Moderate,52.25,4770.77,Moderate,56.74,5181.08,Moderate
Industrial Engineers,48.83,42750.33,Moderate,49.94,43727.46,Moderate,59.59,52176.10,Moderate
Pharmacy Aides,48.82,20063.57,Moderate,50.04,20565.41,Moderate,66.05,27144.74,High
Radio Frequency Identification Device Specialists,48.75,13613.35,Moderate,50.09,13988.70,Moderate,62.28,17393.95,High
Industrial-Organizational Psychologists,48.73,511.70,Moderate,66.61,699.45,High,69.78,732.65,High
Mechanical Drafters,48.69,19425.83,Moderate,50.12,19995.93,Moderate,69.62,27779.94,High
File Clerks,48.59,38374.56,Moderate,56.14,44340.80,Moderate,74.95,59192.34,High
"Career/Technical Education Teachers, Secondary School",48.20,50350.00,Moderate,53.33,55704.07,Moderate,57.09,59629.21,Moderate
Business Continuity Planners,48.15,104622.25,Moderate,56.03,121741.31,Moderate,59.83,129998.50,Moderate
Reservation and Transportation Ticket Agents and Travel Clerks,48.11,61316.85,Moderate,50.48,64332.29,Moderate,68.47,87254.95,High
Blockchain Engineers,48.02,8419.03,Moderate,48.02,8419.03,Moderate,64.02,11223.79,High
Telecommunications Engineering Specialists,47.87,38531.48,Moderate,67.97,54704.95,High,77.37,62276.39,High
Instructional Coordinators,47.73,100630.17,Moderate,49.99,105405.62,Moderate,53.52,112856.95,Moderate
"Agents and Business Managers of Artists, Performers, and Athletes",47.46,6748.75,Moderate,53.06,7545.45,Moderate,63.29,8999.16,High
"First-Line Supervisors of Mechanics, Installers, and Repairers",47.44,284975.08,Moderate,48.72,292631.64,Moderate,53.83,323324.26,Moderate
Animal Breeders,47.23,817.13,Moderate,47.23,817.13,Moderate,53.29,921.91,Moderate
Geographic Information Systems Technologists and Technicians,47.21,40709.84,Moderate,47.21,40709.84,Moderate,71.61,61756.31,High
Gambling Dealers,47.20,39162.52,Moderate,47.20,39162.52,Moderate,51.56,42784.51,Moderate
Animal Control Workers,47.12,5555.77,Moderate,47.12,5555.77,Moderate,53.28,6281.62,Moderate
Passenger Attendants,47.01,11913.27,Moderate,47.01,11913.27,Moderate,53.50,13557.71,Moderate
Pharmacy Technicians,46.95,229081.86,Moderate,50.59,246823.21,Moderate,65.11,317683.48,High
Lodging Managers,46.64,19286.29,Moderate,56.23,23250.77,Moderate,67.79,28033.03,High
Human Resources Managers,46.62,100470.03,Moderate,52.33,112779.67,Moderate,64.92,139914.87,High
Electrical and Electronics Drafters,46.56,9321.14,Moderate,46.56,9321.14,Moderate,57.61,11532.68,Moderate
Loan Interviewers and Clerks,46.37,80265.72,Moderate,59.14,102372.56,Moderate,76.27,132031.78,High
"Cooks, Restaurant",46.23,671291.14,Moderate,46.27,671890.70,Moderate,49.58,719980.84,Moderate
Information Technology Project Managers,46.10,21286.48,Moderate,67.85,31333.09,High,81.20,37497.07,High
Automotive Engineers,46.10,65052.28,Moderate,49.06,69233.37,Moderate,53.26,75166.80,Moderate
First-Line Supervisors of Non-Retail Sales Workers,46.04,100836.70,Moderate,67.92,148761.22,High,81.86,179273.31,High
Data Scientists,46.04,3175.71,Moderate,46.04,3175.71,Moderate,76.82,5298.73,High
Automotive Engineering Technicians,46.02,10452.16,Moderate,49.03,11134.51,Moderate,63.28,14371.34,High
Legislators,45.88,12163.39,Moderate,47.74,12655.12,Moderate,50.04,13264.84,Moderate
Parts Salespersons,45.85,121521.19,Moderate,45.85,121521.19,Moderate,62.45,165537.07,High
Coaches and Scouts,45.83,114999.05,Moderate,55.07,138204.47,Moderate,63.35,158965.27,High
Chemical Engineers,45.78,9307.81,Moderate,45.78,9307.81,Moderate,57.92,11776.05,Moderate
"Office Machine Operators, Except Computer",45.78,11326.44,Moderate,46.41,11481.15,Moderate,53.09,13133.70,Moderate
Marriage and Family Therapists,45.76,30144.81,Moderate,54.21,35707.60,Moderate,64.88,42738.54,High
Purchasing Managers,45.74,37161.81,Moderate,46.97,38158.94,Moderate,59.66,48467.08,Moderate
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",45.62,194860.19,Moderate,54.22,231608.06,Moderate,58.31,249060.60,Moderate
Photonics Engineers,45.59,16892.52,Moderate,54.71,20274.55,Moderate,60.71,22498.37,High
Manufacturing Engineers,45.54,39869.51,Moderate,53.38,46741.14,Moderate,63.02,55180.31,High
Architectural and Civil Drafters,45.47,49816.47,Moderate,45.47,49816.47,Moderate,62.79,68787.55,High
Government Property Inspectors and Investigators,45.47,31275.98,Moderate,50.14,34489.02,Moderate,50.62,34824.17,Moderate
Microbiologists,45.35,8961.62,Moderate,55.44,10954.56,Moderate,57.54,11369.97,Moderate
Digital Forensics Analysts,45.34,7948.65,Moderate,45.34,7948.65,Moderate,64.98,11391.98,High
"Eligibility Interviewers, Government Programs",45.25,70713.62,Moderate,55.87,87306.18,Moderate,68.18,106540.00,High
"Fraud Examiners, Investigators and Analysts",45.21,15464.52,Moderate,68.45,23412.96,High,81.48,27870.07,High
Software Developers,45.16,327857.15,Moderate,45.16,327857.15,Moderate,64.68,469541.70,High
Order Clerks,45.08,37607.45,Moderate,62.94,52502.09,High,75.59,63056.64,High
"Meat, Poultry, and Fish Cutters and Trimmers",45.01,63505.10,Moderate,45.01,63505.10,Moderate,45.01,63505.10,Moderate
Biological Technicians,44.99,34279.93,Moderate,50.27,38302.56,Moderate,71.71,54636.49,High
Interior Designers,44.80,31171.86,Moderate,49.33,34326.29,Moderate,52.70,36671.25,Moderate
"Insurance Appraisers, Auto Damage",44.79,3488.82,Moderate,44.79,3488.82,Moderate,44.79,3488.82,Moderate
Dietetic Technicians,44.74,13400.77,Moderate,52.44,15705.03,Moderate,61.71,18481.41,High
Forensic Science Technicians,44.69,8692.87,Moderate,50.01,9727.02,Moderate,58.06,11292.59,Moderate
Credit Analysts,44.65,30079.07,Moderate,54.05,36413.65,Moderate,78.00,52545.78,High
Medical and Health Services Managers,44.33,250836.93,Moderate,47.27,267480.24,Moderate,65.06,368154.77,High
"Preschool Teachers, Except Special Education",44.27,197047.74,Moderate,46.74,208015.27,Moderate,52.65,234322.59,Moderate
Computer Hardware Engineers,44.27,33518.27,Moderate,54.59,41333.21,Moderate,61.46,46532.55,High
Set and Exhibit Designers,44.13,4788.10,Moderate,44.77,4857.86,Moderate,47.14,5114.71,Moderate
Customs and Border Protection Officers,44.11,233286.19,Moderate,44.11,233286.19,Moderate,49.67,262673.53,Moderate
Human Factors Engineers and Ergonomists,44.10,38616.78,Moderate,48.44,42409.94,Moderate,50.87,44543.28,Moderate
Logistics Engineers,44.08,39169.79,Moderate,50.68,45037.80,Moderate,65.76,58442.55,High
Landscape Architects,44.00,8615.71,Moderate,44.00,8615.71,Moderate,46.66,9135.51,Moderate
Tellers,43.99,149275.01,Moderate,45.63,154852.43,Moderate,71.25,241789.76,High
"Pediatricians, General",43.64,18749.35,Moderate,50.52,21702.40,Moderate,52.93,22740.55,Moderate
Climate Change Policy Analysts,43.62,9394.47,Moderate,43.62,9394.47,Moderate,46.66,10051.05,Moderate
Credit Counselors,43.61,12258.10,Moderate,57.22,16083.18,Moderate,66.54,18703.33,High
Baristas,43.44,858688.98,Moderate,47.64,941569.88,Moderate,51.91,1025978.79,Moderate
Chemical Technicians,43.39,24144.66,Moderate,52.62,29280.34,Moderate,56.76,31583.28,Moderate
Athletes and Sports Competitors,43.35,6228.82,Moderate,46.65,6702.98,Moderate,46.65,6702.98,Moderate
"Environmental Scientists and Specialists, Including Health",43.34,13094.08,Moderate,49.68,15008.10,Moderate,52.28,15793.37,Moderate
Personal Care Aides,43.33,863992.34,Moderate,44.45,886373.23,Moderate,48.61,969269.06,Moderate
Biochemists and Biophysicists,43.30,14946.89,Moderate,53.57,18491.75,Moderate,54.12,18681.77,Moderate
Security Management Specialists,43.14,208388.95,Moderate,49.70,240075.27,Moderate,59.51,287414.69,Moderate
"Special Education Teachers, Secondary School",43.11,70171.24,Moderate,48.57,79061.95,Moderate,53.42,86962.17,Moderate
"Teaching Assistants, Postsecondary",43.01,66669.96,Moderate,43.01,66669.96,Moderate,52.52,81406.00,Moderate
"Production, Planning, and Expediting Clerks",42.85,164984.10,Moderate,46.06,177340.70,Moderate,65.36,251620.73,High
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",42.84,4329.38,Moderate,42.84,4329.38,Moderate,45.59,4606.96,Moderate
"Hotel, Motel, and Resort Desk Clerks",42.83,111968.76,Moderate,55.30,144563.49,Moderate,67.80,177261.98,High
Broadcast Announcers and Radio Disc Jockeys,42.82,10224.78,Moderate,42.82,10224.78,Moderate,55.70,13300.35,Moderate
Electrical Engineers,42.60,80426.61,Moderate,46.76,88280.49,Moderate,54.63,103141.01,Moderate
Security Guards,42.56,528537.55,Moderate,54.66,678761.60,Moderate,60.43,750368.08,High
Payroll and Timekeeping Clerks,42.53,66747.65,Moderate,54.70,85856.48,Moderate,73.89,115968.91,High
Electrical and Electronic Engineering Technologists and Technicians,42.53,39425.84,Moderate,42.53,39425.84,Moderate,49.89,46250.10,Moderate
Pharmacists,42.36,139314.83,Moderate,64.86,213317.14,High,69.00,226927.11,High
Cashiers,42.33,1332540.83,Moderate,46.94,1477540.91,Moderate,68.24,2148107.83,High
Dietitians and Nutritionists,42.31,32398.94,Moderate,52.54,40226.41,Moderate,53.92,41284.39,Moderate
Environmental Economists,42.27,2377.74,Moderate,46.14,2595.55,Moderate,50.36,2832.74,Moderate
Nuclear Monitoring Technicians,42.22,2267.10,Moderate,42.22,2267.10,Moderate,48.20,2588.58,Moderate
Biologists,42.12,5166.96,Moderate,58.37,7160.25,Moderate,59.22,7263.80,Moderate
New Accounts Clerks,42.12,16016.68,Moderate,46.31,17611.72,Moderate,75.46,28698.71,High
Solar Energy Systems Engineers,42.06,669.17,Moderate,42.06,669.17,Moderate,47.45,754.96,Moderate
Genetic Counselors,42.05,1475.98,Moderate,47.32,1660.80,Moderate,53.84,1889.75,Moderate
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",42.04,40520.28,Moderate,44.60,42985.19,Moderate,45.80,44147.90,Moderate
Transportation Security Screeners,42.00,19460.86,Moderate,44.68,20703.56,Moderate,51.61,23917.38,Moderate
Materials Scientists,41.89,3489.12,Moderate,54.28,4521.44,Moderate,55.91,4657.45,Moderate
Special Effects Artists and Animators,41.87,8909.25,Moderate,41.87,8909.25,Moderate,58.54,12457.53,Moderate
