category,pct_human_conv,pct_all_confirmed,pct_all_ceiling
Diagnose health conditions or disorders.,11.97,15.08,31.92
Diagnose system or equipment problems.,58.79,60.03,60.71
Direct construction or extraction activities.,13.88,28.91,36.06
Direct legal activities.,7.56,8.40,25.14
"Direct organizational operations, activities, or procedures.",16.98,20.66,31.98
Direct scientific or technical activities.,15.01,21.89,48.07
Direct security or safety activities or operations.,7.43,7.43,15.41
Direct vehicle traffic.,4.25,4.25,11.46
Disassemble equipment.,0.88,0.88,5.75
"Discuss legal matters with clients, disputants, or legal professionals or staff.",18.51,25.09,25.09
Dispose of waste or debris.,0.14,0.14,0.28
"Distribute materials, supplies, or resources.",55.03,57.85,59.28
"Document technical designs, procedures, or activities.",61.10,65.68,72.81
Draft legislation or regulations.,21.43,21.43,43.42
Drill holes in earth or materials.,3.73,3.73,3.73
Edit written materials or documents.,66.85,77.87,81.21
Embalm corpses.,0.00,0.00,0.00
Engrave objects.,0.00,0.00,8.92
Escort others.,20.73,21.35,31.85
Estimate project development or operational costs.,22.02,25.20,33.21
"Evaluate condition of financial assets, property, or other resources.",23.75,26.80,44.44
"Evaluate designs, specifications, or other technical data.",56.16,59.23,61.27
Evaluate green technologies or processes.,4.84,9.86,11.07
Evaluate patient or client condition or treatment options.,18.81,25.34,35.31
Evaluate personnel capabilities or performance.,21.16,25.97,49.18
Evaluate production inputs or outputs.,4.87,4.87,13.00
"Evaluate programs, practices, or processes.",65.01,73.85,74.63
Evaluate project feasibility.,25.98,30.66,52.71
Evaluate scholarly work.,63.34,87.96,87.96
"Evaluate the characteristics, usefulness, or performance of products or technologies.",58.38,61.35,66.36
Evaluate the quality or accuracy of data.,51.40,54.83,62.26
"Examine financial activities, operations, or systems.",15.85,16.99,29.70
Examine materials or documentation for accuracy or compliance.,56.63,61.96,67.75
Examine people or animals to assess health conditions or physical characteristics.,15.16,15.16,17.81
Execute financial transactions.,58.93,62.95,77.78
Explain financial information.,61.92,74.51,77.94
Explain medical information to patients or family members.,53.89,63.35,63.35
"Explain regulations, policies, or procedures.",62.22,67.28,74.11
Explain technical details of products or services.,70.23,81.90,83.94
Fabricate devices or components.,6.47,6.47,8.29
Fabricate medical devices.,5.26,5.26,5.26
Fit assistive devices to patients or clients.,14.15,14.15,14.15
Follow standard healthcare safety procedures to protect patient and staff members.,13.12,13.12,18.97
Gather data about operational or development activities.,57.99,58.82,58.82
Gather information for news stories.,53.38,53.38,68.06
Gather information from physical or electronic sources.,66.74,70.70,78.74
Groom or style hair.,12.52,12.52,12.52
Hunt animals.,0.00,0.00,0.00
Identify business or organizational opportunities.,60.30,66.33,75.58
Implement procedures or processes.,67.86,71.76,72.27
Implement security measures for computer or information systems.,55.09,72.78,86.17
Inspect characteristics or conditions of materials or products.,52.38,54.36,54.48
"Inspect commercial, industrial, or production systems or equipment.",8.95,10.98,16.33
Inspect completed work or finished products.,11.09,11.26,22.72
Inspect facilities or equipment.,7.65,9.28,13.40
Inspect vehicles.,5.75,6.05,9.49
Install commercial or production equipment.,13.03,14.82,17.97
Install energy or heating equipment.,7.61,7.61,7.61
Install plumbing or piping equipment or systems.,7.06,7.06,7.06
"Interpret language, cultural, or religious information for others.",79.52,82.80,82.80
Intervene in crisis situations or emergencies.,10.23,10.23,15.31
Interview people to obtain information.,45.39,50.46,54.64
Investigate criminal or legal matters.,53.10,56.27,58.22
Investigate incidents or accidents.,51.35,55.57,55.57
"Investigate individuals' background, behavior, or activities.",55.23,59.90,69.86
Investigate organizational or operational problems.,53.54,54.41,54.74
Investigate the environmental impact of industrial or development activities.,15.27,18.25,33.97
Issue documentation.,55.41,56.93,71.62
"Join parts using soldering, welding, or brazing techniques.",5.59,5.59,5.99
"Load products, materials, or equipment for transportation or further processing.",5.52,5.52,13.11
Maintain current knowledge in area of expertise.,58.75,72.04,73.06
"Maintain electronic, computer, or other technical equipment.",57.39,61.98,63.88
Maintain facilities or equipment.,55.23,55.23,55.23
Maintain health or medical records.,22.59,33.32,51.60
Maintain medical equipment or instruments.,3.34,4.03,6.58
Maintain operational records.,14.13,21.23,72.96
Maintain safety or security.,45.27,46.96,49.63
Maintain sales or financial records.,21.77,28.09,75.17
Maintain tools or equipment.,6.35,6.36,8.58
Maintain vehicles in working condition.,6.01,6.01,10.46
Make legal decisions.,17.46,22.26,30.27
Manage agricultural or forestry operations.,2.65,2.65,2.65
Manage budgets or finances.,27.98,42.79,65.39
Manage control systems or activities.,0.00,0.00,28.65
Manage human resources activities.,24.90,30.74,52.82
Mark materials or objects for identification.,6.46,10.63,41.03
"Measure physical characteristics of materials, products, or equipment.",53.17,53.59,55.71
Mediate disputes.,17.53,18.73,25.62
Monitor environmental conditions.,9.78,9.94,27.29
Monitor equipment operation.,6.35,7.18,35.55
"Monitor external affairs, trends, or events.",57.10,64.13,79.86
Monitor financial data or activities.,26.71,52.22,69.25
Monitor health conditions of humans or animals.,15.46,19.06,22.96
Monitor individual behavior or performance.,54.64,57.29,58.02
Monitor operation of computer or information technologies.,57.50,67.21,83.04
Monitor operations to ensure adequate performance.,7.08,12.22,35.54
Monitor operations to ensure compliance with regulations or standards.,15.88,22.81,31.65
Monitor resources or inventories.,15.49,20.80,47.52
"Monitor safety or security of work areas, facilities, or properties.",11.49,13.27,28.06
Monitor traffic conditions.,3.80,3.80,24.28
"Move materials, equipment, or supplies.",5.40,6.22,18.66
Negotiate contracts or agreements.,23.12,30.13,48.53
Notify others of emergencies or problems.,8.80,8.80,39.72
Obtain formal documentation or authorization.,54.98,54.98,54.98
Obtain information about goods or services.,70.36,77.84,78.95
Operate agricultural or forestry equipment.,1.73,1.73,1.73
Operate audiovisual or related equipment.,20.79,26.61,65.61
Operate communications equipment or systems.,52.68,56.16,67.49
Operate computer systems or computerized equipment.,64.33,76.50,87.19
Operate construction or excavation equipment.,0.91,0.91,2.13
Operate cutting or grinding equipment.,3.05,3.05,6.34
Operate energy production or distribution equipment.,6.70,6.70,9.44
Operate industrial processing or production equipment.,8.00,8.01,14.92
Operate laboratory or field equipment.,11.34,18.63,27.07
Operate lifting or moving equipment.,0.87,0.87,26.08
Operate medical equipment.,15.59,16.85,30.95
Operate office equipment.,55.62,63.06,72.53
Operate pumping systems or equipment.,6.63,6.63,24.18
Operate transportation equipment or vehicles.,1.41,1.41,9.36
Order medical tests or procedures.,37.90,37.90,39.78
Package objects.,4.92,4.92,18.12
Perform administrative or clerical activities.,65.05,69.62,77.40
Perform agricultural activities.,2.70,2.70,16.38
"Perform athletic activities for fitness, competition, or artistic purposes.",49.81,49.81,49.81
Perform court-related or other legal administrative activities.,11.97,11.97,13.61
Perform general construction or extraction activities.,3.98,4.20,4.51
Perform human resources activities.,23.29,25.79,43.93
Perform recruiting or hiring activities.,31.54,40.90,54.72
Plan events or programs.,66.39,67.44,68.64
Plan work activities.,53.75,54.18,56.71
Position materials or components for assembly.,9.14,9.40,11.57
Position tools or equipment.,6.81,6.81,16.73
Position workpieces or materials on equipment.,7.66,7.66,9.69
"Prepare documentation for contracts, applications, or permits.",64.73,71.62,82.76
"Prepare financial documents, reports, or budgets.",19.30,30.22,53.10
Prepare foods or beverages.,59.49,59.49,59.49
Prepare health or medical documents.,42.95,47.63,64.55
Prepare industrial materials for processing or use.,4.68,4.68,5.12
Prepare informational or instructional materials.,67.31,76.56,79.02
Prepare legal or regulatory documents.,38.10,41.77,58.88
Prepare medical equipment or work areas for use.,11.45,17.12,18.69
Prepare mixtures or solutions.,55.17,56.19,56.58
Prepare proposals or grant applications.,49.50,52.55,69.41
Prepare reports of operational or procedural activities.,20.47,22.49,52.63
Prepare schedules for services or facilities.,16.23,31.22,82.12
Prepare specimens or materials for testing.,18.30,22.51,22.76
Prescribe medical treatments or devices.,8.69,13.25,17.54
Present arts or entertainment performances.,23.05,28.02,35.67
Present information in legal proceedings.,14.16,14.16,14.16
Present research or technical information.,63.21,70.06,74.52
Process animal carcasses.,24.51,24.51,24.51
Process digital or online data.,60.82,65.96,86.60
Process forensic or legal evidence.,10.02,10.02,13.61
Process shipments or mail.,17.26,18.18,48.90
Program computer systems or production equipment.,66.13,70.69,81.42
"Promote products, services, or programs.",62.25,72.71,76.20
Protect people or property from threats such as fires or flooding.,0.00,0.00,3.95
Provide food or beverage services.,18.79,18.79,18.79
"Provide general assistance to others, such as customers, patrons, or motorists.",58.52,63.49,66.01
Provide information or assistance to the public.,62.76,66.50,69.92
"Provide information to guests, clients, or customers.",65.67,71.73,80.63
Provide support or encouragement to others.,48.12,51.11,51.11
Purchase goods or services.,57.00,57.82,63.20
Read documents or materials to inform work processes.,56.78,61.94,63.10
Reconcile financial data.,11.90,12.16,34.08
Record images with photographic or audiovisual equipment.,19.96,21.05,64.26
Record information about environmental conditions.,14.43,14.43,72.26
Record information about legal matters.,23.02,26.54,57.81
Remove workpieces from production equipment.,1.66,1.66,47.10
Repair electrical or electronic equipment.,19.94,22.50,27.75
Repair tools or equipment.,12.73,12.73,13.78
Repair vehicle components.,3.55,3.55,3.55
Repair workpieces or products.,1.74,1.74,1.74
"Replenish inventories of materials, equipment, or products.",15.64,15.89,47.15
Research agricultural processes or practices.,18.47,19.96,28.84
Research biological or ecological phenomena.,57.74,71.94,72.57
Research healthcare issues.,56.83,59.13,59.13
Research historical or social issues.,69.76,89.14,89.14
Research issues related to earth sciences.,55.43,63.38,66.66
"Research laws, precedents, or other legal data.",83.12,92.52,92.52
"Research organizational behavior, processes, or performance.",58.64,66.69,69.56
Research technology designs or applications.,62.01,70.03,70.31
Resolve computer problems.,61.50,71.61,78.61
Resolve personnel or operational problems.,13.82,16.16,21.51
Respond to customer problems or inquiries.,68.08,75.18,78.39
Schedule appointments.,36.17,57.54,95.56
Schedule operational activities.,16.02,26.07,66.93
Select materials or equipment for operations or projects.,55.20,56.05,57.15
Sell products or services.,15.18,20.26,52.02
Serve on organizational committees.,39.24,39.24,39.24
"Set up classrooms, facilities, educational materials, or equipment.",43.63,49.74,52.22
"Set up computer systems, networks, or other information systems.",62.82,71.55,82.28
Set up equipment.,58.38,59.54,59.54
Set up protective structures or coverings near work areas.,0.00,0.00,0.00
Sew garments or materials.,1.75,1.75,1.75
Shape materials to create products.,0.00,0.00,0.00
Signal others to coordinate work activities.,1.79,1.79,10.34
Smooth surfaces of objects or equipment.,0.00,0.00,0.00
Sort materials or products.,20.25,23.87,36.66
Stock supplies or products.,9.66,12.73,23.17
Study details of artistic productions.,67.29,73.37,73.37
Supervise activities in correctional facilities.,0.00,0.00,0.00
Supervise personnel activities.,15.88,18.70,22.42
Take physical measurements of patients or clients.,14.50,14.50,20.62
Teach academic or vocational subjects.,51.52,58.57,61.06
Teach life skills.,52.79,57.71,57.75
Teach safety procedures or standards to others.,41.50,41.50,41.50
Tend watercraft.,0.00,0.00,0.00
Test characteristics of materials or products.,18.13,24.22,30.41
Test performance of computer or information systems.,59.39,67.40,82.76
Test performance of equipment or systems.,52.35,57.37,57.59
Test sites or materials for environmental hazards.,0.07,0.07,46.16
Train animals.,9.27,9.27,9.27
Train others on health or medical topics.,43.34,45.25,45.25
Train others on operational or work procedures.,50.23,53.36,54.65
Train others to use equipment or products.,46.95,48.63,48.80
Transport patients or clients.,0.00,13.40,14.17
"Treat injuries, illnesses, or diseases.",7.05,10.27,17.42
Verify personal information.,49.20,49.64,55.49
Write material for artistic or commercial purposes.,61.37,81.32,84.43
