title_current,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,adoption_gap,ska_overall_gap,emp_nat,median_wage,major,job_zone,risk_score,risk_tier,quadrant,opportunity_score
Computer Systems Engineers/Architects,61.79,120877.39,13172009053.11,78.42,153401.72,16716185359.38,16.63,-2.23,195620.00,108970.00,Computer and Mathematical Occupations,3.00,8,high,Q3: Tool gap,2009741.41
Construction Managers,42.49,148017.55,15834917969.56,55.65,193840.16,20737020338.19,13.15,-3.41,348330.00,106980.00,Management Occupations,4.00,5,moderate,Q3: Tool gap,1947162.19
Public Relations Specialists,83.21,233478.07,16292099523.99,90.67,254407.75,17752573013.38,7.46,-3.66,280590.00,69780.00,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,7,moderate,Q3: Tool gap,1741552.67
Regulatory Affairs Managers,46.00,89494.15,12220426757.35,61.99,120619.59,16470604615.38,16.00,-1.58,194569.00,136550.00,Management Occupations,4.00,7,moderate,Q3: Tool gap,1431648.56
Human Resources Managers,52.33,112779.67,15792536636.02,64.92,139914.87,19592279345.16,12.59,-3.40,215520.00,140030.00,Management Occupations,4.00,7,moderate,Q3: Tool gap,1419960.71
Supply Chain Managers,37.24,55242.73,5635311255.18,62.92,93344.66,9522089126.03,25.68,-2.60,148351.00,102010.00,Management Occupations,4.00,7,moderate,Q3: Tool gap,1418834.23
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",27.05,107349.42,6420568548.00,40.24,159714.53,9552525796.67,13.19,-1.80,396870.00,59810.00,"Installation, Maintenance, and Repair Occupations",3.00,2,low,Q3: Tool gap,1416424.52
Automotive Service Technicians and Mechanics,18.91,130238.40,6468941409.61,29.48,203049.29,10085458059.52,10.57,-1.98,688840.00,49670.00,"Installation, Maintenance, and Repair Occupations",3.00,3,low,Q3: Tool gap,1376629.30
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",71.60,116213.73,8791568778.53,81.95,133007.92,10062049076.16,10.35,-2.25,162300.00,75650.00,Business and Financial Operations Occupations,4.00,7,moderate,Q3: Tool gap,1202535.56
Nurse Practitioners,40.41,124217.47,16050138956.60,49.95,153535.03,19838261154.37,9.54,-3.05,307390.00,129210.00,Healthcare Practitioners and Technical Occupations,5.00,7,moderate,Q3: Tool gap,1184733.83
Coaches and Scouts,55.07,138204.47,6346349052.25,63.35,158965.27,7299685388.05,8.27,-2.13,250940.00,45920.00,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,8,high,Q3: Tool gap,1143395.42
"Education Administrators, Kindergarten through Secondary",22.43,71677.68,7459495979.12,38.18,122036.40,12700327737.17,15.76,-4.69,319630.00,104070.00,Management Occupations,5.00,3,low,Q3: Tool gap,1129304.50
Industrial Machinery Mechanics,30.86,130215.67,8302551161.48,39.18,165309.03,10540103873.23,8.32,-1.60,421940.00,63760.00,"Installation, Maintenance, and Repair Occupations",3.00,1,low,Q3: Tool gap,1083022.60
"Claims Adjusters, Examiners, and Investigators",33.75,102956.89,7906059559.62,43.66,133172.91,10226348091.41,9.91,-1.69,305020.00,76790.00,Business and Financial Operations Occupations,4.00,5,moderate,Q3: Tool gap,1019916.04
Architectural and Engineering Managers,57.38,98754.37,16565057393.04,67.44,116057.53,19467489726.88,10.05,-3.33,172102.00,167740.00,Management Occupations,5.00,5,moderate,Q3: Tool gap,992877.92
Administrative Services Managers,21.21,39126.36,4185993955.43,46.12,85085.45,9102998947.72,24.91,-1.41,184500.52,106986.55,Management Occupations,3.00,4,moderate,Q3: Tool gap,974637.86
Chief Executives,50.67,87390.14,18039072473.44,61.10,105386.12,21753803126.54,10.43,-5.13,172469.00,206420.00,Management Occupations,5.00,7,moderate,Q3: Tool gap,911857.43
Credit Analysts,54.05,36413.65,2948413493.56,78.00,52545.78,4254631649.07,23.95,-1.52,67370.00,80970.00,Business and Financial Operations Occupations,4.00,7,moderate,Q3: Tool gap,871945.38
Public Safety Telecommunicators,34.51,34903.84,1770671903.76,59.42,60093.77,3048556939.82,24.91,-1.95,101140.00,50730.00,Office and Administrative Support Occupations,2.00,6,moderate,Q3: Tool gap,869315.07
Occupational Health and Safety Specialists,29.38,37737.19,3166527344.13,51.29,65871.03,5527238438.38,21.91,-1.66,128430.00,83910.00,"Life, Physical, and Social Science Occupations",4.00,1,low,Q3: Tool gap,826669.97
Computer Numerically Controlled Tool Operators,33.16,58674.70,2931974862.75,46.45,82196.88,4107377899.70,13.29,-1.40,176950.00,49970.00,Production Occupations,2.00,5,moderate,Q3: Tool gap,779969.80
"Meeting, Convention, and Event Planners",60.62,81642.44,4852826612.50,70.12,94424.74,5612606471.33,9.49,-1.56,134670.00,59440.00,Business and Financial Operations Occupations,4.00,6,moderate,Q3: Tool gap,774915.04
Rehabilitation Counselors,38.06,33848.29,1560744827.86,59.95,53314.63,2458337399.32,21.89,-1.33,88930.00,46110.00,Community and Social Service Occupations,4.00,8,high,Q3: Tool gap,740922.22
Regulatory Affairs Specialists,40.69,41116.74,3224374498.05,58.47,59084.92,4633439499.90,17.78,-1.72,101060.00,78420.00,Business and Financial Operations Occupations,4.00,7,moderate,Q3: Tool gap,731044.03
Fundraisers,56.91,60288.98,4008614264.65,69.00,73087.38,4859580133.47,12.08,-1.46,105930.00,66490.00,Business and Financial Operations Occupations,4.00,8,high,Q3: Tool gap,728408.11
Electrical Engineers,46.76,88280.49,9879470103.30,54.63,103141.01,11542510430.89,7.87,-2.77,188790.00,111910.00,Architecture and Engineering Occupations,4.00,5,moderate,Q3: Tool gap,694895.75
First-Line Supervisors of Police and Detectives,18.41,28194.40,2988042585.05,42.62,65260.32,6916288708.25,24.21,-2.93,153130.00,105980.00,Protective Service Occupations,2.00,6,moderate,Q3: Tool gap,682460.25
Logistics Engineers,50.68,45037.80,3642657073.97,65.76,58442.55,4726833412.64,15.08,-3.10,88870.00,80880.00,Business and Financial Operations Occupations,4.00,7,moderate,Q3: Tool gap,679329.93
First-Line Supervisors of Personal Service Workers,27.95,30100.48,1569362658.12,48.69,52437.14,2733939214.66,20.74,-1.23,107697.71,52137.45,Personal Care and Service Occupations,3.00,4,moderate,Q3: Tool gap,624288.37
Social and Community Service Managers,37.07,72461.71,5669404303.66,45.39,88736.05,6942708600.60,8.32,-3.00,195490.00,78240.00,Management Occupations,4.00,6,moderate,Q3: Tool gap,603236.21
"Medical Scientists, Except Epidemiologists",43.05,67294.08,6769111396.98,51.99,81257.06,8173647199.14,8.93,-4.30,156300.00,100590.00,"Life, Physical, and Social Science Occupations",5.00,7,moderate,Q3: Tool gap,601168.04
"Education Administrators, Postsecondary",42.28,74593.88,7754779562.94,49.91,88057.10,9154416510.90,7.63,-3.03,176420.00,103960.00,Management Occupations,5.00,7,moderate,Q3: Tool gap,569251.91
"Architects, Except Landscape and Naval",63.87,70985.45,6863582815.84,71.71,79693.34,7705548927.77,7.84,-3.24,111140.00,96690.00,Architecture and Engineering Occupations,5.00,5,moderate,Q3: Tool gap,556175.66
Logistics Analysts,70.71,54670.55,4421754478.75,80.47,62214.26,5031889014.83,9.76,-1.23,77318.00,80880.00,Business and Financial Operations Occupations,4.00,7,moderate,Q3: Tool gap,533405.31
"Art, Drama, and Music Teachers, Postsecondary",72.25,70720.81,5671101641.24,79.59,77906.63,6247333009.61,7.34,-2.33,97890.00,80190.00,Educational Instruction and Library Occupations,5.00,7,moderate,Q3: Tool gap,519141.29
Computer Network Architects,71.56,69067.63,9005728536.42,79.00,76249.10,9942120535.12,7.44,-1.69,96522.00,130390.00,Computer and Mathematical Occupations,4.00,7,moderate,Q3: Tool gap,513879.94
Remote Sensing Technicians,29.17,14742.28,886453306.46,63.81,32249.74,1939176961.60,34.64,-1.30,50542.00,60130.00,"Life, Physical, and Social Science Occupations",4.00,4,moderate,Q3: Tool gap,510664.20
Compliance Managers,55.62,64955.44,8869665486.64,63.43,74067.82,10113960304.99,7.80,-2.77,116780.00,136550.00,Management Occupations,4.00,7,moderate,Q3: Tool gap,506849.07
Loss Prevention Managers,16.16,26530.43,3622729781.92,35.18,57758.35,7886902197.19,19.02,-2.39,164169.00,136550.00,Management Occupations,4.00,3,low,Q3: Tool gap,504656.81
Security Managers,38.31,27029.25,2829692118.49,56.74,40029.81,4190720514.10,18.43,-3.64,70545.00,104690.00,Management Occupations,4.00,7,moderate,Q3: Tool gap,498115.13
Purchasing Managers,46.97,38158.94,5323553871.12,59.66,48467.08,6761642960.81,12.69,-1.99,81240.00,139510.00,Management Occupations,4.00,7,moderate,Q3: Tool gap,484180.01
Health Informatics Specialists,52.85,49885.53,5177619078.17,62.10,58616.18,6083773831.45,9.25,-1.98,94384.00,103790.00,Computer and Mathematical Occupations,5.00,5,moderate,Q3: Tool gap,461448.32
Manufacturing Engineers,53.38,46741.14,4727398816.05,63.02,55180.31,5580936966.72,9.64,-4.17,87557.50,101140.00,Architecture and Engineering Occupations,4.00,5,moderate,Q3: Tool gap,450511.55
Mechanical Engineers,45.83,45563.69,4662076388.41,55.70,55375.76,5666047576.14,9.87,-3.40,99415.00,102320.00,Architecture and Engineering Occupations,4.00,5,moderate,Q3: Tool gap,449704.94
School Psychologists,34.71,22153.91,1925839200.68,54.91,35048.83,3046795203.87,20.20,-3.75,63830.00,86930.00,"Life, Physical, and Social Science Occupations",5.00,7,moderate,Q3: Tool gap,447552.91
Printing Press Operators,22.24,32275.99,1457583716.07,35.78,51922.59,2344823950.24,13.54,-2.40,145110.00,45160.00,Production Occupations,2.00,3,low,Q3: Tool gap,436988.02
"English Language and Literature Teachers, Postsecondary",71.86,42819.71,3351499059.50,81.79,48740.31,3814904232.02,9.94,-2.55,59590.00,78270.00,Educational Instruction and Library Occupations,5.00,7,moderate,Q3: Tool gap,425437.65
Industrial Engineers,49.94,43727.46,4422594984.88,59.59,52176.10,5277090518.79,9.65,-2.11,87557.50,101140.00,Architecture and Engineering Occupations,4.00,5,moderate,Q3: Tool gap,421937.10
Information Technology Project Managers,67.85,31333.09,3414366374.40,81.20,37497.07,4086055543.89,13.35,-1.82,46177.00,108970.00,Computer and Mathematical Occupations,4.00,7,moderate,Q3: Tool gap,418252.79
"Bus Drivers, Transit and Intercity",22.47,33472.45,1922657522.02,34.09,50793.19,2917560899.75,11.63,-1.37,148980.00,57440.00,Transportation and Material Moving Occupations,2.00,2,low,Q3: Tool gap,389158.04
"Mathematical Science Teachers, Postsecondary",68.09,33242.89,2637823046.93,79.60,38858.43,3083416214.83,11.50,-3.43,48820.00,79350.00,Educational Instruction and Library Occupations,5.00,7,moderate,Q3: Tool gap,382377.69
Marriage and Family Therapists,54.21,35707.60,2277430823.91,64.88,42738.54,2725863882.68,10.67,-4.01,65870.00,63780.00,Community and Social Service Occupations,5.00,7,moderate,Q3: Tool gap,381141.40
Validation Engineers,35.48,31062.09,3141619441.42,47.59,41667.16,4214216665.31,12.11,-1.96,87557.50,101140.00,Architecture and Engineering Occupations,4.00,3,low,Q3: Tool gap,376227.90
Health Education Specialists,25.86,16850.14,1061558954.28,48.06,31312.72,1972701232.73,22.20,-1.39,65150.00,63000.00,Community and Social Service Occupations,4.00,4,moderate,Q3: Tool gap,374054.43
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,21.06,25931.31,1605148300.48,34.82,42878.06,2654151717.34,13.76,-1.65,123136.00,61900.00,Transportation and Material Moving Occupations,3.00,5,moderate,Q3: Tool gap,356882.89
First-Line Supervisors of Security Workers,21.55,15150.16,887950655.91,44.92,31584.00,1851138220.87,23.37,-2.68,70310.00,58610.00,Protective Service Occupations,2.00,4,moderate,Q3: Tool gap,354110.79
Database Architects,68.69,33976.21,4174063907.49,78.71,38930.69,4782734965.69,10.02,-1.81,49461.98,122852.56,Computer and Mathematical Occupations,4.00,5,moderate,Q3: Tool gap,340331.28
"Tax Examiners and Collectors, and Revenue Agents",30.90,16539.20,988051974.70,51.23,27422.97,1638247978.58,20.33,-1.36,53530.00,59740.00,Business and Financial Operations Occupations,3.00,6,moderate,Q3: Tool gap,336276.41
Clinical Research Coordinators,46.49,24015.08,3870751104.50,60.10,31042.76,5003471443.10,13.61,-1.46,51654.00,161180.00,Management Occupations,4.00,7,moderate,Q3: Tool gap,326732.01
Surveyors,33.39,12910.90,939138700.36,58.70,22693.31,1650711305.45,25.30,-1.90,38663.00,72740.00,Architecture and Engineering Occupations,4.00,5,moderate,Q3: Tool gap,326668.17
"Fraud Examiners, Investigators and Analysts",68.45,23412.96,1877484899.93,81.48,27870.07,2234901206.84,13.03,-2.12,34204.00,80190.00,Business and Financial Operations Occupations,4.00,7,moderate,Q3: Tool gap,305093.88
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",43.74,26239.55,1870879981.16,55.17,33097.66,2359863131.02,11.43,-1.78,59990.00,71300.00,"Installation, Maintenance, and Repair Occupations",3.00,5,moderate,Q3: Tool gap,299972.82
"Education and Childcare Administrators, Preschool and Daycare",27.09,19399.41,1091604829.19,42.53,30458.39,1713893377.19,15.44,-1.73,71620.00,56270.00,Management Occupations,4.00,3,low,Q3: Tool gap,299549.85
"Airline Pilots, Copilots, and Flight Engineers",14.89,14786.48,3350615833.08,33.76,33519.88,7595604956.37,18.87,-4.26,99300.00,226600.00,Transportation and Material Moving Occupations,4.00,2,low,Q3: Tool gap,278953.72
Lodging Managers,56.23,23250.77,1584074854.54,67.79,28033.03,1909890175.62,11.57,-2.62,41350.00,68130.00,Management Occupations,4.00,8,high,Q3: Tool gap,268902.54
Probation Officers and Correctional Treatment Specialists,36.82,31963.15,2062262158.64,45.07,39128.68,2524582506.50,8.25,-1.61,86820.00,64520.00,Community and Social Service Occupations,4.00,4,moderate,Q3: Tool gap,263802.18
Industrial Production Managers,19.54,10063.75,1222141599.09,45.17,23265.71,2825387566.95,25.63,-2.21,51505.00,121440.00,Management Occupations,4.00,1,low,Q3: Tool gap,257957.87
Clinical and Counseling Psychologists,28.86,20831.56,1996288758.86,40.47,29212.17,2799401968.61,11.61,-5.07,72190.00,95830.00,"Life, Physical, and Social Science Occupations",5.00,3,low,Q3: Tool gap,241835.53
Remote Sensing Scientists and Technologists,39.16,8842.54,1043065923.37,66.30,14970.68,1765941475.45,27.14,-2.91,22580.00,117960.00,"Life, Physical, and Social Science Occupations",4.00,7,moderate,Q3: Tool gap,239983.75
Budget Analysts,53.93,25440.97,2237024705.43,63.33,29873.85,2626807697.01,9.40,-1.18,47170.00,87930.00,Business and Financial Operations Occupations,4.00,7,moderate,Q3: Tool gap,239085.72
Wind Energy Operations Managers,18.02,10245.88,1399074863.05,40.39,22957.73,3134878138.03,22.36,-1.87,56843.00,136550.00,Management Occupations,3.00,4,moderate,Q3: Tool gap,229129.53
Fundraising Managers,11.92,6991.95,921787114.92,42.87,25149.33,3315575316.79,30.95,-1.77,58664.44,131835.56,Management Occupations,4.00,3,low,Q3: Tool gap,216409.48
"Transportation, Storage, and Distribution Managers",27.35,17682.64,1803805782.57,39.56,25576.15,2609023489.03,12.21,-1.53,64649.00,102010.00,Management Occupations,4.00,3,low,Q3: Tool gap,215901.56
Natural Sciences Managers,41.41,13681.99,2205262985.40,57.06,18853.69,3038837983.65,15.65,-3.15,33044.00,161180.00,Management Occupations,5.00,7,moderate,Q3: Tool gap,214136.23
"Geoscientists, Except Hydrologists and Geographers",32.58,7334.06,727831644.30,59.55,13403.78,1330191476.80,26.96,-2.37,22510.00,99240.00,"Life, Physical, and Social Science Occupations",5.00,5,moderate,Q3: Tool gap,197759.76
"Communications Teachers, Postsecondary",78.83,23064.21,1794395249.12,87.16,25504.14,1984222097.40,8.34,-2.21,29260.00,77800.00,Educational Instruction and Library Occupations,5.00,7,moderate,Q3: Tool gap,192327.87
Financial Examiners,19.16,12040.91,1088498449.37,34.02,21377.80,1932552704.42,14.86,-2.43,62830.00,90400.00,Business and Financial Operations Occupations,4.00,5,moderate,Q3: Tool gap,178934.57
Advertising and Promotions Managers,53.17,11218.05,1424243219.10,68.99,14557.84,1848263989.43,15.83,-2.45,21100.00,126960.00,Management Occupations,4.00,8,high,Q3: Tool gap,177564.04
Commercial Pilots,26.52,13746.41,1686271785.74,39.43,20434.44,2506692367.48,12.90,-3.14,51830.00,122670.00,Transportation and Material Moving Occupations,3.00,3,low,Q3: Tool gap,177380.63
"Foreign Language and Literature Teachers, Postsecondary",70.20,14862.06,1144527571.32,81.98,17355.83,1336572132.78,11.78,-2.04,21170.00,77010.00,Educational Instruction and Library Occupations,5.00,7,moderate,Q3: Tool gap,175070.58
Statisticians,71.76,13395.76,1383781730.53,84.65,15801.99,1632345665.17,12.89,-4.63,18668.00,103300.00,Computer and Mathematical Occupations,5.00,7,moderate,Q3: Tool gap,172666.18
Biomass Power Plant Managers,18.11,10342.97,1256050281.77,34.00,19420.79,2358461043.64,15.89,-2.29,57123.00,121440.00,Management Occupations,4.00,0,low,Q3: Tool gap,164367.50
Wind Energy Development Managers,13.94,10602.95,1447832168.18,29.04,22087.70,3016075770.87,15.10,-1.44,76053.00,136550.00,Management Occupations,4.00,0,low,Q3: Tool gap,160114.99
"Special Education Teachers, Elementary School",19.90,18482.30,1187857304.92,28.55,26513.00,1703990556.51,8.65,-2.04,92873.33,64270.00,Educational Instruction and Library Occupations,4.00,2,low,Q3: Tool gap,159815.35
First-Line Supervisors of Correctional Officers,26.39,14091.33,1075309033.70,37.29,19910.64,1519380902.57,10.90,-2.10,53390.00,76310.00,Protective Service Occupations,3.00,3,low,Q3: Tool gap,153590.28
Information Security Engineers,35.06,6146.22,669754044.88,59.76,10475.73,1141540387.45,24.70,-1.47,17531.00,108970.00,Computer and Mathematical Occupations,4.00,5,moderate,Q3: Tool gap,151788.94
Aerospace Engineers,27.46,18790.65,2533543715.63,35.39,24218.57,3265389996.78,7.93,-4.23,68440.00,134830.00,Architecture and Engineering Occupations,4.00,1,low,Q3: Tool gap,149027.08
Refuse and Recyclable Material Collectors,8.35,11620.86,561868352.88,21.01,29247.35,1414109300.54,12.66,-2.44,139180.00,48350.00,Transportation and Material Moving Occupations,2.00,2,low,Q3: Tool gap,147172.67
"Cutting and Slicing Machine Setters, Operators, and Tenders",16.59,7886.84,360428649.91,33.88,16105.66,736028771.93,17.29,-1.34,47540.00,45700.00,Production Occupations,2.00,2,low,Q3: Tool gap,136349.47
Broadcast Announcers and Radio Disc Jockeys,42.82,10224.78,467067914.81,55.70,13300.35,607560069.09,12.88,-1.87,23880.00,45680.00,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,5,moderate,Q3: Tool gap,131687.82
Quality Control Systems Managers,17.89,8046.84,977207916.96,33.95,15276.15,1855135340.53,16.07,-2.50,44992.00,121440.00,Management Occupations,4.00,1,low,Q3: Tool gap,129296.50
Financial Managers,25.11,4736.82,765943527.02,52.40,9886.71,1598680366.69,27.29,-2.68,18868.00,161700.00,Management Occupations,4.00,3,low,Q3: Tool gap,129288.12
"Sawing Machine Setters, Operators, and Tenders, Wood",27.59,11900.97,475443907.92,38.37,16551.10,661216250.15,10.78,-1.65,43140.00,39950.00,Production Occupations,2.00,1,low,Q3: Tool gap,128282.27
Environmental Compliance Inspectors,33.29,11056.48,867049402.87,44.68,14838.78,1163656791.98,11.39,-1.80,33212.00,78420.00,Business and Financial Operations Occupations,4.00,3,low,Q3: Tool gap,125914.89
"Philosophy and Religion Teachers, Postsecondary",75.68,15771.11,1230934863.91,83.55,17410.86,1358917713.85,7.87,-2.83,20840.00,78050.00,Educational Instruction and Library Occupations,5.00,8,high,Q3: Tool gap,124091.87
Compensation and Benefits Managers,55.61,11160.77,1566525265.20,66.71,13388.81,1879253068.89,11.10,-1.62,20070.00,140360.00,Management Occupations,4.00,7,moderate,Q3: Tool gap,123899.57
Air Traffic Controllers,31.15,6976.69,1008689977.71,48.88,10949.44,1583070147.27,17.74,-3.42,22400.00,144580.00,Transportation and Material Moving Occupations,3.00,4,moderate,Q3: Tool gap,123735.03
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",24.89,9026.10,541114488.69,38.03,13789.80,826698553.19,13.14,-1.14,36260.00,59950.00,Educational Instruction and Library Occupations,4.00,3,low,Q3: Tool gap,118581.51
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",41.62,9589.33,967946564.16,53.60,12350.41,1246650532.41,11.98,-1.66,23040.00,100940.00,"Installation, Maintenance, and Repair Occupations",3.00,4,moderate,Q3: Tool gap,114917.31
Chemical Engineers,45.78,9307.81,1134249720.69,57.92,11776.05,1435029599.15,12.14,-4.80,20330.00,121860.00,Architecture and Engineering Occupations,4.00,5,moderate,Q3: Tool gap,113005.02
Media Programming Directors,21.73,8426.06,703407079.34,34.67,13442.39,1122170597.99,12.94,-2.34,38771.00,83480.00,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,4,moderate,Q3: Tool gap,109019.38
"Maintenance Workers, Machinery",17.99,10172.90,615460676.94,28.10,15886.58,961138377.52,10.11,-1.76,56540.00,60500.00,"Installation, Maintenance, and Repair Occupations",3.00,1,low,Q3: Tool gap,102802.84
Bioengineers and Biomedical Engineers,40.11,8767.64,937699357.97,51.82,11328.68,1211602123.77,11.72,-4.02,21860.00,106950.00,Architecture and Engineering Occupations,4.00,5,moderate,Q3: Tool gap,102718.41
Geodetic Surveyors,19.55,2818.39,205009566.04,55.84,8050.33,585581338.09,36.29,-2.09,14417.00,72740.00,Architecture and Engineering Occupations,4.00,3,low,Q3: Tool gap,102279.64
Biostatisticians,59.69,6644.84,686411589.33,74.85,8331.76,860671114.86,15.15,-3.63,11132.00,103300.00,Computer and Mathematical Occupations,5.00,7,moderate,Q3: Tool gap,100694.86
Microsystems Engineers,43.17,9963.27,1173175479.79,53.12,12259.35,1443538399.89,9.95,-3.98,23080.00,117750.00,Architecture and Engineering Occupations,5.00,5,moderate,Q3: Tool gap,99117.99
Media Technical Directors/Managers,23.92,5835.42,487140699.64,40.64,9914.58,827669202.91,16.72,-2.26,24398.00,83480.00,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,2,low,Q3: Tool gap,97563.82
Industrial Engineering Technologists and Technicians,30.38,9894.43,641060264.44,39.93,13006.12,842666531.56,9.55,-1.16,32570.00,64790.00,Architecture and Engineering Occupations,3.00,2,low,Q3: Tool gap,94529.89
"Criminal Justice and Law Enforcement Teachers, Postsecondary",71.01,9628.94,688180341.27,80.29,10887.71,778144856.74,9.28,-3.12,13560.00,71470.00,Educational Instruction and Library Occupations,5.00,7,moderate,Q3: Tool gap,89385.33
Geothermal Production Managers,10.04,4260.87,517440370.27,30.99,13158.00,1597907020.15,20.96,-2.20,42452.00,121440.00,Management Occupations,3.00,1,low,Q3: Tool gap,89299.70
Industrial Ecologists,23.49,6139.64,491539555.64,37.34,9759.92,781379490.05,13.85,-2.34,26139.00,80060.00,"Life, Physical, and Social Science Occupations",5.00,3,low,Q3: Tool gap,85034.77
"Energy Engineers, Except Wind and Solar",34.01,8782.74,1034167130.63,43.40,11208.89,1319847169.29,9.39,-2.71,25824.00,117750.00,Architecture and Engineering Occupations,4.00,3,low,Q3: Tool gap,82513.55
Nanotechnology Engineering Technologists and Technicians,23.23,9487.99,614726628.63,31.88,13018.44,843464420.07,8.64,-2.75,40840.00,64790.00,Architecture and Engineering Occupations,4.00,1,low,Q3: Tool gap,82019.72
Preventive Medicine Physicians,19.43,9322.42,2322249335.06,28.14,13501.25,3363209533.25,8.71,-5.13,47978.00,249103.60,Healthcare Practitioners and Technical Occupations,5.00,6,moderate,Q3: Tool gap,81197.16
Geneticists,47.63,4843.97,452088151.88,64.10,6519.01,608419577.79,16.47,-3.99,10170.00,93330.00,"Life, Physical, and Social Science Occupations",5.00,7,moderate,Q3: Tool gap,79782.19
Spa Managers,46.13,2245.98,137768390.72,81.10,3948.54,242203534.98,34.97,-1.34,4869.00,61340.00,Management Occupations,3.00,8,high,Q3: Tool gap,78536.03
Forensic Science Technicians,50.01,9727.02,655990383.64,58.06,11292.59,761572204.85,8.05,-1.23,19450.00,67440.00,"Life, Physical, and Social Science Occupations",3.00,7,moderate,Q3: Tool gap,78294.62
Detectives and Criminal Investigators,31.20,5857.29,548124788.81,44.48,8349.45,781341913.17,13.28,-2.61,18772.00,93580.00,Protective Service Occupations,3.00,2,low,Q3: Tool gap,77761.25
"Agents and Business Managers of Artists, Performers, and Athletes",53.06,7545.45,726702745.36,63.29,8999.16,866709174.49,10.22,-1.34,14220.00,96310.00,Business and Financial Operations Occupations,4.00,8,high,Q3: Tool gap,77136.94
Hospitalists,18.60,6471.41,1612050706.48,30.16,10497.52,2614970137.27,11.57,-4.10,34801.00,249103.60,Healthcare Practitioners and Technical Occupations,5.00,3,low,Q3: Tool gap,74867.45
Producers and Directors,28.12,6962.96,581267516.08,38.85,9620.67,803133277.76,10.73,-1.94,24762.00,83480.00,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3,low,Q3: Tool gap,74733.57
Wellhead Pumpers,14.02,2432.58,170304621.31,44.38,7699.69,539055046.23,30.36,-1.62,17350.00,70010.00,Transportation and Material Moving Occupations,2.00,2,low,Q3: Tool gap,73848.10
