title_current,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,adoption_gap,ska_overall_gap,emp_nat,median_wage,major,job_zone,risk_score,risk_tier,quadrant,opportunity_score
Receptionists and Information Clerks,73.83,712141.63,26513032975.50,84.57,815674.39,30367557375.49,10.73,1.14,964530.00,37230.00,Office and Administrative Support Occupations,2.00,11,high,Q1: Automation opportunity,7644135.88
First-Line Supervisors of Food Preparation and Serving Workers,36.45,432822.87,18182888890.75,53.71,637739.38,26791431550.39,17.26,0.91,1187460.00,42010.00,Food Preparation and Serving Related Occupations,2.00,11,high,Q1: Automation opportunity,7469098.19
Human Resources Specialists,75.84,695759.72,50727841250.31,86.37,792364.65,57771306499.32,10.53,-1.23,917460.00,72910.00,Business and Financial Operations Occupations,4.00,7,moderate,Q3: Tool gap,7326076.04
First-Line Supervisors of Office and Administrative Support Workers,68.43,1023367.28,67685511818.04,75.47,1128732.29,74654353675.11,7.05,-1.26,1495580.00,66140.00,Office and Administrative Support Occupations,3.00,8,high,Q4: Low priority,7209718.31
Executive Secretaries and Executive Administrative Assistants,64.84,306536.60,22763407867.54,87.55,413906.11,30736667905.74,22.71,-0.85,472770.00,74260.00,Office and Administrative Support Occupations,3.00,11,high,Q1: Automation opportunity,6961669.61
Software Developers,45.16,327857.15,37254756564.89,64.68,469541.70,53354522704.87,19.52,-1.65,725946.38,113631.06,Computer and Mathematical Occupations,4.00,5,moderate,Q3: Tool gap,6398859.97
Accountants and Auditors,28.09,406788.64,33226496491.62,43.59,631369.97,51570298906.80,15.51,-1.67,1448290.00,81680.00,Business and Financial Operations Occupations,4.00,3,low,Q3: Tool gap,6307930.85
"Shipping, Receiving, and Inventory Clerks",25.81,221355.21,9560331730.44,51.03,437688.09,18903748746.06,25.22,2.91,857630.00,43190.00,Office and Administrative Support Occupations,2.00,7,moderate,Q1: Automation opportunity,5583574.59
"Securities, Commodities, and Financial Services Sales Agents",29.00,136979.21,10703555742.56,67.48,318731.51,24905680085.60,38.48,-0.38,472300.00,78140.00,Sales and Related Occupations,4.00,5,moderate,Q1: Automation opportunity,5271286.56
Waiters and Waitresses,39.41,907500.77,30637225915.91,45.07,1037900.67,35039526727.19,5.66,2.18,2302690.00,33760.00,Food Preparation and Serving Related Occupations,2.00,8,high,Q2: Already adopted,5139120.52
Medical and Health Services Managers,47.27,267480.24,31551968799.74,65.06,368154.77,43427537248.36,17.79,-3.35,565840.00,117960.00,Management Occupations,4.00,7,moderate,Q3: Tool gap,4759021.84
Billing and Posting Clerks,36.77,153517.97,7241442843.95,66.60,278042.82,13115279680.47,29.83,1.18,417500.00,47170.00,Office and Administrative Support Occupations,3.00,9,high,Q1: Automation opportunity,4578874.64
Customer Service Representatives,84.08,2292070.98,98169400246.92,85.86,2340529.84,100244893194.80,1.78,0.72,2725930.00,42830.00,Office and Administrative Support Occupations,2.00,11,high,Q2: Already adopted,4074614.74
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",81.81,1036422.58,69212300049.88,85.70,1085749.19,72506331127.32,3.89,-1.41,1266860.00,66780.00,Sales and Related Occupations,4.00,7,moderate,Q4: Low priority,4035427.24
Baristas,47.64,941569.88,28699050049.02,51.91,1025978.79,31271833622.77,4.27,3.06,1976580.00,30480.00,Food Preparation and Serving Related Occupations,1.00,10,high,Q2: Already adopted,4020929.46
Tellers,45.63,154852.43,6091894738.84,71.25,241789.76,9512009108.47,25.62,1.82,339340.00,39340.00,Office and Administrative Support Occupations,2.00,8,high,Q1: Automation opportunity,3967247.12
Security Guards,54.66,678761.60,26044082623.66,60.43,750368.08,28791623324.41,5.77,-0.20,1241770.00,38370.00,Protective Service Occupations,2.00,10,high,Q2: Already adopted,3914068.64
Personal Care Aides,44.45,886373.23,30934425892.69,48.61,969269.06,33827490180.22,4.16,1.67,1994070.00,34900.00,Healthcare Support Occupations,2.00,10,high,Q2: Already adopted,3684757.33
Pharmacy Technicians,50.59,246823.21,10726936490.57,65.11,317683.48,13806523891.39,14.52,0.01,487920.00,43460.00,Healthcare Practitioners and Technical Occupations,3.00,8,high,Q1: Automation opportunity,3584595.70
Counter and Rental Clerks,70.76,282061.63,10870655298.76,83.28,331967.70,12794035331.20,12.52,1.99,398620.00,38540.00,Sales and Related Occupations,2.00,10,high,Q1: Automation opportunity,3531330.15
Heavy and Tractor-Trailer Truck Drivers,21.53,445791.35,25606255274.51,29.40,608734.10,34965686776.13,7.87,-1.21,2070480.00,57440.00,Transportation and Material Moving Occupations,2.00,2,low,Q3: Tool gap,3508291.24
"Elementary School Teachers, Except Special Education",63.21,880769.62,54907178247.58,67.10,934965.29,58285736213.75,3.89,-1.48,1393310.00,62340.00,Educational Instruction and Library Occupations,4.00,7,moderate,Q4: Low priority,3425935.24
"Production, Planning, and Expediting Clerks",46.06,177340.70,10244972523.58,65.36,251620.73,14536129764.05,19.29,-0.56,385000.00,57770.00,Office and Administrative Support Occupations,2.00,11,high,Q1: Automation opportunity,3421525.35
Online Merchants,84.04,265915.56,21610957688.70,96.90,306617.16,24918776793.30,12.86,0.28,316417.00,81270.00,Business and Financial Operations Occupations,4.00,9,high,Q1: Automation opportunity,3420546.01
"Entertainment and Recreation Managers, Except Gambling",39.76,222948.84,20047680499.91,54.73,306876.04,27594459120.87,14.97,-0.38,560732.43,89920.54,Management Occupations,4.00,8,high,Q1: Automation opportunity,3336969.59
"Secondary School Teachers, Except Special and Career/Technical Education",59.76,640905.93,41389704793.49,64.94,696504.30,44980247688.06,5.18,-1.25,1072540.00,64580.00,Educational Instruction and Library Occupations,4.00,7,moderate,Q4: Low priority,3322330.77
Medical Assistants,50.91,403979.36,17855887607.08,58.99,468068.56,20688630506.14,8.08,-0.75,793460.00,44200.00,Healthcare Support Occupations,3.00,11,high,Q1: Automation opportunity,3263014.67
"Middle School Teachers, Except Special and Career/Technical Education",63.59,394502.78,24841840132.56,71.70,444793.51,28008647018.62,8.11,-0.77,620370.00,62970.00,Educational Instruction and Library Occupations,4.00,9,high,Q1: Automation opportunity,3198064.13
Fast Food and Counter Workers,29.37,529914.37,16151789913.58,35.37,638268.16,19454413535.23,6.01,3.42,1804350.00,30480.00,Food Preparation and Serving Related Occupations,1.00,4,moderate,Q2: Already adopted,3182211.43
Computer Systems Analysts,70.69,285190.50,29599922217.58,80.71,325592.31,33793226211.67,10.01,-1.78,403416.00,103790.00,Computer and Mathematical Occupations,3.00,6,moderate,Q3: Tool gap,2856161.59
First-Line Supervisors of Production and Operating Workers,32.67,223843.33,15935406585.35,45.40,311051.96,22143788800.06,12.73,-0.50,685140.00,71190.00,Production Occupations,3.00,4,moderate,Q1: Automation opportunity,2849208.86
Management Analysts,69.24,618935.48,62630080896.98,73.77,659462.28,66730988079.74,4.53,-2.03,893900.00,101190.00,Business and Financial Operations Occupations,4.00,7,moderate,Q4: Low priority,2806071.83
Network and Computer Systems Administrators,73.68,234714.64,22720377430.12,85.55,272541.99,26382064346.84,11.87,-1.75,318570.00,96800.00,Computer and Mathematical Occupations,4.00,5,moderate,Q3: Tool gap,2787026.90
Insurance Claims and Policy Processing Clerks,36.27,83089.99,4025709898.51,69.60,159441.79,7724954724.64,33.33,0.79,229070.00,48450.00,Office and Administrative Support Occupations,2.00,9,high,Q1: Automation opportunity,2769489.81
"Substitute Teachers, Short-Term",38.11,183416.55,7056034515.43,52.79,254076.28,9774314447.84,14.68,1.50,481300.00,38470.00,Educational Instruction and Library Occupations,4.00,7,moderate,Q1: Automation opportunity,2692741.36
"Laborers and Freight, Stock, and Material Movers, Hand",5.97,178081.92,6934510155.93,20.71,617811.81,24057591884.78,14.74,0.08,2982530.00,38940.00,Transportation and Material Moving Occupations,2.00,4,moderate,Q1: Automation opportunity,2625554.29
Insurance Sales Agents,64.14,301128.79,18179145066.63,72.66,341112.89,20592984919.14,8.52,0.18,469480.00,60370.00,Sales and Related Occupations,4.00,9,high,Q1: Automation opportunity,2564616.67
Amusement and Recreation Attendants,40.93,152108.63,4637792105.76,57.33,213046.83,6495797951.03,16.40,2.12,371590.00,30490.00,Personal Care and Service Occupations,1.00,8,high,Q1: Automation opportunity,2494476.90
Driver/Sales Workers,18.31,76418.13,2837405160.77,50.33,210099.29,7800986707.92,32.03,1.51,417420.00,37130.00,Transportation and Material Moving Occupations,2.00,6,moderate,Q1: Automation opportunity,2447334.67
Security Management Specialists,49.70,240075.27,19510916823.64,59.51,287414.69,23358191516.39,9.80,-2.50,483001.00,81270.00,Business and Financial Operations Occupations,4.00,5,moderate,Q3: Tool gap,2353002.15
Treasurers and Controllers,47.63,136491.96,22070750235.64,64.19,183938.05,29742782695.97,16.56,-4.68,286560.00,161700.00,Management Occupations,4.00,7,moderate,Q3: Tool gap,2259914.04
"Cooks, Restaurant",46.27,671890.70,24745734586.40,49.58,719980.84,26516894311.22,3.31,1.67,1452130.00,36830.00,Food Preparation and Serving Related Occupations,2.00,8,high,Q2: Already adopted,2225098.00
Computer User Support Specialists,81.76,570020.16,34395016609.76,85.45,595780.13,35949372830.07,3.69,-1.22,697210.00,60340.00,Computer and Mathematical Occupations,3.00,8,high,Q4: Low priority,2106065.43
Legal Secretaries and Administrative Assistants,33.57,51875.98,2808565782.42,74.10,114513.33,6199751777.18,40.53,-1.22,154540.00,54140.00,Office and Administrative Support Occupations,3.00,7,moderate,Q3: Tool gap,2102610.36
Paralegals and Legal Assistants,41.59,152714.69,9317123092.37,55.24,202847.37,12375718252.29,13.65,-1.45,367220.00,61010.00,Legal Occupations,3.00,9,high,Q3: Tool gap,2084853.07
First-Line Supervisors of Non-Retail Sales Workers,67.92,148761.22,12515281599.91,81.86,179273.31,15082263371.80,13.93,-0.71,219010.00,84130.00,Sales and Related Occupations,4.00,9,high,Q1: Automation opportunity,2072515.02
Parts Salespersons,45.85,121521.19,4549753329.33,62.45,165537.07,6197707999.30,16.61,-0.08,265060.00,37440.00,Sales and Related Occupations,2.00,10,high,Q1: Automation opportunity,2017981.77
Computer Systems Engineers/Architects,61.79,120877.39,13172009053.11,78.42,153401.72,16716185359.38,16.63,-2.23,195620.00,108970.00,Computer and Mathematical Occupations,3.00,8,high,Q3: Tool gap,2009741.41
Advanced Practice Psychiatric Nurses,47.35,488433.72,45717396197.41,51.38,529962.18,49604460343.85,4.03,-3.59,1031526.00,93600.00,Healthcare Practitioners and Technical Occupations,5.00,7,moderate,Q4: Low priority,1966397.52
Loan Officers,43.68,126889.10,9412633446.01,59.11,171722.71,12738390291.81,15.43,-0.94,290530.00,74180.00,Business and Financial Operations Occupations,4.00,9,high,Q1: Automation opportunity,1958109.61
Construction Managers,42.49,148017.55,15834917969.56,55.65,193840.16,20737020338.19,13.15,-3.41,348330.00,106980.00,Management Occupations,4.00,5,moderate,Q3: Tool gap,1947162.19
Recreation Workers,31.95,98916.29,3499658443.78,51.29,158805.85,5618550874.51,19.34,0.32,309640.00,35380.00,Personal Care and Service Occupations,4.00,5,moderate,Q1: Automation opportunity,1913206.53
Light Truck Drivers,15.34,152538.27,6733039395.09,27.47,273137.16,12056274114.48,12.13,1.34,994410.00,44140.00,Transportation and Material Moving Occupations,2.00,4,moderate,Q1: Automation opportunity,1849935.69
"Hotel, Motel, and Resort Desk Clerks",55.30,144563.49,4954190710.38,67.80,177261.98,6074767972.51,12.51,1.02,261430.00,34270.00,Office and Administrative Support Occupations,2.00,10,high,Q1: Automation opportunity,1808135.17
Loan Interviewers and Clerks,59.14,102372.56,5011136920.53,76.27,132031.78,6462955746.31,17.13,-0.65,173100.00,48950.00,Office and Administrative Support Occupations,3.00,10,high,Q1: Automation opportunity,1754067.22
Lawyers,41.80,312592.71,47251513890.22,47.39,354359.80,53565026778.48,5.59,-4.56,747750.00,151160.00,Legal Occupations,5.00,7,moderate,Q4: Low priority,1746049.74
Public Relations Specialists,83.21,233478.07,16292099523.99,90.67,254407.75,17752573013.38,7.46,-3.66,280590.00,69780.00,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,7,moderate,Q3: Tool gap,1741552.67
Web Administrators,69.77,132100.56,14394998482.33,82.27,155772.00,16974474820.99,12.50,-0.35,189336.00,108970.00,Computer and Mathematical Occupations,4.00,9,high,Q1: Automation opportunity,1651566.53
"Court, Municipal, and License Clerks",40.28,68475.75,3266293406.08,64.37,109428.11,5219721049.52,24.09,-0.43,170010.00,47700.00,Office and Administrative Support Occupations,2.00,8,high,Q1: Automation opportunity,1649458.14
Payroll and Timekeeping Clerks,54.70,85856.48,4747004893.70,73.89,115968.91,6411920880.23,19.19,-0.55,156950.00,55290.00,Office and Administrative Support Occupations,3.00,11,high,Q1: Automation opportunity,1647242.36
"Cooks, Fast Food",40.84,272922.70,8231348758.42,46.76,312445.03,9423342185.77,5.91,2.76,668230.00,30160.00,Food Preparation and Serving Related Occupations,1.00,6,moderate,Q2: Already adopted,1614195.83
"First-Line Supervisors of Mechanics, Installers, and Repairers",48.72,292631.64,22913057143.80,53.83,323324.26,25316289401.60,5.11,-1.63,600680.00,78300.00,"Installation, Maintenance, and Repair Occupations",3.00,6,moderate,Q4: Low priority,1495244.06
Industrial Truck and Tractor Operators,5.43,43777.08,2030818594.71,39.37,317212.20,14715473817.66,33.93,0.13,805770.00,46390.00,Transportation and Material Moving Occupations,2.00,4,moderate,Q1: Automation opportunity,1485559.19
Licensed Practical and Licensed Vocational Nurses,28.83,182337.51,11366920083.06,36.97,233791.65,14574571684.49,8.14,-0.74,632430.00,62340.00,Healthcare Practitioners and Technical Occupations,3.00,8,moderate,Q1: Automation opportunity,1483487.66
"Dispatchers, Except Police, Fire, and Ambulance",71.51,150878.33,7374932612.18,81.27,171484.59,8382166874.96,9.77,-0.73,211000.00,48880.00,Office and Administrative Support Occupations,2.00,11,high,Q1: Automation opportunity,1473478.14
Regulatory Affairs Managers,46.00,89494.15,12220426757.35,61.99,120619.59,16470604615.38,16.00,-1.58,194569.00,136550.00,Management Occupations,4.00,7,moderate,Q3: Tool gap,1431648.56
Investment Fund Managers,89.34,458481.38,74136438650.96,92.45,474453.44,76719121628.11,3.11,-2.29,513192.00,161700.00,Management Occupations,5.00,7,moderate,Q4: Low priority,1426930.77
Human Resources Managers,52.33,112779.67,15792536636.02,64.92,139914.87,19592279345.16,12.59,-3.40,215520.00,140030.00,Management Occupations,4.00,7,moderate,Q3: Tool gap,1419960.71
Supply Chain Managers,37.24,55242.73,5635311255.18,62.92,93344.66,9522089126.03,25.68,-2.60,148351.00,102010.00,Management Occupations,4.00,7,moderate,Q3: Tool gap,1418834.23
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",27.05,107349.42,6420568548.00,40.24,159714.53,9552525796.67,13.19,-1.80,396870.00,59810.00,"Installation, Maintenance, and Repair Occupations",3.00,2,low,Q3: Tool gap,1416424.52
Sales Managers,53.40,322393.46,44509640845.85,57.71,348396.17,48099575295.93,4.31,-2.17,603710.00,138060.00,Management Occupations,4.00,7,moderate,Q4: Low priority,1388597.89
"Maintenance and Repair Workers, General",20.80,318519.04,15486395939.01,25.12,384740.02,18706059615.33,4.32,-1.56,1531700.00,48620.00,"Installation, Maintenance, and Repair Occupations",3.00,3,low,Q4: Low priority,1377073.89
Automotive Service Technicians and Mechanics,18.91,130238.40,6468941409.61,29.48,203049.29,10085458059.52,10.57,-1.98,688840.00,49670.00,"Installation, Maintenance, and Repair Occupations",3.00,3,low,Q3: Tool gap,1376629.30
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",11.34,249546.90,8966220074.85,16.79,369458.76,13274653382.52,5.45,2.69,2199900.00,35930.00,Building and Grounds Cleaning and Maintenance Occupations,3.00,4,moderate,Q2: Already adopted,1360227.01
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",32.63,124851.25,4438462080.69,43.17,165152.56,5871173473.49,10.53,0.60,382577.50,35550.00,Educational Instruction and Library Occupations,3.00,7,moderate,Q1: Automation opportunity,1315202.40
"Inspectors, Testers, Sorters, Samplers, and Weighers",24.87,146999.73,6976607226.52,33.70,199229.58,9455435955.86,8.83,0.25,591180.00,47460.00,Production Occupations,2.00,7,moderate,Q1: Automation opportunity,1298720.19
Customs and Border Protection Officers,44.11,233286.19,17797403727.01,49.67,262673.53,20039363816.27,5.56,-0.89,528885.00,76290.00,Protective Service Occupations,3.00,7,moderate,Q2: Already adopted,1296247.85
"Property, Real Estate, and Community Association Managers",61.50,182443.82,12169002476.95,68.54,203326.00,13561844215.74,7.04,-0.95,296640.00,66700.00,Management Occupations,4.00,9,high,Q2: Already adopted,1284326.29
Market Research Analysts and Marketing Specialists,89.50,385373.12,29654461224.56,92.71,399192.59,30717870140.96,3.21,-2.07,430570.00,76950.00,Business and Financial Operations Occupations,4.00,7,moderate,Q4: Low priority,1236884.99
"Preschool Teachers, Except Special Education",46.74,208015.27,7721526818.62,52.65,234322.59,8698054666.25,5.91,0.91,445080.00,37120.00,Educational Instruction and Library Occupations,3.00,10,high,Q2: Already adopted,1229514.92
Data Entry Keyers,65.89,89135.02,3552030497.20,79.58,107652.50,4289951947.03,13.69,-0.45,135280.00,39850.00,Office and Administrative Support Occupations,2.00,11,high,Q1: Automation opportunity,1220103.22
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",71.60,116213.73,8791568778.53,81.95,133007.92,10062049076.16,10.35,-2.25,162300.00,75650.00,Business and Financial Operations Occupations,4.00,7,moderate,Q3: Tool gap,1202535.56
Bartenders,28.74,214255.67,7183992687.94,34.33,255942.96,8581767358.08,5.59,1.83,745610.00,33530.00,Food Preparation and Serving Related Occupations,2.00,8,moderate,Q2: Already adopted,1197910.07
Nurse Practitioners,40.41,124217.47,16050138956.60,49.95,153535.03,19838261154.37,9.54,-3.05,307390.00,129210.00,Healthcare Practitioners and Technical Occupations,5.00,7,moderate,Q3: Tool gap,1184733.83
Animal Caretakers,39.56,109704.22,3671800334.56,50.19,139184.18,4658494398.16,10.63,2.13,277300.00,33470.00,Personal Care and Service Occupations,2.00,8,high,Q1: Automation opportunity,1166273.15
"Teaching Assistants, Special Education",26.69,102113.26,3630126513.46,38.06,145612.37,5176519808.26,11.37,1.75,382577.50,35550.00,Educational Instruction and Library Occupations,3.00,7,moderate,Q1: Automation opportunity,1161029.04
Reservation and Transportation Ticket Agents and Travel Clerks,50.48,64332.29,2667216715.31,68.47,87254.95,3617590037.22,17.99,-0.18,127440.00,41460.00,Office and Administrative Support Occupations,2.00,10,high,Q1: Automation opportunity,1157146.06
Home Health Aides,29.25,583323.16,20357978355.19,31.23,622814.67,21736231962.48,1.98,1.89,1994070.00,34900.00,Healthcare Support Occupations,2.00,8,moderate,Q2: Already adopted,1155240.84
Self-Enrichment Teachers,27.88,86003.10,3920881132.05,41.24,127225.00,5800187906.08,13.36,0.72,308520.00,45590.00,Educational Instruction and Library Occupations,3.00,6,moderate,Q1: Automation opportunity,1149102.71
First-Line Supervisors of Construction Trades and Extraction Workers,57.06,275724.64,21696771792.66,61.23,295846.55,23280164949.45,4.16,-0.67,483212.00,78690.00,Construction and Extraction Occupations,3.00,8,high,Q2: Already adopted,1148172.35
Coaches and Scouts,55.07,138204.47,6346349052.25,63.35,158965.27,7299685388.05,8.27,-2.13,250940.00,45920.00,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,8,high,Q3: Tool gap,1143395.42
"Education Administrators, Kindergarten through Secondary",22.43,71677.68,7459495979.12,38.18,122036.40,12700327737.17,15.76,-4.69,319630.00,104070.00,Management Occupations,5.00,3,low,Q3: Tool gap,1129304.50
Postal Service Mail Carriers,21.06,70754.52,4067677475.53,36.80,123660.96,7109268864.96,15.74,2.89,336040.00,57490.00,Office and Administrative Support Occupations,2.00,5,moderate,Q1: Automation opportunity,1113965.62
"Health Specialties Teachers, Postsecondary",76.86,176561.47,18648422782.18,83.05,190771.62,20149298747.44,6.19,-2.50,229720.00,105620.00,Educational Instruction and Library Occupations,5.00,7,moderate,Q4: Low priority,1092183.91
Food Service Managers,32.93,80413.25,5251789546.25,46.49,113535.72,7415017596.47,13.56,-0.02,244230.00,65310.00,Management Occupations,2.00,11,moderate,Q1: Automation opportunity,1090564.22
Graphic Designers,81.02,173598.54,10641590388.73,87.30,187045.67,11465899285.59,6.28,-0.65,214260.00,61300.00,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,9,high,Q2: Already adopted,1089518.17
"Child, Family, and School Social Workers",40.05,153373.08,8983061047.08,47.14,180508.51,10572383553.61,7.09,-2.62,382960.00,58570.00,Community and Social Service Occupations,4.00,5,moderate,Q4: Low priority,1086757.19
Industrial Machinery Mechanics,30.86,130215.67,8302551161.48,39.18,165309.03,10540103873.23,8.32,-1.60,421940.00,63760.00,"Installation, Maintenance, and Repair Occupations",3.00,1,low,Q3: Tool gap,1083022.60
"Eligibility Interviewers, Government Programs",55.87,87306.18,4496268439.09,68.18,106540.00,5486809865.37,12.31,-0.84,156260.00,51500.00,Office and Administrative Support Occupations,3.00,10,high,Q1: Automation opportunity,1074639.00
Computer and Information Systems Managers,77.59,501187.58,85803314020.45,79.70,514841.82,88140919092.35,2.11,-1.66,645970.00,171200.00,Management Occupations,4.00,7,moderate,Q4: Low priority,1059388.69
"Claims Adjusters, Examiners, and Investigators",33.75,102956.89,7906059559.62,43.66,133172.91,10226348091.41,9.91,-1.69,305020.00,76790.00,Business and Financial Operations Occupations,4.00,5,moderate,Q3: Tool gap,1019916.04
Geographic Information Systems Technologists and Technicians,47.21,40709.84,4436151544.33,71.61,61756.31,6729584898.98,24.40,-0.52,86239.00,108970.00,Computer and Mathematical Occupations,3.00,8,high,Q1: Automation opportunity,993516.04
Architectural and Engineering Managers,57.38,98754.37,16565057393.04,67.44,116057.53,19467489726.88,10.05,-3.33,172102.00,167740.00,Management Occupations,5.00,5,moderate,Q3: Tool gap,992877.92
Computer Network Support Specialists,81.36,119146.67,8738216747.06,89.65,131286.88,9628579820.29,8.29,-0.86,146450.00,73340.00,Computer and Mathematical Occupations,4.00,9,high,Q1: Automation opportunity,987685.70
Clinical Nurse Specialists,47.25,370861.56,34712641889.60,49.90,391637.96,36657312879.53,2.65,-3.67,784864.00,93600.00,Healthcare Practitioners and Technical Occupations,5.00,7,moderate,Q4: Low priority,981720.13
Bill and Account Collectors,71.85,118573.93,5459143524.99,80.11,132199.86,6086481699.54,8.26,0.82,165020.00,46040.00,Office and Administrative Support Occupations,2.00,11,high,Q1: Automation opportunity,979081.89
Administrative Services Managers,21.21,39126.36,4185993955.43,46.12,85085.45,9102998947.72,24.91,-1.41,184500.52,106986.55,Management Occupations,3.00,4,moderate,Q3: Tool gap,974637.86
Team Assemblers,13.85,100921.50,4259896514.84,23.36,170292.73,7188056322.14,9.52,1.06,728900.00,42210.00,Production Occupations,2.00,4,moderate,Q1: Automation opportunity,960495.14
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",54.22,231608.06,7036252853.44,58.31,249060.60,7566460922.92,4.09,2.39,427150.00,30380.00,Food Preparation and Serving Related Occupations,1.00,10,high,Q2: Already adopted,946306.50
Search Marketing Strategists,89.65,385996.45,29702426863.26,92.03,396266.47,30492705163.14,2.39,-1.71,430570.00,76950.00,Business and Financial Operations Occupations,4.00,7,moderate,Q4: Low priority,920684.81
Chief Executives,50.67,87390.14,18039072473.44,61.10,105386.12,21753803126.54,10.43,-5.13,172469.00,206420.00,Management Occupations,5.00,7,moderate,Q3: Tool gap,911857.43
Clinical Data Managers,58.62,61014.53,6869626138.97,73.34,76337.99,8594893985.04,14.72,-0.95,104082.00,112590.00,Computer and Mathematical Occupations,4.00,9,high,Q1: Automation opportunity,898285.45
Pharmacists,64.86,213317.14,29326840635.28,69.00,226927.11,31197939036.71,4.14,-2.31,328870.00,137480.00,Healthcare Practitioners and Technical Occupations,5.00,7,moderate,Q4: Low priority,882792.43
Document Management Specialists,76.79,95345.92,10389845390.58,86.01,106795.24,11637476799.29,9.22,-0.52,124166.00,108970.00,Computer and Mathematical Occupations,4.00,9,high,Q1: Automation opportunity,879182.01
Credit Analysts,54.05,36413.65,2948413493.56,78.00,52545.78,4254631649.07,23.95,-1.52,67370.00,80970.00,Business and Financial Operations Occupations,4.00,7,moderate,Q3: Tool gap,871945.38
"Cooks, Institution and Cafeteria",16.33,73195.12,2667962179.60,28.22,126483.94,4610339529.28,11.89,1.01,448260.00,36450.00,Food Preparation and Serving Related Occupations,2.00,4,moderate,Q1: Automation opportunity,870138.17
Public Safety Telecommunicators,34.51,34903.84,1770671903.76,59.42,60093.77,3048556939.82,24.91,-1.95,101140.00,50730.00,Office and Administrative Support Occupations,2.00,6,moderate,Q3: Tool gap,869315.07
Architectural and Civil Drafters,45.47,49816.47,3202202384.39,62.79,68787.55,4421663783.37,17.32,-0.65,109550.00,64280.00,Architecture and Engineering Occupations,3.00,7,moderate,Q1: Automation opportunity,862685.93
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",76.76,181321.95,18144887385.17,81.38,192251.42,19238599784.35,4.63,-0.94,236233.00,100070.00,Sales and Related Occupations,4.00,9,high,Q2: Already adopted,838897.79
File Clerks,56.14,44340.80,1829944741.29,74.95,59192.34,2442867822.95,18.80,0.93,78980.00,41270.00,Office and Administrative Support Occupations,2.00,9,high,Q1: Automation opportunity,833792.31
