category,pct_tasks_affected,workers_affected,wages_affected
"Market products, services, or events.",87.46,33494.74,2599618521.06
Design energy-efficient equipment or systems.,87.42,3153.32,352887632.37
Explain technical product or service information to customers.,87.41,652780.03,31712014593.93
Recommend investments to clients.,87.36,44873.69,4510100653.76
"Forecast economic, political, or social trends.",87.24,2529.40,272227143.72
Prepare documentation of legal proceedings.,87.13,9794.55,1165083274.70
Prepare forms or applications.,87.12,25657.35,2875349694.21
Establish business management methods.,87.06,95774.59,7386879898.52
Develop computer or online applications.,86.85,23438.33,1294723416.79
Develop instructional materials.,86.64,89972.27,6856250091.95
Update knowledge of legal or regulatory environments.,86.11,25093.55,1953707763.32
Advise others on logistics topics.,85.94,13285.33,1069391223.94
Promote educational institutions or programs.,85.89,26523.43,2097021093.60
Implement advertising or marketing initiatives.,85.65,120323.73,9336663489.23
Conduct anthropological or archaeological research.,85.59,751.73,56167115.18
Gather organizational performance information.,85.38,257339.72,24925580799.22
Advise real estate clients.,85.30,31616.06,1781756559.89
Direct department activities.,85.29,112855.46,10405901051.59
Analyze website or related online data to track trends or usage.,85.16,71770.77,5839969429.26
Develop content for sales presentations or other materials.,85.09,82881.89,5574726855.17
"Monitor student behavior, social development, or health.",84.99,248256.79,15071085286.62
Monitor financial activities.,84.90,41451.86,6702765958.23
Develop library or archival databases.,84.90,3642.06,231826134.44
Discuss goods or services information with customers or patrons.,84.81,547823.23,22436876461.14
Design computer modeling or simulation programs.,84.75,8908.95,902473547.10
Evaluate effectiveness of personnel policies or practices.,84.67,100073.68,7891341383.48
Maintain computer networks to enhance performance and user access.,84.31,76756.10,7854851031.93
Read materials to determine needed actions.,83.97,30128.50,2031570071.39
Translate information for others.,83.94,30213.04,1665198524.49
Classify organisms based on their characteristics or behavior.,83.93,5220.78,413388269.56
Develop information communication procedures.,83.87,19002.81,2154120356.28
Research topics in area of expertise.,83.81,124844.53,11454138821.06
Answer customer questions about goods or services.,83.62,834489.17,37201217958.93
"Design layout of art or product exhibits, displays, or promotional materials.",83.47,54431.16,3549775529.91
Resolve computer software problems.,83.47,157656.87,11703767727.43
Analyze chemical compounds or substances.,83.36,61273.14,6424728606.24
Conduct research on social issues.,83.15,18118.01,1928470338.19
Communicate organizational information to customers or other stakeholders.,83.07,40296.75,5169667946.83
Contact current or potential customers to promote products or services.,83.03,146598.14,9851903022.14
"Cultivate micro-organisms for study, testing, or medical preparations.",83.00,13340.97,879998764.93
Advise patients on healthcare system processes.,82.89,17501.57,1800646675.74
Research genetic characteristics or expression.,82.89,6872.12,647607679.45
Document technical specifications or requirements.,82.78,13090.41,1493075231.57
Discuss problems or issues with supervisors.,82.54,77797.43,4709499438.14
Examine characteristics or behavior of living organisms.,82.47,12411.48,784234573.76
Read documents to gather technical information.,82.43,138004.83,9259262354.47
Document network-related activities or tasks.,82.38,28014.26,2432877275.65
Stay informed about current developments in field of specialization.,82.24,56604.78,5247194679.92
Install programs onto computer or computer-controlled equipment.,82.22,32683.26,2377146861.65
Distribute incoming mail.,81.83,148372.65,7751187585.53
Discuss child development and behavior with parents or guardians.,81.74,30434.37,976938966.77
Attend training sessions or professional meetings to develop or maintain professional knowledge.,81.56,71635.93,5823919950.93
Analyze quantitative data to determine effectiveness of treatments or therapies.,81.51,18291.52,1313464807.93
Convert data among multiple digital or analog formats.,81.48,20491.96,1009411103.86
Develop exercise or conditioning programs.,81.41,2717.86,237879960.07
Operate computers or computerized equipment.,81.01,446754.73,20880820089.62
Prepare tests.,80.75,117240.22,8507088195.14
Advise customers on the use of products or services.,80.26,361063.66,18104506842.42
Analyze data to identify trends or relationships among variables.,80.12,91795.94,11826847954.04
Evaluate effectiveness of educational programs.,80.10,50475.76,4108877798.63
Conduct scientific research of organizational behavior or processes.,79.73,38042.19,3771740169.94
Develop procedures for data management.,79.72,18998.40,2255540448.89
Analyze consumer trends.,79.65,128223.58,9857752966.51
"Develop policies or procedures for archives, museums or libraries.",79.65,2076.34,127343587.04
Develop database parameters or specifications.,79.52,9060.15,1113062366.92
Apply mathematical models of financial or business conditions.,79.51,45907.09,3844553930.16
Explain financial information to customers.,79.35,141958.64,8719306293.55
Identify potential customers.,79.30,180332.17,14367308346.84
Discuss student progress with parents or guardians.,79.01,63491.45,3725213315.69
"Make travel, accommodations, or entertainment arrangements for others.",79.01,94372.20,4684731797.10
Implement security measures for computer or information systems.,78.79,126263.05,13878123169.78
Write computer programming code.,78.53,141680.96,14087191290.18
Edit written materials.,78.41,110021.65,9474835490.77
Provide attraction or event information to patrons.,78.28,147829.40,8846495886.16
Resolve customer complaints or problems.,78.06,210928.07,22985902478.77
Modify software programs to improve performance.,77.86,153701.62,16516257623.21
Obtain information about goods or services.,77.84,28496.65,2132587760.52
Develop training materials.,77.84,117698.85,9580329490.88
"Review environmental permits, plans, or reports.",77.76,2907.18,233270968.42
Correspond with customers to answer questions or resolve complaints.,77.64,89451.09,6765970999.09
Verify customer credit information.,77.51,73321.17,4851790993.16
Interpret cultural or religious information for others.,77.38,10043.97,638810922.59
Develop promotional materials.,77.37,16449.79,2236753511.23
Review art or design materials.,77.33,26185.92,1735191102.93
Develop computer or information security policies or procedures.,77.33,46441.69,5389705066.83
"Evaluate training programs, instructors, or materials.",77.30,55594.89,4103882567.77
Examine marketing materials to ensure compliance with policies or regulations.,77.08,21170.12,3131105387.65
Take product orders from customers.,77.02,113976.18,5053499583.37
Arrange services or reservations for patrons.,76.99,82156.03,3370136731.72
Collaborate with others to determine design specifications or details.,76.96,130242.31,12423479774.35
Monitor financial indicators.,76.95,60294.18,8062462641.45
Install computer hardware.,76.93,125087.28,8390979117.99
Evaluate student work.,76.78,538840.80,36329820931.21
Develop software or applications for scientific or technical use.,76.63,26229.25,2543529618.29
Liaise between departments or other groups to improve function or communication.,76.44,102525.78,12987982308.50
Develop business or financial information systems.,76.40,149722.80,13417705861.77
Design integrated computer systems.,76.32,59609.05,6299435857.48
Communicate dining or order details to kitchen personnel.,76.32,330245.91,10330034673.17
Develop marketing plans or strategies.,76.28,294907.62,35868305809.43
Prepare analytical reports.,76.24,34080.72,3785861519.62
Select educational materials or equipment.,76.22,18850.25,1451591948.68
Measure effectiveness of business strategies or practices.,76.08,23156.97,1791511312.83
Apply mathematical principles or statistical approaches to solve problems in scientific or applied fields.,76.05,53332.93,5988677569.74
Type documents.,75.91,36123.71,1543600899.43
Develop data analysis or data management procedures.,75.90,4494.58,204860511.84
Discuss account status or activity with customers or patrons.,75.89,194746.09,8958380345.35
Advise customers on technical or procedural issues.,75.74,219663.18,33768261555.06
Train personnel on managerial topics.,75.47,10721.23,782592824.17
Process medical billing information.,75.38,169289.22,8339374336.57
Design websites or web applications.,75.31,161495.33,13203466305.46
Attend events to develop professional knowledge.,75.28,48255.98,3209812667.84
Prepare data for analysis.,75.27,87048.96,9657448065.62
Set up merchandise displays.,75.25,542875.56,22283890281.20
Confer with clients to exchange information.,75.23,3101.42,195971901.88
Analyze market research data.,75.11,48442.16,6953186239.44
Teach life skills or strategies to clients or their families.,75.03,40733.64,2345242562.64
Organize informational materials.,74.93,8585.35,392757930.50
Resolve computer network problems.,74.89,36836.69,3420816970.57
Analyze business or financial data.,74.88,266294.60,23152396264.75
Answer telephones to direct calls or provide information.,74.76,1250039.96,55055653566.71
Update website content.,74.46,38803.86,3938125639.62
Research relevant legal materials to aid decision making.,74.43,118422.75,12640511866.87
Provide notifications to customers or patrons.,74.42,332297.13,14436391668.82
Gather financial records.,74.37,23480.25,1782239243.93
Conduct research to gain information about products or processes.,74.29,44384.72,4963514205.02
Collect archival data.,74.23,7633.76,692541192.40
Implement organizational process or policy changes.,74.20,438689.91,52558831936.22
Maintain computer hardware.,74.16,58339.63,4141527133.48
"Analyze jobs using observation, survey, or interview techniques.",74.02,14984.84,1163677209.72
Present information to the public.,73.99,18471.09,1968867479.26
Mix ingredients.,73.84,164268.21,5734913509.47
Identify actions needed to bring properties or facilities into compliance with regulations.,73.83,8218.14,1067406078.73
Analyze test or performance data to assess equipment operation.,73.82,51289.50,3448778727.42
Review professional literature to maintain professional knowledge.,73.78,23622.10,2142886853.71
Present research results to others.,73.78,25113.67,2485610522.21
"Construct distinctive physical objects for artistic, functional, or commercial purposes.",73.77,8786.11,424664303.19
Develop computer or information systems.,73.76,147759.67,21603033258.18
Obtain property information.,73.73,36893.21,2386506365.12
Compile technical information or documentation.,73.61,63339.82,6401111706.79
Review blueprints or specifications to determine work requirements.,73.57,188784.57,11825377423.43
Prepare informational or reference materials.,73.51,20727.02,1056195766.98
Set up laboratory or field equipment.,73.49,11027.83,653449054.15
Collaborate with others to resolve information technology issues.,73.44,232525.29,19493294030.31
Develop models of information or communications systems.,73.34,23967.36,2788569548.95
Determine operational procedures.,73.18,15464.26,1177641925.53
Estimate costs or terms of sales.,73.16,341853.14,19805666889.70
Evaluate applicable laws and regulations to determine impact on organizational activities.,73.06,42767.47,3366999069.66
Respond to customer problems or complaints.,73.05,858104.37,39507711214.83
Prepare scientific or technical reports or presentations.,73.00,59118.07,5408329137.61
Prepare research or technical reports on environmental issues.,72.96,2798.51,234678057.07
Calibrate equipment to specifications.,72.94,29212.55,1607378674.24
Monitor business indicators.,72.70,55514.39,4409225951.43
Use databases to locate investigation details or other information.,72.66,19214.09,1664416710.61
Calculate financial data.,72.64,366696.09,21084420111.04
Provide information to the general public.,72.56,31079.31,1434350227.73
Write material for artistic or entertainment purposes.,72.56,27780.79,1992201846.76
Develop business relationships.,72.43,37336.55,2879799304.60
Analyze test or validation data.,72.32,9415.56,841500102.29
Evaluate program effectiveness.,72.28,109639.77,14755259913.26
Estimate materials requirements for projects.,71.93,56639.51,3984273644.68
Provide information about landscaping services or costs.,71.87,17637.55,795925513.59
Present food or beverage information or menus to customers.,71.81,540653.46,17729386744.01
Update professional knowledge.,71.64,60752.56,4491025007.69
Prepare business correspondence.,71.59,111670.01,5676582005.08
Research new technologies.,71.37,7648.43,635439571.85
Analyze project data to determine specifications or requirements.,71.29,107230.66,11474792944.11
Develop sustainable business strategies or practices.,71.25,23497.63,1909549283.94
Advise others on analytical techniques.,71.18,23583.31,1972418398.36
"Search files, databases or reference materials to obtain needed information.",71.16,271080.00,12565812461.27
"Prepare documentation for contracts, transactions, or regulatory compliance.",71.12,744498.78,33586855157.38
Compile data or documentation.,71.10,498770.74,24692478949.18
Analyze biological samples.,71.08,15717.55,1481368198.67
Draw detailed or technical illustrations.,71.04,55613.95,3815450604.85
Determine presentation subjects or content.,71.00,28467.35,2105503220.83
Perform clerical work in medical settings.,70.98,235707.43,11817665198.59
Evaluate new technologies or methods.,70.95,3956.27,473443532.04
Advise students on academic or career matters.,70.59,231125.37,17658965431.47
Implement financial decisions.,70.57,52302.35,5107942534.48
Analyze design requirements for computer or electronics systems.,70.42,14804.47,2196583740.02
Plan community programs or activities for the general public.,70.42,50254.13,4408686953.98
File documents or records.,70.40,382631.21,17571019885.58
Edit documents.,70.37,48797.50,4828481073.99
Supervise sales or support personnel.,70.32,194948.53,10875660422.67
Communicate health and wellness information to the public.,70.25,21614.10,2182310162.33
Estimate demand for products or services.,70.20,10507.79,1296595797.85
Assist engineers or scientists with research.,70.13,11884.33,681993537.56
Collaborate with others to determine technical details of productions.,70.09,9305.55,684762307.89
Help patrons use library or archival resources.,69.95,13460.01,761155854.20
"Enter commands, instructions, or specifications into equipment.",69.86,33189.57,1658884840.12
Communicate detailed medical information to patients or family members.,69.80,115845.35,12441812695.44
Direct financial operations.,69.75,248581.16,40138317634.19
Explain technical medical information to patients.,69.66,97388.49,4266168496.85
Apply information technology to solve business or other applied problems.,69.64,60651.58,6388338512.73
Recommend packing or shipping methods.,69.54,25699.06,1148403345.51
Provide technical support for software maintenance or use.,69.50,184585.55,15166020803.44
Design costumes or cosmetic effects for characters.,69.49,10558.20,385350204.12
Maintain knowledge of current developments in area of expertise.,69.43,118937.09,17021051032.15
"Inform the public about policies, services or procedures.",69.39,15677.23,1060426642.67
Modify teaching methods or materials to accommodate student needs.,69.39,214670.31,12845032507.32
Advise others on business or operational matters.,69.37,333747.07,32394075028.74
Develop scientific or mathematical models.,69.37,16464.07,1546531095.88
Develop technical specifications for systems or equipment.,69.34,33965.97,2722588344.61
Determine protocols for medical procedures.,69.27,27946.63,3379550771.03
Provide technical information or assistance to public.,69.23,15512.95,1246123021.41
Program equipment to perform production tasks.,69.20,42158.47,2179082100.73
Verify employee information.,69.19,17614.82,973923599.96
"Greet customers, patrons, or visitors.",69.17,1014536.43,39804430577.01
"Apply finishes to artwork, crafts, or displays.",69.10,2980.09,148004155.08
Prepare research or technical reports.,69.01,108574.98,7421013346.35
Research engineering applications of emerging technologies.,69.00,5949.84,490993665.26
Provide educational information to the public.,68.96,48716.48,3244251439.36
Test computer system operations to ensure proper functioning.,68.95,69517.88,7364399432.43
Perform administrative or clerical tasks.,68.93,148130.59,10075798874.83
Educate clients on financial planning topics.,68.91,31516.21,2961205751.58
Retrieve information from electronic sources.,68.86,25977.31,2583228499.73
Examine records or other types of data to investigate criminal activities.,68.86,43162.46,3853353240.98
Teach humanities courses at the college level.,68.82,24326.54,1950321647.31
Investigate crimes committed within organizations.,68.82,13767.18,862070281.09
Train sales personnel.,68.67,104649.81,4629835610.32
Code data or other information.,68.66,79726.58,4240019026.52
Conduct climatological research.,68.64,3561.94,292033404.53
Write informational material.,68.62,38924.65,2962694342.26
"Prepare contracts, disclosures, or applications.",68.60,16794.97,1565315367.73
Advise others on the development or use of new technologies.,68.58,3013.99,269901337.65
"Provide basic information to guests, visitors, or clients.",68.54,450819.14,37930931100.53
Manage documentation to ensure organization or accuracy.,68.50,14637.18,1574947698.83
Order instructional or library materials or equipment.,68.46,37548.64,2518640565.15
Compile operational data.,68.33,35200.82,5282492356.17
Create new recipes or food presentations.,68.23,16840.57,788293783.28
Share sales-related or market information with colleagues.,68.21,22259.69,2079885969.30
Write reports or evaluations.,68.19,126189.54,7430170171.32
Program robotic equipment.,68.16,6493.76,644212584.34
Develop guidelines for system implementation.,68.15,8402.57,906162389.79
Calculate costs of goods or services.,67.99,944140.46,36584393800.56
Assist individuals with paperwork.,67.98,23766.72,1122285699.79
Present social services program information to the public.,67.93,27820.45,1461511825.25
Analyze budgetary or accounting data.,67.90,42251.93,3508925589.38
Administer tests to assess educational needs or progress.,67.86,117564.67,8520095487.24
Install computer software.,67.84,102315.67,8450676719.41
Document work hours or activities.,67.67,26942.62,1223282124.13
Communicate organizational policies and procedures.,67.67,63815.65,8528909570.11
Maintain professional knowledge or certifications.,67.63,35618.84,2103304377.00
Provide patrons with directions to locales or attractions.,67.62,35298.89,1136003175.27
Coordinate sales campaigns.,67.60,107348.23,6821092829.27
Complete documentation required by programs or regulations.,67.51,33308.93,2005901638.05
"Assess the cost effectiveness of products, projects, or services.",67.51,23004.60,1767120464.70
Prepare healthcare training materials.,67.49,15252.93,1444690410.70
Provide customers with general information or assistance.,67.49,249742.75,8318036442.99
Evaluate data quality.,67.38,37306.20,3973253819.17
Monitor student performance.,67.25,377856.66,22186677336.12
Document technical design details.,67.23,34938.86,3520353551.26
Provide medical or cosmetic advice for clients.,67.23,24843.17,913006175.59
"Explain regulations, policies, or procedures.",67.23,515345.01,30096683043.08
Prepare sales or other contracts.,67.22,359223.50,18751168673.71
Interpret financial information for others.,67.19,37562.29,3264620266.98
Coach others.,67.15,54157.97,3218848893.03
Develop theories or models of physical phenomena.,67.13,8011.47,1078880016.22
Train others on performance techniques.,67.08,49876.11,2315101194.73
Determine appropriate locations for operations or installations.,67.01,11149.92,659963974.62
Operate computer systems.,66.79,55273.72,4827883950.05
Monitor current trends.,66.74,5543.47,452651205.38
"Select equipment, materials, or supplies for cleaning or maintenance activities.",66.60,45719.41,1743999783.63
Evaluate information related to legal matters in public or personal records.,66.50,95793.27,7968303933.69
Create computer-generated graphics or animation.,66.43,31521.21,2099773862.59
"Analyze security of systems, network, or data.",66.41,14285.30,1609102335.61
Take customer orders.,66.39,467575.24,14890969364.09
Present medical research reports.,66.32,6069.07,931644995.50
Test software performance.,66.31,141080.64,13445257735.26
Disburse funds from clients accounts to creditors.,66.28,12710.73,1083939629.09
Present work to clients for approval.,66.26,29841.67,2613100968.40
Refer customers to appropriate personnel.,66.24,360864.14,16063853007.92
Schedule dining reservations.,66.16,75963.56,2993361727.01
Communicate project information to others.,66.12,54709.61,4897479040.37
Determine technical requirements of productions or projects.,66.09,15394.34,1127395099.32
Collaborate with others to prepare or perform artistic productions.,66.06,19583.75,1564344443.00
Analyze industry trends.,66.06,39244.78,3210947565.94
Develop specifications or procedures for website development or maintenance.,66.03,13822.71,1377955075.06
Execute sales or other financial transactions.,66.00,571444.29,29056140087.31
Analyze test data or images to inform diagnosis or treatment.,65.92,216222.33,27906473194.17
"Proofread documents, records, or other files to ensure accuracy.",65.85,222042.71,9526911683.18
Respond to customer inquiries.,65.83,24170.04,838902662.99
Evaluate current or prospective maintenance employees.,65.78,5015.33,238328439.89
Monitor market conditions or trends.,65.76,194063.86,13319358360.44
"Create images of data, locations, or products.",65.64,20813.61,1869733084.39
Confiscate prohibited or dangerous items.,65.55,18330.46,1319783665.08
Analyze financial records to improve efficiency.,65.39,151805.10,15916267376.87
Inform individuals or organizations of status or findings.,65.30,74088.92,5355873239.10
Monitor the performance of computer networks.,65.29,53503.12,5320873477.94
Test computer hardware performance.,65.21,38380.30,3036992288.08
Purchase stocks of merchandise or supplies.,65.19,141916.65,8038040186.03
Cook foods.,65.18,723206.37,24305068083.57
Research human performance or health factors related to engineering or design activities.,65.18,17805.47,1771581954.74
Estimate costs of goods or services.,65.13,97947.35,7555596607.26
Apply new technologies to improve work processes.,65.07,5521.73,566358465.54
Provide transportation information to passengers or customers.,65.02,91922.58,5061447939.95
Communicate with customers to resolve complaints or ensure satisfaction.,65.02,185557.68,6439938674.60
Analyze financial records or reports to determine state of operations.,65.02,22472.42,2724485615.92
Present business-related information to audiences.,64.98,32047.59,3168226706.26
Gather customer or product information to determine customer needs.,64.98,412911.73,17434313803.84
Evaluate reports or designs to determine work needs.,64.98,26330.74,1027315578.86
Approve expenditures.,64.96,127460.53,20466995092.54
Assist other educational professionals with projects or research.,64.93,22537.75,977615713.67
Research advanced engineering designs or applications.,64.92,8892.56,949894478.70
Prepare breads or doughs.,64.82,72446.12,2487952505.55
Conduct research of processes in natural or industrial ecosystems.,64.74,3988.57,491947360.26
Distribute promotional literature or samples to customers.,64.74,125025.13,8240115087.16
Evaluate utility of software or hardware technologies.,64.70,55801.92,5291535453.62
Train staff members in social services skills.,64.63,13279.13,806667983.72
Develop procedures to evaluate organizational activities.,64.61,83243.04,8812309159.58
Test communications equipment to ensure proper functioning.,64.60,15804.46,1027198508.05
Select materials or props.,64.58,21086.86,1002892028.06
Provide recommendations to others about computer hardware.,64.54,32681.50,3038533643.02
Confer with personnel to coordinate business operations.,64.45,109971.13,9753175236.37
Collaborate with others to develop or implement marketing strategies.,64.41,82969.13,6681780313.81
Determine design criteria or specifications.,64.39,7094.94,758434925.35
Consult with others regarding safety or health equipment or facilities.,64.28,3212.21,249617584.74
"Investigate transportation incidents, violations, or complaints.",64.28,563.14,44018290.71
Provide technical guidance to other personnel.,64.26,59405.46,6094957658.10
Collect data about project sites.,64.25,10430.27,1010278525.08
Advise others on financial matters.,64.22,56214.53,4497396163.38
"Promote products, services, or programs.",64.19,279195.26,13100417715.66
"Evaluate potential of products, technologies, or resources.",64.16,28275.62,4128670473.42
Enter information into databases or software programs.,64.14,240805.94,11348820861.68
Create electronic data backup to prevent loss of information.,64.08,27616.41,2542971370.92
Update knowledge about emerging industry or technology trends.,64.07,48835.94,5375034923.70
Review details of technical drawings or specifications.,64.05,9694.48,744748567.86
Determine food production methods.,64.04,22574.52,868071995.93
Demonstrate products to consumers.,64.04,154936.62,7682678179.90
"Advise educators on curricula, instructional methods, or policies.",63.97,23247.44,1845423409.49
Document design or development procedures.,63.95,37586.64,4044386116.37
Investigate personal characteristics or activities of individuals.,63.90,10520.71,538577110.06
Develop performance metrics or standards related to information technology.,63.86,40584.80,4364089085.60
Collaborate on research activities with scientists or technical specialists.,63.82,21699.48,1653968856.85
Assess database performance.,63.81,49119.64,5652971823.59
Evaluate the effectiveness of counseling or educational programs.,63.79,29146.32,1726427983.03
Troubleshoot issues with computer applications or systems.,63.78,125729.82,13483342649.32
Prepare technical reports for internal use.,63.77,12590.61,1210389480.15
Prepare procedural documents.,63.70,14034.82,1662145248.38
Compile environmental or climatological data.,63.69,3507.71,267567860.64
Calibrate scientific or technical equipment.,63.52,18333.93,1516756230.89
Analyze health-related data.,63.51,75598.99,8405528088.58
Process sales or other transactions.,63.51,686885.00,25345115409.88
Analyze data to identify or resolve operational problems.,63.50,122491.88,13127698490.62
Plan educational activities.,63.43,273580.82,16438534029.90
Write advertising or promotional material.,63.43,72877.10,4709208076.58
Maintain records of customer accounts.,63.43,30888.23,2133527347.52
Establish standards for medical care.,63.42,9436.56,987958523.99
Calculate tax information.,63.38,59988.33,4018297001.54
Order construction or extraction materials or equipment.,63.38,60185.16,3808898698.39
Tutor students who need extra assistance.,63.30,108047.68,5261300599.85
Search information sources to find specific data.,63.30,10166.37,614069733.91
Train customers in the use of products.,63.26,7926.25,398834225.85
Analyze test results.,63.18,19356.97,999183072.74
Analyze market conditions or trends.,63.18,112940.55,9526083197.89
Configure computer networks.,63.07,27641.92,2672395487.46
Operate office equipment.,63.06,594103.63,26790153375.45
Test electrical equipment or systems to ensure proper functioning.,63.06,174767.33,11114930075.30
Teach physical science or mathematics courses at the college level.,62.99,22644.74,2105325568.50
Design research studies to obtain scientific information.,62.93,5336.37,550329559.16
Adjust tuning or functioning of musical instruments.,62.83,1334.66,64682802.63
Determine the value of goods or services.,62.82,65692.00,5569424994.47
Develop specifications for computer network operation.,62.76,8169.02,824373345.65
Inspect shipments to ensure correct order fulfillment.,62.66,94074.34,3906975232.37
Present sustainable products or services information to the public.,62.65,1320.98,241654125.29
Identify information technology project resource requirements.,62.59,22729.17,2380805494.99
Review documents or materials for compliance with policies or regulations.,62.59,67763.77,5496851425.11
Design software applications.,62.56,50864.81,5891978496.50
Prepare research reports.,62.37,76946.61,6521756636.99
Guide class discussions.,62.36,61909.76,5266126566.36
Develop software or computer applications.,62.34,18033.15,1997066174.11
"Calculate weights, volumes or other characteristics of materials.",62.31,113130.06,4268843419.85
Estimate labor requirements.,62.23,25456.29,2613939774.82
Determine operational criteria or specifications.,62.20,15942.98,1610469520.63
"Develop artistic or design concepts for decoration, exhibition, or commercial purposes.",62.18,18150.08,1228572041.70
Load digital images onto computers or websites.,62.18,1696.03,122370946.95
"Plan conferences, programs, or special events.",62.15,22253.36,1912790291.09
Lead classes or community events.,62.13,67243.35,4675191699.02
Provide information to coworkers.,62.13,184855.11,9846399695.08
"Provide health and wellness advice to patients, program participants, or caregivers.",62.13,88907.31,9799817684.68
Review customer information.,62.10,18211.06,820034416.78
Develop new or advanced products or production methods.,62.03,10268.95,843489164.99
"Model cosmetics, clothing, or accessories.",61.98,4138.23,275906745.75
Collect data about customer needs.,61.97,21992.38,1885221315.48
Confer with customers or users to assess problems.,61.92,38885.75,2066639577.82
Analyze laboratory specimens to detect abnormalities or other problems.,61.91,37697.71,2521781676.23
"Communicate with clients about products, procedures, and policies.",61.91,24764.43,1470114796.49
Research hydrologic features or processes.,61.89,1211.22,101931386.99
Monitor clients to evaluate treatment progress.,61.80,44201.52,2789855174.15
Estimate cost or material requirements.,61.76,30608.07,3974644742.84
Prepare production storyboards.,61.75,1240.03,132710603.92
Plan special events.,61.67,4449.22,238106061.50
Train personnel in organizational or compliance procedures.,61.63,46427.61,4462640651.82
Recommend changes to improve computer or information systems.,61.62,91034.96,9392552843.64
Plan implementation or promotion of recycling programs.,61.53,3693.98,228657204.25
Review technical documents to plan work.,61.52,42667.23,4682140338.38
Recommend organizational process or policy changes.,61.51,94941.68,12182176564.04
Adjust routes or speeds as necessary.,61.49,80914.95,4708182056.54
Explain use of products or services.,61.30,33791.35,2577635102.20
Record information from meetings or other formal proceedings.,61.24,99193.40,4575225717.92
Direct fundraising or financing activities.,61.22,17079.60,1137973647.55
Maintain laboratory or technical equipment.,61.21,9440.37,633660948.03
Troubleshoot equipment or systems operation problems.,61.20,71394.83,3913063155.59
Review work orders or schedules to determine operations or procedures.,61.18,297260.48,14560894081.56
Implement transportation changes to reduce environmental impact.,61.12,8807.48,980004404.25
Recommend improvements to increase safety or reduce risks.,61.11,5869.55,287380509.82
Teach others to use computer equipment or hardware.,61.10,24946.33,2385637103.94
"Explain engineering drawings, specifications, or other technical information.",61.08,3312.69,289200797.95
Plan menu options.,61.06,117585.12,4798784549.71
Develop specifications for new products or processes.,61.05,3913.63,519257601.07
Collaborate with others to develop or refine designs.,60.97,22365.55,1576568280.89
Compute debt repayment schedules.,60.94,13904.99,1038101696.34
Choose optimal transportation routes or speeds.,60.92,88494.41,5846250382.13
Measure equipment outputs.,60.90,9623.66,623977346.87
Prepare technical or operational reports.,60.89,12813.65,1328429807.05
Document design or operational test results.,60.83,11029.76,892726887.72
Measure physical or chemical properties of materials or objects.,60.67,11950.51,843925858.93
Implement design or process improvements.,60.65,18664.22,1881834975.40
Create graphical representations of structures or landscapes.,60.62,45325.99,3924070457.07
Monitor external affairs or events affecting business operations.,60.61,33310.34,4937165910.26
Set up still or video cameras or related equipment.,60.55,17676.69,925618722.77
Instruct college students in social sciences or humanities disciplines.,60.54,15266.80,1507122042.66
Research microbiological or chemical processes or structures.,60.53,15084.49,1190888366.59
Determine causes of operational problems or failures.,60.51,10586.44,1091553261.32
Confer with organizational members to accomplish work activities.,60.48,105176.33,15395272894.97
Update computer database information.,60.46,26124.73,2888604937.36
