iwa,date,pct_tasks_affected,workers_affected,wages_affected
"Evaluate designs, specifications, or other technical data.",2024-09-30,53.23,149633.79,15914247573.02
Maintain sales or financial records.,2024-09-30,10.55,144946.89,5821608863.58
Monitor resources or inventories.,2024-09-30,9.35,143849.33,8903162632.50
Explain financial information.,2024-09-30,56.85,143785.57,10314841902.95
Advise others on legal or regulatory matters.,2024-09-30,49.92,139587.85,17635991812.20
Notify others of emergencies or problems.,2024-09-30,7.81,137465.90,9001288660.62
Reconcile financial data.,2024-09-30,9.29,133656.29,5526548754.10
"Monitor safety or security of work areas, facilities, or properties.",2024-09-30,8.55,132263.70,7207938172.59
Schedule appointments.,2024-09-30,20.32,130674.43,6227168878.90
Sort materials or products.,2024-09-30,17.24,129543.23,5964945860.82
Stock supplies or products.,2024-09-30,4.61,127326.04,6061950648.95
"Assess student capabilities, needs, or performance.",2024-09-30,13.88,125905.70,7751034308.79
Advise others on healthcare or wellness issues.,2024-09-30,47.82,122952.81,12294892083.51
Consult legal materials or public records.,2024-09-30,47.29,117962.30,11835538707.99
Write material for artistic or commercial purposes.,2024-09-30,56.76,117885.97,8539995451.63
Develop recipes or menus.,2024-09-30,56.84,117783.16,4818917433.48
Advise patients or clients on medical issues.,2024-09-30,45.56,116906.25,13231635967.19
Develop professional relationships or networks.,2024-09-30,46.39,110172.14,10070124665.35
"Document technical designs, procedures, or activities.",2024-09-30,51.31,106102.17,10630775724.30
Process shipments or mail.,2024-09-30,11.31,103663.09,5969303820.92
Develop marketing or promotional materials.,2024-09-30,53.42,103454.88,8021464479.99
Develop technical specifications for products or operations.,2024-09-30,54.92,102195.32,10215814528.66
Analyze scientific or applied data using mathematical principles.,2024-09-30,51.27,100981.08,12153899993.20
"Research laws, precedents, or other legal data.",2024-09-30,49.02,97424.43,13461246850.39
Analyze biological or chemical substances or related data.,2024-09-30,49.78,97094.08,8167192396.02
Develop business or marketing plans.,2024-09-30,9.97,95453.36,11144118405.40
Advise others on financial matters.,2024-09-30,50.22,94555.59,7817732725.08
Diagnose system or equipment problems.,2024-09-30,54.51,94234.11,5773881210.65
"Replenish inventories of materials, equipment, or products.",2024-09-30,12.53,94056.76,6508213969.99
Sell products or services.,2024-09-30,8.59,91640.17,4391914811.54
"Assess living, work, or social needs or status of individuals or communities.",2024-09-30,44.67,90492.49,6420088092.19
Develop organizational or program goals or objectives.,2024-09-30,8.35,90287.25,9304000669.17
"Prepare financial documents, reports, or budgets.",2024-09-30,5.23,89199.99,7780350640.26
Research technology designs or applications.,2024-09-30,56.61,89127.68,9216418249.58
Position materials or components for assembly.,2024-09-30,7.80,88140.10,4899262096.03
Manage human resources activities.,2024-09-30,9.55,83298.22,7285215171.24
Edit written materials or documents.,2024-09-30,57.66,81301.03,7004819609.67
Confer with clients to determine needs or order specifications.,2024-09-30,43.07,77269.49,4947107263.86
"Inspect commercial, industrial, or production systems or equipment.",2024-09-30,6.47,77034.06,4504355576.24
"Develop educational programs, plans, or procedures.",2024-09-30,8.08,74692.84,5089691654.05
Inspect completed work or finished products.,2024-09-30,7.28,73713.20,4131967938.78
Analyze performance of systems or equipment.,2024-09-30,53.31,73362.02,5991344168.09
Repair tools or equipment.,2024-09-30,11.34,73118.62,4137127858.53
Package objects.,2024-09-30,3.77,72906.55,2292658111.58
Plan events or programs.,2024-09-30,53.38,72517.83,6118200844.23
"Move materials, equipment, or supplies.",2024-09-30,4.29,71295.43,2432601435.32
Perform recruiting or hiring activities.,2024-09-30,5.78,70696.58,8066174047.17
Care for plants or animals.,2024-09-30,54.50,66628.56,2594237588.52
Direct construction or extraction activities.,2024-09-30,6.34,66605.79,5662530504.98
Monitor operations to ensure compliance with regulations or standards.,2024-09-30,8.38,66004.38,5645771261.75
"Research organizational behavior, processes, or performance.",2024-09-30,51.30,65840.01,5242227975.01
Install commercial or production equipment.,2024-09-30,12.70,65584.76,4554134351.20
Mark materials or objects for identification.,2024-09-30,5.44,64965.34,2844036392.20
Monitor financial data or activities.,2024-09-30,3.58,64932.18,3403531828.73
Confer with healthcare or other professionals about patient care.,2024-09-30,6.92,64816.89,5049911984.33
Repair electrical or electronic equipment.,2024-09-30,15.09,62172.14,4136989026.74
Maintain tools or equipment.,2024-09-30,5.38,57532.54,3363220528.47
Prepare schedules for services or facilities.,2024-09-30,14.89,56773.11,2391835499.54
Direct scientific or technical activities.,2024-09-30,6.55,49849.45,5382515417.65
Research biological or ecological phenomena.,2024-09-30,53.38,49289.41,4433962010.15
"Examine financial activities, operations, or systems.",2024-09-30,10.72,48600.11,4402727885.46
Collect information about patients or clients.,2024-09-30,5.24,46116.12,2741093304.42
Prepare legal or regulatory documents.,2024-09-30,11.02,46024.66,3091163851.60
Issue documentation.,2024-09-30,53.74,44231.03,2105371740.68
"Develop models of systems, processes, or products.",2024-09-30,51.05,43880.81,5077474593.54
Analyze business or financial risks.,2024-09-30,21.84,43793.27,3908560593.15
Assess characteristics or impacts of regulations or policies.,2024-09-30,51.17,43608.18,3919934454.84
"Coordinate activities with clients, agencies, or organizations.",2024-09-30,14.44,43085.45,5343834991.03
Monitor health conditions of humans or animals.,2024-09-30,4.63,42941.08,2683462089.57
Prepare reports of operational or procedural activities.,2024-09-30,4.02,41950.63,3209961626.20
Monitor equipment operation.,2024-09-30,5.05,41433.24,2693045818.85
Monitor operations to ensure adequate performance.,2024-09-30,3.40,41405.14,4505674270.26
Intervene in crisis situations or emergencies.,2024-09-30,10.23,40595.73,1737462309.60
Prepare proposals or grant applications.,2024-09-30,17.13,40535.34,2965484386.11
Schedule operational activities.,2024-09-30,7.98,39238.16,2409068248.55
Manage budgets or finances.,2024-09-30,4.61,37892.33,3187113402.70
"Assist scientists, scholars, or technical specialists with projects or research.",2024-09-30,47.26,36309.06,2102267430.69
Research healthcare issues.,2024-09-30,54.92,35411.28,3861284081.14
Order medical tests or procedures.,2024-09-30,29.98,35026.77,5486464385.40
Design electrical or electronic systems or equipment.,2024-09-30,16.18,33392.33,3261874314.63
Operate industrial processing or production equipment.,2024-09-30,5.39,32496.00,1814578206.90
Evaluate patient or client condition or treatment options.,2024-09-30,5.86,32492.03,1680427055.64
"Evaluate condition of financial assets, property, or other resources.",2024-09-30,11.20,31875.16,2752001476.10
Coach others.,2024-09-30,42.58,30571.60,1731581017.62
Apply decorative finishes.,2024-09-30,47.27,30357.78,1692575424.22
"Investigate individuals' background, behavior, or activities.",2024-09-30,52.95,30296.87,1564212599.67
Position workpieces or materials on equipment.,2024-09-30,7.66,29695.14,1390362483.66
Cut materials.,2024-09-30,7.48,29240.26,1486847626.16
Diagnose health conditions or disorders.,2024-09-30,5.65,29022.99,2818593753.30
Evaluate personnel capabilities or performance.,2024-09-30,11.81,28491.75,1796136520.19
Operate medical equipment.,2024-09-30,6.27,28336.07,2787885800.01
Create artistic designs or performances.,2024-09-30,47.16,27950.53,1639640301.61
Present information in legal proceedings.,2024-09-30,14.16,27519.94,4134830349.86
Conduct amusement or gaming activities.,2024-09-30,54.92,27493.29,969936490.23
Study details of artistic productions.,2024-09-30,53.38,26452.38,1896279651.24
Perform human resources activities.,2024-09-30,15.10,25834.36,1036443834.17
"Interpret language, cultural, or religious information for others.",2024-09-30,53.38,25796.55,1528412778.49
Mediate disputes.,2024-09-30,12.24,25118.49,1456975664.32
Obtain information about goods or services.,2024-09-30,64.44,24952.89,1880679946.38
Negotiate contracts or agreements.,2024-09-30,6.50,24341.69,1716170859.95
"Develop news, entertainment, or artistic content.",2024-09-30,53.41,23760.62,1685278368.11
Assist healthcare practitioners during medical procedures.,2024-09-30,5.94,23681.98,1835660996.42
Design structures or facilities.,2024-09-30,14.19,23217.42,2309202951.04
Inspect facilities or equipment.,2024-09-30,5.02,22841.14,2145792874.92
Advise others on environmental sustainability or green practices.,2024-09-30,45.23,22513.39,2370847274.96
Escort others.,2024-09-30,18.01,22483.17,790164323.14
Obtain formal documentation or authorization.,2024-09-30,54.92,22250.88,1316509155.65
Investigate organizational or operational problems.,2024-09-30,53.38,22013.60,1729226867.40
Repair vehicle components.,2024-09-30,3.55,21987.43,1169915163.67
Process animal carcasses.,2024-09-30,24.51,21493.01,839949824.79
"Load products, materials, or equipment for transportation or further processing.",2024-09-30,5.52,20769.10,890347580.35
Advocate for individual or community needs.,2024-09-30,44.98,20627.64,1411715295.95
Investigate incidents or accidents.,2024-09-30,51.13,20437.88,1821638797.96
Administer basic health care or medical treatments.,2024-09-30,2.20,20161.70,1663753732.20
Estimate project development or operational costs.,2024-09-30,15.32,19993.01,1263545435.83
Assemble equipment or components.,2024-09-30,7.82,19744.21,1194520254.04
Develop patient or client care or treatment plans.,2024-09-30,6.37,19183.83,2066960177.66
Develop scientific or mathematical theories or models.,2024-09-30,49.50,18821.57,1962408999.14
"Join parts using soldering, welding, or brazing techniques.",2024-09-30,5.59,18443.13,1152044460.93
Install energy or heating equipment.,2024-09-30,7.61,18417.30,1041193000.16
Operate transportation equipment or vehicles.,2024-09-30,1.26,18149.62,1418915318.96
"Perform athletic activities for fitness, competition, or artistic purposes.",2024-09-30,47.47,17501.38,1110720366.92
Design industrial systems or equipment.,2024-09-30,7.77,17430.99,1885681395.03
Develop sustainable organizational or business policies or practices.,2024-09-30,14.52,17381.26,2216639522.56
Evaluate project feasibility.,2024-09-30,20.56,17248.80,2885342516.95
Examine people or animals to assess health conditions or physical characteristics.,2024-09-30,1.02,17169.29,1729390838.99
Assist individuals with paperwork.,2024-09-30,53.38,16625.72,794690308.88
Inspect vehicles.,2024-09-30,4.52,16615.43,948369607.78
Implement security measures for computer or information systems.,2024-09-30,23.06,16192.32,1660368492.15
Resolve personnel or operational problems.,2024-09-30,2.85,16162.11,2598376045.54
Test characteristics of materials or products.,2024-09-30,3.06,16001.21,818794689.62
Design materials or devices.,2024-09-30,49.44,15714.49,1378920860.61
Design databases.,2024-09-30,14.08,15328.07,1737406983.00
Prepare medical equipment or work areas for use.,2024-09-30,10.40,14965.85,1301092064.25
Perform court-related or other legal administrative activities.,2024-09-30,11.97,14877.13,907849879.36
Perform general construction or extraction activities.,2024-09-30,2.79,14658.62,699657562.50
"Coordinate group, community, or public activities.",2024-09-30,3.78,14468.51,551273142.70
"Treat injuries, illnesses, or diseases.",2024-09-30,1.91,14218.30,1641064556.02
Develop public or community health programs.,2024-09-30,7.54,14061.82,1080193883.22
Assist individuals with special needs.,2024-09-30,1.07,14035.55,812678020.10
Operate audiovisual or related equipment.,2024-09-30,9.92,13956.49,629853056.31
Research historical or social issues.,2024-09-30,53.40,13626.09,1297381180.80
Advise others on workplace health or safety issues.,2024-09-30,41.73,13243.45,1138954940.95
Communicate environmental or sustainability information.,2024-09-30,50.52,13228.90,1425897448.18
Apply protective solutions or coatings.,2024-09-30,2.68,13101.41,537498418.49
Authorize business activities or transactions.,2024-09-30,5.22,12974.66,1395856918.14
Fabricate devices or components.,2024-09-30,5.83,12974.62,633190880.29
Create decorative objects or parts of objects.,2024-09-30,44.99,12841.26,555797521.19
Monitor environmental conditions.,2024-09-30,9.76,12120.81,413414004.85
Operate agricultural or forestry equipment.,2024-09-30,1.73,12072.18,481628361.77
Maintain vehicles in working condition.,2024-09-30,2.77,12015.80,601624649.28
Assign work to others.,2024-09-30,3.12,11025.45,385086645.10
Prepare health or medical documents.,2024-09-30,5.47,10207.34,515590046.44
Direct vehicle traffic.,2024-09-30,4.25,8438.11,318334889.29
Prepare industrial materials for processing or use.,2024-09-30,3.65,7926.03,428710860.88
Teach safety procedures or standards to others.,2024-09-30,41.33,7461.87,353536528.97
Operate laboratory or field equipment.,2024-09-30,10.20,7272.03,458419090.42
"Clean workpieces, finished products, or other objects.",2024-09-30,3.28,6680.78,322252513.69
Research issues related to earth sciences.,2024-09-30,53.38,6324.09,535954252.32
Develop research plans or methodologies.,2024-09-30,11.26,6049.66,584056338.14
Investigate the environmental impact of industrial or development activities.,2024-09-30,10.49,5937.03,402423472.83
"Discuss legal matters with clients, disputants, or legal professionals or staff.",2024-09-30,1.40,5735.80,867023963.08
Maintain medical equipment or instruments.,2024-09-30,1.17,5565.29,503895293.49
Gather information for news stories.,2024-09-30,53.38,5158.31,287772564.65
Present arts or entertainment performances.,2024-09-30,8.09,5119.09,418807008.88
Operate pumping systems or equipment.,2024-09-30,6.63,4718.62,215171650.25
Apply materials to fill gaps or imperfections.,2024-09-30,7.34,3832.38,199026832.04
Follow standard healthcare safety procedures to protect patient and staff members.,2024-09-30,13.12,3784.62,283424451.94
Install plumbing or piping equipment or systems.,2024-09-30,7.06,3678.85,156476556.06
Collaborate in the development of educational programs.,2024-09-30,1.53,3596.77,214929491.99
Coordinate artistic or entertainment activities.,2024-09-30,4.76,3536.18,274284296.08
Collect environmental or biological samples.,2024-09-30,3.64,3436.39,228497510.48
Fit assistive devices to patients or clients.,2024-09-30,14.15,3220.79,149960142.31
Prepare specimens or materials for testing.,2024-09-30,3.72,3211.06,198732196.21
Position tools or equipment.,2024-09-30,6.81,3184.97,187063133.21
Develop financial or business plans.,2024-09-30,6.07,3178.42,160701109.25
Assess compliance with environmental standards or regulations.,2024-09-30,18.12,3100.98,215645678.13
Fabricate medical devices.,2024-09-30,4.82,2992.60,445741880.59
Monitor traffic conditions.,2024-09-30,3.80,2858.02,99973702.25
Develop health assessment methods or programs.,2024-09-30,2.63,2821.13,177731086.73
Operate cutting or grinding equipment.,2024-09-30,3.05,2701.74,114086794.15
Administer therapeutic treatments.,2024-09-30,1.00,2689.98,212165057.56
Drill holes in earth or materials.,2024-09-30,3.73,2649.09,105362240.79
Develop plans for managing or preserving natural resources.,2024-09-30,3.41,2540.16,323676413.75
"Develop safety standards, policies, or procedures.",2024-09-30,1.66,2205.82,215355770.53
Adjust medical equipment to ensure adequate performance.,2024-09-30,2.96,2162.44,350141026.82
Signal others to coordinate work activities.,2024-09-30,1.79,2126.13,92812756.18
Alter audio or video recordings.,2024-09-30,9.30,2010.86,142731056.93
Analyze environmental or geospatial data.,2024-09-30,4.16,1962.94,166208964.07
Administer diagnostic tests to assess patient health.,2024-09-30,1.07,1951.94,192012006.79
Evaluate production inputs or outputs.,2024-09-30,0.90,1769.94,140622060.73
Build structures.,2024-09-30,0.70,1720.35,96479215.31
Collect samples of products or materials.,2024-09-30,3.92,1670.40,90741806.70
Coordinate regulatory compliance activities.,2024-09-30,2.19,1664.03,185149116.40
Develop contingency or emergency response plans.,2024-09-30,7.08,1593.48,122440853.27
Record images with photographic or audiovisual equipment.,2024-09-30,5.87,1554.25,93130258.12
Assemble products or work aids.,2024-09-30,0.73,1421.67,62712845.29
Operate construction or excavation equipment.,2024-09-30,0.91,1388.23,68217586.56
Remove workpieces from production equipment.,2024-09-30,1.66,1323.79,60873056.34
Assess characteristics of land or property.,2024-09-30,2.56,1306.75,69056809.42
Direct security or safety activities or operations.,2024-09-30,7.43,1280.88,93591802.39
Operate energy production or distribution equipment.,2024-09-30,1.13,1116.81,83972847.33
Disassemble equipment.,2024-09-30,0.88,1102.42,72941935.38
Perform agricultural activities.,2024-09-30,2.70,964.15,34825202.46
Prescribe medical treatments or devices.,2024-09-30,0.53,897.79,231557837.98
Process forensic or legal evidence.,2024-09-30,10.02,809.20,75725032.50
Repair workpieces or products.,2024-09-30,1.74,665.38,33061284.43
Record information about legal matters.,2024-09-30,1.03,574.82,58752415.39
Cut trees or other vegetation.,2024-09-30,5.25,510.47,23785093.77
Operate lifting or moving equipment.,2024-09-30,0.87,476.14,25929393.48
Manage agricultural or forestry operations.,2024-09-30,1.76,305.73,18104657.10
Evaluate scholarly work.,2024-09-30,11.26,286.14,17674949.57
Clean medical equipment or facilities.,2024-09-30,0.77,200.47,20446355.79
Make legal decisions.,2024-09-30,3.20,191.85,12990140.87
Take physical measurements of patients or clients.,2024-09-30,14.50,160.86,5535276.50
Dispose of waste or debris.,2024-09-30,0.14,157.14,7721665.23
Serve on organizational committees.,2024-09-30,2.95,128.00,10064950.08
Direct legal activities.,2024-09-30,1.78,89.11,7335766.20
Tend watercraft.,2024-09-30,0.00,0.00,0.00
Evaluate green technologies or processes.,2024-09-30,0.00,0.00,0.00
Groom or style hair.,2024-09-30,0.00,0.00,0.00
Hunt animals.,2024-09-30,0.00,0.00,0.00
Manage control systems or activities.,2024-09-30,0.00,0.00,0.00
Supervise activities in correctional facilities.,2024-09-30,0.00,0.00,0.00
Test sites or materials for environmental hazards.,2024-09-30,0.00,0.00,0.00
Train animals.,2024-09-30,0.00,0.00,0.00
Draft legislation or regulations.,2024-09-30,0.00,0.00,0.00
Record information about environmental conditions.,2024-09-30,0.00,0.00,0.00
Engrave objects.,2024-09-30,0.00,0.00,0.00
Develop systems or practices to mitigate or resolve environmental problems.,2024-09-30,0.00,0.00,0.00
Embalm corpses.,2024-09-30,0.00,0.00,0.00
Protect people or property from threats such as fires or flooding.,2024-09-30,0.00,0.00,0.00
Research agricultural processes or practices.,2024-09-30,0.00,0.00,0.00
Climb equipment or structures.,2024-09-30,0.00,0.00,0.00
Apply hygienic or cosmetic agents to skin or hair.,2024-09-30,0.00,0.00,0.00
Sew garments or materials.,2024-09-30,0.00,0.00,0.00
Set up protective structures or coverings near work areas.,2024-09-30,0.00,0.00,0.00
"Set up classrooms, facilities, educational materials, or equipment.",2024-09-30,0.00,0.00,0.00
Shape materials to create products.,2024-09-30,0.00,0.00,0.00
Smooth surfaces of objects or equipment.,2024-09-30,0.00,0.00,0.00
Administer emergency medical treatment.,2024-09-30,0.00,0.00,0.00
Transport patients or clients.,2024-09-30,0.00,0.00,0.00
"Provide information to guests, clients, or customers.",2024-12-23,58.53,2564798.10,130116449328.55
Execute financial transactions.,2024-12-23,53.14,2192929.14,87258193941.85
Prepare foods or beverages.,2024-12-23,54.83,1905971.41,64828626272.25
Respond to customer problems or inquiries.,2024-12-23,59.58,1604079.66,82095733507.63
Communicate with others about operational plans or activities.,2024-12-23,49.83,1544497.93,92226938520.43
Determine values or prices of goods or services.,2024-12-23,53.26,1246553.77,58185480303.54
"Provide general assistance to others, such as customers, patrons, or motorists.",2024-12-23,52.05,1199208.45,47023540507.20
Read documents or materials to inform work processes.,2024-12-23,53.38,1099770.08,61060325204.51
Explain technical details of products or services.,2024-12-23,60.87,934806.21,44083898558.67
Purchase goods or services.,2024-12-23,53.18,928751.99,54052459998.63
"Prepare documentation for contracts, applications, or permits.",2024-12-23,54.39,882314.58,43377518166.62
Maintain current knowledge in area of expertise.,2024-12-23,54.81,802661.79,63668010469.96
Train others on operational or work procedures.,2024-12-23,45.27,767613.24,51979146270.07
"Measure physical characteristics of materials, products, or equipment.",2024-12-23,49.49,712346.79,32309672088.51
Evaluate the quality or accuracy of data.,2024-12-23,47.40,709924.32,40333244205.33
Monitor individual behavior or performance.,2024-12-23,47.17,677050.02,39571285911.72
Perform administrative or clerical activities.,2024-12-23,51.59,668527.84,37026602309.74
Advise others on products or services.,2024-12-23,53.91,639885.95,45119989791.25
Train others on health or medical topics.,2024-12-23,42.68,611892.63,32355622035.20
Teach academic or vocational subjects.,2024-12-23,47.51,559983.23,35536369242.23
"Explain regulations, policies, or procedures.",2024-12-23,57.86,553749.65,38271770407.46
Prepare informational or instructional materials.,2024-12-23,54.80,550037.15,36329841599.95
Advise others on business or operational matters.,2024-12-23,49.74,527549.98,47390475247.01
"Promote products, services, or programs.",2024-12-23,52.39,512919.07,28905329759.42
Adjust equipment to ensure adequate performance.,2024-12-23,54.70,511098.44,27931034387.71
Implement procedures or processes.,2024-12-23,60.43,493916.63,54066104994.75
Design computer or information systems or applications.,2024-12-23,53.40,483291.48,53774129078.20
Develop operational or technical procedures or standards.,2024-12-23,53.63,477962.60,48537593274.15
Prepare mixtures or solutions.,2024-12-23,53.96,450914.10,19955103297.18
Analyze business or financial data.,2024-12-23,51.58,450363.25,40394439598.22
Maintain safety or security.,2024-12-23,42.62,446850.25,20862621670.74
Process digital or online data.,2024-12-23,50.08,446225.66,29377563690.74
Provide food or beverage services.,2024-12-23,16.50,436663.99,14110753834.68
Operate office equipment.,2024-12-23,51.30,434069.72,19819007358.21
Arrange displays or decorations.,2024-12-23,49.63,426467.34,16930452076.90
Analyze health or medical data.,2024-12-23,51.32,403010.72,43029966024.83
"Distribute materials, supplies, or resources.",2024-12-23,50.53,401025.15,18048716971.99
Examine materials or documentation for accuracy or compliance.,2024-12-23,49.60,400479.93,24001212888.67
"Compile records, documentation, or other data.",2024-12-23,53.39,399520.30,25305386435.15
Test performance of equipment or systems.,2024-12-23,51.31,398637.25,25275616874.12
Advise others on educational or vocational matters.,2024-12-23,50.79,380736.90,26995103081.97
Create visual designs or displays.,2024-12-23,47.37,378231.96,28414333663.63
Assist others to access additional services or resources.,2024-12-23,48.25,363974.68,21720597036.21
Select materials or equipment for operations or projects.,2024-12-23,53.49,342559.48,20064385307.75
Interview people to obtain information.,2024-12-23,40.88,338782.94,23540697283.56
Determine resource needs of projects or operations.,2024-12-23,49.77,331736.92,26588889221.47
Present research or technical information.,2024-12-23,54.17,328620.43,25591084980.99
Inspect characteristics or conditions of materials or products.,2024-12-23,51.30,323311.14,16772513170.75
