category,confirmed_pct,confirmed_workers,ceiling_pct,gap
Diagnose system or equipment problems.,60.03,98646.52,60.71,0.68
Communicate with others about operational plans or activities.,57.75,1899327.67,60.59,2.84
Create decorative objects or parts of objects.,59.74,15918.96,59.74,0.00
Set up equipment.,59.54,173536.05,59.54,0.00
Prepare foods or beverages.,59.49,2118204.31,59.49,0.00
Conduct amusement or gaming activities.,54.92,27493.29,59.43,4.51
"Distribute materials, supplies, or resources.",57.85,452009.18,59.28,1.43
Research healthcare issues.,59.13,38560.98,59.13,0.00
Prepare legal or regulatory documents.,41.77,167530.10,58.88,17.10
Gather data about operational or development activities.,58.82,286283.54,58.82,0.00
Determine resource needs of projects or operations.,54.36,374691.05,58.82,4.46
Investigate criminal or legal matters.,56.27,262266.59,58.22,1.95
Monitor individual behavior or performance.,57.29,872944.90,58.02,0.73
Record information about legal matters.,26.54,50033.08,57.81,31.27
Teach life skills.,57.71,299792.32,57.75,0.04
Test performance of equipment or systems.,57.37,458321.73,57.59,0.23
Coordinate with others to resolve problems.,56.73,313760.31,57.43,0.70
Confer with clients to determine needs or order specifications.,57.20,97293.07,57.33,0.13
Select materials or equipment for operations or projects.,56.05,360627.09,57.15,1.10
Adjust equipment to ensure adequate performance.,56.27,533574.61,56.98,0.71
Assist others to access additional services or resources.,55.90,522414.21,56.94,1.04
Plan work activities.,54.18,350485.16,56.71,2.53
Prepare mixtures or solutions.,56.19,510337.37,56.58,0.39
Analyze environmental or geospatial data.,16.58,7733.85,56.57,39.99
Design materials or devices.,51.90,16620.39,55.99,4.09
"Measure physical characteristics of materials, products, or equipment.",53.59,790917.05,55.71,2.11
Investigate incidents or accidents.,55.57,20555.78,55.57,0.00
Verify personal information.,49.64,165700.13,55.49,5.85
Connect components or supply lines to equipment or tools.,55.16,206861.16,55.29,0.13
Maintain facilities or equipment.,55.23,173392.17,55.23,0.00
Advise others on legal or regulatory matters.,55.14,168199.31,55.14,0.00
Obtain formal documentation or authorization.,54.98,22277.83,54.98,0.00
Develop patient or client care or treatment plans.,48.22,248847.77,54.83,6.62
Investigate organizational or operational problems.,54.41,23455.29,54.74,0.34
Perform recruiting or hiring activities.,40.90,355980.19,54.72,13.82
Train others on operational or work procedures.,53.36,1005459.30,54.65,1.28
Interview people to obtain information.,50.46,405566.93,54.64,4.17
Care for plants or animals.,54.50,66628.56,54.50,0.00
Inspect characteristics or conditions of materials or products.,54.36,367910.68,54.48,0.12
"Develop organizational policies, systems, or processes.",36.62,728812.37,54.25,17.63
Communicate environmental or sustainability information.,53.79,13898.15,54.05,0.25
Collect fares or payments.,14.06,406152.32,54.03,39.96
Develop research plans or methodologies.,43.62,18192.63,53.19,9.57
"Prepare financial documents, reports, or budgets.",30.22,202839.70,53.10,22.89
Apply decorative finishes.,51.61,31263.30,52.87,1.27
Manage human resources activities.,30.74,266980.09,52.82,22.08
Evaluate project feasibility.,30.66,30942.43,52.71,22.05
Prepare reports of operational or procedural activities.,22.49,286046.08,52.63,30.14
"Set up classrooms, facilities, educational materials, or equipment.",49.74,297538.58,52.22,2.48
Sell products or services.,20.26,210647.78,52.02,31.76
"Coordinate group, community, or public activities.",35.26,83860.49,51.90,16.64
Maintain health or medical records.,33.32,671018.26,51.60,18.28
Provide support or encouragement to others.,51.11,258993.19,51.11,0.00
Develop organizational or program goals or objectives.,44.15,186695.26,50.78,6.63
Counsel others about personal matters.,50.39,294776.58,50.39,0.00
Advise others on healthcare or wellness issues.,49.89,136761.19,50.34,0.44
"Perform athletic activities for fitness, competition, or artistic purposes.",49.81,18945.14,49.81,0.00
Maintain safety or security.,46.96,460896.61,49.63,2.66
Evaluate personnel capabilities or performance.,25.97,136789.26,49.18,23.20
Process shipments or mail.,18.18,149604.88,48.90,30.72
Train others to use equipment or products.,48.63,303285.22,48.80,0.17
Negotiate contracts or agreements.,30.13,181633.88,48.53,18.41
Advise others on environmental sustainability or green practices.,48.23,23744.65,48.32,0.09
Direct scientific or technical activities.,21.89,84571.49,48.07,26.18
Advise others on workplace health or safety issues.,47.31,15491.90,47.78,0.47
Monitor resources or inventories.,20.80,164862.78,47.52,26.72
Design electrical or electronic systems or equipment.,36.96,66101.59,47.16,10.21
"Replenish inventories of materials, equipment, or products.",15.89,123904.89,47.15,31.26
Remove workpieces from production equipment.,1.66,1323.79,47.10,45.44
Collaborate in the development of educational programs.,38.22,80134.89,47.05,8.84
"Assess living, work, or social needs or status of individuals or communities.",46.53,94636.88,46.53,0.00
"Coordinate activities with clients, agencies, or organizations.",33.80,120092.19,46.36,12.56
Test sites or materials for environmental hazards.,0.07,41.21,46.16,46.09
Train others on health or medical topics.,45.25,639129.01,45.25,0.00
Advocate for individual or community needs.,45.02,20636.49,45.24,0.22
"Evaluate condition of financial assets, property, or other resources.",26.80,82212.23,44.44,17.65
Perform human resources activities.,25.79,50772.56,43.93,18.15
Draft legislation or regulations.,21.43,580.25,43.42,21.99
Design structures or facilities.,35.46,61617.20,42.32,6.86
"Develop educational programs, plans, or procedures.",36.69,628428.64,41.53,4.84
Teach safety procedures or standards to others.,41.50,7481.78,41.50,0.00
Mark materials or objects for identification.,10.63,122401.21,41.03,30.41
Design industrial systems or equipment.,16.00,22519.15,40.21,24.21
Order medical tests or procedures.,37.90,37363.17,39.78,1.89
Notify others of emergencies or problems.,8.80,144003.64,39.72,30.93
Coordinate regulatory compliance activities.,14.07,15770.92,39.25,25.18
Serve on organizational committees.,39.24,14215.33,39.24,0.00
Collect information about patients or clients.,29.11,138322.11,36.79,7.69
Sort materials or products.,23.87,156435.62,36.66,12.80
Direct construction or extraction activities.,28.91,342192.29,36.06,7.16
Coordinate artistic or entertainment activities.,24.36,37202.63,35.71,11.35
Present arts or entertainment performances.,28.02,31460.45,35.67,7.65
Monitor equipment operation.,7.18,173422.06,35.55,28.37
Monitor operations to ensure adequate performance.,12.22,110147.40,35.54,23.32
Evaluate patient or client condition or treatment options.,25.34,190537.68,35.31,9.96
Reconcile financial data.,12.16,221544.69,34.08,21.92
Investigate the environmental impact of industrial or development activities.,18.25,19196.56,33.97,15.72
Estimate project development or operational costs.,25.20,73345.21,33.21,8.01
"Direct organizational operations, activities, or procedures.",20.66,1151934.75,31.98,11.31
Diagnose health conditions or disorders.,15.08,88410.00,31.92,16.84
Escort others.,21.35,100478.95,31.85,10.51
Monitor operations to ensure compliance with regulations or standards.,22.81,239267.91,31.65,8.85
Develop public or community health programs.,31.16,21807.60,31.16,0.00
Operate medical equipment.,16.85,57993.71,30.95,14.10
Develop contingency or emergency response plans.,9.15,2040.48,30.86,21.71
Test characteristics of materials or products.,24.22,63556.15,30.41,6.18
Make legal decisions.,22.26,1457.11,30.27,8.01
"Examine financial activities, operations, or systems.",16.99,183139.06,29.70,12.70
Assess characteristics of land or property.,5.53,40587.24,29.14,23.61
Research agricultural processes or practices.,19.96,1248.55,28.84,8.88
Manage control systems or activities.,0.00,0.00,28.65,28.65
"Monitor safety or security of work areas, facilities, or properties.",13.27,174137.05,28.06,14.79
Repair electrical or electronic equipment.,22.50,123591.75,27.75,5.25
Monitor environmental conditions.,9.94,12136.99,27.29,17.35
Develop sustainable organizational or business policies or practices.,20.98,39262.07,27.20,6.22
Operate laboratory or field equipment.,18.63,9581.72,27.07,8.44
Operate lifting or moving equipment.,0.87,476.14,26.08,25.21
Mediate disputes.,18.73,27100.78,25.62,6.89
Direct legal activities.,8.40,6968.98,25.14,16.75
"Discuss legal matters with clients, disputants, or legal professionals or staff.",25.09,8589.19,25.09,0.00
Process animal carcasses.,24.51,21493.01,24.51,0.00
Monitor traffic conditions.,3.80,2858.02,24.28,20.48
Operate pumping systems or equipment.,6.63,4718.62,24.18,17.56
Stock supplies or products.,12.73,221149.49,23.17,10.44
Monitor health conditions of humans or animals.,19.06,302609.46,22.96,3.90
Assess compliance with environmental standards or regulations.,19.85,4001.41,22.92,3.07
Prepare specimens or materials for testing.,22.51,37366.94,22.76,0.25
Inspect completed work or finished products.,11.26,119025.48,22.72,11.46
Supervise personnel activities.,18.70,496204.52,22.42,3.72
Resolve personnel or operational problems.,16.16,41544.72,21.51,5.36
Take physical measurements of patients or clients.,14.50,160.86,20.62,6.12
Confer with healthcare or other professionals about patient care.,16.95,157451.00,20.61,3.66
Collect environmental or biological samples.,14.86,24171.35,20.37,5.51
Collect samples of products or materials.,13.67,6479.37,19.66,6.00
Follow standard healthcare safety procedures to protect patient and staff members.,13.12,3784.62,18.97,5.84
Provide food or beverage services.,18.79,521340.58,18.79,0.00
Prepare medical equipment or work areas for use.,17.12,62791.68,18.69,1.58
"Move materials, equipment, or supplies.",6.22,86194.90,18.66,12.44
Package objects.,4.92,74320.64,18.12,13.19
Assist individuals with special needs.,7.54,548859.86,18.07,10.53
Install commercial or production equipment.,14.82,108291.13,17.97,3.15
Examine people or animals to assess health conditions or physical characteristics.,15.16,46555.75,17.81,2.65
Prescribe medical treatments or devices.,13.25,111008.39,17.54,4.29
"Treat injuries, illnesses, or diseases.",10.27,36445.01,17.42,7.15
Position tools or equipment.,6.81,3184.97,16.73,9.92
Perform agricultural activities.,2.70,964.15,16.38,13.69
"Inspect commercial, industrial, or production systems or equipment.",10.98,243537.31,16.33,5.34
Direct security or safety activities or operations.,7.43,1280.88,15.41,7.97
Intervene in crisis situations or emergencies.,10.23,40595.73,15.31,5.09
Operate industrial processing or production equipment.,8.01,48836.55,14.92,6.91
Administer diagnostic tests to assess patient health.,7.85,20750.17,14.72,6.87
Transport patients or clients.,13.40,63809.88,14.17,0.76
Present information in legal proceedings.,14.16,27519.94,14.16,0.00
Fit assistive devices to patients or clients.,14.15,3220.79,14.15,0.00
Repair tools or equipment.,12.73,74565.26,13.78,1.04
Perform court-related or other legal administrative activities.,11.97,14877.13,13.61,1.64
Process forensic or legal evidence.,10.02,809.20,13.61,3.59
Inspect facilities or equipment.,9.28,54117.36,13.40,4.12
"Load products, materials, or equipment for transportation or further processing.",5.52,20769.10,13.11,7.59
Evaluate production inputs or outputs.,4.87,9234.25,13.00,8.13
Groom or style hair.,12.52,17113.03,12.52,0.00
Position materials or components for assembly.,9.40,130492.07,11.57,2.17
Assist healthcare practitioners during medical procedures.,11.02,135026.81,11.48,0.46
Direct vehicle traffic.,4.25,8438.11,11.46,7.21
Evaluate green technologies or processes.,9.86,1677.13,11.07,1.21
Apply hygienic or cosmetic agents to skin or hair.,10.88,23276.62,10.88,0.00
Apply materials to fill gaps or imperfections.,10.72,25032.51,10.72,0.00
Administer basic health care or medical treatments.,8.52,56906.64,10.65,2.13
Adjust medical equipment to ensure adequate performance.,10.59,2792.93,10.59,0.00
Maintain vehicles in working condition.,6.01,16650.42,10.46,4.45
Signal others to coordinate work activities.,1.79,2126.13,10.34,8.55
Develop systems or practices to mitigate or resolve environmental problems.,8.21,11763.01,9.92,1.71
Position workpieces or materials on equipment.,7.66,29695.14,9.69,2.03
Inspect vehicles.,6.05,26095.61,9.49,3.44
Operate energy production or distribution equipment.,6.70,2482.30,9.44,2.75
Operate transportation equipment or vehicles.,1.41,20272.44,9.36,7.95
Train animals.,9.27,1055.84,9.27,0.00
Assemble equipment or components.,8.07,20191.18,9.21,1.14
Engrave objects.,0.00,0.00,8.92,8.92
Develop health assessment methods or programs.,2.63,2821.13,8.77,6.14
"Develop safety standards, policies, or procedures.",7.76,5702.87,8.60,0.84
Maintain tools or equipment.,6.36,83034.46,8.58,2.22
Administer therapeutic treatments.,6.66,25010.65,8.58,1.92
Fabricate devices or components.,6.47,15046.45,8.29,1.82
Cut materials.,7.48,29240.26,8.00,0.52
Install energy or heating equipment.,7.61,18417.30,7.61,0.00
Clean medical equipment or facilities.,6.53,44503.67,7.23,0.70
Install plumbing or piping equipment or systems.,7.06,3678.85,7.06,0.00
Cut trees or other vegetation.,5.25,510.47,6.67,1.42
Maintain medical equipment or instruments.,4.03,11039.93,6.58,2.54
Operate cutting or grinding equipment.,3.05,2701.74,6.34,3.29
"Join parts using soldering, welding, or brazing techniques.",5.59,18443.13,5.99,0.40
Disassemble equipment.,0.88,1102.42,5.75,4.88
Fabricate medical devices.,5.26,3543.65,5.26,0.00
Prepare industrial materials for processing or use.,4.68,11279.26,5.12,0.44
Perform general construction or extraction activities.,4.20,47411.01,4.51,0.31
Develop plans for managing or preserving natural resources.,4.14,2652.29,4.14,0.00
Protect people or property from threats such as fires or flooding.,0.00,0.00,3.95,3.95
Apply protective solutions or coatings.,3.85,13871.65,3.85,0.00
Drill holes in earth or materials.,3.73,2649.09,3.73,0.00
Repair vehicle components.,3.55,21987.43,3.55,0.00
"Clean tools, equipment, facilities, or work areas.",3.35,183991.80,3.51,0.17
"Clean workpieces, finished products, or other objects.",3.28,6680.78,3.28,0.00
Administer emergency medical treatment.,1.18,112.63,2.76,1.58
Manage agricultural or forestry operations.,2.65,457.67,2.65,0.00
Assemble products or work aids.,0.87,2066.28,2.58,1.72
Operate construction or excavation equipment.,0.91,1388.23,2.13,1.22
Build structures.,1.47,3877.39,1.75,0.28
Sew garments or materials.,1.75,536.52,1.75,0.00
Repair workpieces or products.,1.74,665.38,1.74,0.00
Operate agricultural or forestry equipment.,1.73,12072.18,1.73,0.00
Dispose of waste or debris.,0.14,157.14,0.28,0.14
Hunt animals.,0.00,0.00,0.00,0.00
Tend watercraft.,0.00,0.00,0.00,0.00
Embalm corpses.,0.00,0.00,0.00,0.00
Climb equipment or structures.,0.00,0.00,0.00,0.00
Shape materials to create products.,0.00,0.00,0.00,0.00
Set up protective structures or coverings near work areas.,0.00,0.00,0.00,0.00
Supervise activities in correctional facilities.,0.00,0.00,0.00,0.00
Smooth surfaces of objects or equipment.,0.00,0.00,0.00,0.00
