category,config_key,config_label,pct_tasks_affected,workers_affected,wages_affected
Payroll and Timekeeping Clerks,agentic_ceiling,Agentic Ceiling,68.84,108037.34,5973384312.62
Customs and Border Protection Officers,agentic_ceiling,Agentic Ceiling,20.34,107592.95,8208265987.72
"Preschool Teachers, Except Special Education",agentic_ceiling,Agentic Ceiling,24.05,107030.79,3972982880.68
Document Management Specialists,agentic_ceiling,Agentic Ceiling,85.01,105558.34,11502692247.78
Human Resources Managers,agentic_ceiling,Agentic Ceiling,48.66,104867.90,14684651388.02
Landscaping and Groundskeeping Workers,agentic_ceiling,Agentic Ceiling,11.10,104735.72,3989383695.32
Financial and Investment Analysts,agentic_ceiling,Agentic Ceiling,55.50,104504.62,10851871574.00
"Child, Family, and School Social Workers",agentic_ceiling,Agentic Ceiling,27.19,104113.75,6097942371.28
Cost Estimators,agentic_ceiling,Agentic Ceiling,47.04,103260.05,7958251991.78
"Court, Municipal, and License Clerks",agentic_ceiling,Agentic Ceiling,60.55,102933.23,4909914964.43
Recreation Workers,agentic_ceiling,Agentic Ceiling,33.09,102457.29,3624938769.15
"Wholesale and Retail Buyers, Except Farm Products",agentic_ceiling,Agentic Ceiling,63.02,102278.72,7737385486.60
Critical Care Nurses,agentic_ceiling,Agentic Ceiling,15.09,100473.29,9404300263.55
Team Assemblers,agentic_ceiling,Agentic Ceiling,13.78,100464.42,4240603008.71
Data Entry Keyers,agentic_ceiling,Agentic Ceiling,72.99,98745.91,3935024462.89
Architectural and Engineering Managers,agentic_ceiling,Agentic Ceiling,57.13,98316.70,16491643098.80
"Hairdressers, Hairstylists, and Cosmetologists",agentic_ceiling,Agentic Ceiling,33.01,97539.76,3438276443.92
Business Continuity Planners,agentic_ceiling,Agentic Ceiling,44.84,97418.52,7917203515.80
Tutors,agentic_ceiling,Agentic Ceiling,55.60,97105.00,3892939334.61
Instructional Coordinators,agentic_ceiling,Agentic Ceiling,45.96,96911.12,7241199041.79
Regulatory Affairs Managers,agentic_ceiling,Agentic Ceiling,49.76,96814.08,13219962124.57
"Eligibility Interviewers, Government Programs",agentic_ceiling,Agentic Ceiling,61.24,95692.45,4928160975.54
Chief Executives,agentic_ceiling,Agentic Ceiling,54.66,94265.62,19458309459.19
Computer Programmers,agentic_ceiling,Agentic Ceiling,83.53,91771.94,9055137688.24
"Meeting, Convention, and Event Planners",agentic_ceiling,Agentic Ceiling,67.74,91220.93,5422172344.70
Registered Nurses,agentic_ceiling,Agentic Ceiling,29.72,90500.69,8470864971.89
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",agentic_ceiling,Agentic Ceiling,23.36,89366.31,3176972358.14
Food Service Managers,agentic_ceiling,Agentic Ceiling,36.47,89067.54,5817001166.88
Industrial Machinery Mechanics,agentic_ceiling,Agentic Ceiling,20.60,86902.11,5540878443.67
"Maintenance and Repair Workers, General",agentic_ceiling,Agentic Ceiling,5.63,86269.78,4194436555.12
Childcare Workers,agentic_ceiling,Agentic Ceiling,23.72,83963.69,2691036225.90
Mental Health Counselors,agentic_ceiling,Agentic Ceiling,51.61,83503.19,5026891846.17
Electrical Engineers,agentic_ceiling,Agentic Ceiling,44.17,83383.22,9331415935.35
"Human Resources Assistants, Except Payroll and Timekeeping",agentic_ceiling,Agentic Ceiling,89.35,82717.45,4089550729.34
Social and Human Service Assistants,agentic_ceiling,Agentic Ceiling,19.42,82382.37,3717092485.22
Packaging and Filling Machine Operators and Tenders,agentic_ceiling,Agentic Ceiling,21.45,82355.91,3368356790.47
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",agentic_ceiling,Agentic Ceiling,20.62,81821.27,4893730252.85
"Buyers and Purchasing Agents, Farm Products",agentic_ceiling,Agentic Ceiling,50.35,81721.77,6182251875.58
Food Preparation Workers,agentic_ceiling,Agentic Ceiling,9.19,81675.97,2794951822.14
"Teaching Assistants, Special Education",agentic_ceiling,Agentic Ceiling,20.74,79348.74,2820847579.39
"Education Administrators, Kindergarten through Secondary",agentic_ceiling,Agentic Ceiling,24.71,78990.39,8220530360.94
"Claims Adjusters, Examiners, and Investigators",agentic_ceiling,Agentic Ceiling,25.51,77811.95,5975179394.37
Reservation and Transportation Ticket Agents and Travel Clerks,agentic_ceiling,Agentic Ceiling,60.69,77338.37,3206448880.75
Financial Quantitative Analysts,agentic_ceiling,Agentic Ceiling,81.98,76446.16,6130217226.75
"Packers and Packagers, Hand",agentic_ceiling,Agentic Ceiling,12.67,76231.91,2712331386.55
"Educational, Guidance, and Career Counselors and Advisors",agentic_ceiling,Agentic Ceiling,22.13,75757.02,4934812363.32
"Cooks, Fast Food",agentic_ceiling,Agentic Ceiling,11.27,75302.27,2271116314.99
Patient Representatives,agentic_ceiling,Agentic Ceiling,63.92,74874.01,3653102842.44
"Architects, Except Landscape and Naval",agentic_ceiling,Agentic Ceiling,66.57,73991.38,7154226743.73
Physical Therapists,agentic_ceiling,Agentic Ceiling,29.75,73974.45,7472898527.51
Computer Network Architects,agentic_ceiling,Agentic Ceiling,75.64,73007.19,9519407172.36
Administrative Services Managers,agentic_ceiling,Agentic Ceiling,39.54,72947.34,7804383921.79
Clinical Data Managers,agentic_ceiling,Agentic Ceiling,69.77,72619.73,8176255733.51
Medical Records Specialists,agentic_ceiling,Agentic Ceiling,62.50,71898.13,4207587395.46
Advertising Sales Agents,agentic_ceiling,Agentic Ceiling,73.63,71766.72,4410782860.90
Home Health Aides,agentic_ceiling,Agentic Ceiling,3.59,71550.27,2497104515.99
Operations Research Analysts,agentic_ceiling,Agentic Ceiling,65.64,70735.32,6457427071.23
Social and Community Service Managers,agentic_ceiling,Agentic Ceiling,36.06,70488.11,5514989578.31
Carpenters,agentic_ceiling,Agentic Ceiling,9.98,69626.12,4129524949.15
Solar Energy Installation Managers,agentic_ceiling,Agentic Ceiling,21.51,69457.01,5465571914.44
Self-Enrichment Teachers,agentic_ceiling,Agentic Ceiling,22.38,69031.70,3147155091.18
Facilities Managers,agentic_ceiling,Agentic Ceiling,37.37,68942.71,7375942520.12
"Cooks, Institution and Cafeteria",agentic_ceiling,Agentic Ceiling,14.76,66177.68,2412176498.98
Telemarketers,agentic_ceiling,Agentic Ceiling,97.91,65039.94,2238024484.45
First-Line Supervisors of Housekeeping and Janitorial Workers,agentic_ceiling,Agentic Ceiling,37.23,65031.63,3090303023.48
Computer Numerically Controlled Tool Operators,agentic_ceiling,Agentic Ceiling,36.18,64013.55,3198757119.51
Animal Caretakers,agentic_ceiling,Agentic Ceiling,22.69,62907.27,2105506320.58
Correctional Officers and Jailers,agentic_ceiling,Agentic Ceiling,17.05,62300.52,3611561426.78
Architectural and Civil Drafters,agentic_ceiling,Agentic Ceiling,56.34,61717.47,3967199247.02
Compliance Managers,agentic_ceiling,Agentic Ceiling,52.79,61651.24,8418476216.96
Machinists,agentic_ceiling,Agentic Ceiling,20.47,61155.43,3433877248.18
Order Clerks,agentic_ceiling,Agentic Ceiling,72.45,60435.21,2699036301.01
Health Information Technologists and Medical Registrars,agentic_ceiling,Agentic Ceiling,52.44,60330.19,3530614326.05
Web Developers,agentic_ceiling,Agentic Ceiling,89.73,60194.22,5692607914.56
"Art, Drama, and Music Teachers, Postsecondary",agentic_ceiling,Agentic Ceiling,61.48,60183.47,4826112132.04
Geographic Information Systems Technologists and Technicians,agentic_ceiling,Agentic Ceiling,69.16,59639.56,6498922739.65
Telecommunications Engineering Specialists,agentic_ceiling,Agentic Ceiling,72.39,58268.39,7597614773.17
Logistics Analysts,agentic_ceiling,Agentic Ceiling,74.51,57608.50,4659375761.20
Librarians and Media Collections Specialists,agentic_ceiling,Agentic Ceiling,43.33,57116.95,3673761982.45
Supply Chain Managers,agentic_ceiling,Agentic Ceiling,38.48,57079.57,5822686674.45
"Food Servers, Nonrestaurant",agentic_ceiling,Agentic Ceiling,20.94,56912.17,1961193430.52
Fundraisers,agentic_ceiling,Agentic Ceiling,53.12,56275.08,3741730261.96
Merchandise Displayers and Window Trimmers,agentic_ceiling,Agentic Ceiling,28.69,55219.78,2062458619.41
File Clerks,agentic_ceiling,Agentic Ceiling,69.35,54770.36,2260372745.06
"Special Education Teachers, Secondary School",agentic_ceiling,Agentic Ceiling,33.64,54755.04,3810402968.06
Editors,agentic_ceiling,Agentic Ceiling,56.92,54343.23,4089871336.73
"Education Administrators, Postsecondary",agentic_ceiling,Agentic Ceiling,30.45,53726.05,5585360243.63
Logistics Engineers,agentic_ceiling,Agentic Ceiling,60.26,53551.70,4331261785.80
Chefs and Head Cooks,agentic_ceiling,Agentic Ceiling,29.27,53358.74,3254349322.95
Construction Laborers,agentic_ceiling,Agentic Ceiling,5.04,53344.31,2492779773.10
"Medical Scientists, Except Epidemiologists",agentic_ceiling,Agentic Ceiling,34.02,53175.97,5348971134.41
Automotive Engineers,agentic_ceiling,Agentic Ceiling,37.38,52748.46,5397221955.62
Health Informatics Specialists,agentic_ceiling,Agentic Ceiling,55.73,52596.93,5459035130.42
Maids and Housekeeping Cleaners,agentic_ceiling,Agentic Ceiling,6.15,52560.59,1821750064.25
Physician Assistants,agentic_ceiling,Agentic Ceiling,43.46,52519.35,6998728988.29
Bakers,agentic_ceiling,Agentic Ceiling,22.57,52333.08,1918007536.55
Public Safety Telecommunicators,agentic_ceiling,Agentic Ceiling,51.57,52157.32,2645940620.00
Insurance Underwriters,agentic_ceiling,Agentic Ceiling,48.12,51886.13,4144663977.65
Credit Analysts,agentic_ceiling,Agentic Ceiling,76.52,51549.57,4173968458.33
Web and Digital Interface Designers,agentic_ceiling,Agentic Ceiling,75.23,50469.34,4772919345.34
Regulatory Affairs Specialists,agentic_ceiling,Agentic Ceiling,49.78,50311.96,3945464211.76
Dining Room and Cafeteria Attendants and Bartender Helpers,agentic_ceiling,Agentic Ceiling,9.62,50231.50,1641063082.79
Intelligence Analysts,agentic_ceiling,Agentic Ceiling,67.32,49879.41,4667715601.35
Tax Preparers,agentic_ceiling,Agentic Ceiling,67.33,49532.68,2504372235.98
Shuttle Drivers and Chauffeurs,agentic_ceiling,Agentic Ceiling,16.72,48851.68,1991671465.04
"Business Teachers, Postsecondary",agentic_ceiling,Agentic Ceiling,59.08,48314.75,4699575632.54
Radiologic Technologists and Technicians,agentic_ceiling,Agentic Ceiling,21.52,48089.16,3734603914.24
Travel Agents,agentic_ceiling,Agentic Ceiling,80.94,47873.73,2319481995.45
Healthcare Social Workers,agentic_ceiling,Agentic Ceiling,25.74,47857.84,3258640268.41
Mental Health and Substance Abuse Social Workers,agentic_ceiling,Agentic Ceiling,37.46,47159.76,2832415197.36
Customs Brokers,agentic_ceiling,Agentic Ceiling,54.69,46896.27,3677605319.04
Loss Prevention Managers,agentic_ceiling,Agentic Ceiling,28.43,46670.13,6372806698.62
"Compensation, Benefits, and Job Analysis Specialists",agentic_ceiling,Agentic Ceiling,45.36,46434.15,3576358537.00
"Teaching Assistants, Postsecondary",agentic_ceiling,Agentic Ceiling,29.94,46414.93,2085422745.58
Purchasing Managers,agentic_ceiling,Agentic Ceiling,57.06,46358.72,6467504947.76
Biological Technicians,agentic_ceiling,Agentic Ceiling,60.72,46263.08,2405680356.64
Allergists and Immunologists,agentic_ceiling,Agentic Ceiling,33.60,46132.26,11491710895.06
"Ushers, Lobby Attendants, and Ticket Takers",agentic_ceiling,Agentic Ceiling,38.38,45751.38,1425155476.18
Transportation Engineers,agentic_ceiling,Agentic Ceiling,38.24,45299.11,4511338577.69
"Education Teachers, Postsecondary",agentic_ceiling,Agentic Ceiling,75.79,44782.93,3228401502.44
Helpers--Production Workers,agentic_ceiling,Agentic Ceiling,26.56,44478.98,1699986616.45
Dental Hygienists,agentic_ceiling,Agentic Ceiling,20.23,44320.04,4177606508.70
Civil Engineers,agentic_ceiling,Agentic Ceiling,37.41,44313.82,4413213680.28
Mechanical Engineers,agentic_ceiling,Agentic Ceiling,44.07,43807.95,4482429866.08
Computer Hardware Engineers,agentic_ceiling,Agentic Ceiling,57.79,43752.16,6782459777.04
Real Estate Brokers,agentic_ceiling,Agentic Ceiling,85.11,42206.39,3050678224.41
"English Language and Literature Teachers, Postsecondary",agentic_ceiling,Agentic Ceiling,70.75,42160.13,3299873380.01
Technical Writers,agentic_ceiling,Agentic Ceiling,75.83,42107.70,3860013231.35
Interpreters and Translators,agentic_ceiling,Agentic Ceiling,78.58,41929.97,2492317352.40
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",agentic_ceiling,Agentic Ceiling,36.92,41324.14,2336053493.09
Substance Abuse and Behavioral Disorder Counselors,agentic_ceiling,Agentic Ceiling,25.47,41210.93,2480898083.78
Retail Loss Prevention Specialists,agentic_ceiling,Agentic Ceiling,49.42,41076.61,1708787000.36
Database Administrators,agentic_ceiling,Agentic Ceiling,83.05,41076.22,5046318814.95
Rehabilitation Counselors,agentic_ceiling,Agentic Ceiling,45.74,40680.20,1875763893.01
Solar Sales Representatives and Assessors,agentic_ceiling,Agentic Ceiling,69.61,40163.38,4019149813.83
Library Technicians,agentic_ceiling,Agentic Ceiling,54.19,39977.45,1597898604.64
Sales Engineers,agentic_ceiling,Agentic Ceiling,70.16,39771.77,4833065283.65
First-Line Supervisors of Police and Detectives,agentic_ceiling,Agentic Ceiling,25.92,39693.10,4206675256.07
Manufacturing Engineers,agentic_ceiling,Agentic Ceiling,45.12,39507.10,3995748026.05
Exercise Trainers and Group Fitness Instructors,agentic_ceiling,Agentic Ceiling,12.99,39437.13,1821206774.05
"Bus Drivers, School",agentic_ceiling,Agentic Ceiling,13.35,39020.09,1590840029.43
Freight Forwarders,agentic_ceiling,Agentic Ceiling,57.71,38943.92,1943301537.53
Database Architects,agentic_ceiling,Agentic Ceiling,78.11,38633.03,4746166038.56
"Nursing Instructors and Teachers, Postsecondary",agentic_ceiling,Agentic Ceiling,51.27,38066.82,3043061573.16
Security Managers,agentic_ceiling,Agentic Ceiling,53.59,37807.03,3958018238.10
"Poets, Lyricists and Creative Writers",agentic_ceiling,Agentic Ceiling,83.16,37435.46,2705460396.46
"Library Assistants, Clerical",agentic_ceiling,Agentic Ceiling,46.52,37250.27,1341382086.99
First-Line Supervisors of Personal Service Workers,agentic_ceiling,Agentic Ceiling,34.58,37237.72,1941480188.61
Marriage and Family Therapists,agentic_ceiling,Agentic Ceiling,56.45,37185.29,2371678094.33
Gambling Dealers,agentic_ceiling,Agentic Ceiling,44.68,37074.07,1233824981.30
"Telecommunications Equipment Installers and Repairers, Except Line Installers",agentic_ceiling,Agentic Ceiling,23.98,36908.31,2311567761.83
Logisticians,agentic_ceiling,Agentic Ceiling,53.04,36838.20,2979473254.18
Training and Development Managers,agentic_ceiling,Agentic Ceiling,81.55,36665.53,4659822831.88
Information Technology Project Managers,agentic_ceiling,Agentic Ceiling,79.26,36598.23,3988109276.01
"Career/Technical Education Teachers, Secondary School",agentic_ceiling,Agentic Ceiling,34.70,36245.97,2316479882.23
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",agentic_ceiling,Agentic Ceiling,29.14,36175.49,2031977499.28
"Bus Drivers, Transit and Intercity",agentic_ceiling,Agentic Ceiling,24.26,36140.57,2075914190.06
Occupational Health and Safety Specialists,agentic_ceiling,Agentic Ceiling,28.06,36036.98,3023863154.76
Procurement Clerks,agentic_ceiling,Agentic Ceiling,60.04,35964.48,1744636959.42
Demonstrators and Product Promoters,agentic_ceiling,Agentic Ceiling,55.38,35867.70,1361537736.07
Water/Wastewater Engineers,agentic_ceiling,Agentic Ceiling,30.11,35674.65,3552838807.40
"Computer, Automated Teller, and Office Machine Repairers",agentic_ceiling,Agentic Ceiling,47.47,34659.63,1624150380.77
Postal Service Clerks,agentic_ceiling,Agentic Ceiling,44.32,34596.50,2132182227.37
"Special Education Teachers, Middle School",agentic_ceiling,Agentic Ceiling,36.21,34515.69,2239378241.53
Dietitians and Nutritionists,agentic_ceiling,Agentic Ceiling,44.78,34285.96,2532018041.87
Medical Transcriptionists,agentic_ceiling,Agentic Ceiling,79.49,34237.30,1285610764.73
Sustainability Specialists,agentic_ceiling,Agentic Ceiling,30.56,34080.83,2769749338.90
Chemists,agentic_ceiling,Agentic Ceiling,40.87,34027.59,2863421339.63
Printing Press Operators,agentic_ceiling,Agentic Ceiling,23.34,33875.47,1529816116.36
"Electronics Engineers, Except Computer",agentic_ceiling,Agentic Ceiling,50.66,33441.38,4266785688.56
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",agentic_ceiling,Agentic Ceiling,29.88,32185.27,1678058118.52
"Title Examiners, Abstractors, and Searchers",agentic_ceiling,Agentic Ceiling,66.63,32097.31,1764710312.29
"Mathematical Science Teachers, Postsecondary",agentic_ceiling,Agentic Ceiling,65.45,31951.51,2535352021.70
Video Game Designers,agentic_ceiling,Agentic Ceiling,57.21,31866.05,3125741015.96
Word Processors and Typists,agentic_ceiling,Agentic Ceiling,88.20,31778.05,1520579916.58
"Kindergarten Teachers, Except Special Education",agentic_ceiling,Agentic Ceiling,27.68,31669.70,1945469698.88
Validation Engineers,agentic_ceiling,Agentic Ceiling,36.12,31625.16,3198569174.41
Industrial Engineers,agentic_ceiling,Agentic Ceiling,36.09,31597.25,3195745718.74
Geothermal Technicians,agentic_ceiling,Agentic Ceiling,17.20,31593.69,1536717064.57
Concierges,agentic_ceiling,Agentic Ceiling,71.05,31405.33,1172047065.97
Interior Designers,agentic_ceiling,Agentic Ceiling,44.98,31297.28,1987064126.19
"Biological Science Teachers, Postsecondary",agentic_ceiling,Agentic Ceiling,58.09,30934.57,2581799489.25
Residential Advisors,agentic_ceiling,Agentic Ceiling,37.33,30912.28,1211143039.63
Remote Sensing Technicians,agentic_ceiling,Agentic Ceiling,59.29,29964.88,1801788486.25
Brokerage Clerks,agentic_ceiling,Agentic Ceiling,74.02,29674.23,1867695953.34
Data Warehousing Specialists,agentic_ceiling,Agentic Ceiling,91.40,29598.98,4024869346.37
Food Batchmakers,agentic_ceiling,Agentic Ceiling,17.23,29584.18,1206738746.00
Operating Engineers and Other Construction Equipment Operators,agentic_ceiling,Agentic Ceiling,6.27,29441.51,1728511268.61
Veterinary Assistants and Laboratory Animal Caretakers,agentic_ceiling,Agentic Ceiling,25.69,29333.32,1094719541.66
Speech-Language Pathologists,agentic_ceiling,Agentic Ceiling,16.38,29291.78,2794729147.43
Electrical and Electronic Engineering Technologists and Technicians,agentic_ceiling,Agentic Ceiling,31.35,29062.62,2243052636.38
Photographers,agentic_ceiling,Agentic Ceiling,56.42,28904.89,1229035711.17
"Dentists, General",agentic_ceiling,Agentic Ceiling,25.35,28768.94,4970984667.15
Clergy,agentic_ceiling,Agentic Ceiling,48.70,28283.51,1720203021.46
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,agentic_ceiling,Agentic Ceiling,22.90,28193.09,1745152497.97
"Career/Technical Education Teachers, Postsecondary",agentic_ceiling,Agentic Ceiling,25.35,28180.45,1732815612.80
Bus and Truck Mechanics and Diesel Engine Specialists,agentic_ceiling,Agentic Ceiling,9.72,27926.34,1693453178.22
Construction and Building Inspectors,agentic_ceiling,Agentic Ceiling,32.43,27814.98,2006016347.87
Audio and Video Technicians,agentic_ceiling,Agentic Ceiling,38.90,27260.51,1494693518.36
"Switchboard Operators, Including Answering Service",agentic_ceiling,Agentic Ceiling,75.81,27085.99,1039289265.69
Computer and Information Research Scientists,agentic_ceiling,Agentic Ceiling,70.11,26976.55,3801266026.43
Nannies,agentic_ceiling,Agentic Ceiling,16.18,26877.94,861438009.28
Government Property Inspectors and Investigators,agentic_ceiling,Agentic Ceiling,38.99,26821.40,2103333978.44
"Cooks, Short Order",agentic_ceiling,Agentic Ceiling,17.82,26811.54,955027021.55
Couriers and Messengers,agentic_ceiling,Agentic Ceiling,37.24,26780.27,1026755557.98
New Accounts Clerks,agentic_ceiling,Agentic Ceiling,69.87,26572.43,1238541013.35
First-Line Supervisors of Security Workers,agentic_ceiling,Agentic Ceiling,37.49,26359.53,1544932339.60
Sheet Metal Workers,agentic_ceiling,Agentic Ceiling,22.38,26290.68,1599788028.34
Veterinary Technologists and Technicians,agentic_ceiling,Agentic Ceiling,19.93,26173.50,1203457535.64
Clinical Research Coordinators,agentic_ceiling,Agentic Ceiling,50.00,25827.88,4162937023.98
Pharmacy Aides,agentic_ceiling,Agentic Ceiling,62.80,25810.60,954992194.24
Lodging Managers,agentic_ceiling,Agentic Ceiling,62.40,25803.72,1758007298.38
Skincare Specialists,agentic_ceiling,Agentic Ceiling,36.65,25740.03,1069755845.72
Pest Control Workers,agentic_ceiling,Agentic Ceiling,26.67,25632.34,1146534649.82
"Airline Pilots, Copilots, and Flight Engineers",agentic_ceiling,Agentic Ceiling,25.77,25591.27,5798982371.47
Mechanical Drafters,agentic_ceiling,Agentic Ceiling,63.75,25435.96,1742617735.46
Diagnostic Medical Sonographers,agentic_ceiling,Agentic Ceiling,29.27,25303.04,2260573740.83
Chemical Technicians,agentic_ceiling,Agentic Ceiling,45.08,25084.48,1449632303.97
"Psychology Teachers, Postsecondary",agentic_ceiling,Agentic Ceiling,59.78,24873.88,1998119131.94
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",agentic_ceiling,Agentic Ceiling,14.21,24780.54,1129744841.19
Actors,agentic_ceiling,Agentic Ceiling,63.71,24719.81,1928144983.67
"Engineering Teachers, Postsecondary",agentic_ceiling,Agentic Ceiling,61.28,24455.07,2595171722.15
School Psychologists,agentic_ceiling,Agentic Ceiling,38.21,24391.33,2120338676.46
Civil Engineering Technologists and Technicians,agentic_ceiling,Agentic Ceiling,38.89,24164.11,1551335582.63
Fundraising Managers,agentic_ceiling,Agentic Ceiling,40.98,24040.55,3169399333.17
"Mobile Heavy Equipment Mechanics, Except Engines",agentic_ceiling,Agentic Ceiling,13.31,23994.20,1535148782.86
Art Directors,agentic_ceiling,Agentic Ceiling,47.48,23914.31,2655444597.28
"Plumbers, Pipefitters, and Steamfitters",agentic_ceiling,Agentic Ceiling,9.97,23734.51,1494561882.20
Electrical and Electronic Equipment Assemblers,agentic_ceiling,Agentic Ceiling,25.97,23661.74,1046085472.39
Public Relations Managers,agentic_ceiling,Agentic Ceiling,40.12,23537.13,3103031085.42
Medical and Clinical Laboratory Technicians,agentic_ceiling,Agentic Ceiling,26.53,22754.39,1408269257.29
"Tax Examiners and Collectors, and Revenue Agents",agentic_ceiling,Agentic Ceiling,42.28,22631.17,1351986190.43
Surveying and Mapping Technicians,agentic_ceiling,Agentic Ceiling,39.78,22562.93,1171918668.70
Refuse and Recyclable Material Collectors,agentic_ceiling,Agentic Ceiling,15.96,22217.80,1074230640.05
"News Analysts, Reporters, and Journalists",agentic_ceiling,Agentic Ceiling,53.38,22177.84,1336879920.12
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",agentic_ceiling,Agentic Ceiling,8.45,22122.43,789549688.02
Budget Analysts,agentic_ceiling,Agentic Ceiling,46.46,21917.11,1927171814.67
Labor Relations Specialists,agentic_ceiling,Agentic Ceiling,33.72,21777.36,2036183163.66
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",agentic_ceiling,Agentic Ceiling,35.79,21469.09,1530745995.37
Water and Wastewater Treatment Plant and System Operators,agentic_ceiling,Agentic Ceiling,16.84,21350.61,1243886562.85
Social Science Research Assistants,agentic_ceiling,Agentic Ceiling,64.75,21328.63,1237913833.80
Medical and Clinical Laboratory Technologists,agentic_ceiling,Agentic Ceiling,49.26,21122.80,1307290023.98
Telecommunications Line Installers and Repairers,agentic_ceiling,Agentic Ceiling,21.37,21016.08,1481633856.75
"Computer Science Teachers, Postsecondary",agentic_ceiling,Agentic Ceiling,57.81,20951.29,2025780340.79
"Paper Goods Machine Setters, Operators, and Tenders",agentic_ceiling,Agentic Ceiling,21.61,20950.03,1034721926.74
Film and Video Editors,agentic_ceiling,Agentic Ceiling,71.61,20667.62,1466987901.07
"Mail Clerks and Mail Machine Operators, Except Postal Service",agentic_ceiling,Agentic Ceiling,32.84,20602.82,785997593.72
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",agentic_ceiling,Agentic Ceiling,33.29,20498.46,1268854937.69
Phlebotomists,agentic_ceiling,Agentic Ceiling,14.64,20333.19,887747119.52
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",agentic_ceiling,Agentic Ceiling,13.71,19691.45,663995763.32
Cement Masons and Concrete Finishers,agentic_ceiling,Agentic Ceiling,9.55,19598.68,1071264101.71
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",agentic_ceiling,Agentic Ceiling,39.42,19597.23,894613606.15
Recycling Coordinators,agentic_ceiling,Agentic Ceiling,31.67,19496.73,1206847813.22
Bioinformatics Scientists,agentic_ceiling,Agentic Ceiling,71.60,19402.88,1810871019.83
Surveyors,agentic_ceiling,Agentic Ceiling,49.85,19273.80,1401976425.99
Industrial Production Managers,agentic_ceiling,Agentic Ceiling,37.26,19191.34,2330596596.27
Photonics Engineers,agentic_ceiling,Agentic Ceiling,51.72,19164.47,2256616811.83
Firefighters,agentic_ceiling,Agentic Ceiling,5.76,19140.87,1139455757.94
"Communications Teachers, Postsecondary",agentic_ceiling,Agentic Ceiling,65.30,19105.54,1486411180.45
Wind Energy Operations Managers,agentic_ceiling,Agentic Ceiling,33.55,19071.27,2604182354.74
Manicurists and Pedicurists,agentic_ceiling,Agentic Ceiling,12.89,19051.02,660308377.93
Energy Auditors,agentic_ceiling,Agentic Ceiling,36.75,18898.56,1362964109.98
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",agentic_ceiling,Agentic Ceiling,12.17,18845.70,777008168.69
Human Factors Engineers and Ergonomists,agentic_ceiling,Agentic Ceiling,21.38,18720.56,1893397123.63
"Fraud Examiners, Investigators and Analysts",agentic_ceiling,Agentic Ceiling,54.26,18558.05,1488170408.54
Automotive and Watercraft Service Attendants,agentic_ceiling,Agentic Ceiling,18.48,18162.67,632969213.27
Solar Thermal Installers and Technicians,agentic_ceiling,Agentic Ceiling,8.33,18155.38,1143244457.96
Community Health Workers,agentic_ceiling,Agentic Ceiling,29.79,18091.30,923198806.31
"Special Education Teachers, Kindergarten",agentic_ceiling,Agentic Ceiling,19.27,17899.70,1150413599.27
"Education and Childcare Administrators, Preschool and Daycare",agentic_ceiling,Agentic Ceiling,24.92,17845.44,1004162687.64
Cargo and Freight Agents,agentic_ceiling,Agentic Ceiling,58.82,17835.73,890002972.06
"Mixing and Blending Machine Setters, Operators, and Tenders",agentic_ceiling,Agentic Ceiling,17.25,17395.79,829431473.80
Aerospace Engineers,agentic_ceiling,Agentic Ceiling,25.32,17327.13,2336216645.29
Biomass Power Plant Managers,agentic_ceiling,Agentic Ceiling,30.17,17235.26,2093049441.91
Equal Opportunity Representatives and Officers,agentic_ceiling,Agentic Ceiling,26.85,17024.69,1335076197.54
Clinical and Counseling Psychologists,agentic_ceiling,Agentic Ceiling,23.56,17004.64,1629554387.09
Chemical Equipment Operators and Tenders,agentic_ceiling,Agentic Ceiling,13.29,16927.46,966388587.94
Credit Counselors,agentic_ceiling,Agentic Ceiling,59.82,16814.38,848790122.08
Flight Attendants,agentic_ceiling,Agentic Ceiling,12.83,16689.79,1120385481.81
Medical Equipment Repairers,agentic_ceiling,Agentic Ceiling,27.36,16643.28,1042368788.46
Laundry and Dry-Cleaning Workers,agentic_ceiling,Agentic Ceiling,8.39,16397.95,554250637.08
Security and Fire Alarm Systems Installers,agentic_ceiling,Agentic Ceiling,20.10,16381.00,971393484.61
"Transportation, Storage, and Distribution Managers",agentic_ceiling,Agentic Ceiling,25.34,16380.55,1670979855.29
Transportation Planners,agentic_ceiling,Agentic Ceiling,44.00,16266.42,1632172965.23
"Law Teachers, Postsecondary",agentic_ceiling,Agentic Ceiling,71.25,16246.06,2057563470.87
