element_name,ai_capability,domain,eco_baseline,gap
Arm-Hand Steadiness,4.95,abilities,10.89,-5.94
Manual Dexterity,4.64,abilities,10.60,-5.96
Hearing Sensitivity,4.41,abilities,10.41,-5.99
Trunk Strength,4.17,abilities,10.17,-6.00
Mechanical,9.76,knowledge,16.11,-6.36
Dynamic Flexibility,5.53,abilities,12.04,-6.51
Operation and Control,4.50,skills,11.09,-6.58
Extent Flexibility,4.37,abilities,11.06,-6.70
Static Strength,3.74,abilities,10.77,-7.03
Depth Perception,3.37,abilities,10.42,-7.04
Building and Construction,9.94,knowledge,17.05,-7.11
Control Precision,4.40,abilities,11.53,-7.12
Rate Control,2.85,abilities,10.04,-7.18
Multilimb Coordination,3.67,abilities,10.90,-7.23
Spatial Orientation,3.74,abilities,11.00,-7.26
Night Vision,1.94,abilities,9.29,-7.35
Glare Sensitivity,2.68,abilities,10.16,-7.48
Speed of Limb Movement,2.51,abilities,10.00,-7.49
Response Orientation,3.33,abilities,10.90,-7.57
Peripheral Vision,2.41,abilities,10.11,-7.69
Reaction Time,3.58,abilities,11.42,-7.85
Sound Localization,0.75,abilities,8.64,-7.89
